
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.7282730341103761, 'l1_ratio': 0.34919689828935413} - results: ROC_AUC: 0.1379788, PRECISION: 0.0278356, PRECISION_RECALL_MIN_DEN: 0.1001075, RECALL: 0.0974000, MAP: 0.0453731, MRR: 0.0981995, NDCG: 0.0697762, F1: 0.0432944, HIT_RATE: 0.2783561, ARHR: 0.1103448, NOVELTY: 0.0047905, AVERAGE_POPULARITY: 0.1094243, DIVERSITY_MEAN_INTER_LIST: 0.9838885, DIVERSITY_HERFINDAHL: 0.9983702, COVERAGE_ITEM: 0.4071838, COVERAGE_ITEM_CORRECT: 0.0291742, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1449100, DIVERSITY_GINI: 0.1311393, SHANNON_ENTROPY: 11.3816462, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.016697522704458127, 'l1_ratio': 0.3696380999702476} - results: ROC_AUC: 0.1275581, PRECISION: 0.0252127, PRECISION_RECALL_MIN_DEN: 0.0908064, RECALL: 0.0882675, MAP: 0.0412488, MRR: 0.0905238, NDCG: 0.0634363, F1: 0.0392184, HIT_RATE: 0.2521275, ARHR: 0.1010000, NOVELTY: 0.0048557, AVERAGE_POPULARITY: 0.1054427, DIVERSITY_MEAN_INTER_LIST: 0.9851005, DIVERSITY_HERFINDAHL: 0.9984914, COVERAGE_ITEM: 0.4164466, COVERAGE_ITEM_CORRECT: 0.0260327, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1335598, DIVERSITY_GINI: 0.1439211, SHANNON_ENTROPY: 11.5774001, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3925777175207156, 'l1_ratio': 0.555439210960623} - results: ROC_AUC: 0.1322950, PRECISION: 0.0263723, PRECISION_RECALL_MIN_DEN: 0.0951617, RECALL: 0.0925471, MAP: 0.0429502, MRR: 0.0940182, NDCG: 0.0662014, F1: 0.0410433, HIT_RATE: 0.2637226, ARHR: 0.1051821, NOVELTY: 0.0048246, AVERAGE_POPULARITY: 0.1081800, DIVERSITY_MEAN_INTER_LIST: 0.9842587, DIVERSITY_HERFINDAHL: 0.9984072, COVERAGE_ITEM: 0.4118422, COVERAGE_ITEM_CORRECT: 0.0271723, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1389455, DIVERSITY_GINI: 0.1381600, SHANNON_ENTROPY: 11.4791339, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.22426368346130737, 'l1_ratio': 0.5406015302304421} - results: ROC_AUC: 0.1299297, PRECISION: 0.0257964, PRECISION_RECALL_MIN_DEN: 0.0930139, RECALL: 0.0904594, MAP: 0.0421867, MRR: 0.0925862, NDCG: 0.0649388, F1: 0.0401406, HIT_RATE: 0.2579641, ARHR: 0.1034050, NOVELTY: 0.0048404, AVERAGE_POPULARITY: 0.1067677, DIVERSITY_MEAN_INTER_LIST: 0.9846893, DIVERSITY_HERFINDAHL: 0.9984503, COVERAGE_ITEM: 0.4147141, COVERAGE_ITEM_CORRECT: 0.0266102, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1363282, DIVERSITY_GINI: 0.1412281, SHANNON_ENTROPY: 11.5298311, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.5926879535969609, 'l1_ratio': 0.1482776610386061} - results: ROC_AUC: 0.1373188, PRECISION: 0.0277069, PRECISION_RECALL_MIN_DEN: 0.0996803, RECALL: 0.0969618, MAP: 0.0450746, MRR: 0.0979176, NDCG: 0.0694071, F1: 0.0430962, HIT_RATE: 0.2770688, ARHR: 0.1098855, NOVELTY: 0.0048090, AVERAGE_POPULARITY: 0.1073958, DIVERSITY_MEAN_INTER_LIST: 0.9845547, DIVERSITY_HERFINDAHL: 0.9984368, COVERAGE_ITEM: 0.4120192, COVERAGE_ITEM_CORRECT: 0.0291511, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1445829, DIVERSITY_GINI: 0.1356749, SHANNON_ENTROPY: 11.4505134, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.8559817892472922, 'l1_ratio': 0.10292274250582992} - results: ROC_AUC: 0.1398145, PRECISION: 0.0282607, PRECISION_RECALL_MIN_DEN: 0.1016987, RECALL: 0.0989420, MAP: 0.0462551, MRR: 0.0998655, NDCG: 0.0709674, F1: 0.0439619, HIT_RATE: 0.2826067, ARHR: 0.1122530, NOVELTY: 0.0047896, AVERAGE_POPULARITY: 0.1075410, DIVERSITY_MEAN_INTER_LIST: 0.9845536, DIVERSITY_HERFINDAHL: 0.9984367, COVERAGE_ITEM: 0.4090549, COVERAGE_ITEM_CORRECT: 0.0302753, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1468730, DIVERSITY_GINI: 0.1310029, SHANNON_ENTROPY: 11.3987039, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.20362841860244024, 'l1_ratio': 0.8736744590530063} - results: ROC_AUC: 0.1287125, PRECISION: 0.0254212, PRECISION_RECALL_MIN_DEN: 0.0919161, RECALL: 0.0893950, MAP: 0.0416442, MRR: 0.0914085, NDCG: 0.0641262, F1: 0.0395811, HIT_RATE: 0.2542125, ARHR: 0.1019959, NOVELTY: 0.0048411, AVERAGE_POPULARITY: 0.1074024, DIVERSITY_MEAN_INTER_LIST: 0.9844704, DIVERSITY_HERFINDAHL: 0.9984284, COVERAGE_ITEM: 0.4136054, COVERAGE_ITEM_CORRECT: 0.0260789, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1346672, DIVERSITY_GINI: 0.1409014, SHANNON_ENTROPY: 11.5245714, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.26975908360144113, 'l1_ratio': 0.6184924235153617} - results: ROC_AUC: 0.1301217, PRECISION: 0.0258796, PRECISION_RECALL_MIN_DEN: 0.0933507, RECALL: 0.0907859, MAP: 0.0422401, MRR: 0.0927078, NDCG: 0.0650859, F1: 0.0402732, HIT_RATE: 0.2587964, ARHR: 0.1035318, NOVELTY: 0.0048361, AVERAGE_POPULARITY: 0.1073113, DIVERSITY_MEAN_INTER_LIST: 0.9845108, DIVERSITY_HERFINDAHL: 0.9984324, COVERAGE_ITEM: 0.4131588, COVERAGE_ITEM_CORRECT: 0.0266487, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1368315, DIVERSITY_GINI: 0.1401937, SHANNON_ENTROPY: 11.5139733, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.5505175552985999, 'l1_ratio': 0.08763514466828283} - results: ROC_AUC: 0.1367000, PRECISION: 0.0276690, PRECISION_RECALL_MIN_DEN: 0.0995882, RECALL: 0.0968506, MAP: 0.0447933, MRR: 0.0975524, NDCG: 0.0691213, F1: 0.0430389, HIT_RATE: 0.2766899, ARHR: 0.1095049, NOVELTY: 0.0048138, AVERAGE_POPULARITY: 0.1069170, DIVERSITY_MEAN_INTER_LIST: 0.9847075, DIVERSITY_HERFINDAHL: 0.9984521, COVERAGE_ITEM: 0.4131819, COVERAGE_ITEM_CORRECT: 0.0291665, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1443060, DIVERSITY_GINI: 0.1368254, SHANNON_ENTROPY: 11.4676043, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.43787311284109987, 'l1_ratio': 0.06703334563474463} - results: ROC_AUC: 0.1350527, PRECISION: 0.0271951, PRECISION_RECALL_MIN_DEN: 0.0978190, RECALL: 0.0951068, MAP: 0.0439955, MRR: 0.0961575, NDCG: 0.0679254, F1: 0.0422930, HIT_RATE: 0.2719510, ARHR: 0.1078494, NOVELTY: 0.0048242, AVERAGE_POPULARITY: 0.1064068, DIVERSITY_MEAN_INTER_LIST: 0.9848514, DIVERSITY_HERFINDAHL: 0.9984665, COVERAGE_ITEM: 0.4145294, COVERAGE_ITEM_CORRECT: 0.0284504, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1423179, DIVERSITY_GINI: 0.1389866, SHANNON_ENTROPY: 11.4975172, 
