
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.7282730341103761, 'l1_ratio': 0.34919689828935413} - results: ROC_AUC: 0.1365703, PRECISION: 0.0277059, PRECISION_RECALL_MIN_DEN: 0.1002783, RECALL: 0.0976597, MAP: 0.0454743, MRR: 0.0981341, NDCG: 0.0698622, F1: 0.0431632, HIT_RATE: 0.2770593, ARHR: 0.1100198, NOVELTY: 0.0047721, AVERAGE_POPULARITY: 0.1135005, DIVERSITY_MEAN_INTER_LIST: 0.9804793, DIVERSITY_HERFINDAHL: 0.9980294, COVERAGE_ITEM: 0.4180635, COVERAGE_ITEM_CORRECT: 0.0292666, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1445074, DIVERSITY_GINI: 0.1261244, SHANNON_ENTROPY: 11.1589348, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.016697522704458127, 'l1_ratio': 0.3696380999702476} - results: ROC_AUC: 0.1406021, PRECISION: 0.0285711, PRECISION_RECALL_MIN_DEN: 0.1033389, RECALL: 0.1005968, MAP: 0.0467587, MRR: 0.1010791, NDCG: 0.0718871, F1: 0.0445006, HIT_RATE: 0.2857108, ARHR: 0.1135282, NOVELTY: 0.0048208, AVERAGE_POPULARITY: 0.1049904, DIVERSITY_MEAN_INTER_LIST: 0.9834105, DIVERSITY_HERFINDAHL: 0.9983224, COVERAGE_ITEM: 0.4348643, COVERAGE_ITEM_CORRECT: 0.0309990, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1484585, DIVERSITY_GINI: 0.1383976, SHANNON_ENTROPY: 11.3667012, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3925777175207156, 'l1_ratio': 0.555439210960623} - results: ROC_AUC: 0.1395275, PRECISION: 0.0283286, PRECISION_RECALL_MIN_DEN: 0.1023676, RECALL: 0.0996303, MAP: 0.0463260, MRR: 0.1004015, NDCG: 0.0712471, F1: 0.0441130, HIT_RATE: 0.2832857, ARHR: 0.1127528, NOVELTY: 0.0047975, AVERAGE_POPULARITY: 0.1090862, DIVERSITY_MEAN_INTER_LIST: 0.9820005, DIVERSITY_HERFINDAHL: 0.9981814, COVERAGE_ITEM: 0.4275496, COVERAGE_ITEM_CORRECT: 0.0304216, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1472254, DIVERSITY_GINI: 0.1326917, SHANNON_ENTROPY: 11.2657260, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.22426368346130737, 'l1_ratio': 0.5406015302304421} - results: ROC_AUC: 0.1403166, PRECISION: 0.0284575, PRECISION_RECALL_MIN_DEN: 0.1027336, RECALL: 0.0999882, MAP: 0.0465782, MRR: 0.1007657, NDCG: 0.0715767, F1: 0.0443037, HIT_RATE: 0.2845749, ARHR: 0.1131784, NOVELTY: 0.0048085, AVERAGE_POPULARITY: 0.1071553, DIVERSITY_MEAN_INTER_LIST: 0.9826731, DIVERSITY_HERFINDAHL: 0.9982487, COVERAGE_ITEM: 0.4309220, COVERAGE_ITEM_CORRECT: 0.0308219, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1478797, DIVERSITY_GINI: 0.1353427, SHANNON_ENTROPY: 11.3131802, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.5926879535969609, 'l1_ratio': 0.1482776610386061} - results: ROC_AUC: 0.1374736, PRECISION: 0.0278993, PRECISION_RECALL_MIN_DEN: 0.1006258, RECALL: 0.0979752, MAP: 0.0455417, MRR: 0.0985787, NDCG: 0.0700871, F1: 0.0434290, HIT_RATE: 0.2789931, ARHR: 0.1105945, NOVELTY: 0.0047838, AVERAGE_POPULARITY: 0.1115123, DIVERSITY_MEAN_INTER_LIST: 0.9811501, DIVERSITY_HERFINDAHL: 0.9980964, COVERAGE_ITEM: 0.4228989, COVERAGE_ITEM_CORRECT: 0.0296285, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1453630, DIVERSITY_GINI: 0.1293689, SHANNON_ENTROPY: 11.2099718, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8559817892472922, 'l1_ratio': 0.10292274250582992} - results: ROC_AUC: 0.1337018, PRECISION: 0.0270805, PRECISION_RECALL_MIN_DEN: 0.0979484, RECALL: 0.0953628, MAP: 0.0446527, MRR: 0.0963654, NDCG: 0.0684370, F1: 0.0421795, HIT_RATE: 0.2708053, ARHR: 0.1078942, NOVELTY: 0.0047625, AVERAGE_POPULARITY: 0.1152971, DIVERSITY_MEAN_INTER_LIST: 0.9798793, DIVERSITY_HERFINDAHL: 0.9979694, COVERAGE_ITEM: 0.4134668, COVERAGE_ITEM_CORRECT: 0.0282887, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1415880, DIVERSITY_GINI: 0.1234592, SHANNON_ENTROPY: 11.1218257, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.20362841860244024, 'l1_ratio': 0.8736744590530063} - results: ROC_AUC: 0.1404867, PRECISION: 0.0285522, PRECISION_RECALL_MIN_DEN: 0.1031732, RECALL: 0.1004200, MAP: 0.0467869, MRR: 0.1009956, NDCG: 0.0718497, F1: 0.0444605, HIT_RATE: 0.2855224, ARHR: 0.1134327, NOVELTY: 0.0048094, AVERAGE_POPULARITY: 0.1068633, DIVERSITY_MEAN_INTER_LIST: 0.9827900, DIVERSITY_HERFINDAHL: 0.9982604, COVERAGE_ITEM: 0.4308681, COVERAGE_ITEM_CORRECT: 0.0308604, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1484334, DIVERSITY_GINI: 0.1353781, SHANNON_ENTROPY: 11.3172742, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.26975908360144113, 'l1_ratio': 0.6184924235153617} - results: ROC_AUC: 0.1403208, PRECISION: 0.0284348, PRECISION_RECALL_MIN_DEN: 0.1026661, RECALL: 0.0999264, MAP: 0.0466063, MRR: 0.1009089, NDCG: 0.0715964, F1: 0.0442702, HIT_RATE: 0.2843477, ARHR: 0.1132927, NOVELTY: 0.0048057, AVERAGE_POPULARITY: 0.1076264, DIVERSITY_MEAN_INTER_LIST: 0.9825150, DIVERSITY_HERFINDAHL: 0.9982329, COVERAGE_ITEM: 0.4300212, COVERAGE_ITEM_CORRECT: 0.0307372, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1478042, DIVERSITY_GINI: 0.1346074, SHANNON_ENTROPY: 11.3007180, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.5505175552985999, 'l1_ratio': 0.08763514466828283} - results: ROC_AUC: 0.1377463, PRECISION: 0.0280132, PRECISION_RECALL_MIN_DEN: 0.1010480, RECALL: 0.0984081, MAP: 0.0456678, MRR: 0.0987907, NDCG: 0.0703241, F1: 0.0436099, HIT_RATE: 0.2801317, ARHR: 0.1108756, NOVELTY: 0.0047867, AVERAGE_POPULARITY: 0.1110362, DIVERSITY_MEAN_INTER_LIST: 0.9813118, DIVERSITY_HERFINDAHL: 0.9981126, COVERAGE_ITEM: 0.4243850, COVERAGE_ITEM_CORRECT: 0.0298441, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1459167, DIVERSITY_GINI: 0.1302605, SHANNON_ENTROPY: 11.2228600, 
