SearchBayesianSkopt-CV: Resuming 'CFW_D_Similarity_Linalg' Failed, no such file exists.

SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 706, 'add_zeros_quota': 0.6607133892759056, 'normalize_similarity': True} - results: ROC_AUC: 0.0848429, PRECISION: 0.0167725, PRECISION_RECALL_MIN_DEN: 0.0686825, RECALL: 0.0674076, MAP: 0.0302290, MRR: 0.0592236, NDCG: 0.0459728, F1: 0.0268606, HIT_RATE: 0.1677248, ARHR: 0.0648552, NOVELTY: 0.0050768, AVERAGE_POPULARITY: 0.0165284, DIVERSITY_MEAN_INTER_LIST: 0.9942725, DIVERSITY_HERFINDAHL: 0.9994084, COVERAGE_ITEM: 0.3988219, COVERAGE_ITEM_CORRECT: 0.0300597, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0921354, DIVERSITY_GINI: 0.1516069, SHANNON_ENTROPY: 12.0782255, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 974, 'add_zeros_quota': 0.20301226769382003, 'normalize_similarity': True} - results: ROC_AUC: 0.0785053, PRECISION: 0.0159536, PRECISION_RECALL_MIN_DEN: 0.0674266, RECALL: 0.0663185, MAP: 0.0278191, MRR: 0.0531089, NDCG: 0.0432271, F1: 0.0257185, HIT_RATE: 0.1595359, ARHR: 0.0579256, NOVELTY: 0.0050494, AVERAGE_POPULARITY: 0.0158599, DIVERSITY_MEAN_INTER_LIST: 0.9933781, DIVERSITY_HERFINDAHL: 0.9993190, COVERAGE_ITEM: 0.3956805, COVERAGE_ITEM_CORRECT: 0.0287353, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0889392, DIVERSITY_GINI: 0.1468829, SHANNON_ENTROPY: 11.9881169, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 350, 'add_zeros_quota': 0.5889748944075167, 'normalize_similarity': False} - results: ROC_AUC: 0.0947288, PRECISION: 0.0186517, PRECISION_RECALL_MIN_DEN: 0.0735354, RECALL: 0.0719634, MAP: 0.0333363, MRR: 0.0671982, NDCG: 0.0503623, F1: 0.0296225, HIT_RATE: 0.1865167, ARHR: 0.0740192, NOVELTY: 0.0050918, AVERAGE_POPULARITY: 0.0165520, DIVERSITY_MEAN_INTER_LIST: 0.9948275, DIVERSITY_HERFINDAHL: 0.9994639, COVERAGE_ITEM: 0.3945794, COVERAGE_ITEM_CORRECT: 0.0330780, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1010696, DIVERSITY_GINI: 0.1590683, SHANNON_ENTROPY: 12.1907574, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 798, 'add_zeros_quota': 0.3653725722573465, 'normalize_similarity': False} - results: ROC_AUC: 0.0906796, PRECISION: 0.0179243, PRECISION_RECALL_MIN_DEN: 0.0724455, RECALL: 0.0710859, MAP: 0.0319798, MRR: 0.0630906, NDCG: 0.0486957, F1: 0.0286278, HIT_RATE: 0.1792430, ARHR: 0.0694224, NOVELTY: 0.0050994, AVERAGE_POPULARITY: 0.0160879, DIVERSITY_MEAN_INTER_LIST: 0.9941837, DIVERSITY_HERFINDAHL: 0.9993995, COVERAGE_ITEM: 0.3843003, COVERAGE_ITEM_CORRECT: 0.0319307, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0978986, DIVERSITY_GINI: 0.1507244, SHANNON_ENTROPY: 12.0906699, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 297, 'add_zeros_quota': 0.05258657715820471, 'normalize_similarity': False} - results: ROC_AUC: 0.0818445, PRECISION: 0.0165069, PRECISION_RECALL_MIN_DEN: 0.0681979, RECALL: 0.0669648, MAP: 0.0274026, MRR: 0.0534594, NDCG: 0.0432953, F1: 0.0264845, HIT_RATE: 0.1650686, ARHR: 0.0581832, NOVELTY: 0.0050279, AVERAGE_POPULARITY: 0.0140234, DIVERSITY_MEAN_INTER_LIST: 0.9956668, DIVERSITY_HERFINDAHL: 0.9995478, COVERAGE_ITEM: 0.4168470, COVERAGE_ITEM_CORRECT: 0.0298826, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0924626, DIVERSITY_GINI: 0.1777687, SHANNON_ENTROPY: 12.3826245, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 916, 'add_zeros_quota': 0.05073875894424852, 'normalize_similarity': True} - results: ROC_AUC: 0.0688376, PRECISION: 0.0141680, PRECISION_RECALL_MIN_DEN: 0.0607998, RECALL: 0.0598028, MAP: 0.0239797, MRR: 0.0449684, NDCG: 0.0378202, F1: 0.0229078, HIT_RATE: 0.1416795, ARHR: 0.0488179, NOVELTY: 0.0050045, AVERAGE_POPULARITY: 0.0147362, DIVERSITY_MEAN_INTER_LIST: 0.9929017, DIVERSITY_HERFINDAHL: 0.9992714, COVERAGE_ITEM: 0.3973205, COVERAGE_ITEM_CORRECT: 0.0258325, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0802567, DIVERSITY_GINI: 0.1467511, SHANNON_ENTROPY: 11.9640474, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 140, 'add_zeros_quota': 0.7800765107107508, 'normalize_similarity': False} - results: ROC_AUC: 0.0979543, PRECISION: 0.0192061, PRECISION_RECALL_MIN_DEN: 0.0746074, RECALL: 0.0728648, MAP: 0.0340909, MRR: 0.0698962, NDCG: 0.0514017, F1: 0.0303974, HIT_RATE: 0.1920611, ARHR: 0.0773577, NOVELTY: 0.0050856, AVERAGE_POPULARITY: 0.0167434, DIVERSITY_MEAN_INTER_LIST: 0.9952938, DIVERSITY_HERFINDAHL: 0.9995105, COVERAGE_ITEM: 0.4127584, COVERAGE_ITEM_CORRECT: 0.0340789, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1029319, DIVERSITY_GINI: 0.1721527, SHANNON_ENTROPY: 12.3174037, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 974, 'add_zeros_quota': 0.0015226372895608136, 'normalize_similarity': False} - results: ROC_AUC: 0.0533092, PRECISION: 0.0111965, PRECISION_RECALL_MIN_DEN: 0.0486589, RECALL: 0.0478698, MAP: 0.0169401, MRR: 0.0327508, NDCG: 0.0283669, F1: 0.0181466, HIT_RATE: 0.1119654, ARHR: 0.0350802, NOVELTY: 0.0049232, AVERAGE_POPULARITY: 0.0116146, DIVERSITY_MEAN_INTER_LIST: 0.9938643, DIVERSITY_HERFINDAHL: 0.9993676, COVERAGE_ITEM: 0.3813590, COVERAGE_ITEM_CORRECT: 0.0205890, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0656852, DIVERSITY_GINI: 0.1506136, SHANNON_ENTROPY: 12.1055960, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 310, 'add_zeros_quota': 0.9779648106930003, 'normalize_similarity': False} - results: ROC_AUC: 0.0958610, PRECISION: 0.0187395, PRECISION_RECALL_MIN_DEN: 0.0729757, RECALL: 0.0713181, MAP: 0.0336991, MRR: 0.0688637, NDCG: 0.0506168, F1: 0.0296779, HIT_RATE: 0.1873955, ARHR: 0.0761076, NOVELTY: 0.0050983, AVERAGE_POPULARITY: 0.0169241, DIVERSITY_MEAN_INTER_LIST: 0.9948713, DIVERSITY_HERFINDAHL: 0.9994683, COVERAGE_ITEM: 0.3950106, COVERAGE_ITEM_CORRECT: 0.0331627, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1008934, DIVERSITY_GINI: 0.1590441, SHANNON_ENTROPY: 12.1911941, 
