
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 40, 'shrink': 498, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.4856707434737678, 'asymmetric_alpha': 1.5329654602917668, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1329217, PRECISION: 0.0266706, PRECISION_RECALL_MIN_DEN: 0.0988732, RECALL: 0.0964453, MAP: 0.0451051, MRR: 0.0958795, NDCG: 0.0689447, F1: 0.0417803, HIT_RATE: 0.2667063, ARHR: 0.1068837, NOVELTY: 0.0053782, AVERAGE_POPULARITY: 0.1200789, DIVERSITY_MEAN_INTER_LIST: 0.9872293, DIVERSITY_HERFINDAHL: 0.9987042, COVERAGE_ITEM: 0.4787218, COVERAGE_ITEM_CORRECT: 0.0319846, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1397760, DIVERSITY_GINI: 0.1671757, SHANNON_ENTROPY: 11.7349445, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 679, 'shrink': 798, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.5802017047110607, 'asymmetric_alpha': 1.0534905915113777, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1299068, PRECISION: 0.0275825, PRECISION_RECALL_MIN_DEN: 0.1049885, RECALL: 0.1025377, MAP: 0.0437688, MRR: 0.0907380, NDCG: 0.0688497, F1: 0.0434690, HIT_RATE: 0.2758249, ARHR: 0.1015428, NOVELTY: 0.0055785, AVERAGE_POPULARITY: 0.0773963, DIVERSITY_MEAN_INTER_LIST: 0.9956712, DIVERSITY_HERFINDAHL: 0.9995483, COVERAGE_ITEM: 0.5622637, COVERAGE_ITEM_CORRECT: 0.0442579, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1446584, DIVERSITY_GINI: 0.2424126, SHANNON_ENTROPY: 12.6690047, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 992, 'shrink': 721, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.6934748900978676, 'asymmetric_alpha': 0.2972561231854876, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1362168, PRECISION: 0.0270194, PRECISION_RECALL_MIN_DEN: 0.1027510, RECALL: 0.1004093, MAP: 0.0463141, MRR: 0.0974018, NDCG: 0.0708741, F1: 0.0425775, HIT_RATE: 0.2701941, ARHR: 0.1083731, NOVELTY: 0.0052667, AVERAGE_POPULARITY: 0.1502871, DIVERSITY_MEAN_INTER_LIST: 0.9748513, DIVERSITY_HERFINDAHL: 0.9974667, COVERAGE_ITEM: 0.3796035, COVERAGE_ITEM_CORRECT: 0.0287738, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1431232, DIVERSITY_GINI: 0.1069426, SHANNON_ENTROPY: 10.8728135, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 720, 'shrink': 35, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.7059166000993404, 'asymmetric_alpha': 0.49360573016367815, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1392604, PRECISION: 0.0278879, PRECISION_RECALL_MIN_DEN: 0.1043699, RECALL: 0.1019112, MAP: 0.0470791, MRR: 0.0994918, NDCG: 0.0721998, F1: 0.0437890, HIT_RATE: 0.2788786, ARHR: 0.1109415, NOVELTY: 0.0053989, AVERAGE_POPULARITY: 0.1144944, DIVERSITY_MEAN_INTER_LIST: 0.9896054, DIVERSITY_HERFINDAHL: 0.9989418, COVERAGE_ITEM: 0.4485698, COVERAGE_ITEM_CORRECT: 0.0342406, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1466969, DIVERSITY_GINI: 0.1524719, SHANNON_ENTROPY: 11.7448223, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 523, 'shrink': 923, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.38985344670206246, 'asymmetric_alpha': 1.0659354395193028, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1321997, PRECISION: 0.0280486, PRECISION_RECALL_MIN_DEN: 0.1068802, RECALL: 0.1043834, MAP: 0.0445318, MRR: 0.0924250, NDCG: 0.0700479, F1: 0.0442144, HIT_RATE: 0.2804864, ARHR: 0.1035697, NOVELTY: 0.0055619, AVERAGE_POPULARITY: 0.0798792, DIVERSITY_MEAN_INTER_LIST: 0.9954629, DIVERSITY_HERFINDAHL: 0.9995274, COVERAGE_ITEM: 0.5575053, COVERAGE_ITEM_CORRECT: 0.0442425, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1468479, DIVERSITY_GINI: 0.2375726, SHANNON_ENTROPY: 12.6255952, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 865, 'shrink': 28, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.783475450721703, 'asymmetric_alpha': 0.9730339040567288, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0808998, PRECISION: 0.0172905, PRECISION_RECALL_MIN_DEN: 0.0674338, RECALL: 0.0661917, MAP: 0.0265695, MRR: 0.0539790, NDCG: 0.0428536, F1: 0.0274167, HIT_RATE: 0.1729050, ARHR: 0.0597674, NOVELTY: 0.0059570, AVERAGE_POPULARITY: 0.0472277, DIVERSITY_MEAN_INTER_LIST: 0.9961556, DIVERSITY_HERFINDAHL: 0.9995967, COVERAGE_ITEM: 0.5651896, COVERAGE_ITEM_CORRECT: 0.0318152, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0941739, DIVERSITY_GINI: 0.2523018, SHANNON_ENTROPY: 12.7809765, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 582, 'shrink': 383, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.567167309567656, 'asymmetric_alpha': 0.025157458159702058, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1147846, PRECISION: 0.0244200, PRECISION_RECALL_MIN_DEN: 0.0889979, RECALL: 0.0866321, MAP: 0.0381254, MRR: 0.0804377, NDCG: 0.0595888, F1: 0.0380988, HIT_RATE: 0.2441996, ARHR: 0.0906377, NOVELTY: 0.0057273, AVERAGE_POPULARITY: 0.0588872, DIVERSITY_MEAN_INTER_LIST: 0.9983695, DIVERSITY_HERFINDAHL: 0.9998180, COVERAGE_ITEM: 0.6858210, COVERAGE_ITEM_CORRECT: 0.0444966, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1268655, DIVERSITY_GINI: 0.3839219, SHANNON_ENTROPY: 13.5358163, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 891, 'shrink': 455, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.272781041039661, 'asymmetric_alpha': 1.5924370719887255, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1361386, PRECISION: 0.0269924, PRECISION_RECALL_MIN_DEN: 0.1021296, RECALL: 0.0997710, MAP: 0.0460115, MRR: 0.0973479, NDCG: 0.0705556, F1: 0.0424855, HIT_RATE: 0.2699245, ARHR: 0.1081691, NOVELTY: 0.0053326, AVERAGE_POPULARITY: 0.1272033, DIVERSITY_MEAN_INTER_LIST: 0.9836475, DIVERSITY_HERFINDAHL: 0.9983461, COVERAGE_ITEM: 0.4101636, COVERAGE_ITEM_CORRECT: 0.0304986, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1429722, DIVERSITY_GINI: 0.1253944, SHANNON_ENTROPY: 11.2741278, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 557, 'shrink': 544, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.7976760837802578, 'asymmetric_alpha': 1.228479045525308, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1064026, PRECISION: 0.0227064, PRECISION_RECALL_MIN_DEN: 0.0840263, RECALL: 0.0819546, MAP: 0.0348881, MRR: 0.0737721, NDCG: 0.0552589, F1: 0.0355588, HIT_RATE: 0.2270643, ARHR: 0.0826938, NOVELTY: 0.0057751, AVERAGE_POPULARITY: 0.0566082, DIVERSITY_MEAN_INTER_LIST: 0.9983197, DIVERSITY_HERFINDAHL: 0.9998131, COVERAGE_ITEM: 0.6692743, COVERAGE_ITEM_CORRECT: 0.0416246, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1191645, DIVERSITY_GINI: 0.3666230, SHANNON_ENTROPY: 13.4753943, 
