
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 528, 'shrink': 456, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.9659831462389331, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1114622, PRECISION: 0.0236657, PRECISION_RECALL_MIN_DEN: 0.0867235, RECALL: 0.0844662, MAP: 0.0368171, MRR: 0.0777202, NDCG: 0.0577592, F1: 0.0369711, HIT_RATE: 0.2366573, ARHR: 0.0874488, NOVELTY: 0.0057524, AVERAGE_POPULARITY: 0.0576367, DIVERSITY_MEAN_INTER_LIST: 0.9983793, DIVERSITY_HERFINDAHL: 0.9998190, COVERAGE_ITEM: 0.6838191, COVERAGE_ITEM_CORRECT: 0.0433417, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1231911, DIVERSITY_GINI: 0.3818992, SHANNON_ENTROPY: 13.5323077, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 472, 'shrink': 330, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.15356998781186063, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1372245, PRECISION: 0.0270307, PRECISION_RECALL_MIN_DEN: 0.1021683, RECALL: 0.0997870, MAP: 0.0465970, MRR: 0.0980954, NDCG: 0.0710071, F1: 0.0425349, HIT_RATE: 0.2703065, ARHR: 0.1091330, NOVELTY: 0.0052666, AVERAGE_POPULARITY: 0.1505867, DIVERSITY_MEAN_INTER_LIST: 0.9747918, DIVERSITY_HERFINDAHL: 0.9974607, COVERAGE_ITEM: 0.3832223, COVERAGE_ITEM_CORRECT: 0.0289971, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1430225, DIVERSITY_GINI: 0.1093655, SHANNON_ENTROPY: 10.9064929, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 344, 'shrink': 69, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.49404712089650915, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1161981, PRECISION: 0.0244305, PRECISION_RECALL_MIN_DEN: 0.0891446, RECALL: 0.0867993, MAP: 0.0384137, MRR: 0.0813257, NDCG: 0.0599362, F1: 0.0381263, HIT_RATE: 0.2443050, ARHR: 0.0915006, NOVELTY: 0.0057321, AVERAGE_POPULARITY: 0.0584156, DIVERSITY_MEAN_INTER_LIST: 0.9983924, DIVERSITY_HERFINDAHL: 0.9998203, COVERAGE_ITEM: 0.6811242, COVERAGE_ITEM_CORRECT: 0.0444504, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1272430, DIVERSITY_GINI: 0.3825383, SHANNON_ENTROPY: 13.5368575, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 86, 'shrink': 94, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.02300347658513158, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1369783, PRECISION: 0.0274435, PRECISION_RECALL_MIN_DEN: 0.1021295, RECALL: 0.0996114, MAP: 0.0465294, MRR: 0.0986380, NDCG: 0.0710376, F1: 0.0430289, HIT_RATE: 0.2744345, ARHR: 0.1101537, NOVELTY: 0.0053144, AVERAGE_POPULARITY: 0.1374365, DIVERSITY_MEAN_INTER_LIST: 0.9815727, DIVERSITY_HERFINDAHL: 0.9981387, COVERAGE_ITEM: 0.4323080, COVERAGE_ITEM_CORRECT: 0.0309220, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1439034, DIVERSITY_GINI: 0.1375211, SHANNON_ENTROPY: 11.3308096, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 188, 'shrink': 279, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.30379341740335347, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1385043, PRECISION: 0.0277051, PRECISION_RECALL_MIN_DEN: 0.1032798, RECALL: 0.1007603, MAP: 0.0469720, MRR: 0.0994017, NDCG: 0.0717247, F1: 0.0434578, HIT_RATE: 0.2770514, ARHR: 0.1110551, NOVELTY: 0.0053236, AVERAGE_POPULARITY: 0.1348557, DIVERSITY_MEAN_INTER_LIST: 0.9825038, DIVERSITY_HERFINDAHL: 0.9982318, COVERAGE_ITEM: 0.4265486, COVERAGE_ITEM_CORRECT: 0.0313609, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1454889, DIVERSITY_GINI: 0.1353710, SHANNON_ENTROPY: 11.3446288, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 614, 'shrink': 302, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.6046736456911873, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1381862, PRECISION: 0.0273791, PRECISION_RECALL_MIN_DEN: 0.1034945, RECALL: 0.1010930, MAP: 0.0467070, MRR: 0.0986208, NDCG: 0.0714966, F1: 0.0430864, HIT_RATE: 0.2737911, ARHR: 0.1098570, NOVELTY: 0.0052961, AVERAGE_POPULARITY: 0.1418951, DIVERSITY_MEAN_INTER_LIST: 0.9791065, DIVERSITY_HERFINDAHL: 0.9978921, COVERAGE_ITEM: 0.3992993, COVERAGE_ITEM_CORRECT: 0.0300828, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1447842, DIVERSITY_GINI: 0.1183287, SHANNON_ENTROPY: 11.0981038, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 596, 'shrink': 863, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.9030247698164281, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1364915, PRECISION: 0.0269665, PRECISION_RECALL_MIN_DEN: 0.1025043, RECALL: 0.1001551, MAP: 0.0464473, MRR: 0.0975608, NDCG: 0.0709031, F1: 0.0424894, HIT_RATE: 0.2696650, ARHR: 0.1085165, NOVELTY: 0.0052605, AVERAGE_POPULARITY: 0.1521875, DIVERSITY_MEAN_INTER_LIST: 0.9738818, DIVERSITY_HERFINDAHL: 0.9973697, COVERAGE_ITEM: 0.3786718, COVERAGE_ITEM_CORRECT: 0.0288354, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1429219, DIVERSITY_GINI: 0.1064219, SHANNON_ENTROPY: 10.8522020, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 470, 'shrink': 786, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.3001659040861901, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1162121, PRECISION: 0.0246511, PRECISION_RECALL_MIN_DEN: 0.0897964, RECALL: 0.0874166, MAP: 0.0385218, MRR: 0.0812876, NDCG: 0.0601847, F1: 0.0384548, HIT_RATE: 0.2465106, ARHR: 0.0916535, NOVELTY: 0.0057285, AVERAGE_POPULARITY: 0.0587047, DIVERSITY_MEAN_INTER_LIST: 0.9983705, DIVERSITY_HERFINDAHL: 0.9998181, COVERAGE_ITEM: 0.6790529, COVERAGE_ITEM_CORRECT: 0.0447353, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1281490, DIVERSITY_GINI: 0.3794639, SHANNON_ENTROPY: 13.5234155, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'topK': 510, 'shrink': 299, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.5403416727828063, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1512747, PRECISION: 0.0316527, PRECISION_RECALL_MIN_DEN: 0.1188798, RECALL: 0.1160958, MAP: 0.0513284, MRR: 0.1065048, NDCG: 0.0797689, F1: 0.0497419, HIT_RATE: 0.3165270, ARHR: 0.1200271, NOVELTY: 0.0055534, AVERAGE_POPULARITY: 0.0861769, DIVERSITY_MEAN_INTER_LIST: 0.9960319, DIVERSITY_HERFINDAHL: 0.9995843, COVERAGE_ITEM: 0.5865640, COVERAGE_ITEM_CORRECT: 0.0470375, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1634327, DIVERSITY_GINI: 0.2644679, SHANNON_ENTROPY: 12.8042258, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'topK': 885, 'shrink': 593, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.25134338415527974, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1569965, PRECISION: 0.0328055, PRECISION_RECALL_MIN_DEN: 0.1237860, RECALL: 0.1209637, MAP: 0.0537904, MRR: 0.1118272, NDCG: 0.0833821, F1: 0.0516111, HIT_RATE: 0.3280547, ARHR: 0.1259709, NOVELTY: 0.0054800, AVERAGE_POPULARITY: 0.0978297, DIVERSITY_MEAN_INTER_LIST: 0.9943075, DIVERSITY_HERFINDAHL: 0.9994119, COVERAGE_ITEM: 0.5440770, COVERAGE_ITEM_CORRECT: 0.0457209, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1694224, DIVERSITY_GINI: 0.2235686, SHANNON_ENTROPY: 12.4575121, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 600, 'shrink': 501, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.19023809065915437, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1377546, PRECISION: 0.0273149, PRECISION_RECALL_MIN_DEN: 0.1033812, RECALL: 0.1009966, MAP: 0.0465674, MRR: 0.0982566, NDCG: 0.0713307, F1: 0.0429981, HIT_RATE: 0.2731486, ARHR: 0.1094593, NOVELTY: 0.0052869, AVERAGE_POPULARITY: 0.1448465, DIVERSITY_MEAN_INTER_LIST: 0.9777513, DIVERSITY_HERFINDAHL: 0.9977566, COVERAGE_ITEM: 0.3941328, COVERAGE_ITEM_CORRECT: 0.0297209, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1444067, DIVERSITY_GINI: 0.1154177, SHANNON_ENTROPY: 11.0386192, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 148, 'shrink': 292, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.27563602629578327, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1133024, PRECISION: 0.0237935, PRECISION_RECALL_MIN_DEN: 0.0871151, RECALL: 0.0847328, MAP: 0.0378601, MRR: 0.0799810, NDCG: 0.0587093, F1: 0.0371505, HIT_RATE: 0.2379345, ARHR: 0.0901119, NOVELTY: 0.0057447, AVERAGE_POPULARITY: 0.0574200, DIVERSITY_MEAN_INTER_LIST: 0.9984556, DIVERSITY_HERFINDAHL: 0.9998266, COVERAGE_ITEM: 0.6898402, COVERAGE_ITEM_CORRECT: 0.0436805, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1235686, DIVERSITY_GINI: 0.3943899, SHANNON_ENTROPY: 13.5839310, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 731, 'shrink': 837, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.1348102486076678, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1361631, PRECISION: 0.0269208, PRECISION_RECALL_MIN_DEN: 0.1022551, RECALL: 0.0998766, MAP: 0.0463019, MRR: 0.0972814, NDCG: 0.0706898, F1: 0.0424078, HIT_RATE: 0.2692082, ARHR: 0.1081450, NOVELTY: 0.0052556, AVERAGE_POPULARITY: 0.1535378, DIVERSITY_MEAN_INTER_LIST: 0.9730745, DIVERSITY_HERFINDAHL: 0.9972890, COVERAGE_ITEM: 0.3741675, COVERAGE_ITEM_CORRECT: 0.0286044, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1426702, DIVERSITY_GINI: 0.1039928, SHANNON_ENTROPY: 10.8066249, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 883, 'shrink': 953, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.9603533554418071, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1358960, PRECISION: 0.0267919, PRECISION_RECALL_MIN_DEN: 0.1019278, RECALL: 0.0995891, MAP: 0.0461684, MRR: 0.0968714, NDCG: 0.0704894, F1: 0.0422215, HIT_RATE: 0.2679194, ARHR: 0.1077076, NOVELTY: 0.0052512, AVERAGE_POPULARITY: 0.1548254, DIVERSITY_MEAN_INTER_LIST: 0.9722795, DIVERSITY_HERFINDAHL: 0.9972095, COVERAGE_ITEM: 0.3706718, COVERAGE_ITEM_CORRECT: 0.0283118, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1422172, DIVERSITY_GINI: 0.1019964, SHANNON_ENTROPY: 10.7640040, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 499, 'shrink': 182, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.9011266178244178, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1371057, PRECISION: 0.0270080, PRECISION_RECALL_MIN_DEN: 0.1023016, RECALL: 0.0999419, MAP: 0.0465979, MRR: 0.0981973, NDCG: 0.0710503, F1: 0.0425213, HIT_RATE: 0.2700802, ARHR: 0.1092124, NOVELTY: 0.0052650, AVERAGE_POPULARITY: 0.1510273, DIVERSITY_MEAN_INTER_LIST: 0.9745505, DIVERSITY_HERFINDAHL: 0.9974366, COVERAGE_ITEM: 0.3822445, COVERAGE_ITEM_CORRECT: 0.0289586, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1430729, DIVERSITY_GINI: 0.1087219, SHANNON_ENTROPY: 10.8937996, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 272, 'shrink': 104, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.23236070102441403, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1152842, PRECISION: 0.0242222, PRECISION_RECALL_MIN_DEN: 0.0884150, RECALL: 0.0860281, MAP: 0.0382223, MRR: 0.0810788, NDCG: 0.0595028, F1: 0.0377976, HIT_RATE: 0.2422219, ARHR: 0.0912441, NOVELTY: 0.0057353, AVERAGE_POPULARITY: 0.0581567, DIVERSITY_MEAN_INTER_LIST: 0.9984082, DIVERSITY_HERFINDAHL: 0.9998219, COVERAGE_ITEM: 0.6832878, COVERAGE_ITEM_CORRECT: 0.0441347, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1258840, DIVERSITY_GINI: 0.3852443, SHANNON_ENTROPY: 13.5478326, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 128, 'shrink': 971, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.256964514174532, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1525694, PRECISION: 0.0309691, PRECISION_RECALL_MIN_DEN: 0.1186792, RECALL: 0.1160104, MAP: 0.0533256, MRR: 0.1089668, NDCG: 0.0811993, F1: 0.0488845, HIT_RATE: 0.3096909, ARHR: 0.1224313, NOVELTY: 0.0053002, AVERAGE_POPULARITY: 0.1416303, DIVERSITY_MEAN_INTER_LIST: 0.9805090, DIVERSITY_HERFINDAHL: 0.9980323, COVERAGE_ITEM: 0.4389913, COVERAGE_ITEM_CORRECT: 0.0360346, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1610922, DIVERSITY_GINI: 0.1402794, SHANNON_ENTROPY: 11.3111509, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 490, 'shrink': 694, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.9573983466377018, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1378711, PRECISION: 0.0273107, PRECISION_RECALL_MIN_DEN: 0.1032988, RECALL: 0.1008886, MAP: 0.0467623, MRR: 0.0984941, NDCG: 0.0714458, F1: 0.0429823, HIT_RATE: 0.2731069, ARHR: 0.1097130, NOVELTY: 0.0052874, AVERAGE_POPULARITY: 0.1448510, DIVERSITY_MEAN_INTER_LIST: 0.9777924, DIVERSITY_HERFINDAHL: 0.9977607, COVERAGE_ITEM: 0.3958345, COVERAGE_ITEM_CORRECT: 0.0297286, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1443815, DIVERSITY_GINI: 0.1166539, SHANNON_ENTROPY: 11.0532446, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 518, 'shrink': 792, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.5120513548087765, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1369867, PRECISION: 0.0269928, PRECISION_RECALL_MIN_DEN: 0.1022206, RECALL: 0.0998581, MAP: 0.0464956, MRR: 0.0978709, NDCG: 0.0709301, F1: 0.0424946, HIT_RATE: 0.2699277, ARHR: 0.1088917, NOVELTY: 0.0052642, AVERAGE_POPULARITY: 0.1512631, DIVERSITY_MEAN_INTER_LIST: 0.9744146, DIVERSITY_HERFINDAHL: 0.9974230, COVERAGE_ITEM: 0.3814514, COVERAGE_ITEM_CORRECT: 0.0289278, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1428464, DIVERSITY_GINI: 0.1082185, SHANNON_ENTROPY: 10.8855802, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 849, 'shrink': 72, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.014993581210608013, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1520826, PRECISION: 0.0308743, PRECISION_RECALL_MIN_DEN: 0.1195209, RECALL: 0.1168876, MAP: 0.0533018, MRR: 0.1086433, NDCG: 0.0813110, F1: 0.0488439, HIT_RATE: 0.3087426, ARHR: 0.1218651, NOVELTY: 0.0052558, AVERAGE_POPULARITY: 0.1544269, DIVERSITY_MEAN_INTER_LIST: 0.9746316, DIVERSITY_HERFINDAHL: 0.9974447, COVERAGE_ITEM: 0.4050972, COVERAGE_ITEM_CORRECT: 0.0346949, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1615201, DIVERSITY_GINI: 0.1188195, SHANNON_ENTROPY: 10.9641975, 
