
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 349, 'alpha': 0.6192773718621528, 'normalize_similarity': False, 'icm_weight': 0.567463394601323} - results: ROC_AUC: 0.1602990, PRECISION: 0.0336725, PRECISION_RECALL_MIN_DEN: 0.1264793, RECALL: 0.1234911, MAP: 0.0548233, MRR: 0.1133248, NDCG: 0.0849924, F1: 0.0529122, HIT_RATE: 0.3367249, ARHR: 0.1284919, NOVELTY: 0.0053660, AVERAGE_POPULARITY: 0.1262367, DIVERSITY_MEAN_INTER_LIST: 0.9906479, DIVERSITY_HERFINDAHL: 0.9990460, COVERAGE_ITEM: 0.5158499, COVERAGE_ITEM_CORRECT: 0.0433725, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1722159, DIVERSITY_GINI: 0.2091814, SHANNON_ENTROPY: 12.2086862, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 676, 'alpha': 1.0311364767608422, 'normalize_similarity': False, 'icm_weight': 0.2188286872124769} - results: ROC_AUC: 0.1184568, PRECISION: 0.0250384, PRECISION_RECALL_MIN_DEN: 0.0929787, RECALL: 0.0905376, MAP: 0.0385516, MRR: 0.0819063, NDCG: 0.0610745, F1: 0.0392264, HIT_RATE: 0.2503836, ARHR: 0.0918907, NOVELTY: 0.0054611, AVERAGE_POPULARITY: 0.1082091, DIVERSITY_MEAN_INTER_LIST: 0.9950603, DIVERSITY_HERFINDAHL: 0.9994872, COVERAGE_ITEM: 0.5709644, COVERAGE_ITEM_CORRECT: 0.0333013, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1313200, DIVERSITY_GINI: 0.2762890, SHANNON_ENTROPY: 12.8318127, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 280, 'alpha': 0.15159762404506408, 'normalize_similarity': True, 'icm_weight': 0.053990405156141855} - results: ROC_AUC: 0.1561911, PRECISION: 0.0324230, PRECISION_RECALL_MIN_DEN: 0.1230182, RECALL: 0.1200377, MAP: 0.0533603, MRR: 0.1107694, NDCG: 0.0824869, F1: 0.0510534, HIT_RATE: 0.3242296, ARHR: 0.1248398, NOVELTY: 0.0053414, AVERAGE_POPULARITY: 0.1268394, DIVERSITY_MEAN_INTER_LIST: 0.9915359, DIVERSITY_HERFINDAHL: 0.9991348, COVERAGE_ITEM: 0.4642310, COVERAGE_ITEM_CORRECT: 0.0431800, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1675349, DIVERSITY_GINI: 0.1832913, SHANNON_ENTROPY: 12.1380826, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 242, 'alpha': 0.7268915194414792, 'normalize_similarity': True, 'icm_weight': 0.5327436183926629} - results: ROC_AUC: 0.1523757, PRECISION: 0.0321908, PRECISION_RECALL_MIN_DEN: 0.1194436, RECALL: 0.1164938, MAP: 0.0511931, MRR: 0.1076431, NDCG: 0.0799363, F1: 0.0504388, HIT_RATE: 0.3219083, ARHR: 0.1219044, NOVELTY: 0.0054055, AVERAGE_POPULARITY: 0.1174765, DIVERSITY_MEAN_INTER_LIST: 0.9927741, DIVERSITY_HERFINDAHL: 0.9992586, COVERAGE_ITEM: 0.5446545, COVERAGE_ITEM_CORRECT: 0.0426410, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1652951, DIVERSITY_GINI: 0.2390064, SHANNON_ENTROPY: 12.4891970, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 654, 'alpha': 0.720924367904462, 'normalize_similarity': True, 'icm_weight': 0.04401050917291772} - results: ROC_AUC: 0.1515459, PRECISION: 0.0323874, PRECISION_RECALL_MIN_DEN: 0.1201668, RECALL: 0.1171913, MAP: 0.0513673, MRR: 0.1074344, NDCG: 0.0802513, F1: 0.0507443, HIT_RATE: 0.3238737, ARHR: 0.1219778, NOVELTY: 0.0053833, AVERAGE_POPULARITY: 0.1249578, DIVERSITY_MEAN_INTER_LIST: 0.9914097, DIVERSITY_HERFINDAHL: 0.9991222, COVERAGE_ITEM: 0.5346526, COVERAGE_ITEM_CORRECT: 0.0415399, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1653202, DIVERSITY_GINI: 0.2271503, SHANNON_ENTROPY: 12.3512001, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 686, 'alpha': 1.1334267201473687, 'normalize_similarity': True, 'icm_weight': 0.0959645029648343} - results: ROC_AUC: 0.1148237, PRECISION: 0.0238031, PRECISION_RECALL_MIN_DEN: 0.0885432, RECALL: 0.0862346, MAP: 0.0366359, MRR: 0.0785175, NDCG: 0.0582098, F1: 0.0373052, HIT_RATE: 0.2380315, ARHR: 0.0876696, NOVELTY: 0.0054671, AVERAGE_POPULARITY: 0.1076735, DIVERSITY_MEAN_INTER_LIST: 0.9951834, DIVERSITY_HERFINDAHL: 0.9994995, COVERAGE_ITEM: 0.5643734, COVERAGE_ITEM_CORRECT: 0.0314610, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1268655, DIVERSITY_GINI: 0.2754371, SHANNON_ENTROPY: 12.8457750, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 540, 'alpha': 0.5477120004643979, 'normalize_similarity': True, 'icm_weight': 0.7815918372176983} - results: ROC_AUC: 0.1621415, PRECISION: 0.0341428, PRECISION_RECALL_MIN_DEN: 0.1295040, RECALL: 0.1264955, MAP: 0.0557595, MRR: 0.1146911, NDCG: 0.0865035, F1: 0.0537686, HIT_RATE: 0.3414282, ARHR: 0.1301278, NOVELTY: 0.0053527, AVERAGE_POPULARITY: 0.1298922, DIVERSITY_MEAN_INTER_LIST: 0.9903219, DIVERSITY_HERFINDAHL: 0.9990134, COVERAGE_ITEM: 0.5075188, COVERAGE_ITEM_CORRECT: 0.0437960, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1745564, DIVERSITY_GINI: 0.2024126, SHANNON_ENTROPY: 12.1558804, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 992, 'alpha': 1.8842855670637841, 'normalize_similarity': False, 'icm_weight': 0.9521240487908775} - results: ROC_AUC: 0.0548117, PRECISION: 0.0109236, PRECISION_RECALL_MIN_DEN: 0.0518181, RECALL: 0.0513872, MAP: 0.0185242, MRR: 0.0345531, NDCG: 0.0304934, F1: 0.0180146, HIT_RATE: 0.1092358, ARHR: 0.0362296, NOVELTY: 0.0055559, AVERAGE_POPULARITY: 0.0857379, DIVERSITY_MEAN_INTER_LIST: 0.9979442, DIVERSITY_HERFINDAHL: 0.9997755, COVERAGE_ITEM: 0.5960269, COVERAGE_ITEM_CORRECT: 0.0184639, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0661382, DIVERSITY_GINI: 0.3260952, SHANNON_ENTROPY: 13.2934356, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 602, 'alpha': 0.10469987333628186, 'normalize_similarity': False, 'icm_weight': 0.29336671593227565} - results: ROC_AUC: 0.1451030, PRECISION: 0.0297961, PRECISION_RECALL_MIN_DEN: 0.1139690, RECALL: 0.1113426, MAP: 0.0490879, MRR: 0.1017642, NDCG: 0.0761731, F1: 0.0470099, HIT_RATE: 0.2979610, ARHR: 0.1141693, NOVELTY: 0.0052977, AVERAGE_POPULARITY: 0.1388080, DIVERSITY_MEAN_INTER_LIST: 0.9886270, DIVERSITY_HERFINDAHL: 0.9988440, COVERAGE_ITEM: 0.4182175, COVERAGE_ITEM_CORRECT: 0.0377440, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1557317, DIVERSITY_GINI: 0.1487604, SHANNON_ENTROPY: 11.7607747, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'topK': 438, 'alpha': 0.48255385806724493, 'normalize_similarity': True, 'icm_weight': 0.7324473539792028} - results: ROC_AUC: 0.1640380, PRECISION: 0.0344991, PRECISION_RECALL_MIN_DEN: 0.1313536, RECALL: 0.1282941, MAP: 0.0565398, MRR: 0.1159613, NDCG: 0.0876258, F1: 0.0543723, HIT_RATE: 0.3449910, ARHR: 0.1315858, NOVELTY: 0.0053469, AVERAGE_POPULARITY: 0.1299668, DIVERSITY_MEAN_INTER_LIST: 0.9903233, DIVERSITY_HERFINDAHL: 0.9990136, COVERAGE_ITEM: 0.4978479, COVERAGE_ITEM_CORRECT: 0.0447815, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1760664, DIVERSITY_GINI: 0.1960708, SHANNON_ENTROPY: 12.1227265, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 215, 'alpha': 1.6789292668167337, 'normalize_similarity': False, 'icm_weight': 0.8345989122040671} - results: ROC_AUC: 0.0602330, PRECISION: 0.0120038, PRECISION_RECALL_MIN_DEN: 0.0553406, RECALL: 0.0548266, MAP: 0.0201427, MRR: 0.0380612, NDCG: 0.0330552, F1: 0.0196933, HIT_RATE: 0.1200376, ARHR: 0.0401487, NOVELTY: 0.0055563, AVERAGE_POPULARITY: 0.0842593, DIVERSITY_MEAN_INTER_LIST: 0.9979766, DIVERSITY_HERFINDAHL: 0.9997788, COVERAGE_ITEM: 0.5954418, COVERAGE_ITEM_CORRECT: 0.0200115, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0719265, DIVERSITY_GINI: 0.3251092, SHANNON_ENTROPY: 13.2913039, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 823, 'alpha': 0.8313923675699548, 'normalize_similarity': True, 'icm_weight': 0.23363942425580447} - results: ROC_AUC: 0.1421787, PRECISION: 0.0303635, PRECISION_RECALL_MIN_DEN: 0.1121155, RECALL: 0.1092457, MAP: 0.0473917, MRR: 0.1002061, NDCG: 0.0745089, F1: 0.0475162, HIT_RATE: 0.3036350, ARHR: 0.1134791, NOVELTY: 0.0054038, AVERAGE_POPULARITY: 0.1216025, DIVERSITY_MEAN_INTER_LIST: 0.9922606, DIVERSITY_HERFINDAHL: 0.9992073, COVERAGE_ITEM: 0.5470106, COVERAGE_ITEM_CORRECT: 0.0387834, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1563357, DIVERSITY_GINI: 0.2419032, SHANNON_ENTROPY: 12.4828826, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 272, 'alpha': 1.5026162020266884, 'normalize_similarity': False, 'icm_weight': 0.7559672964557645} - results: ROC_AUC: 0.0692052, PRECISION: 0.0140538, PRECISION_RECALL_MIN_DEN: 0.0617515, RECALL: 0.0609714, MAP: 0.0228443, MRR: 0.0445535, NDCG: 0.0374457, F1: 0.0228395, HIT_RATE: 0.1405383, ARHR: 0.0475037, NOVELTY: 0.0055448, AVERAGE_POPULARITY: 0.0872555, DIVERSITY_MEAN_INTER_LIST: 0.9977486, DIVERSITY_HERFINDAHL: 0.9997560, COVERAGE_ITEM: 0.5931704, COVERAGE_ITEM_CORRECT: 0.0222984, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0823707, DIVERSITY_GINI: 0.3194030, SHANNON_ENTROPY: 13.2445809, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 141, 'alpha': 1.887557666147181, 'normalize_similarity': False, 'icm_weight': 0.027744420522382136} - results: ROC_AUC: 0.0527208, PRECISION: 0.0104573, PRECISION_RECALL_MIN_DEN: 0.0497833, RECALL: 0.0493834, MAP: 0.0177029, MRR: 0.0330896, NDCG: 0.0292192, F1: 0.0172578, HIT_RATE: 0.1045729, ARHR: 0.0346649, NOVELTY: 0.0055674, AVERAGE_POPULARITY: 0.0809567, DIVERSITY_MEAN_INTER_LIST: 0.9981641, DIVERSITY_HERFINDAHL: 0.9997975, COVERAGE_ITEM: 0.5987680, COVERAGE_ITEM_CORRECT: 0.0183561, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0634957, DIVERSITY_GINI: 0.3306460, SHANNON_ENTROPY: 13.3342713, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 127, 'alpha': 0.9966154177157329, 'normalize_similarity': True, 'icm_weight': 0.7373715034139943} - results: ROC_AUC: 0.1264027, PRECISION: 0.0258422, PRECISION_RECALL_MIN_DEN: 0.0964609, RECALL: 0.0939972, MAP: 0.0409319, MRR: 0.0880597, NDCG: 0.0643311, F1: 0.0405364, HIT_RATE: 0.2584219, ARHR: 0.0984722, NOVELTY: 0.0054705, AVERAGE_POPULARITY: 0.1030177, DIVERSITY_MEAN_INTER_LIST: 0.9954644, DIVERSITY_HERFINDAHL: 0.9995276, COVERAGE_ITEM: 0.5676150, COVERAGE_ITEM_CORRECT: 0.0356189, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1363785, DIVERSITY_GINI: 0.2761372, SHANNON_ENTROPY: 12.8593952, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 372, 'alpha': 0.1472103427408418, 'normalize_similarity': False, 'icm_weight': 0.632082712092853} - results: ROC_AUC: 0.1499418, PRECISION: 0.0307704, PRECISION_RECALL_MIN_DEN: 0.1170299, RECALL: 0.1142510, MAP: 0.0511094, MRR: 0.1054456, NDCG: 0.0788225, F1: 0.0484819, HIT_RATE: 0.3077038, ARHR: 0.1186941, NOVELTY: 0.0053074, AVERAGE_POPULARITY: 0.1358760, DIVERSITY_MEAN_INTER_LIST: 0.9888444, DIVERSITY_HERFINDAHL: 0.9988657, COVERAGE_ITEM: 0.4319153, COVERAGE_ITEM_CORRECT: 0.0390683, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1594312, DIVERSITY_GINI: 0.1572444, SHANNON_ENTROPY: 11.8331769, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 535, 'alpha': 1.6811634246540395, 'normalize_similarity': False, 'icm_weight': 0.6222293326405325} - results: ROC_AUC: 0.0614273, PRECISION: 0.0122236, PRECISION_RECALL_MIN_DEN: 0.0559743, RECALL: 0.0554022, MAP: 0.0204415, MRR: 0.0388197, NDCG: 0.0335102, F1: 0.0200257, HIT_RATE: 0.1222358, ARHR: 0.0410017, NOVELTY: 0.0055496, AVERAGE_POPULARITY: 0.0870395, DIVERSITY_MEAN_INTER_LIST: 0.9978270, DIVERSITY_HERFINDAHL: 0.9997638, COVERAGE_ITEM: 0.5942252, COVERAGE_ITEM_CORRECT: 0.0199808, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0730338, DIVERSITY_GINI: 0.3225770, SHANNON_ENTROPY: 13.2669456, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 144, 'alpha': 1.2922874949114527, 'normalize_similarity': False, 'icm_weight': 0.4787312208719333} - results: ROC_AUC: 0.0817159, PRECISION: 0.0167152, PRECISION_RECALL_MIN_DEN: 0.0697329, RECALL: 0.0686147, MAP: 0.0268344, MRR: 0.0537760, NDCG: 0.0434614, F1: 0.0268770, HIT_RATE: 0.1671522, ARHR: 0.0582375, NOVELTY: 0.0055369, AVERAGE_POPULARITY: 0.0877709, DIVERSITY_MEAN_INTER_LIST: 0.9976074, DIVERSITY_HERFINDAHL: 0.9997418, COVERAGE_ITEM: 0.5917228, COVERAGE_ITEM_CORRECT: 0.0256246, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0950044, DIVERSITY_GINI: 0.3144427, SHANNON_ENTROPY: 13.2069824, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 75, 'alpha': 0.8787499045429128, 'normalize_similarity': False, 'icm_weight': 0.5319620004389328} - results: ROC_AUC: 0.1264639, PRECISION: 0.0256682, PRECISION_RECALL_MIN_DEN: 0.0979027, RECALL: 0.0955786, MAP: 0.0421107, MRR: 0.0880749, NDCG: 0.0655124, F1: 0.0404667, HIT_RATE: 0.2566821, ARHR: 0.0980818, NOVELTY: 0.0054830, AVERAGE_POPULARITY: 0.0982813, DIVERSITY_MEAN_INTER_LIST: 0.9960615, DIVERSITY_HERFINDAHL: 0.9995873, COVERAGE_ITEM: 0.5772089, COVERAGE_ITEM_CORRECT: 0.0364966, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1363533, DIVERSITY_GINI: 0.2841259, SHANNON_ENTROPY: 12.9330301, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 405, 'alpha': 0.15870616930316486, 'normalize_similarity': False, 'icm_weight': 0.07413958368870323} - results: ROC_AUC: 0.1507305, PRECISION: 0.0309411, PRECISION_RECALL_MIN_DEN: 0.1185148, RECALL: 0.1157676, MAP: 0.0516055, MRR: 0.1060947, NDCG: 0.0795966, F1: 0.0488300, HIT_RATE: 0.3094112, ARHR: 0.1193296, NOVELTY: 0.0053052, AVERAGE_POPULARITY: 0.1366588, DIVERSITY_MEAN_INTER_LIST: 0.9887183, DIVERSITY_HERFINDAHL: 0.9988531, COVERAGE_ITEM: 0.4308604, COVERAGE_ITEM_CORRECT: 0.0393686, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1605134, DIVERSITY_GINI: 0.1560776, SHANNON_ENTROPY: 11.8179192, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 791, 'alpha': 1.6226639158554284, 'normalize_similarity': True, 'icm_weight': 0.037075747134617816} - results: ROC_AUC: 0.0782870, PRECISION: 0.0157865, PRECISION_RECALL_MIN_DEN: 0.0654098, RECALL: 0.0641723, MAP: 0.0246529, MRR: 0.0512436, NDCG: 0.0403728, F1: 0.0253366, HIT_RATE: 0.1578654, ARHR: 0.0549852, NOVELTY: 0.0055233, AVERAGE_POPULARITY: 0.0946833, DIVERSITY_MEAN_INTER_LIST: 0.9970569, DIVERSITY_HERFINDAHL: 0.9996868, COVERAGE_ITEM: 0.5656285, COVERAGE_ITEM_CORRECT: 0.0231145, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0912797, DIVERSITY_GINI: 0.2940532, SHANNON_ENTROPY: 13.0872559, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 273, 'alpha': 0.6620276771799364, 'normalize_similarity': True, 'icm_weight': 0.27296697458626445} - results: ROC_AUC: 0.1572463, PRECISION: 0.0330242, PRECISION_RECALL_MIN_DEN: 0.1232207, RECALL: 0.1202293, MAP: 0.0531907, MRR: 0.1109773, NDCG: 0.0827156, F1: 0.0518127, HIT_RATE: 0.3302421, ARHR: 0.1257911, NOVELTY: 0.0053898, AVERAGE_POPULARITY: 0.1207292, DIVERSITY_MEAN_INTER_LIST: 0.9921041, DIVERSITY_HERFINDAHL: 0.9991916, COVERAGE_ITEM: 0.5351607, COVERAGE_ITEM_CORRECT: 0.0433802, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1689443, DIVERSITY_GINI: 0.2281827, SHANNON_ENTROPY: 12.3927211, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 334, 'alpha': 1.2458234507582, 'normalize_similarity': False, 'icm_weight': 0.6929234568329599} - results: ROC_AUC: 0.0905857, PRECISION: 0.0187125, PRECISION_RECALL_MIN_DEN: 0.0748721, RECALL: 0.0733845, MAP: 0.0291840, MRR: 0.0600711, NDCG: 0.0472010, F1: 0.0298165, HIT_RATE: 0.1871249, ARHR: 0.0657605, NOVELTY: 0.0055154, AVERAGE_POPULARITY: 0.0944778, DIVERSITY_MEAN_INTER_LIST: 0.9970253, DIVERSITY_HERFINDAHL: 0.9996836, COVERAGE_ITEM: 0.5855938, COVERAGE_ITEM_CORRECT: 0.0270491, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1041148, DIVERSITY_GINI: 0.3041566, SHANNON_ENTROPY: 13.1114477, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 652, 'alpha': 0.8815198164379456, 'normalize_similarity': False, 'icm_weight': 0.8066996050127166} - results: ROC_AUC: 0.1372584, PRECISION: 0.0291318, PRECISION_RECALL_MIN_DEN: 0.1074647, RECALL: 0.1046924, MAP: 0.0453613, MRR: 0.0965961, NDCG: 0.0714152, F1: 0.0455783, HIT_RATE: 0.2913181, ARHR: 0.1091849, NOVELTY: 0.0054216, AVERAGE_POPULARITY: 0.1167599, DIVERSITY_MEAN_INTER_LIST: 0.9932569, DIVERSITY_HERFINDAHL: 0.9993069, COVERAGE_ITEM: 0.5553494, COVERAGE_ITEM_CORRECT: 0.0378826, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1508997, DIVERSITY_GINI: 0.2521698, SHANNON_ENTROPY: 12.5913781, 
