
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 269, 'shrink': 81, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.8202528309516657, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1124852, PRECISION: 0.0240644, PRECISION_RECALL_MIN_DEN: 0.0868288, RECALL: 0.0844690, MAP: 0.0375514, MRR: 0.0794376, NDCG: 0.0585108, F1: 0.0374533, HIT_RATE: 0.2406443, ARHR: 0.0895156, NOVELTY: 0.0057399, AVERAGE_POPULARITY: 0.0575442, DIVERSITY_MEAN_INTER_LIST: 0.9984617, DIVERSITY_HERFINDAHL: 0.9998273, COVERAGE_ITEM: 0.6894629, COVERAGE_ITEM_CORRECT: 0.0440962, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1248521, DIVERSITY_GINI: 0.3940564, SHANNON_ENTROPY: 13.5837217, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 337, 'shrink': 691, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.8592859217019098, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1568011, PRECISION: 0.0324024, PRECISION_RECALL_MIN_DEN: 0.1229766, RECALL: 0.1202147, MAP: 0.0549126, MRR: 0.1124403, NDCG: 0.0839185, F1: 0.0510423, HIT_RATE: 0.3240243, ARHR: 0.1268533, NOVELTY: 0.0052943, AVERAGE_POPULARITY: 0.1440857, DIVERSITY_MEAN_INTER_LIST: 0.9814513, DIVERSITY_HERFINDAHL: 0.9981265, COVERAGE_ITEM: 0.4397613, COVERAGE_ITEM_CORRECT: 0.0379673, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1670568, DIVERSITY_GINI: 0.1404604, SHANNON_ENTROPY: 11.3288408, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 331, 'shrink': 788, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.249467432333422, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1392244, PRECISION: 0.0276227, PRECISION_RECALL_MIN_DEN: 0.1059568, RECALL: 0.1037077, MAP: 0.0480266, MRR: 0.0998421, NDCG: 0.0732426, F1: 0.0436235, HIT_RATE: 0.2762267, ARHR: 0.1108952, NOVELTY: 0.0053013, AVERAGE_POPULARITY: 0.1407359, DIVERSITY_MEAN_INTER_LIST: 0.9817613, DIVERSITY_HERFINDAHL: 0.9981575, COVERAGE_ITEM: 0.4206044, COVERAGE_ITEM_CORRECT: 0.0304678, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1466214, DIVERSITY_GINI: 0.1314888, SHANNON_ENTROPY: 11.2832120, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 258, 'shrink': 185, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.7938957196440588, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1206441, PRECISION: 0.0263876, PRECISION_RECALL_MIN_DEN: 0.0929374, RECALL: 0.0900665, MAP: 0.0404673, MRR: 0.0860907, NDCG: 0.0627880, F1: 0.0408135, HIT_RATE: 0.2638762, ARHR: 0.0982747, NOVELTY: 0.0056918, AVERAGE_POPULARITY: 0.0618800, DIVERSITY_MEAN_INTER_LIST: 0.9985184, DIVERSITY_HERFINDAHL: 0.9998329, COVERAGE_ITEM: 0.7146872, COVERAGE_ITEM_CORRECT: 0.0474379, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1330062, DIVERSITY_GINI: 0.4195151, SHANNON_ENTROPY: 13.6629171, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 439, 'shrink': 313, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.3689709079007482, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1380564, PRECISION: 0.0272101, PRECISION_RECALL_MIN_DEN: 0.1047619, RECALL: 0.1025434, MAP: 0.0472873, MRR: 0.0985336, NDCG: 0.0722792, F1: 0.0430057, HIT_RATE: 0.2721007, ARHR: 0.1093543, NOVELTY: 0.0052781, AVERAGE_POPULARITY: 0.1481132, DIVERSITY_MEAN_INTER_LIST: 0.9777755, DIVERSITY_HERFINDAHL: 0.9977590, COVERAGE_ITEM: 0.4030876, COVERAGE_ITEM_CORRECT: 0.0292512, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1448849, DIVERSITY_GINI: 0.1202801, SHANNON_ENTROPY: 11.0709350, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 94, 'shrink': 179, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.4475702390542675, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1047255, PRECISION: 0.0221426, PRECISION_RECALL_MIN_DEN: 0.0788183, RECALL: 0.0765336, MAP: 0.0348237, MRR: 0.0741629, NDCG: 0.0538473, F1: 0.0343424, HIT_RATE: 0.2214264, ARHR: 0.0836826, NOVELTY: 0.0057676, AVERAGE_POPULARITY: 0.0547178, DIVERSITY_MEAN_INTER_LIST: 0.9985957, DIVERSITY_HERFINDAHL: 0.9998406, COVERAGE_ITEM: 0.7102522, COVERAGE_ITEM_CORRECT: 0.0415938, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1143576, DIVERSITY_GINI: 0.4236841, SHANNON_ENTROPY: 13.6924183, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 949, 'shrink': 99, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.5626462863875319, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1534084, PRECISION: 0.0313874, PRECISION_RECALL_MIN_DEN: 0.1212421, RECALL: 0.1186544, MAP: 0.0539026, MRR: 0.1097528, NDCG: 0.0824055, F1: 0.0496393, HIT_RATE: 0.3138735, ARHR: 0.1231939, NOVELTY: 0.0052758, AVERAGE_POPULARITY: 0.1535488, DIVERSITY_MEAN_INTER_LIST: 0.9768432, DIVERSITY_HERFINDAHL: 0.9976658, COVERAGE_ITEM: 0.4502021, COVERAGE_ITEM_CORRECT: 0.0357190, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1637347, DIVERSITY_GINI: 0.1445570, SHANNON_ENTROPY: 11.2449681, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 817, 'shrink': 635, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.6079327893125638, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1160839, PRECISION: 0.0245761, PRECISION_RECALL_MIN_DEN: 0.0894845, RECALL: 0.0871512, MAP: 0.0383964, MRR: 0.0813171, NDCG: 0.0600670, F1: 0.0383371, HIT_RATE: 0.2457612, ARHR: 0.0916315, NOVELTY: 0.0057211, AVERAGE_POPULARITY: 0.0594496, DIVERSITY_MEAN_INTER_LIST: 0.9983349, DIVERSITY_HERFINDAHL: 0.9998146, COVERAGE_ITEM: 0.6781598, COVERAGE_ITEM_CORRECT: 0.0445351, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1278973, DIVERSITY_GINI: 0.3764703, SHANNON_ENTROPY: 13.5071093, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 928, 'shrink': 541, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.6147691108124207, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1363597, PRECISION: 0.0269586, PRECISION_RECALL_MIN_DEN: 0.1036570, RECALL: 0.1013985, MAP: 0.0467159, MRR: 0.0973891, NDCG: 0.0714241, F1: 0.0425902, HIT_RATE: 0.2695864, ARHR: 0.1080728, NOVELTY: 0.0052306, AVERAGE_POPULARITY: 0.1634900, DIVERSITY_MEAN_INTER_LIST: 0.9674560, DIVERSITY_HERFINDAHL: 0.9967273, COVERAGE_ITEM: 0.3680154, COVERAGE_ITEM_CORRECT: 0.0279115, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1436265, DIVERSITY_GINI: 0.0989579, SHANNON_ENTROPY: 10.6297408, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 663, 'shrink': 878, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.05385926673607812, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1224502, PRECISION: 0.0267137, PRECISION_RECALL_MIN_DEN: 0.0939090, RECALL: 0.0910361, MAP: 0.0405458, MRR: 0.0868053, NDCG: 0.0632627, F1: 0.0413047, HIT_RATE: 0.2671369, ARHR: 0.0989340, NOVELTY: 0.0056999, AVERAGE_POPULARITY: 0.0614197, DIVERSITY_MEAN_INTER_LIST: 0.9984321, DIVERSITY_HERFINDAHL: 0.9998243, COVERAGE_ITEM: 0.6995111, COVERAGE_ITEM_CORRECT: 0.0477382, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1353970, DIVERSITY_GINI: 0.3998868, SHANNON_ENTROPY: 13.5924849, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 510, 'shrink': 967, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.7894484032522353, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1215844, PRECISION: 0.0266110, PRECISION_RECALL_MIN_DEN: 0.0934663, RECALL: 0.0906255, MAP: 0.0403226, MRR: 0.0863751, NDCG: 0.0629462, F1: 0.0411396, HIT_RATE: 0.2661100, ARHR: 0.0984478, NOVELTY: 0.0057036, AVERAGE_POPULARITY: 0.0610100, DIVERSITY_MEAN_INTER_LIST: 0.9984440, DIVERSITY_HERFINDAHL: 0.9998255, COVERAGE_ITEM: 0.6998730, COVERAGE_ITEM_CORRECT: 0.0475996, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1347175, DIVERSITY_GINI: 0.4007865, SHANNON_ENTROPY: 13.5975621, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 936, 'shrink': 703, 'similarity': 'cosine', 'normalize': True, 'icm_weight': 0.07476797218192534, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1360542, PRECISION: 0.0269245, PRECISION_RECALL_MIN_DEN: 0.1035134, RECALL: 0.1012683, MAP: 0.0466291, MRR: 0.0971822, NDCG: 0.0713146, F1: 0.0425360, HIT_RATE: 0.2692450, ARHR: 0.1078216, NOVELTY: 0.0052303, AVERAGE_POPULARITY: 0.1635774, DIVERSITY_MEAN_INTER_LIST: 0.9673481, DIVERSITY_HERFINDAHL: 0.9967165, COVERAGE_ITEM: 0.3675303, COVERAGE_ITEM_CORRECT: 0.0278961, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1435007, DIVERSITY_GINI: 0.0987755, SHANNON_ENTROPY: 10.6267510, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 159, 'shrink': 139, 'similarity': 'cosine', 'normalize': False, 'icm_weight': 0.5824091534229673, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1544976, PRECISION: 0.0317391, PRECISION_RECALL_MIN_DEN: 0.1194597, RECALL: 0.1167286, MAP: 0.0534258, MRR: 0.1107581, NDCG: 0.0818409, F1: 0.0499060, HIT_RATE: 0.3173915, ARHR: 0.1248274, NOVELTY: 0.0053488, AVERAGE_POPULARITY: 0.1270963, DIVERSITY_MEAN_INTER_LIST: 0.9885799, DIVERSITY_HERFINDAHL: 0.9988393, COVERAGE_ITEM: 0.4631684, COVERAGE_ITEM_CORRECT: 0.0389913, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1638857, DIVERSITY_GINI: 0.1598766, SHANNON_ENTROPY: 11.7426557, 
