
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 787, 'shrink': 636, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.4214061484084679} - results: ROC_AUC: 0.1441811, PRECISION: 0.0291350, PRECISION_RECALL_MIN_DEN: 0.1119509, RECALL: 0.1094710, MAP: 0.0491169, MRR: 0.1022903, NDCG: 0.0758255, F1: 0.0460198, HIT_RATE: 0.2913500, ARHR: 0.1140902, NOVELTY: 0.0052466, AVERAGE_POPULARITY: 0.1599857, DIVERSITY_MEAN_INTER_LIST: 0.9764319, DIVERSITY_HERFINDAHL: 0.9976247, COVERAGE_ITEM: 0.3875727, COVERAGE_ITEM_CORRECT: 0.0324543, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1534667, DIVERSITY_GINI: 0.1150980, SHANNON_ENTROPY: 11.0140981, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 504, 'shrink': 740, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.0821845396007236} - results: ROC_AUC: 0.1452790, PRECISION: 0.0294225, PRECISION_RECALL_MIN_DEN: 0.1120178, RECALL: 0.1094681, MAP: 0.0496613, MRR: 0.1036245, NDCG: 0.0763793, F1: 0.0463783, HIT_RATE: 0.2942253, ARHR: 0.1157156, NOVELTY: 0.0052750, AVERAGE_POPULARITY: 0.1504020, DIVERSITY_MEAN_INTER_LIST: 0.9805280, DIVERSITY_HERFINDAHL: 0.9980342, COVERAGE_ITEM: 0.4098248, COVERAGE_ITEM_CORRECT: 0.0335861, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1546496, DIVERSITY_GINI: 0.1283979, SHANNON_ENTROPY: 11.2427898, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 471, 'shrink': 463, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.7814554594728814} - results: ROC_AUC: 0.1467729, PRECISION: 0.0297560, PRECISION_RECALL_MIN_DEN: 0.1132956, RECALL: 0.1107260, MAP: 0.0501030, MRR: 0.1046000, NDCG: 0.0771419, F1: 0.0469059, HIT_RATE: 0.2975605, ARHR: 0.1168063, NOVELTY: 0.0052778, AVERAGE_POPULARITY: 0.1493495, DIVERSITY_MEAN_INTER_LIST: 0.9807798, DIVERSITY_HERFINDAHL: 0.9980594, COVERAGE_ITEM: 0.4126968, COVERAGE_ITEM_CORRECT: 0.0340250, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1565622, DIVERSITY_GINI: 0.1295770, SHANNON_ENTROPY: 11.2546517, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 241, 'shrink': 51, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.9202402416308397} - results: ROC_AUC: 0.1515380, PRECISION: 0.0309727, PRECISION_RECALL_MIN_DEN: 0.1162587, RECALL: 0.1136275, MAP: 0.0519697, MRR: 0.1085506, NDCG: 0.0797827, F1: 0.0486754, HIT_RATE: 0.3097274, ARHR: 0.1220373, NOVELTY: 0.0053189, AVERAGE_POPULARITY: 0.1362885, DIVERSITY_MEAN_INTER_LIST: 0.9852873, DIVERSITY_HERFINDAHL: 0.9985101, COVERAGE_ITEM: 0.4453744, COVERAGE_ITEM_CORRECT: 0.0370587, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1607399, DIVERSITY_GINI: 0.1474420, SHANNON_ENTROPY: 11.5176393, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 885, 'shrink': 356, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.6376781398553257} - results: ROC_AUC: 0.1448422, PRECISION: 0.0294229, PRECISION_RECALL_MIN_DEN: 0.1134395, RECALL: 0.1109623, MAP: 0.0495810, MRR: 0.1029515, NDCG: 0.0765947, F1: 0.0465109, HIT_RATE: 0.2942291, ARHR: 0.1148819, NOVELTY: 0.0052390, AVERAGE_POPULARITY: 0.1625763, DIVERSITY_MEAN_INTER_LIST: 0.9748242, DIVERSITY_HERFINDAHL: 0.9974639, COVERAGE_ITEM: 0.3846468, COVERAGE_ITEM_CORRECT: 0.0327392, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1552787, DIVERSITY_GINI: 0.1124051, SHANNON_ENTROPY: 10.9432536, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 149, 'shrink': 111, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.009670224368752646} - results: ROC_AUC: 0.1489960, PRECISION: 0.0301891, PRECISION_RECALL_MIN_DEN: 0.1134137, RECALL: 0.1107661, MAP: 0.0506793, MRR: 0.1064538, NDCG: 0.0777640, F1: 0.0474460, HIT_RATE: 0.3018908, ARHR: 0.1197369, NOVELTY: 0.0053665, AVERAGE_POPULARITY: 0.1229547, DIVERSITY_MEAN_INTER_LIST: 0.9902714, DIVERSITY_HERFINDAHL: 0.9990084, COVERAGE_ITEM: 0.4838037, COVERAGE_ITEM_CORRECT: 0.0379365, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1568391, DIVERSITY_GINI: 0.1773485, SHANNON_ENTROPY: 11.9491649, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 223, 'shrink': 170, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.9976067483582612} - results: ROC_AUC: 0.1497033, PRECISION: 0.0305106, PRECISION_RECALL_MIN_DEN: 0.1147891, RECALL: 0.1121828, MAP: 0.0511833, MRR: 0.1071940, NDCG: 0.0786697, F1: 0.0479718, HIT_RATE: 0.3051062, ARHR: 0.1203239, NOVELTY: 0.0053326, AVERAGE_POPULARITY: 0.1322717, DIVERSITY_MEAN_INTER_LIST: 0.9871697, DIVERSITY_HERFINDAHL: 0.9986983, COVERAGE_ITEM: 0.4562464, COVERAGE_ITEM_CORRECT: 0.0367892, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1587769, DIVERSITY_GINI: 0.1573404, SHANNON_ENTROPY: 11.6775189, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 707, 'shrink': 615, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.1561505086727575} - results: ROC_AUC: 0.1446202, PRECISION: 0.0292601, PRECISION_RECALL_MIN_DEN: 0.1126790, RECALL: 0.1101840, MAP: 0.0494514, MRR: 0.1030343, NDCG: 0.0762896, F1: 0.0462388, HIT_RATE: 0.2926010, ARHR: 0.1148736, NOVELTY: 0.0052531, AVERAGE_POPULARITY: 0.1577363, DIVERSITY_MEAN_INTER_LIST: 0.9773248, DIVERSITY_HERFINDAHL: 0.9977140, COVERAGE_ITEM: 0.3926083, COVERAGE_ITEM_CORRECT: 0.0328085, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1543727, DIVERSITY_GINI: 0.1179958, SHANNON_ENTROPY: 11.0631708, 
