
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 65, 'shrink': 351, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4808676057946877, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0742654, PRECISION: 0.0151161, PRECISION_RECALL_MIN_DEN: 0.0558051, RECALL: 0.0542412, MAP: 0.0237510, MRR: 0.0513996, NDCG: 0.0372694, F1: 0.0236385, HIT_RATE: 0.1511613, ARHR: 0.0569590, NOVELTY: 0.0050262, AVERAGE_POPULARITY: 0.0162597, DIVERSITY_MEAN_INTER_LIST: 0.9971389, DIVERSITY_HERFINDAHL: 0.9996950, COVERAGE_ITEM: 0.6145063, COVERAGE_ITEM_CORRECT: 0.0283118, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0811627, DIVERSITY_GINI: 0.3115653, SHANNON_ENTROPY: 13.1549780, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 187, 'shrink': 70, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4065385817407505, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0656367, PRECISION: 0.0130954, PRECISION_RECALL_MIN_DEN: 0.0474970, RECALL: 0.0461913, MAP: 0.0205462, MRR: 0.0459659, NDCG: 0.0323407, F1: 0.0204031, HIT_RATE: 0.1309536, ARHR: 0.0502741, NOVELTY: 0.0050276, AVERAGE_POPULARITY: 0.0149605, DIVERSITY_MEAN_INTER_LIST: 0.9970737, DIVERSITY_HERFINDAHL: 0.9996885, COVERAGE_ITEM: 0.5457940, COVERAGE_ITEM_CORRECT: 0.0244466, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0716497, DIVERSITY_GINI: 0.2681528, SHANNON_ENTROPY: 12.9662713, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 845, 'shrink': 246, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6675825460351362, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0725630, PRECISION: 0.0151156, PRECISION_RECALL_MIN_DEN: 0.0533652, RECALL: 0.0516864, MAP: 0.0219227, MRR: 0.0503665, NDCG: 0.0353308, F1: 0.0233895, HIT_RATE: 0.1511562, ARHR: 0.0557205, NOVELTY: 0.0050367, AVERAGE_POPULARITY: 0.0167961, DIVERSITY_MEAN_INTER_LIST: 0.9976897, DIVERSITY_HERFINDAHL: 0.9997501, COVERAGE_ITEM: 0.6361039, COVERAGE_ITEM_CORRECT: 0.0283503, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0811375, DIVERSITY_GINI: 0.3249463, SHANNON_ENTROPY: 13.2352286, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 152, 'shrink': 14, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.41324352582784585, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0803405, PRECISION: 0.0164578, PRECISION_RECALL_MIN_DEN: 0.0610146, RECALL: 0.0594227, MAP: 0.0251530, MRR: 0.0552884, NDCG: 0.0401585, F1: 0.0257745, HIT_RATE: 0.1645783, ARHR: 0.0610792, NOVELTY: 0.0050372, AVERAGE_POPULARITY: 0.0172696, DIVERSITY_MEAN_INTER_LIST: 0.9974513, DIVERSITY_HERFINDAHL: 0.9997262, COVERAGE_ITEM: 0.6415784, COVERAGE_ITEM_CORRECT: 0.0307988, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0884359, DIVERSITY_GINI: 0.3270365, SHANNON_ENTROPY: 13.2173644, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 443, 'shrink': 989, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6434321893809591, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0647300, PRECISION: 0.0129699, PRECISION_RECALL_MIN_DEN: 0.0468221, RECALL: 0.0454982, MAP: 0.0200336, MRR: 0.0451585, NDCG: 0.0317222, F1: 0.0201815, HIT_RATE: 0.1296991, ARHR: 0.0493155, NOVELTY: 0.0050249, AVERAGE_POPULARITY: 0.0147399, DIVERSITY_MEAN_INTER_LIST: 0.9970095, DIVERSITY_HERFINDAHL: 0.9996821, COVERAGE_ITEM: 0.5070183, COVERAGE_ITEM_CORRECT: 0.0240385, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0715742, DIVERSITY_GINI: 0.2377413, SHANNON_ENTROPY: 12.8108708, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 137, 'shrink': 870, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2867505147387976, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0688614, PRECISION: 0.0140611, PRECISION_RECALL_MIN_DEN: 0.0497592, RECALL: 0.0482682, MAP: 0.0208902, MRR: 0.0478580, NDCG: 0.0334027, F1: 0.0217777, HIT_RATE: 0.1406112, ARHR: 0.0528501, NOVELTY: 0.0050364, AVERAGE_POPULARITY: 0.0161994, DIVERSITY_MEAN_INTER_LIST: 0.9975004, DIVERSITY_HERFINDAHL: 0.9997311, COVERAGE_ITEM: 0.6310837, COVERAGE_ITEM_CORRECT: 0.0265409, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0759784, DIVERSITY_GINI: 0.3231254, SHANNON_ENTROPY: 13.2134797, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 649, 'shrink': 257, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.22578846056820528, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0829010, PRECISION: 0.0172354, PRECISION_RECALL_MIN_DEN: 0.0647455, RECALL: 0.0630628, MAP: 0.0263246, MRR: 0.0563342, NDCG: 0.0420500, F1: 0.0270692, HIT_RATE: 0.1723544, ARHR: 0.0623653, NOVELTY: 0.0050430, AVERAGE_POPULARITY: 0.0160741, DIVERSITY_MEAN_INTER_LIST: 0.9975265, DIVERSITY_HERFINDAHL: 0.9997337, COVERAGE_ITEM: 0.5867180, COVERAGE_ITEM_CORRECT: 0.0318229, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0928149, DIVERSITY_GINI: 0.2936167, SHANNON_ENTROPY: 13.1017884, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 103, 'shrink': 577, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.620426548305577, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0805826, PRECISION: 0.0167383, PRECISION_RECALL_MIN_DEN: 0.0619333, RECALL: 0.0602173, MAP: 0.0259694, MRR: 0.0559007, NDCG: 0.0409413, F1: 0.0261930, HIT_RATE: 0.1673832, ARHR: 0.0620415, NOVELTY: 0.0050320, AVERAGE_POPULARITY: 0.0160502, DIVERSITY_MEAN_INTER_LIST: 0.9976089, DIVERSITY_HERFINDAHL: 0.9997420, COVERAGE_ITEM: 0.6212820, COVERAGE_ITEM_CORRECT: 0.0311299, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0892664, DIVERSITY_GINI: 0.3228458, SHANNON_ENTROPY: 13.2254509, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 164, 'shrink': 84, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5419927771179159, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0819070, PRECISION: 0.0167570, PRECISION_RECALL_MIN_DEN: 0.0621407, RECALL: 0.0604774, MAP: 0.0258400, MRR: 0.0563356, NDCG: 0.0410364, F1: 0.0262410, HIT_RATE: 0.1675697, ARHR: 0.0623949, NOVELTY: 0.0050394, AVERAGE_POPULARITY: 0.0167408, DIVERSITY_MEAN_INTER_LIST: 0.9975272, DIVERSITY_HERFINDAHL: 0.9997338, COVERAGE_ITEM: 0.6354033, COVERAGE_ITEM_CORRECT: 0.0313686, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0900717, DIVERSITY_GINI: 0.3248813, SHANNON_ENTROPY: 13.2195889, 
