
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 730, 'shrink': 349, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0726010, PRECISION: 0.0151876, PRECISION_RECALL_MIN_DEN: 0.0533060, RECALL: 0.0516018, MAP: 0.0219360, MRR: 0.0501835, NDCG: 0.0353285, F1: 0.0234671, HIT_RATE: 0.1518760, ARHR: 0.0556723, NOVELTY: 0.0050369, AVERAGE_POPULARITY: 0.0165555, DIVERSITY_MEAN_INTER_LIST: 0.9977343, DIVERSITY_HERFINDAHL: 0.9997545, COVERAGE_ITEM: 0.6348566, COVERAGE_ITEM_CORRECT: 0.0285274, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0810620, DIVERSITY_GINI: 0.3267187, SHANNON_ENTROPY: 13.2480787, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 558, 'shrink': 224, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0638672, PRECISION: 0.0129590, PRECISION_RECALL_MIN_DEN: 0.0467223, RECALL: 0.0454214, MAP: 0.0197803, MRR: 0.0443037, NDCG: 0.0314533, F1: 0.0201603, HIT_RATE: 0.1295897, ARHR: 0.0483300, NOVELTY: 0.0050283, AVERAGE_POPULARITY: 0.0147252, DIVERSITY_MEAN_INTER_LIST: 0.9967460, DIVERSITY_HERFINDAHL: 0.9996557, COVERAGE_ITEM: 0.4972474, COVERAGE_ITEM_CORRECT: 0.0239307, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0717000, DIVERSITY_GINI: 0.2282986, SHANNON_ENTROPY: 12.7367818, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 857, 'shrink': 103, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0635886, PRECISION: 0.0126858, PRECISION_RECALL_MIN_DEN: 0.0459041, RECALL: 0.0446689, MAP: 0.0196678, MRR: 0.0438453, NDCG: 0.0311260, F1: 0.0197559, HIT_RATE: 0.1268579, ARHR: 0.0477164, NOVELTY: 0.0050320, AVERAGE_POPULARITY: 0.0147050, DIVERSITY_MEAN_INTER_LIST: 0.9965644, DIVERSITY_HERFINDAHL: 0.9996376, COVERAGE_ITEM: 0.4919731, COVERAGE_ITEM_CORRECT: 0.0234302, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0704668, DIVERSITY_GINI: 0.2232915, SHANNON_ENTROPY: 12.6956031, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 620, 'shrink': 551, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0641315, PRECISION: 0.0129473, PRECISION_RECALL_MIN_DEN: 0.0467870, RECALL: 0.0454863, MAP: 0.0198080, MRR: 0.0442934, NDCG: 0.0314785, F1: 0.0201530, HIT_RATE: 0.1294727, ARHR: 0.0483095, NOVELTY: 0.0050299, AVERAGE_POPULARITY: 0.0147414, DIVERSITY_MEAN_INTER_LIST: 0.9967514, DIVERSITY_HERFINDAHL: 0.9996563, COVERAGE_ITEM: 0.4979711, COVERAGE_ITEM_CORRECT: 0.0239076, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0717755, DIVERSITY_GINI: 0.2286622, SHANNON_ENTROPY: 12.7388685, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 960, 'shrink': 60, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0636530, PRECISION: 0.0126555, PRECISION_RECALL_MIN_DEN: 0.0459294, RECALL: 0.0447126, MAP: 0.0196800, MRR: 0.0438975, NDCG: 0.0311518, F1: 0.0197239, HIT_RATE: 0.1265555, ARHR: 0.0477465, NOVELTY: 0.0050339, AVERAGE_POPULARITY: 0.0147159, DIVERSITY_MEAN_INTER_LIST: 0.9965239, DIVERSITY_HERFINDAHL: 0.9996335, COVERAGE_ITEM: 0.4908720, COVERAGE_ITEM_CORRECT: 0.0233532, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0704417, DIVERSITY_GINI: 0.2222205, SHANNON_ENTROPY: 12.6867678, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 362, 'shrink': 216, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0791335, PRECISION: 0.0165984, PRECISION_RECALL_MIN_DEN: 0.0617151, RECALL: 0.0600026, MAP: 0.0253357, MRR: 0.0540676, NDCG: 0.0402724, F1: 0.0259976, HIT_RATE: 0.1659843, ARHR: 0.0599070, NOVELTY: 0.0050342, AVERAGE_POPULARITY: 0.0155867, DIVERSITY_MEAN_INTER_LIST: 0.9972689, DIVERSITY_HERFINDAHL: 0.9997080, COVERAGE_ITEM: 0.5521001, COVERAGE_ITEM_CORRECT: 0.0305063, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0890651, DIVERSITY_GINI: 0.2687396, SHANNON_ENTROPY: 12.9736895, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 887, 'shrink': 359, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0727461, PRECISION: 0.0152444, PRECISION_RECALL_MIN_DEN: 0.0533648, RECALL: 0.0516251, MAP: 0.0219771, MRR: 0.0503590, NDCG: 0.0353705, F1: 0.0235370, HIT_RATE: 0.1524442, ARHR: 0.0558949, NOVELTY: 0.0050370, AVERAGE_POPULARITY: 0.0165574, DIVERSITY_MEAN_INTER_LIST: 0.9977419, DIVERSITY_HERFINDAHL: 0.9997553, COVERAGE_ITEM: 0.6345640, COVERAGE_ITEM_CORRECT: 0.0286814, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0812130, DIVERSITY_GINI: 0.3266853, SHANNON_ENTROPY: 13.2489393, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 883, 'shrink': 602, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0793032, PRECISION: 0.0164656, PRECISION_RECALL_MIN_DEN: 0.0614040, RECALL: 0.0598050, MAP: 0.0252987, MRR: 0.0539032, NDCG: 0.0402232, F1: 0.0258161, HIT_RATE: 0.1646561, ARHR: 0.0594030, NOVELTY: 0.0050390, AVERAGE_POPULARITY: 0.0155884, DIVERSITY_MEAN_INTER_LIST: 0.9970072, DIVERSITY_HERFINDAHL: 0.9996818, COVERAGE_ITEM: 0.5435149, COVERAGE_ITEM_CORRECT: 0.0302214, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0893671, DIVERSITY_GINI: 0.2599285, SHANNON_ENTROPY: 12.9098564, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 637, 'shrink': 134, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0725759, PRECISION: 0.0151005, PRECISION_RECALL_MIN_DEN: 0.0526089, RECALL: 0.0508556, MAP: 0.0218728, MRR: 0.0498920, NDCG: 0.0350475, F1: 0.0232860, HIT_RATE: 0.1510048, ARHR: 0.0554954, NOVELTY: 0.0050344, AVERAGE_POPULARITY: 0.0160135, DIVERSITY_MEAN_INTER_LIST: 0.9978006, DIVERSITY_HERFINDAHL: 0.9997612, COVERAGE_ITEM: 0.6263946, COVERAGE_ITEM_CORRECT: 0.0284350, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0805084, DIVERSITY_GINI: 0.3246493, SHANNON_ENTROPY: 13.2515477, 

