
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 730, 'shrink': 349, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0928321, PRECISION: 0.0192372, PRECISION_RECALL_MIN_DEN: 0.0753492, RECALL: 0.0735229, MAP: 0.0308287, MRR: 0.0637961, NDCG: 0.0486007, F1: 0.0304942, HIT_RATE: 0.1923722, ARHR: 0.0704268, NOVELTY: 0.0050483, AVERAGE_POPULARITY: 0.0181215, DIVERSITY_MEAN_INTER_LIST: 0.9972787, DIVERSITY_HERFINDAHL: 0.9997090, COVERAGE_ITEM: 0.5900982, COVERAGE_ITEM_CORRECT: 0.0353263, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1044419, DIVERSITY_GINI: 0.2840521, SHANNON_ENTROPY: 13.0368152, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 558, 'shrink': 224, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0538705, PRECISION: 0.0106814, PRECISION_RECALL_MIN_DEN: 0.0387865, RECALL: 0.0375819, MAP: 0.0160044, MRR: 0.0364805, NDCG: 0.0256142, F1: 0.0166296, HIT_RATE: 0.1068141, ARHR: 0.0393448, NOVELTY: 0.0050584, AVERAGE_POPULARITY: 0.0172686, DIVERSITY_MEAN_INTER_LIST: 0.9933123, DIVERSITY_HERFINDAHL: 0.9993124, COVERAGE_ITEM: 0.3028065, COVERAGE_ITEM_CORRECT: 0.0186025, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0606267, DIVERSITY_GINI: 0.1080379, SHANNON_ENTROPY: 11.6724581, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 857, 'shrink': 103, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0536442, PRECISION: 0.0105335, PRECISION_RECALL_MIN_DEN: 0.0386851, RECALL: 0.0375100, MAP: 0.0159798, MRR: 0.0361002, NDCG: 0.0255372, F1: 0.0164421, HIT_RATE: 0.1053353, ARHR: 0.0387223, NOVELTY: 0.0050582, AVERAGE_POPULARITY: 0.0173229, DIVERSITY_MEAN_INTER_LIST: 0.9924948, DIVERSITY_HERFINDAHL: 0.9992307, COVERAGE_ITEM: 0.2894167, COVERAGE_ITEM_CORRECT: 0.0182252, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0605260, DIVERSITY_GINI: 0.0995739, SHANNON_ENTROPY: 11.5389923, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 620, 'shrink': 551, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0801035, PRECISION: 0.0162832, PRECISION_RECALL_MIN_DEN: 0.0633763, RECALL: 0.0619014, MAP: 0.0258999, MRR: 0.0543087, NDCG: 0.0410555, F1: 0.0257835, HIT_RATE: 0.1628324, ARHR: 0.0593732, NOVELTY: 0.0050448, AVERAGE_POPULARITY: 0.0178605, DIVERSITY_MEAN_INTER_LIST: 0.9962869, DIVERSITY_HERFINDAHL: 0.9996098, COVERAGE_ITEM: 0.5059018, COVERAGE_ITEM_CORRECT: 0.0298595, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0898201, DIVERSITY_GINI: 0.2159223, SHANNON_ENTROPY: 12.6143268, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 960, 'shrink': 60, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0535040, PRECISION: 0.0105070, PRECISION_RECALL_MIN_DEN: 0.0388628, RECALL: 0.0377216, MAP: 0.0158989, MRR: 0.0359151, NDCG: 0.0254935, F1: 0.0164306, HIT_RATE: 0.1050704, ARHR: 0.0384448, NOVELTY: 0.0050629, AVERAGE_POPULARITY: 0.0173308, DIVERSITY_MEAN_INTER_LIST: 0.9922423, DIVERSITY_HERFINDAHL: 0.9992054, COVERAGE_ITEM: 0.2863292, COVERAGE_ITEM_CORRECT: 0.0181559, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0606518, DIVERSITY_GINI: 0.0976541, SHANNON_ENTROPY: 11.5055197, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 362, 'shrink': 216, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0740893, PRECISION: 0.0152417, PRECISION_RECALL_MIN_DEN: 0.0572573, RECALL: 0.0556125, MAP: 0.0227018, MRR: 0.0492420, NDCG: 0.0366213, F1: 0.0239224, HIT_RATE: 0.1524174, ARHR: 0.0539873, NOVELTY: 0.0050543, AVERAGE_POPULARITY: 0.0172211, DIVERSITY_MEAN_INTER_LIST: 0.9955333, DIVERSITY_HERFINDAHL: 0.9995345, COVERAGE_ITEM: 0.4014321, COVERAGE_ITEM_CORRECT: 0.0271954, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0841324, DIVERSITY_GINI: 0.1659194, SHANNON_ENTROPY: 12.2862183, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 887, 'shrink': 359, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0934181, PRECISION: 0.0192366, PRECISION_RECALL_MIN_DEN: 0.0754596, RECALL: 0.0736546, MAP: 0.0309198, MRR: 0.0640245, NDCG: 0.0487292, F1: 0.0305050, HIT_RATE: 0.1923665, ARHR: 0.0707337, NOVELTY: 0.0050488, AVERAGE_POPULARITY: 0.0181417, DIVERSITY_MEAN_INTER_LIST: 0.9972574, DIVERSITY_HERFINDAHL: 0.9997068, COVERAGE_ITEM: 0.5881578, COVERAGE_ITEM_CORRECT: 0.0353186, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1044671, DIVERSITY_GINI: 0.2824139, SHANNON_ENTROPY: 13.0275544, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 883, 'shrink': 602, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0725989, PRECISION: 0.0149080, PRECISION_RECALL_MIN_DEN: 0.0567914, RECALL: 0.0552666, MAP: 0.0224623, MRR: 0.0484708, NDCG: 0.0362525, F1: 0.0234764, HIT_RATE: 0.1490804, ARHR: 0.0529241, NOVELTY: 0.0050612, AVERAGE_POPULARITY: 0.0170765, DIVERSITY_MEAN_INTER_LIST: 0.9949597, DIVERSITY_HERFINDAHL: 0.9994771, COVERAGE_ITEM: 0.3812435, COVERAGE_ITEM_CORRECT: 0.0266641, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0830250, DIVERSITY_GINI: 0.1521982, SHANNON_ENTROPY: 12.1481351, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 637, 'shrink': 134, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0864608, PRECISION: 0.0180962, PRECISION_RECALL_MIN_DEN: 0.0708140, RECALL: 0.0691128, MAP: 0.0283731, MRR: 0.0580738, NDCG: 0.0451238, F1: 0.0286777, HIT_RATE: 0.1809623, ARHR: 0.0642584, NOVELTY: 0.0050599, AVERAGE_POPULARITY: 0.0171122, DIVERSITY_MEAN_INTER_LIST: 0.9963896, DIVERSITY_HERFINDAHL: 0.9996201, COVERAGE_ITEM: 0.4945140, COVERAGE_ITEM_CORRECT: 0.0329009, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0980747, DIVERSITY_GINI: 0.2179572, SHANNON_ENTROPY: 12.6498327, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 427, 'shrink': 732, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0740454, PRECISION: 0.0152567, PRECISION_RECALL_MIN_DEN: 0.0576282, RECALL: 0.0559766, MAP: 0.0226702, MRR: 0.0490875, NDCG: 0.0366469, F1: 0.0239745, HIT_RATE: 0.1525665, ARHR: 0.0537863, NOVELTY: 0.0050551, AVERAGE_POPULARITY: 0.0171935, DIVERSITY_MEAN_INTER_LIST: 0.9954614, DIVERSITY_HERFINDAHL: 0.9995273, COVERAGE_ITEM: 0.3975592, COVERAGE_ITEM_CORRECT: 0.0271030, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0844092, DIVERSITY_GINI: 0.1630305, SHANNON_ENTROPY: 12.2604726, 
