
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 604, 'shrink': 958, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0806985, PRECISION: 0.0167162, PRECISION_RECALL_MIN_DEN: 0.0646196, RECALL: 0.0630139, MAP: 0.0263464, MRR: 0.0550846, NDCG: 0.0417416, F1: 0.0264189, HIT_RATE: 0.1671625, ARHR: 0.0604048, NOVELTY: 0.0050702, AVERAGE_POPULARITY: 0.0177210, DIVERSITY_MEAN_INTER_LIST: 0.9964937, DIVERSITY_HERFINDAHL: 0.9996305, COVERAGE_ITEM: 0.4910876, COVERAGE_ITEM_CORRECT: 0.0302445, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0916572, DIVERSITY_GINI: 0.2133901, SHANNON_ENTROPY: 12.6322347, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 627, 'shrink': 783, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0807803, PRECISION: 0.0167052, PRECISION_RECALL_MIN_DEN: 0.0645878, RECALL: 0.0629710, MAP: 0.0263100, MRR: 0.0550969, NDCG: 0.0417001, F1: 0.0264009, HIT_RATE: 0.1670519, ARHR: 0.0604267, NOVELTY: 0.0050710, AVERAGE_POPULARITY: 0.0177173, DIVERSITY_MEAN_INTER_LIST: 0.9964897, DIVERSITY_HERFINDAHL: 0.9996301, COVERAGE_ITEM: 0.4900635, COVERAGE_ITEM_CORRECT: 0.0301906, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0916824, DIVERSITY_GINI: 0.2126165, SHANNON_ENTROPY: 12.6279330, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 965, 'shrink': 757, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0799619, PRECISION: 0.0161858, PRECISION_RECALL_MIN_DEN: 0.0629431, RECALL: 0.0614007, MAP: 0.0256592, MRR: 0.0539151, NDCG: 0.0406945, F1: 0.0256142, HIT_RATE: 0.1618585, ARHR: 0.0589121, NOVELTY: 0.0050720, AVERAGE_POPULARITY: 0.0177587, DIVERSITY_MEAN_INTER_LIST: 0.9961967, DIVERSITY_HERFINDAHL: 0.9996008, COVERAGE_ITEM: 0.4766044, COVERAGE_ITEM_CORRECT: 0.0292897, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0894929, DIVERSITY_GINI: 0.2012477, SHANNON_ENTROPY: 12.5369234, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 164, 'shrink': 8, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0898246, PRECISION: 0.0185655, PRECISION_RECALL_MIN_DEN: 0.0709006, RECALL: 0.0690865, MAP: 0.0294841, MRR: 0.0619751, NDCG: 0.0463858, F1: 0.0292640, HIT_RATE: 0.1856552, ARHR: 0.0683014, NOVELTY: 0.0050618, AVERAGE_POPULARITY: 0.0185632, DIVERSITY_MEAN_INTER_LIST: 0.9973772, DIVERSITY_HERFINDAHL: 0.9997188, COVERAGE_ITEM: 0.5763927, COVERAGE_ITEM_CORRECT: 0.0342406, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1009186, DIVERSITY_GINI: 0.2813677, SHANNON_ENTROPY: 13.0443246, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 893, 'shrink': 203, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0823826, PRECISION: 0.0166066, PRECISION_RECALL_MIN_DEN: 0.0645509, RECALL: 0.0629866, MAP: 0.0265322, MRR: 0.0557601, NDCG: 0.0419220, F1: 0.0262798, HIT_RATE: 0.1660658, ARHR: 0.0610300, NOVELTY: 0.0050673, AVERAGE_POPULARITY: 0.0177697, DIVERSITY_MEAN_INTER_LIST: 0.9965430, DIVERSITY_HERFINDAHL: 0.9996354, COVERAGE_ITEM: 0.4869990, COVERAGE_ITEM_CORRECT: 0.0300905, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0916069, DIVERSITY_GINI: 0.2119512, SHANNON_ENTROPY: 12.6336803, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 351, 'shrink': 770, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0824241, PRECISION: 0.0170349, PRECISION_RECALL_MIN_DEN: 0.0657364, RECALL: 0.0640954, MAP: 0.0266313, MRR: 0.0556095, NDCG: 0.0423114, F1: 0.0269124, HIT_RATE: 0.1703494, ARHR: 0.0611817, NOVELTY: 0.0050618, AVERAGE_POPULARITY: 0.0176432, DIVERSITY_MEAN_INTER_LIST: 0.9968220, DIVERSITY_HERFINDAHL: 0.9996633, COVERAGE_ITEM: 0.5103677, COVERAGE_ITEM_CORRECT: 0.0310144, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0931924, DIVERSITY_GINI: 0.2295903, SHANNON_ENTROPY: 12.7490509, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 288, 'shrink': 788, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0833922, PRECISION: 0.0172555, PRECISION_RECALL_MIN_DEN: 0.0662154, RECALL: 0.0645269, MAP: 0.0268232, MRR: 0.0564092, NDCG: 0.0426539, F1: 0.0272250, HIT_RATE: 0.1725547, ARHR: 0.0621793, NOVELTY: 0.0050611, AVERAGE_POPULARITY: 0.0176891, DIVERSITY_MEAN_INTER_LIST: 0.9968920, DIVERSITY_HERFINDAHL: 0.9996703, COVERAGE_ITEM: 0.5162194, COVERAGE_ITEM_CORRECT: 0.0314687, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0938971, DIVERSITY_GINI: 0.2346679, SHANNON_ENTROPY: 12.7821247, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 600, 'shrink': 123, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0838487, PRECISION: 0.0172658, PRECISION_RECALL_MIN_DEN: 0.0664916, RECALL: 0.0648344, MAP: 0.0273894, MRR: 0.0573386, NDCG: 0.0432198, F1: 0.0272667, HIT_RATE: 0.1726579, ARHR: 0.0630608, NOVELTY: 0.0050671, AVERAGE_POPULARITY: 0.0177646, DIVERSITY_MEAN_INTER_LIST: 0.9968301, DIVERSITY_HERFINDAHL: 0.9996641, COVERAGE_ITEM: 0.5057863, COVERAGE_ITEM_CORRECT: 0.0313763, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0943752, DIVERSITY_GINI: 0.2282335, SHANNON_ENTROPY: 12.7487891, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 79, 'shrink': 956, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0851867, PRECISION: 0.0176097, PRECISION_RECALL_MIN_DEN: 0.0664271, RECALL: 0.0646330, MAP: 0.0273698, MRR: 0.0580589, NDCG: 0.0433194, F1: 0.0276730, HIT_RATE: 0.1760971, ARHR: 0.0641973, NOVELTY: 0.0050572, AVERAGE_POPULARITY: 0.0177302, DIVERSITY_MEAN_INTER_LIST: 0.9973686, DIVERSITY_HERFINDAHL: 0.9997180, COVERAGE_ITEM: 0.5611627, COVERAGE_ITEM_CORRECT: 0.0323696, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0948282, DIVERSITY_GINI: 0.2721865, SHANNON_ENTROPY: 13.0076133, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 684, 'shrink': 705, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0810006, PRECISION: 0.0165914, PRECISION_RECALL_MIN_DEN: 0.0645709, RECALL: 0.0629946, MAP: 0.0262095, MRR: 0.0550091, NDCG: 0.0416015, F1: 0.0262610, HIT_RATE: 0.1659135, ARHR: 0.0602666, NOVELTY: 0.0050706, AVERAGE_POPULARITY: 0.0176825, DIVERSITY_MEAN_INTER_LIST: 0.9964594, DIVERSITY_HERFINDAHL: 0.9996271, COVERAGE_ITEM: 0.4870221, COVERAGE_ITEM_CORRECT: 0.0300212, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0913049, DIVERSITY_GINI: 0.2103568, SHANNON_ENTROPY: 12.6126566, 
