
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 761, 'shrink': 935, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9838919251339533, 'tversky_beta': 0.3287012295005565} - results: ROC_AUC: 0.0802949, PRECISION: 0.0163869, PRECISION_RECALL_MIN_DEN: 0.0635640, RECALL: 0.0619532, MAP: 0.0258553, MRR: 0.0542728, NDCG: 0.0409846, F1: 0.0259133, HIT_RATE: 0.1638689, ARHR: 0.0594642, NOVELTY: 0.0050711, AVERAGE_POPULARITY: 0.0177011, DIVERSITY_MEAN_INTER_LIST: 0.9963534, DIVERSITY_HERFINDAHL: 0.9996165, COVERAGE_ITEM: 0.4844812, COVERAGE_ITEM_CORRECT: 0.0295438, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0901976, DIVERSITY_GINI: 0.2076683, SHANNON_ENTROPY: 12.5876034, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 690, 'shrink': 333, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6630534991326051, 'tversky_beta': 0.84256873520104} - results: ROC_AUC: 0.0826574, PRECISION: 0.0169020, PRECISION_RECALL_MIN_DEN: 0.0651953, RECALL: 0.0635702, MAP: 0.0267395, MRR: 0.0562443, NDCG: 0.0422833, F1: 0.0266996, HIT_RATE: 0.1690204, ARHR: 0.0617401, NOVELTY: 0.0050669, AVERAGE_POPULARITY: 0.0176883, DIVERSITY_MEAN_INTER_LIST: 0.9966784, DIVERSITY_HERFINDAHL: 0.9996490, COVERAGE_ITEM: 0.4944986, COVERAGE_ITEM_CORRECT: 0.0307141, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0926639, DIVERSITY_GINI: 0.2184366, SHANNON_ENTROPY: 12.6816147, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 82, 'shrink': 774, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8091262395300451, 'tversky_beta': 0.6846015476700243} - results: ROC_AUC: 0.0858390, PRECISION: 0.0177464, PRECISION_RECALL_MIN_DEN: 0.0668364, RECALL: 0.0650200, MAP: 0.0276506, MRR: 0.0587580, NDCG: 0.0437030, F1: 0.0278779, HIT_RATE: 0.1774642, ARHR: 0.0649861, NOVELTY: 0.0050546, AVERAGE_POPULARITY: 0.0177655, DIVERSITY_MEAN_INTER_LIST: 0.9973845, DIVERSITY_HERFINDAHL: 0.9997196, COVERAGE_ITEM: 0.5621867, COVERAGE_ITEM_CORRECT: 0.0326622, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0956084, DIVERSITY_GINI: 0.2732575, SHANNON_ENTROPY: 13.0145027, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 719, 'shrink': 314, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.2755557878544264, 'tversky_beta': 0.6375613792465779} - results: ROC_AUC: 0.0803755, PRECISION: 0.0163944, PRECISION_RECALL_MIN_DEN: 0.0637426, RECALL: 0.0621701, MAP: 0.0258600, MRR: 0.0543755, NDCG: 0.0410563, F1: 0.0259426, HIT_RATE: 0.1639436, ARHR: 0.0595907, NOVELTY: 0.0050723, AVERAGE_POPULARITY: 0.0176622, DIVERSITY_MEAN_INTER_LIST: 0.9963518, DIVERSITY_HERFINDAHL: 0.9996163, COVERAGE_ITEM: 0.4835342, COVERAGE_ITEM_CORRECT: 0.0296362, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0902731, DIVERSITY_GINI: 0.2073463, SHANNON_ENTROPY: 12.5861108, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 291, 'shrink': 409, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8694673488087445, 'tversky_beta': 1.272645319184931} - results: ROC_AUC: 0.0836187, PRECISION: 0.0173048, PRECISION_RECALL_MIN_DEN: 0.0663743, RECALL: 0.0646886, MAP: 0.0268352, MRR: 0.0564631, NDCG: 0.0427110, F1: 0.0273014, HIT_RATE: 0.1730478, ARHR: 0.0622197, NOVELTY: 0.0050604, AVERAGE_POPULARITY: 0.0176987, DIVERSITY_MEAN_INTER_LIST: 0.9969197, DIVERSITY_HERFINDAHL: 0.9996731, COVERAGE_ITEM: 0.5158576, COVERAGE_ITEM_CORRECT: 0.0315457, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0942494, DIVERSITY_GINI: 0.2349950, SHANNON_ENTROPY: 12.7879625, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 635, 'shrink': 331, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.12891253028681107, 'tversky_beta': 0.7468379063179534} - results: ROC_AUC: 0.0801329, PRECISION: 0.0164630, PRECISION_RECALL_MIN_DEN: 0.0637181, RECALL: 0.0621146, MAP: 0.0257766, MRR: 0.0538922, NDCG: 0.0409671, F1: 0.0260233, HIT_RATE: 0.1646296, ARHR: 0.0591422, NOVELTY: 0.0050723, AVERAGE_POPULARITY: 0.0176376, DIVERSITY_MEAN_INTER_LIST: 0.9963091, DIVERSITY_HERFINDAHL: 0.9996120, COVERAGE_ITEM: 0.4827257, COVERAGE_ITEM_CORRECT: 0.0297440, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0903989, DIVERSITY_GINI: 0.2073442, SHANNON_ENTROPY: 12.5839243, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 941, 'shrink': 377, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.010675506716958, 'tversky_beta': 0.9417866714881109} - results: ROC_AUC: 0.0809177, PRECISION: 0.0163109, PRECISION_RECALL_MIN_DEN: 0.0634461, RECALL: 0.0618879, MAP: 0.0259499, MRR: 0.0546156, NDCG: 0.0411011, F1: 0.0258133, HIT_RATE: 0.1631086, ARHR: 0.0597020, NOVELTY: 0.0050690, AVERAGE_POPULARITY: 0.0177495, DIVERSITY_MEAN_INTER_LIST: 0.9963852, DIVERSITY_HERFINDAHL: 0.9996196, COVERAGE_ITEM: 0.4800000, COVERAGE_ITEM_CORRECT: 0.0295053, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0902227, DIVERSITY_GINI: 0.2052815, SHANNON_ENTROPY: 12.5791617, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 604, 'shrink': 46, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.27429082348958206, 'tversky_beta': 1.9242234096538349} - results: ROC_AUC: 0.0832195, PRECISION: 0.0169436, PRECISION_RECALL_MIN_DEN: 0.0651999, RECALL: 0.0635538, MAP: 0.0269334, MRR: 0.0562158, NDCG: 0.0424329, F1: 0.0267517, HIT_RATE: 0.1694356, ARHR: 0.0618395, NOVELTY: 0.0050693, AVERAGE_POPULARITY: 0.0179232, DIVERSITY_MEAN_INTER_LIST: 0.9966779, DIVERSITY_HERFINDAHL: 0.9996489, COVERAGE_ITEM: 0.4925197, COVERAGE_ITEM_CORRECT: 0.0307680, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0927394, DIVERSITY_GINI: 0.2174101, SHANNON_ENTROPY: 12.6767339, 

