
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 968, 'shrink': 136, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.618413825009243, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0883792, PRECISION: 0.0175797, PRECISION_RECALL_MIN_DEN: 0.0686408, RECALL: 0.0670694, MAP: 0.0287251, MRR: 0.0614213, NDCG: 0.0452067, F1: 0.0278559, HIT_RATE: 0.1757969, ARHR: 0.0672118, NOVELTY: 0.0050215, AVERAGE_POPULARITY: 0.0151882, DIVERSITY_MEAN_INTER_LIST: 0.9977796, DIVERSITY_HERFINDAHL: 0.9997590, COVERAGE_ITEM: 0.6253397, COVERAGE_ITEM_CORRECT: 0.0332166, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0970681, DIVERSITY_GINI: 0.3223000, SHANNON_ENTROPY: 13.2463334, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 813, 'shrink': 872, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4031747637967944, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0931199, PRECISION: 0.0188799, PRECISION_RECALL_MIN_DEN: 0.0721750, RECALL: 0.0703959, MAP: 0.0310658, MRR: 0.0659570, NDCG: 0.0482868, F1: 0.0297742, HIT_RATE: 0.1887991, ARHR: 0.0726733, NOVELTY: 0.0050272, AVERAGE_POPULARITY: 0.0151195, DIVERSITY_MEAN_INTER_LIST: 0.9977460, DIVERSITY_HERFINDAHL: 0.9997557, COVERAGE_ITEM: 0.5964504, COVERAGE_ITEM_CORRECT: 0.0357113, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1022021, DIVERSITY_GINI: 0.3064996, SHANNON_ENTROPY: 13.1869496, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 750, 'shrink': 545, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1577884218791967, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0800518, PRECISION: 0.0159726, PRECISION_RECALL_MIN_DEN: 0.0627625, RECALL: 0.0613896, MAP: 0.0270811, MRR: 0.0565916, NDCG: 0.0419564, F1: 0.0253467, HIT_RATE: 0.1597265, ARHR: 0.0617167, NOVELTY: 0.0050841, AVERAGE_POPULARITY: 0.0154978, DIVERSITY_MEAN_INTER_LIST: 0.9957491, DIVERSITY_HERFINDAHL: 0.9995560, COVERAGE_ITEM: 0.4016015, COVERAGE_ITEM_CORRECT: 0.0289817, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0883352, DIVERSITY_GINI: 0.1676045, SHANNON_ENTROPY: 12.3109654, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 460, 'shrink': 418, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.684669037902702, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0815007, PRECISION: 0.0163365, PRECISION_RECALL_MIN_DEN: 0.0634476, RECALL: 0.0619729, MAP: 0.0274863, MRR: 0.0579308, NDCG: 0.0425545, F1: 0.0258544, HIT_RATE: 0.1633649, ARHR: 0.0632720, NOVELTY: 0.0050798, AVERAGE_POPULARITY: 0.0154986, DIVERSITY_MEAN_INTER_LIST: 0.9960903, DIVERSITY_HERFINDAHL: 0.9995902, COVERAGE_ITEM: 0.4115804, COVERAGE_ITEM_CORRECT: 0.0296747, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0900717, DIVERSITY_GINI: 0.1758620, SHANNON_ENTROPY: 12.3946375, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 138, 'shrink': 685, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6981551083944005, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1016284, PRECISION: 0.0203512, PRECISION_RECALL_MIN_DEN: 0.0780963, RECALL: 0.0761157, MAP: 0.0349278, MRR: 0.0723471, NDCG: 0.0531973, F1: 0.0321150, HIT_RATE: 0.2035118, ARHR: 0.0802012, NOVELTY: 0.0050699, AVERAGE_POPULARITY: 0.0163917, DIVERSITY_MEAN_INTER_LIST: 0.9971266, DIVERSITY_HERFINDAHL: 0.9996938, COVERAGE_ITEM: 0.5232262, COVERAGE_ITEM_CORRECT: 0.0374283, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1085441, DIVERSITY_GINI: 0.2567602, SHANNON_ENTROPY: 12.9257624, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 963, 'shrink': 661, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6955077178348622, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1017194, PRECISION: 0.0202339, PRECISION_RECALL_MIN_DEN: 0.0787704, RECALL: 0.0769363, MAP: 0.0352338, MRR: 0.0721054, NDCG: 0.0536119, F1: 0.0320401, HIT_RATE: 0.2023393, ARHR: 0.0797060, NOVELTY: 0.0050765, AVERAGE_POPULARITY: 0.0165398, DIVERSITY_MEAN_INTER_LIST: 0.9971252, DIVERSITY_HERFINDAHL: 0.9996936, COVERAGE_ITEM: 0.5098903, COVERAGE_ITEM_CORRECT: 0.0368662, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1086196, DIVERSITY_GINI: 0.2442157, SHANNON_ENTROPY: 12.8585545, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 691, 'shrink': 839, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.090046029968067, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0940275, PRECISION: 0.0189174, PRECISION_RECALL_MIN_DEN: 0.0723280, RECALL: 0.0705424, MAP: 0.0312152, MRR: 0.0661193, NDCG: 0.0484619, F1: 0.0298338, HIT_RATE: 0.1891741, ARHR: 0.0729193, NOVELTY: 0.0050290, AVERAGE_POPULARITY: 0.0150822, DIVERSITY_MEAN_INTER_LIST: 0.9977116, DIVERSITY_HERFINDAHL: 0.9997523, COVERAGE_ITEM: 0.5842310, COVERAGE_ITEM_CORRECT: 0.0357421, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1025041, DIVERSITY_GINI: 0.2990020, SHANNON_ENTROPY: 13.1549355, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 298, 'shrink': 282, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0368574391957923, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0817143, PRECISION: 0.0164429, PRECISION_RECALL_MIN_DEN: 0.0635889, RECALL: 0.0620596, MAP: 0.0273242, MRR: 0.0578232, NDCG: 0.0424633, F1: 0.0259957, HIT_RATE: 0.1644294, ARHR: 0.0632955, NOVELTY: 0.0050807, AVERAGE_POPULARITY: 0.0155350, DIVERSITY_MEAN_INTER_LIST: 0.9961280, DIVERSITY_HERFINDAHL: 0.9995939, COVERAGE_ITEM: 0.4141367, COVERAGE_ITEM_CORRECT: 0.0298595, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0902731, DIVERSITY_GINI: 0.1783994, SHANNON_ENTROPY: 12.4166738, 
