
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 244, 'shrink': 677, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2409847596477004, 'feature_weighting': 'BM25', 'icm_weight': 17.810169881619476} - results: ROC_AUC: 0.0909449, PRECISION: 0.0192130, PRECISION_RECALL_MIN_DEN: 0.0752112, RECALL: 0.0734502, MAP: 0.0294321, MRR: 0.0615929, NDCG: 0.0474264, F1: 0.0304580, HIT_RATE: 0.1921295, ARHR: 0.0678792, NOVELTY: 0.0049300, AVERAGE_POPULARITY: 0.0165417, DIVERSITY_MEAN_INTER_LIST: 0.9972030, DIVERSITY_HERFINDAHL: 0.9997014, COVERAGE_ITEM: 0.5363157, COVERAGE_ITEM_CORRECT: 0.0352801, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1057254, DIVERSITY_GINI: 0.2512819, SHANNON_ENTROPY: 12.8914209, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 145, 'shrink': 670, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2337852078479719, 'feature_weighting': 'TF-IDF', 'icm_weight': 6.886538363917748} - results: ROC_AUC: 0.0803035, PRECISION: 0.0174537, PRECISION_RECALL_MIN_DEN: 0.0642339, RECALL: 0.0624646, MAP: 0.0243772, MRR: 0.0537850, NDCG: 0.0402764, F1: 0.0272822, HIT_RATE: 0.1745372, ARHR: 0.0598797, NOVELTY: 0.0049517, AVERAGE_POPULARITY: 0.0193286, DIVERSITY_MEAN_INTER_LIST: 0.9967449, DIVERSITY_HERFINDAHL: 0.9996556, COVERAGE_ITEM: 0.5589913, COVERAGE_ITEM_CORRECT: 0.0309374, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0940732, DIVERSITY_GINI: 0.2628487, SHANNON_ENTROPY: 12.8959218, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 599, 'shrink': 36, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6228153561498627, 'feature_weighting': 'BM25', 'icm_weight': 15.690016453506658} - results: ROC_AUC: 0.1054372, PRECISION: 0.0223336, PRECISION_RECALL_MIN_DEN: 0.0882356, RECALL: 0.0863571, MAP: 0.0341819, MRR: 0.0707687, NDCG: 0.0553827, F1: 0.0354861, HIT_RATE: 0.2233365, ARHR: 0.0783349, NOVELTY: 0.0048385, AVERAGE_POPULARITY: 0.0199918, DIVERSITY_MEAN_INTER_LIST: 0.9973475, DIVERSITY_HERFINDAHL: 0.9997158, COVERAGE_ITEM: 0.5787873, COVERAGE_ITEM_CORRECT: 0.0394456, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1214043, DIVERSITY_GINI: 0.2743450, SHANNON_ENTROPY: 12.9974360, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'topK': 771, 'shrink': 859, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.23266053536716563, 'feature_weighting': 'BM25', 'icm_weight': 5.966313056261619} - results: ROC_AUC: 0.1371173, PRECISION: 0.0291266, PRECISION_RECALL_MIN_DEN: 0.1095537, RECALL: 0.1068406, MAP: 0.0453497, MRR: 0.0952294, NDCG: 0.0716891, F1: 0.0457731, HIT_RATE: 0.2912663, ARHR: 0.1072133, NOVELTY: 0.0049654, AVERAGE_POPULARITY: 0.0339785, DIVERSITY_MEAN_INTER_LIST: 0.9973248, DIVERSITY_HERFINDAHL: 0.9997136, COVERAGE_ITEM: 0.6368200, COVERAGE_ITEM_CORRECT: 0.0463523, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1513779, DIVERSITY_GINI: 0.3178878, SHANNON_ENTROPY: 13.1572578, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 290, 'shrink': 246, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.86871125643005, 'feature_weighting': 'TF-IDF', 'icm_weight': 12.377942174315335} - results: ROC_AUC: 0.0404409, PRECISION: 0.0083837, PRECISION_RECALL_MIN_DEN: 0.0293969, RECALL: 0.0282795, MAP: 0.0105932, MRR: 0.0261432, NDCG: 0.0181332, F1: 0.0129300, HIT_RATE: 0.0838370, ARHR: 0.0281565, NOVELTY: 0.0049329, AVERAGE_POPULARITY: 0.0118232, DIVERSITY_MEAN_INTER_LIST: 0.9948354, DIVERSITY_HERFINDAHL: 0.9994647, COVERAGE_ITEM: 0.3204081, COVERAGE_ITEM_CORRECT: 0.0153455, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0485466, DIVERSITY_GINI: 0.1287612, SHANNON_ENTROPY: 11.9694818, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 179, 'shrink': 681, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9648463001685204, 'feature_weighting': 'BM25', 'icm_weight': 14.590349985668565} - results: ROC_AUC: 0.1059066, PRECISION: 0.0224124, PRECISION_RECALL_MIN_DEN: 0.0865356, RECALL: 0.0844357, MAP: 0.0345195, MRR: 0.0719939, NDCG: 0.0552311, F1: 0.0354217, HIT_RATE: 0.2241238, ARHR: 0.0800251, NOVELTY: 0.0049359, AVERAGE_POPULARITY: 0.0211550, DIVERSITY_MEAN_INTER_LIST: 0.9975399, DIVERSITY_HERFINDAHL: 0.9997351, COVERAGE_ITEM: 0.5944716, COVERAGE_ITEM_CORRECT: 0.0394533, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1204228, DIVERSITY_GINI: 0.2926591, SHANNON_ENTROPY: 13.0999368, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 836, 'shrink': 86, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.299601924910052, 'feature_weighting': 'TF-IDF', 'icm_weight': 13.223997429724015} - results: ROC_AUC: 0.0330257, PRECISION: 0.0068941, PRECISION_RECALL_MIN_DEN: 0.0258864, RECALL: 0.0251387, MAP: 0.0087104, MRR: 0.0204882, NDCG: 0.0152904, F1: 0.0108182, HIT_RATE: 0.0689408, ARHR: 0.0217908, NOVELTY: 0.0047761, AVERAGE_POPULARITY: 0.0085642, DIVERSITY_MEAN_INTER_LIST: 0.9918904, DIVERSITY_HERFINDAHL: 0.9991702, COVERAGE_ITEM: 0.2497324, COVERAGE_ITEM_CORRECT: 0.0129201, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0407953, DIVERSITY_GINI: 0.0783450, SHANNON_ENTROPY: 11.2549132, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 196, 'shrink': 882, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6613125442334221, 'feature_weighting': 'TF-IDF', 'icm_weight': 9.673925788769727} - results: ROC_AUC: 0.1015506, PRECISION: 0.0216281, PRECISION_RECALL_MIN_DEN: 0.0787340, RECALL: 0.0765756, MAP: 0.0319417, MRR: 0.0704620, NDCG: 0.0514385, F1: 0.0337285, HIT_RATE: 0.2162815, ARHR: 0.0788560, NOVELTY: 0.0049705, AVERAGE_POPULARITY: 0.0242581, DIVERSITY_MEAN_INTER_LIST: 0.9975867, DIVERSITY_HERFINDAHL: 0.9997398, COVERAGE_ITEM: 0.6379673, COVERAGE_ITEM_CORRECT: 0.0363965, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1135523, DIVERSITY_GINI: 0.3253854, SHANNON_ENTROPY: 13.2222433, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 387, 'shrink': 851, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6643520434635607, 'feature_weighting': 'BM25', 'icm_weight': 4.0234612548620134} - results: ROC_AUC: 0.1321481, PRECISION: 0.0282501, PRECISION_RECALL_MIN_DEN: 0.1051786, RECALL: 0.1025539, MAP: 0.0435352, MRR: 0.0918282, NDCG: 0.0689729, F1: 0.0442966, HIT_RATE: 0.2825008, ARHR: 0.1035235, NOVELTY: 0.0049648, AVERAGE_POPULARITY: 0.0310603, DIVERSITY_MEAN_INTER_LIST: 0.9975495, DIVERSITY_HERFINDAHL: 0.9997360, COVERAGE_ITEM: 0.6529740, COVERAGE_ITEM_CORRECT: 0.0458749, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1465710, DIVERSITY_GINI: 0.3326890, SHANNON_ENTROPY: 13.2373578, 
