
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 342, 'shrink': 968, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 15.432454988173463} - results: ROC_AUC: 0.1373899, PRECISION: 0.0284284, PRECISION_RECALL_MIN_DEN: 0.1062488, RECALL: 0.1035766, MAP: 0.0461575, MRR: 0.0973968, NDCG: 0.0716138, F1: 0.0446115, HIT_RATE: 0.2842843, ARHR: 0.1091518, NOVELTY: 0.0048361, AVERAGE_POPULARITY: 0.0706787, DIVERSITY_MEAN_INTER_LIST: 0.9916233, DIVERSITY_HERFINDAHL: 0.9991435, COVERAGE_ITEM: 0.4713686, COVERAGE_ITEM_CORRECT: 0.0373205, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1485844, DIVERSITY_GINI: 0.1828903, SHANNON_ENTROPY: 12.1260792, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 257, 'shrink': 901, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 9.177604895711406} - results: ROC_AUC: 0.1383037, PRECISION: 0.0285340, PRECISION_RECALL_MIN_DEN: 0.1062467, RECALL: 0.1035420, MAP: 0.0461651, MRR: 0.0980942, NDCG: 0.0717031, F1: 0.0447381, HIT_RATE: 0.2853398, ARHR: 0.1101144, NOVELTY: 0.0048346, AVERAGE_POPULARITY: 0.0702588, DIVERSITY_MEAN_INTER_LIST: 0.9918433, DIVERSITY_HERFINDAHL: 0.9991655, COVERAGE_ITEM: 0.4797613, COVERAGE_ITEM_CORRECT: 0.0376901, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1486095, DIVERSITY_GINI: 0.1893580, SHANNON_ENTROPY: 12.1777187, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 44, 'shrink': 984, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 19.394143529596487} - results: ROC_AUC: 0.1383037, PRECISION: 0.0287208, PRECISION_RECALL_MIN_DEN: 0.1065040, RECALL: 0.1037458, MAP: 0.0466231, MRR: 0.0981091, NDCG: 0.0720654, F1: 0.0449847, HIT_RATE: 0.2872083, ARHR: 0.1103367, NOVELTY: 0.0048243, AVERAGE_POPULARITY: 0.0691675, DIVERSITY_MEAN_INTER_LIST: 0.9922697, DIVERSITY_HERFINDAHL: 0.9992082, COVERAGE_ITEM: 0.5383869, COVERAGE_ITEM_CORRECT: 0.0386679, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1488864, DIVERSITY_GINI: 0.2262765, SHANNON_ENTROPY: 12.3883086, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 300, 'shrink': 233, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 17.395483030562037} - results: ROC_AUC: 0.1364908, PRECISION: 0.0282497, PRECISION_RECALL_MIN_DEN: 0.1057515, RECALL: 0.1031157, MAP: 0.0457224, MRR: 0.0967247, NDCG: 0.0710921, F1: 0.0443482, HIT_RATE: 0.2824975, ARHR: 0.1084481, NOVELTY: 0.0048771, AVERAGE_POPULARITY: 0.0594994, DIVERSITY_MEAN_INTER_LIST: 0.9939302, DIVERSITY_HERFINDAHL: 0.9993742, COVERAGE_ITEM: 0.4879384, COVERAGE_ITEM_CORRECT: 0.0390452, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1469989, DIVERSITY_GINI: 0.2000173, SHANNON_ENTROPY: 12.3591086, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 228, 'shrink': 459, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 14.752347955644534} - results: ROC_AUC: 0.1384853, PRECISION: 0.0284768, PRECISION_RECALL_MIN_DEN: 0.1065504, RECALL: 0.1038444, MAP: 0.0461599, MRR: 0.0979954, NDCG: 0.0717130, F1: 0.0446959, HIT_RATE: 0.2847684, ARHR: 0.1099656, NOVELTY: 0.0048515, AVERAGE_POPULARITY: 0.0658786, DIVERSITY_MEAN_INTER_LIST: 0.9927946, DIVERSITY_HERFINDAHL: 0.9992606, COVERAGE_ITEM: 0.4877305, COVERAGE_ITEM_CORRECT: 0.0385140, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1486095, DIVERSITY_GINI: 0.1968168, SHANNON_ENTROPY: 12.2727328, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 197, 'shrink': 63, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 14.731331262435583} - results: ROC_AUC: 0.1341513, PRECISION: 0.0276511, PRECISION_RECALL_MIN_DEN: 0.1043788, RECALL: 0.1018334, MAP: 0.0445524, MRR: 0.0939046, NDCG: 0.0695591, F1: 0.0434922, HIT_RATE: 0.2765110, ARHR: 0.1053399, NOVELTY: 0.0049371, AVERAGE_POPULARITY: 0.0451193, DIVERSITY_MEAN_INTER_LIST: 0.9961269, DIVERSITY_HERFINDAHL: 0.9995938, COVERAGE_ITEM: 0.5367315, COVERAGE_ITEM_CORRECT: 0.0419172, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1445325, DIVERSITY_GINI: 0.2429445, SHANNON_ENTROPY: 12.7441322, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 495, 'shrink': 99, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 17.686895701041003} - results: ROC_AUC: 0.1343827, PRECISION: 0.0274160, PRECISION_RECALL_MIN_DEN: 0.1044350, RECALL: 0.1020024, MAP: 0.0446448, MRR: 0.0933518, NDCG: 0.0696175, F1: 0.0432162, HIT_RATE: 0.2741601, ARHR: 0.1042120, NOVELTY: 0.0049255, AVERAGE_POPULARITY: 0.0491690, DIVERSITY_MEAN_INTER_LIST: 0.9953680, DIVERSITY_HERFINDAHL: 0.9995179, COVERAGE_ITEM: 0.4963157, COVERAGE_ITEM_CORRECT: 0.0398768, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1450107, DIVERSITY_GINI: 0.2106958, SHANNON_ENTROPY: 12.5190082, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 570, 'shrink': 213, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 10.842385981177037} - results: ROC_AUC: 0.1360777, PRECISION: 0.0278974, PRECISION_RECALL_MIN_DEN: 0.1060831, RECALL: 0.1035690, MAP: 0.0454185, MRR: 0.0952762, NDCG: 0.0707791, F1: 0.0439546, HIT_RATE: 0.2789737, ARHR: 0.1065189, NOVELTY: 0.0048884, AVERAGE_POPULARITY: 0.0581014, DIVERSITY_MEAN_INTER_LIST: 0.9939488, DIVERSITY_HERFINDAHL: 0.9993760, COVERAGE_ITEM: 0.4727546, COVERAGE_ITEM_CORRECT: 0.0386526, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1472254, DIVERSITY_GINI: 0.1897320, SHANNON_ENTROPY: 12.2998698, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 361, 'shrink': 223, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 3.4367593346604886} - results: ROC_AUC: 0.1362134, PRECISION: 0.0280873, PRECISION_RECALL_MIN_DEN: 0.1055776, RECALL: 0.1029612, MAP: 0.0454013, MRR: 0.0957008, NDCG: 0.0707192, F1: 0.0441332, HIT_RATE: 0.2808729, ARHR: 0.1071556, NOVELTY: 0.0048812, AVERAGE_POPULARITY: 0.0588952, DIVERSITY_MEAN_INTER_LIST: 0.9939646, DIVERSITY_HERFINDAHL: 0.9993776, COVERAGE_ITEM: 0.4839269, COVERAGE_ITEM_CORRECT: 0.0388681, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1472254, DIVERSITY_GINI: 0.1971967, SHANNON_ENTROPY: 12.3452315, 
