
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 529, 'shrink': 922, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0231871761331173, 'tversky_beta': 1.4174259242892298, 'icm_weight': 14.248528868079857} - results: ROC_AUC: 0.1367516, PRECISION: 0.0281745, PRECISION_RECALL_MIN_DEN: 0.1062511, RECALL: 0.1036393, MAP: 0.0461076, MRR: 0.0963007, NDCG: 0.0714179, F1: 0.0443044, HIT_RATE: 0.2817447, ARHR: 0.1079477, NOVELTY: 0.0048421, AVERAGE_POPULARITY: 0.0699793, DIVERSITY_MEAN_INTER_LIST: 0.9916381, DIVERSITY_HERFINDAHL: 0.9991450, COVERAGE_ITEM: 0.4590414, COVERAGE_ITEM_CORRECT: 0.0369971, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1475022, DIVERSITY_GINI: 0.1748872, SHANNON_ENTROPY: 12.0751194, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 528, 'shrink': 74, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.26450789876398156, 'tversky_beta': 1.0145968874493094, 'icm_weight': 19.477303660483972} - results: ROC_AUC: 0.1366534, PRECISION: 0.0281100, PRECISION_RECALL_MIN_DEN: 0.1067951, RECALL: 0.1042161, MAP: 0.0459904, MRR: 0.0962110, NDCG: 0.0714596, F1: 0.0442766, HIT_RATE: 0.2811003, ARHR: 0.1076255, NOVELTY: 0.0048941, AVERAGE_POPULARITY: 0.0580986, DIVERSITY_MEAN_INTER_LIST: 0.9940734, DIVERSITY_HERFINDAHL: 0.9993885, COVERAGE_ITEM: 0.4733936, COVERAGE_ITEM_CORRECT: 0.0390606, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1476029, DIVERSITY_GINI: 0.1913881, SHANNON_ENTROPY: 12.3227678, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'topK': 773, 'shrink': 547, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.222068652329237, 'tversky_beta': 1.4229371300911877, 'icm_weight': 18.59025670595068} - results: ROC_AUC: 0.1349606, PRECISION: 0.0279309, PRECISION_RECALL_MIN_DEN: 0.1057710, RECALL: 0.1031986, MAP: 0.0455012, MRR: 0.0951238, NDCG: 0.0707231, F1: 0.0439621, HIT_RATE: 0.2793087, ARHR: 0.1063720, NOVELTY: 0.0048611, AVERAGE_POPULARITY: 0.0651941, DIVERSITY_MEAN_INTER_LIST: 0.9924715, DIVERSITY_HERFINDAHL: 0.9992283, COVERAGE_ITEM: 0.4535515, COVERAGE_ITEM_CORRECT: 0.0372666, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1464452, DIVERSITY_GINI: 0.1727475, SHANNON_ENTROPY: 12.1029980, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 157, 'shrink': 423, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.630057575248649, 'tversky_beta': 0.18536985007510468, 'icm_weight': 2.9067778590436664} - results: ROC_AUC: 0.1387603, PRECISION: 0.0286394, PRECISION_RECALL_MIN_DEN: 0.1061783, RECALL: 0.1034461, MAP: 0.0460198, MRR: 0.0979298, NDCG: 0.0715366, F1: 0.0448573, HIT_RATE: 0.2863939, ARHR: 0.1102178, NOVELTY: 0.0048594, AVERAGE_POPULARITY: 0.0623202, DIVERSITY_MEAN_INTER_LIST: 0.9934374, DIVERSITY_HERFINDAHL: 0.9993249, COVERAGE_ITEM: 0.5054629, COVERAGE_ITEM_CORRECT: 0.0395380, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1492387, DIVERSITY_GINI: 0.2093743, SHANNON_ENTROPY: 12.3748872, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 74, 'shrink': 258, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8770452088171059, 'tversky_beta': 0.883386006103055, 'icm_weight': 14.514423792668415} - results: ROC_AUC: 0.1376418, PRECISION: 0.0287747, PRECISION_RECALL_MIN_DEN: 0.1065862, RECALL: 0.1038037, MAP: 0.0463392, MRR: 0.0973188, NDCG: 0.0717954, F1: 0.0450568, HIT_RATE: 0.2877469, ARHR: 0.1096114, NOVELTY: 0.0048600, AVERAGE_POPULARITY: 0.0622113, DIVERSITY_MEAN_INTER_LIST: 0.9937225, DIVERSITY_HERFINDAHL: 0.9993534, COVERAGE_ITEM: 0.5296169, COVERAGE_ITEM_CORRECT: 0.0397921, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1488360, DIVERSITY_GINI: 0.2264156, SHANNON_ENTROPY: 12.4808694, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'topK': 521, 'shrink': 670, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5522813591758976, 'tversky_beta': 0.5179531021891862, 'icm_weight': 11.360447485236085} - results: ROC_AUC: 0.1368898, PRECISION: 0.0281706, PRECISION_RECALL_MIN_DEN: 0.1061045, RECALL: 0.1035127, MAP: 0.0460462, MRR: 0.0964098, NDCG: 0.0713760, F1: 0.0442880, HIT_RATE: 0.2817057, ARHR: 0.1080387, NOVELTY: 0.0048364, AVERAGE_POPULARITY: 0.0716893, DIVERSITY_MEAN_INTER_LIST: 0.9912471, DIVERSITY_HERFINDAHL: 0.9991059, COVERAGE_ITEM: 0.4596651, COVERAGE_ITEM_CORRECT: 0.0367353, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1473512, DIVERSITY_GINI: 0.1743349, SHANNON_ENTROPY: 12.0506576, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 812, 'shrink': 780, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.513153110489427, 'tversky_beta': 0.02880956358067111, 'icm_weight': 15.091001537123375} - results: ROC_AUC: 0.1337836, PRECISION: 0.0277685, PRECISION_RECALL_MIN_DEN: 0.1050842, RECALL: 0.1025309, MAP: 0.0451337, MRR: 0.0946527, NDCG: 0.0702256, F1: 0.0437008, HIT_RATE: 0.2776846, ARHR: 0.1057655, NOVELTY: 0.0048481, AVERAGE_POPULARITY: 0.0678005, DIVERSITY_MEAN_INTER_LIST: 0.9918374, DIVERSITY_HERFINDAHL: 0.9991649, COVERAGE_ITEM: 0.4508566, COVERAGE_ITEM_CORRECT: 0.0364735, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1459670, DIVERSITY_GINI: 0.1693555, SHANNON_ENTROPY: 12.0440632, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 631, 'shrink': 936, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6178934584433458, 'tversky_beta': 0.7061395967094285, 'icm_weight': 18.095215105442513} - results: ROC_AUC: 0.1355924, PRECISION: 0.0281136, PRECISION_RECALL_MIN_DEN: 0.1062028, RECALL: 0.1035915, MAP: 0.0455670, MRR: 0.0955887, NDCG: 0.0709297, F1: 0.0442246, HIT_RATE: 0.2811359, ARHR: 0.1070818, NOVELTY: 0.0048483, AVERAGE_POPULARITY: 0.0682420, DIVERSITY_MEAN_INTER_LIST: 0.9918973, DIVERSITY_HERFINDAHL: 0.9991709, COVERAGE_ITEM: 0.4567546, COVERAGE_ITEM_CORRECT: 0.0370895, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1470744, DIVERSITY_GINI: 0.1735041, SHANNON_ENTROPY: 12.0765991, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 769, 'shrink': 848, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.4275864903448303, 'tversky_beta': 0.6545511103502913, 'icm_weight': 15.210531864050047} - results: ROC_AUC: 0.1349044, PRECISION: 0.0278591, PRECISION_RECALL_MIN_DEN: 0.1054103, RECALL: 0.1028414, MAP: 0.0452805, MRR: 0.0948377, NDCG: 0.0704447, F1: 0.0438408, HIT_RATE: 0.2785911, ARHR: 0.1060786, NOVELTY: 0.0048482, AVERAGE_POPULARITY: 0.0682803, DIVERSITY_MEAN_INTER_LIST: 0.9917940, DIVERSITY_HERFINDAHL: 0.9991606, COVERAGE_ITEM: 0.4516651, COVERAGE_ITEM_CORRECT: 0.0366121, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1461432, DIVERSITY_GINI: 0.1697947, SHANNON_ENTROPY: 12.0453357, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 394, 'shrink': 432, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.14708726553565923, 'tversky_beta': 1.8269979319079177, 'icm_weight': 8.475418738578838} - results: ROC_AUC: 0.1380804, PRECISION: 0.0282992, PRECISION_RECALL_MIN_DEN: 0.1066499, RECALL: 0.1040374, MAP: 0.0461284, MRR: 0.0968676, NDCG: 0.0716401, F1: 0.0444949, HIT_RATE: 0.2829922, ARHR: 0.1084955, NOVELTY: 0.0048433, AVERAGE_POPULARITY: 0.0707417, DIVERSITY_MEAN_INTER_LIST: 0.9916847, DIVERSITY_HERFINDAHL: 0.9991497, COVERAGE_ITEM: 0.4611357, COVERAGE_ITEM_CORRECT: 0.0372820, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1484585, DIVERSITY_GINI: 0.1772349, SHANNON_ENTROPY: 12.0984392, 
