
SearchBayesianSkopt-CV: New best config found. Config 0: {'sgd_mode': 'adagrad', 'epochs': 500, 'use_bias': True, 'batch_size': 4, 'num_factors': 164, 'item_reg': 4.656932453587535e-05, 'user_reg': 0.0005575231609134776, 'learning_rate': 0.0005051707341363264, 'negative_interactions_quota': 0.06716017297460682, 'epochs0': 65, 'epochs1': 20, 'epochs2': 20, 'epochs3': 10, 'epochs4': 160} - results: ROC_AUC: 0.0007326, PRECISION: 0.0001478, PRECISION_RECALL_MIN_DEN: 0.0004793, RECALL: 0.0004579, MAP: 0.0001689, MRR: 0.0005269, NDCG: 0.0002963, F1: 0.0002149, HIT_RATE: 0.0014780, ARHR: 0.0005269, NOVELTY: 0.0050457, AVERAGE_POPULARITY: 0.0123698, DIVERSITY_MEAN_INTER_LIST: 0.9994148, DIVERSITY_HERFINDAHL: 0.9999225, COVERAGE_ITEM: 0.7587295, COVERAGE_ITEM_CORRECT: 0.0003003, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0009815, DIVERSITY_GINI: 0.4835139, SHANNON_ENTROPY: 13.9467716, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'sgd_mode': 'adam', 'epochs': 500, 'use_bias': True, 'batch_size': 16, 'num_factors': 48, 'item_reg': 7.839511633455136e-05, 'user_reg': 0.00014506371077420898, 'learning_rate': 0.0007306469545877332, 'negative_interactions_quota': 0.24019979057725432, 'epochs0': 5, 'epochs1': 5, 'epochs2': 5, 'epochs3': 5, 'epochs4': 5} - results: ROC_AUC: 0.0289405, PRECISION: 0.0047069, PRECISION_RECALL_MIN_DEN: 0.0175515, RECALL: 0.0170229, MAP: 0.0081058, MRR: 0.0200058, NDCG: 0.0125346, F1: 0.0073693, HIT_RATE: 0.0470691, ARHR: 0.0207323, NOVELTY: 0.0038970, AVERAGE_POPULARITY: 0.3550732, DIVERSITY_MEAN_INTER_LIST: 0.6632010, DIVERSITY_HERFINDAHL: 0.9663075, COVERAGE_ITEM: 0.0403311, COVERAGE_ITEM_CORRECT: 0.0016400, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0290172, DIVERSITY_GINI: 0.0033682, SHANNON_ENTROPY: 6.2218773, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'sgd_mode': 'adam', 'epochs': 500, 'use_bias': False, 'batch_size': 8, 'num_factors': 145, 'item_reg': 0.0007640544221313997, 'user_reg': 0.003196082892576708, 'learning_rate': 0.0009432575508341905, 'negative_interactions_quota': 0.021602536499651385, 'epochs0': 500, 'epochs1': 495, 'epochs2': 500, 'epochs3': 500, 'epochs4': 485} - results: ROC_AUC: 0.0716926, PRECISION: 0.0133989, PRECISION_RECALL_MIN_DEN: 0.0487293, RECALL: 0.0472625, MAP: 0.0221792, MRR: 0.0503996, NDCG: 0.0341438, F1: 0.0208739, HIT_RATE: 0.1339887, ARHR: 0.0547898, NOVELTY: 0.0046132, AVERAGE_POPULARITY: 0.1287094, DIVERSITY_MEAN_INTER_LIST: 0.9793136, DIVERSITY_HERFINDAHL: 0.9979128, COVERAGE_ITEM: 0.2063831, COVERAGE_ITEM_CORRECT: 0.0134514, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0747955, DIVERSITY_GINI: 0.0498555, SHANNON_ENTROPY: 10.3548947, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'sgd_mode': 'sgd', 'epochs': 500, 'use_bias': False, 'batch_size': 1024, 'num_factors': 155, 'item_reg': 0.0016431132072977236, 'user_reg': 0.00017202128209866833, 'learning_rate': 0.010337150696000063, 'negative_interactions_quota': 0.4438468056329184, 'epochs0': 5, 'epochs1': 5, 'epochs2': 5, 'epochs3': 5, 'epochs4': 5} - results: ROC_AUC: 0.0005598, PRECISION: 0.0001213, PRECISION_RECALL_MIN_DEN: 0.0002990, RECALL: 0.0002713, MAP: 0.0000704, MRR: 0.0003530, NDCG: 0.0001700, F1: 0.0001638, HIT_RATE: 0.0012133, ARHR: 0.0003530, NOVELTY: 0.0050035, AVERAGE_POPULARITY: 0.0109806, DIVERSITY_MEAN_INTER_LIST: 0.9994132, DIVERSITY_HERFINDAHL: 0.9999224, COVERAGE_ITEM: 0.7569971, COVERAGE_ITEM_CORRECT: 0.0002464, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0008053, DIVERSITY_GINI: 0.4822714, SHANNON_ENTROPY: 13.9433604, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'sgd_mode': 'adam', 'epochs': 500, 'use_bias': True, 'batch_size': 64, 'num_factors': 176, 'item_reg': 1.2499256677580684e-05, 'user_reg': 3.950999299680791e-05, 'learning_rate': 0.00019583525109128697, 'negative_interactions_quota': 0.2832891416744497, 'epochs0': 100, 'epochs1': 125, 'epochs2': 165, 'epochs3': 120, 'epochs4': 210} - results: ROC_AUC: 0.0219698, PRECISION: 0.0036767, PRECISION_RECALL_MIN_DEN: 0.0138768, RECALL: 0.0134465, MAP: 0.0060321, MRR: 0.0147549, NDCG: 0.0095137, F1: 0.0057664, HIT_RATE: 0.0367667, ARHR: 0.0151329, NOVELTY: 0.0041888, AVERAGE_POPULARITY: 0.2537438, DIVERSITY_MEAN_INTER_LIST: 0.8778613, DIVERSITY_HERFINDAHL: 0.9877695, COVERAGE_ITEM: 0.1529779, COVERAGE_ITEM_CORRECT: 0.0023792, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0232792, DIVERSITY_GINI: 0.0231781, SHANNON_ENTROPY: 8.5542164, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'sgd_mode': 'adagrad', 'epochs': 500, 'use_bias': True, 'batch_size': 128, 'num_factors': 99, 'item_reg': 0.0002859030588702876, 'user_reg': 1.1452726639606226e-05, 'learning_rate': 0.011472467154184202, 'negative_interactions_quota': 0.20130674580835733, 'epochs0': 45, 'epochs1': 35, 'epochs2': 35, 'epochs3': 30, 'epochs4': 35} - results: ROC_AUC: 0.0212801, PRECISION: 0.0036806, PRECISION_RECALL_MIN_DEN: 0.0136966, RECALL: 0.0132517, MAP: 0.0057946, MRR: 0.0143068, NDCG: 0.0092287, F1: 0.0057568, HIT_RATE: 0.0368058, ARHR: 0.0146115, NOVELTY: 0.0041557, AVERAGE_POPULARITY: 0.2570985, DIVERSITY_MEAN_INTER_LIST: 0.8713375, DIVERSITY_HERFINDAHL: 0.9871172, COVERAGE_ITEM: 0.1022522, COVERAGE_ITEM_CORRECT: 0.0021944, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0233799, DIVERSITY_GINI: 0.0140723, SHANNON_ENTROPY: 8.1287810, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'sgd_mode': 'adagrad', 'epochs': 500, 'use_bias': True, 'batch_size': 2, 'num_factors': 104, 'item_reg': 0.00045627673230164183, 'user_reg': 4.9367386114695775e-05, 'learning_rate': 0.005467060890203527, 'negative_interactions_quota': 0.11249423477740153, 'epochs0': 305, 'epochs1': 255, 'epochs2': 135, 'epochs3': 340, 'epochs4': 315} - results: ROC_AUC: 0.0222934, PRECISION: 0.0039108, PRECISION_RECALL_MIN_DEN: 0.0146917, RECALL: 0.0142864, MAP: 0.0059853, MRR: 0.0151344, NDCG: 0.0097550, F1: 0.0061382, HIT_RATE: 0.0391085, ARHR: 0.0154313, NOVELTY: 0.0041141, AVERAGE_POPULARITY: 0.2715919, DIVERSITY_MEAN_INTER_LIST: 0.8497047, DIVERSITY_HERFINDAHL: 0.9849544, COVERAGE_ITEM: 0.0889394, COVERAGE_ITEM_CORRECT: 0.0023176, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0248396, DIVERSITY_GINI: 0.0118286, SHANNON_ENTROPY: 7.8769084, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'sgd_mode': 'adagrad', 'epochs': 500, 'use_bias': True, 'batch_size': 8, 'num_factors': 30, 'item_reg': 0.003831608624109259, 'user_reg': 0.009579538246989209, 'learning_rate': 0.00016808598805552826, 'negative_interactions_quota': 0.4969963889795304, 'epochs0': 115, 'epochs1': 30, 'epochs2': 335, 'epochs3': 70, 'epochs4': 20} - results: ROC_AUC: 0.0011958, PRECISION: 0.0002465, PRECISION_RECALL_MIN_DEN: 0.0007163, RECALL: 0.0006518, MAP: 0.0001981, MRR: 0.0006262, NDCG: 0.0003846, F1: 0.0003480, HIT_RATE: 0.0024645, ARHR: 0.0006316, NOVELTY: 0.0051622, AVERAGE_POPULARITY: 0.0158730, DIVERSITY_MEAN_INTER_LIST: 0.9980070, DIVERSITY_HERFINDAHL: 0.9997818, COVERAGE_ITEM: 0.4589798, COVERAGE_ITEM_CORRECT: 0.0004851, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0016107, DIVERSITY_GINI: 0.2189049, SHANNON_ENTROPY: 12.8186881, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'sgd_mode': 'adam', 'epochs': 500, 'use_bias': False, 'batch_size': 1, 'num_factors': 3, 'item_reg': 0.006597977883285592, 'user_reg': 1.5475477883710915e-05, 'learning_rate': 0.0022392565948700927, 'negative_interactions_quota': 0.08097114094573195, 'epochs0': 185, 'epochs1': 170, 'epochs2': 150, 'epochs3': 45, 'epochs4': 85} - results: ROC_AUC: 0.0221300, PRECISION: 0.0037793, PRECISION_RECALL_MIN_DEN: 0.0138018, RECALL: 0.0133841, MAP: 0.0058768, MRR: 0.0148685, NDCG: 0.0094403, F1: 0.0058924, HIT_RATE: 0.0377927, ARHR: 0.0153063, NOVELTY: 0.0041662, AVERAGE_POPULARITY: 0.2114818, DIVERSITY_MEAN_INTER_LIST: 0.8888858, DIVERSITY_HERFINDAHL: 0.9888717, COVERAGE_ITEM: 0.0071530, COVERAGE_ITEM_CORRECT: 0.0025486, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0237071, DIVERSITY_GINI: 0.0032796, SHANNON_ENTROPY: 6.7906131, 
