
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 21, 'alpha': 1.27152056055983, 'normalize_similarity': True} - results: ROC_AUC: 0.0744158, PRECISION: 0.0136831, PRECISION_RECALL_MIN_DEN: 0.0561330, RECALL: 0.0551520, MAP: 0.0241549, MRR: 0.0496672, NDCG: 0.0374644, F1: 0.0219200, HIT_RATE: 0.1368307, ARHR: 0.0526474, NOVELTY: 0.0053188, AVERAGE_POPULARITY: 0.0329757, DIVERSITY_MEAN_INTER_LIST: 0.9947446, DIVERSITY_HERFINDAHL: 0.9994556, COVERAGE_ITEM: 0.4969856, COVERAGE_ITEM_CORRECT: 0.0232839, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0805587, DIVERSITY_GINI: 0.2408942, SHANNON_ENTROPY: 12.7622622, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'topK': 148, 'alpha': 1.3630753917229146, 'normalize_similarity': True} - results: ROC_AUC: 0.0885020, PRECISION: 0.0178594, PRECISION_RECALL_MIN_DEN: 0.0715716, RECALL: 0.0701167, MAP: 0.0291011, MRR: 0.0592092, NDCG: 0.0460667, F1: 0.0284649, HIT_RATE: 0.1785936, ARHR: 0.0641249, NOVELTY: 0.0051806, AVERAGE_POPULARITY: 0.0511416, DIVERSITY_MEAN_INTER_LIST: 0.9946752, DIVERSITY_HERFINDAHL: 0.9994487, COVERAGE_ITEM: 0.4695130, COVERAGE_ITEM_CORRECT: 0.0263022, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1008179, DIVERSITY_GINI: 0.2147310, SHANNON_ENTROPY: 12.5499382, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 380, 'alpha': 1.440078060342898, 'normalize_similarity': True} - results: ROC_AUC: 0.0915814, PRECISION: 0.0186337, PRECISION_RECALL_MIN_DEN: 0.0737792, RECALL: 0.0721466, MAP: 0.0297944, MRR: 0.0609503, NDCG: 0.0473159, F1: 0.0296136, HIT_RATE: 0.1863366, ARHR: 0.0662612, NOVELTY: 0.0051463, AVERAGE_POPULARITY: 0.0583641, DIVERSITY_MEAN_INTER_LIST: 0.9939131, DIVERSITY_HERFINDAHL: 0.9993725, COVERAGE_ITEM: 0.4617594, COVERAGE_ITEM_CORRECT: 0.0257786, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1045426, DIVERSITY_GINI: 0.2072027, SHANNON_ENTROPY: 12.4530698, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 765, 'alpha': 1.569909045573099, 'normalize_similarity': False} - results: ROC_AUC: 0.0735509, PRECISION: 0.0147519, PRECISION_RECALL_MIN_DEN: 0.0632845, RECALL: 0.0623881, MAP: 0.0250380, MRR: 0.0485948, NDCG: 0.0397682, F1: 0.0238580, HIT_RATE: 0.1475194, ARHR: 0.0519300, NOVELTY: 0.0052129, AVERAGE_POPULARITY: 0.0501469, DIVERSITY_MEAN_INTER_LIST: 0.9949907, DIVERSITY_HERFINDAHL: 0.9994802, COVERAGE_ITEM: 0.4916112, COVERAGE_ITEM_CORRECT: 0.0234995, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0858185, DIVERSITY_GINI: 0.2353122, SHANNON_ENTROPY: 12.6867267, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'topK': 933, 'alpha': 1.3610462019152243, 'normalize_similarity': True} - results: ROC_AUC: 0.0962122, PRECISION: 0.0197821, PRECISION_RECALL_MIN_DEN: 0.0761288, RECALL: 0.0742263, MAP: 0.0309962, MRR: 0.0646798, NDCG: 0.0491914, F1: 0.0312335, HIT_RATE: 0.1978215, ARHR: 0.0708896, NOVELTY: 0.0051130, AVERAGE_POPULARITY: 0.0660196, DIVERSITY_MEAN_INTER_LIST: 0.9928950, DIVERSITY_HERFINDAHL: 0.9992707, COVERAGE_ITEM: 0.4608277, COVERAGE_ITEM_CORRECT: 0.0259711, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1088713, DIVERSITY_GINI: 0.2030592, SHANNON_ENTROPY: 12.3690075, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 502, 'alpha': 0.6091009062026779, 'normalize_similarity': False} - results: ROC_AUC: 0.1379379, PRECISION: 0.0283856, PRECISION_RECALL_MIN_DEN: 0.1013229, RECALL: 0.0984046, MAP: 0.0454490, MRR: 0.0989614, NDCG: 0.0701495, F1: 0.0440570, HIT_RATE: 0.2838558, ARHR: 0.1113745, NOVELTY: 0.0048851, AVERAGE_POPULARITY: 0.0921071, DIVERSITY_MEAN_INTER_LIST: 0.9873359, DIVERSITY_HERFINDAHL: 0.9987149, COVERAGE_ITEM: 0.4342791, COVERAGE_ITEM_CORRECT: 0.0318768, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1467472, DIVERSITY_GINI: 0.1512224, SHANNON_ENTROPY: 11.6591914, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'topK': 339, 'alpha': 0.810924890588596, 'normalize_similarity': False} - results: ROC_AUC: 0.1213043, PRECISION: 0.0249667, PRECISION_RECALL_MIN_DEN: 0.0901095, RECALL: 0.0873643, MAP: 0.0394783, MRR: 0.0855685, NDCG: 0.0612348, F1: 0.0388312, HIT_RATE: 0.2496670, ARHR: 0.0957595, NOVELTY: 0.0050558, AVERAGE_POPULARITY: 0.0659186, DIVERSITY_MEAN_INTER_LIST: 0.9925796, DIVERSITY_HERFINDAHL: 0.9992391, COVERAGE_ITEM: 0.4730626, COVERAGE_ITEM_CORRECT: 0.0318075, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1310683, DIVERSITY_GINI: 0.1945694, SHANNON_ENTROPY: 12.2537815, 
