SearchBayesianSkopt-CV: Resuming 'S-SLIM_BPR_Rec' Failed, no such file exists.

SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.7282730341103761, 'topK': 352, 'epochs': 1500, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.0004637859980149365, 'lambda_j': 4.7075078227636106e-05, 'learning_rate': 0.0041860517277986795, 'epochs0': 100, 'epochs1': 145, 'epochs2': 95, 'epochs3': 215, 'epochs4': 195} - results: ROC_AUC: 0.1394910, PRECISION: 0.0281043, PRECISION_RECALL_MIN_DEN: 0.1025416, RECALL: 0.0998274, MAP: 0.0462906, MRR: 0.0996081, NDCG: 0.0711392, F1: 0.0438571, HIT_RATE: 0.2810428, ARHR: 0.1118906, NOVELTY: 0.0053928, AVERAGE_POPULARITY: 0.1241143, DIVERSITY_MEAN_INTER_LIST: 0.9891313, DIVERSITY_HERFINDAHL: 0.9988944, COVERAGE_ITEM: 0.5503985, COVERAGE_ITEM_CORRECT: 0.0336015, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1457405, DIVERSITY_GINI: 0.2304571, SHANNON_ENTROPY: 12.2667900, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.5926879535969609, 'topK': 153, 'epochs': 1500, 'symmetric': True, 'sgd_mode': 'sgd', 'lambda_i': 0.004178528581822566, 'lambda_j': 6.44580630324018e-05, 'learning_rate': 0.007169308529456825, 'epochs0': 115, 'epochs1': 65, 'epochs2': 105, 'epochs3': 65, 'epochs4': 40} - results: ROC_AUC: 0.1301256, PRECISION: 0.0253498, PRECISION_RECALL_MIN_DEN: 0.0948829, RECALL: 0.0925545, MAP: 0.0423811, MRR: 0.0916379, NDCG: 0.0654310, F1: 0.0397934, HIT_RATE: 0.2534983, ARHR: 0.1015335, NOVELTY: 0.0053797, AVERAGE_POPULARITY: 0.1286122, DIVERSITY_MEAN_INTER_LIST: 0.9860564, DIVERSITY_HERFINDAHL: 0.9985870, COVERAGE_ITEM: 0.5204081, COVERAGE_ITEM_CORRECT: 0.0292512, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1359255, DIVERSITY_GINI: 0.2028096, SHANNON_ENTROPY: 11.9952030, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.7282730341103761, 'topK': 352, 'epochs': 1500, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.0004637859980149365, 'lambda_j': 4.7075078227636106e-05, 'learning_rate': 0.0041860517277986795, 'epochs0': 100, 'epochs1': 145, 'epochs2': 95, 'epochs3': 215, 'epochs4': 195} - results: ROC_AUC: 0.1394910, PRECISION: 0.0281043, PRECISION_RECALL_MIN_DEN: 0.1025416, RECALL: 0.0998274, MAP: 0.0462906, MRR: 0.0996081, NDCG: 0.0711392, F1: 0.0438571, HIT_RATE: 0.2810428, ARHR: 0.1118906, NOVELTY: 0.0053928, AVERAGE_POPULARITY: 0.1241143, DIVERSITY_MEAN_INTER_LIST: 0.9891313, DIVERSITY_HERFINDAHL: 0.9988944, COVERAGE_ITEM: 0.5503985, COVERAGE_ITEM_CORRECT: 0.0336015, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1457405, DIVERSITY_GINI: 0.2304571, SHANNON_ENTROPY: 12.2667900, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.5926879535969609, 'topK': 153, 'epochs': 1500, 'symmetric': True, 'sgd_mode': 'sgd', 'lambda_i': 0.004178528581822566, 'lambda_j': 6.44580630324018e-05, 'learning_rate': 0.007169308529456825, 'epochs0': 115, 'epochs1': 65, 'epochs2': 105, 'epochs3': 65, 'epochs4': 40} - results: ROC_AUC: 0.1301256, PRECISION: 0.0253498, PRECISION_RECALL_MIN_DEN: 0.0948829, RECALL: 0.0925545, MAP: 0.0423811, MRR: 0.0916379, NDCG: 0.0654310, F1: 0.0397934, HIT_RATE: 0.2534983, ARHR: 0.1015335, NOVELTY: 0.0053797, AVERAGE_POPULARITY: 0.1286122, DIVERSITY_MEAN_INTER_LIST: 0.9860564, DIVERSITY_HERFINDAHL: 0.9985870, COVERAGE_ITEM: 0.5204081, COVERAGE_ITEM_CORRECT: 0.0292512, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1359255, DIVERSITY_GINI: 0.2028096, SHANNON_ENTROPY: 11.9952030, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.5505175552985999, 'topK': 92, 'epochs': 1500, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.5175826928259316e-05, 'lambda_j': 9.351343515816894e-05, 'learning_rate': 0.046980585836945615, 'epochs0': 40, 'epochs1': 120, 'epochs2': 65, 'epochs3': 50, 'epochs4': 60} - results: ROC_AUC: 0.1260819, PRECISION: 0.0248277, PRECISION_RECALL_MIN_DEN: 0.0913685, RECALL: 0.0889400, MAP: 0.0416562, MRR: 0.0898099, NDCG: 0.0637353, F1: 0.0388167, HIT_RATE: 0.2482770, ARHR: 0.0997326, NOVELTY: 0.0054010, AVERAGE_POPULARITY: 0.1227398, DIVERSITY_MEAN_INTER_LIST: 0.9888880, DIVERSITY_HERFINDAHL: 0.9988701, COVERAGE_ITEM: 0.5422522, COVERAGE_ITEM_CORRECT: 0.0294514, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1316723, DIVERSITY_GINI: 0.2240451, SHANNON_ENTROPY: 12.2397656, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.7282730341103761, 'topK': 352, 'epochs': 1500, 'symmetric': True, 'sgd_mode': 'adagrad', 'lambda_i': 0.0004637859980149365, 'lambda_j': 4.7075078227636106e-05, 'learning_rate': 0.0041860517277986795, 'epochs0': 100, 'epochs1': 145, 'epochs2': 95, 'epochs3': 215, 'epochs4': 195} - results: ROC_AUC: 0.1394910, PRECISION: 0.0281043, PRECISION_RECALL_MIN_DEN: 0.1025416, RECALL: 0.0998274, MAP: 0.0462906, MRR: 0.0996081, NDCG: 0.0711392, F1: 0.0438571, HIT_RATE: 0.2810428, ARHR: 0.1118906, NOVELTY: 0.0053928, AVERAGE_POPULARITY: 0.1241143, DIVERSITY_MEAN_INTER_LIST: 0.9891313, DIVERSITY_HERFINDAHL: 0.9988944, COVERAGE_ITEM: 0.5503985, COVERAGE_ITEM_CORRECT: 0.0336015, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1457405, DIVERSITY_GINI: 0.2304571, SHANNON_ENTROPY: 12.2667900, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.5926879535969609, 'topK': 153, 'epochs': 1500, 'symmetric': True, 'sgd_mode': 'sgd', 'lambda_i': 0.004178528581822566, 'lambda_j': 6.44580630324018e-05, 'learning_rate': 0.007169308529456825, 'epochs0': 115, 'epochs1': 65, 'epochs2': 105, 'epochs3': 65, 'epochs4': 40} - results: ROC_AUC: 0.1301256, PRECISION: 0.0253498, PRECISION_RECALL_MIN_DEN: 0.0948829, RECALL: 0.0925545, MAP: 0.0423811, MRR: 0.0916379, NDCG: 0.0654310, F1: 0.0397934, HIT_RATE: 0.2534983, ARHR: 0.1015335, NOVELTY: 0.0053797, AVERAGE_POPULARITY: 0.1286122, DIVERSITY_MEAN_INTER_LIST: 0.9860564, DIVERSITY_HERFINDAHL: 0.9985870, COVERAGE_ITEM: 0.5204081, COVERAGE_ITEM_CORRECT: 0.0292512, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1359255, DIVERSITY_GINI: 0.2028096, SHANNON_ENTROPY: 11.9952030, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.5505175552985999, 'topK': 92, 'epochs': 1500, 'symmetric': True, 'sgd_mode': 'adam', 'lambda_i': 1.5175826928259316e-05, 'lambda_j': 9.351343515816894e-05, 'learning_rate': 0.046980585836945615, 'epochs0': 40, 'epochs1': 120, 'epochs2': 65, 'epochs3': 50, 'epochs4': 60} - results: ROC_AUC: 0.1260819, PRECISION: 0.0248277, PRECISION_RECALL_MIN_DEN: 0.0913685, RECALL: 0.0889400, MAP: 0.0416562, MRR: 0.0898099, NDCG: 0.0637353, F1: 0.0388167, HIT_RATE: 0.2482770, ARHR: 0.0997326, NOVELTY: 0.0054010, AVERAGE_POPULARITY: 0.1227398, DIVERSITY_MEAN_INTER_LIST: 0.9888880, DIVERSITY_HERFINDAHL: 0.9988701, COVERAGE_ITEM: 0.5422522, COVERAGE_ITEM_CORRECT: 0.0294514, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1316723, DIVERSITY_GINI: 0.2240451, SHANNON_ENTROPY: 12.2397656, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.18704095855800898, 'topK': 362, 'epochs': 1500, 'symmetric': False, 'sgd_mode': 'adam', 'lambda_i': 0.00315262542195601, 'lambda_j': 0.004568562525577146, 'learning_rate': 0.0011963846895020839, 'epochs0': 110, 'epochs1': 140, 'epochs2': 185, 'epochs3': 155, 'epochs4': 40} - results: ROC_AUC: 0.1389803, PRECISION: 0.0282262, PRECISION_RECALL_MIN_DEN: 0.1037127, RECALL: 0.1010525, MAP: 0.0462535, MRR: 0.0989424, NDCG: 0.0713710, F1: 0.0441214, HIT_RATE: 0.2822620, ARHR: 0.1110195, NOVELTY: 0.0053828, AVERAGE_POPULARITY: 0.1268072, DIVERSITY_MEAN_INTER_LIST: 0.9878201, DIVERSITY_HERFINDAHL: 0.9987633, COVERAGE_ITEM: 0.5385794, COVERAGE_ITEM_CORRECT: 0.0338710, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1471247, DIVERSITY_GINI: 0.2190696, SHANNON_ENTROPY: 12.1490142, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.8018224859939143, 'topK': 173, 'epochs': 1500, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.0008513360905635006, 'lambda_j': 0.0013323075914498412, 'learning_rate': 0.04566783807515183, 'epochs0': 30, 'epochs1': 80, 'epochs2': 90, 'epochs3': 120, 'epochs4': 85} - results: ROC_AUC: 0.1329738, PRECISION: 0.0263541, PRECISION_RECALL_MIN_DEN: 0.0972259, RECALL: 0.0946560, MAP: 0.0432506, MRR: 0.0941819, NDCG: 0.0668895, F1: 0.0412244, HIT_RATE: 0.2635408, ARHR: 0.1052383, NOVELTY: 0.0054102, AVERAGE_POPULARITY: 0.1201868, DIVERSITY_MEAN_INTER_LIST: 0.9902673, DIVERSITY_HERFINDAHL: 0.9990080, COVERAGE_ITEM: 0.5553263, COVERAGE_ITEM_CORRECT: 0.0321078, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1388952, DIVERSITY_GINI: 0.2372538, SHANNON_ENTROPY: 12.3671627, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.635146710271946, 'topK': 138, 'epochs': 1500, 'symmetric': False, 'sgd_mode': 'adagrad', 'lambda_i': 0.00018695706364127445, 'lambda_j': 0.0015679709252874605, 'learning_rate': 0.0655098131175711, 'epochs0': 65, 'epochs1': 70, 'epochs2': 130, 'epochs3': 50, 'epochs4': 105} - results: ROC_AUC: 0.1304198, PRECISION: 0.0254984, PRECISION_RECALL_MIN_DEN: 0.0936048, RECALL: 0.0911093, MAP: 0.0418590, MRR: 0.0922808, NDCG: 0.0648049, F1: 0.0398410, HIT_RATE: 0.2549843, ARHR: 0.1023571, NOVELTY: 0.0054189, AVERAGE_POPULARITY: 0.1182791, DIVERSITY_MEAN_INTER_LIST: 0.9907725, DIVERSITY_HERFINDAHL: 0.9990585, COVERAGE_ITEM: 0.5583523, COVERAGE_ITEM_CORRECT: 0.0311761, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1357493, DIVERSITY_GINI: 0.2408790, SHANNON_ENTROPY: 12.4149523, 
