
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 280, 'shrink': 731, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1267384, PRECISION: 0.0249888, PRECISION_RECALL_MIN_DEN: 0.0926714, RECALL: 0.0904040, MAP: 0.0418710, MRR: 0.0902954, NDCG: 0.0643781, F1: 0.0391522, HIT_RATE: 0.2498882, ARHR: 0.1003868, NOVELTY: 0.0046487, AVERAGE_POPULARITY: 0.1292792, DIVERSITY_MEAN_INTER_LIST: 0.9750977, DIVERSITY_HERFINDAHL: 0.9974913, COVERAGE_ITEM: 0.3408893, COVERAGE_ITEM_CORRECT: 0.0241463, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1328552, DIVERSITY_GINI: 0.0886802, SHANNON_ENTROPY: 10.6542904, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'topK': 710, 'shrink': 426, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1223298, PRECISION: 0.0239765, PRECISION_RECALL_MIN_DEN: 0.0896068, RECALL: 0.0874336, MAP: 0.0404025, MRR: 0.0869519, NDCG: 0.0621184, F1: 0.0376301, HIT_RATE: 0.2397655, ARHR: 0.0963199, NOVELTY: 0.0045484, AVERAGE_POPULARITY: 0.1568288, DIVERSITY_MEAN_INTER_LIST: 0.9610202, DIVERSITY_HERFINDAHL: 0.9960838, COVERAGE_ITEM: 0.3148027, COVERAGE_ITEM_CORRECT: 0.0217055, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1284258, DIVERSITY_GINI: 0.0738400, SHANNON_ENTROPY: 10.1779609, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'topK': 177, 'shrink': 368, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1289091, PRECISION: 0.0256376, PRECISION_RECALL_MIN_DEN: 0.0947195, RECALL: 0.0923848, MAP: 0.0424069, MRR: 0.0918295, NDCG: 0.0654834, F1: 0.0401339, HIT_RATE: 0.2563760, ARHR: 0.1021634, NOVELTY: 0.0047257, AVERAGE_POPULARITY: 0.1121157, DIVERSITY_MEAN_INTER_LIST: 0.9815063, DIVERSITY_HERFINDAHL: 0.9981320, COVERAGE_ITEM: 0.3621867, COVERAGE_ITEM_CORRECT: 0.0262483, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1362527, DIVERSITY_GINI: 0.1022350, SHANNON_ENTROPY: 10.9979538, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'topK': 363, 'shrink': 970, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1254291, PRECISION: 0.0246098, PRECISION_RECALL_MIN_DEN: 0.0916161, RECALL: 0.0894001, MAP: 0.0416006, MRR: 0.0895630, NDCG: 0.0637967, F1: 0.0385937, HIT_RATE: 0.2460983, ARHR: 0.0994054, NOVELTY: 0.0046124, AVERAGE_POPULARITY: 0.1385956, DIVERSITY_MEAN_INTER_LIST: 0.9709593, DIVERSITY_HERFINDAHL: 0.9970775, COVERAGE_ITEM: 0.3321039, COVERAGE_ITEM_CORRECT: 0.0231376, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1313703, DIVERSITY_GINI: 0.0832218, SHANNON_ENTROPY: 10.4878840, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'topK': 892, 'shrink': 962, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1203546, PRECISION: 0.0236352, PRECISION_RECALL_MIN_DEN: 0.0885194, RECALL: 0.0863827, MAP: 0.0399278, MRR: 0.0855053, NDCG: 0.0613094, F1: 0.0371133, HIT_RATE: 0.2363523, ARHR: 0.0946655, NOVELTY: 0.0045359, AVERAGE_POPULARITY: 0.1605650, DIVERSITY_MEAN_INTER_LIST: 0.9584297, DIVERSITY_HERFINDAHL: 0.9958248, COVERAGE_ITEM: 0.3119538, COVERAGE_ITEM_CORRECT: 0.0211896, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1267397, DIVERSITY_GINI: 0.0722521, SHANNON_ENTROPY: 10.1161772, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'topK': 213, 'shrink': 273, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1285231, PRECISION: 0.0256187, PRECISION_RECALL_MIN_DEN: 0.0942703, RECALL: 0.0919273, MAP: 0.0425826, MRR: 0.0920263, NDCG: 0.0655403, F1: 0.0400675, HIT_RATE: 0.2561870, ARHR: 0.1024682, NOVELTY: 0.0046910, AVERAGE_POPULARITY: 0.1194526, DIVERSITY_MEAN_INTER_LIST: 0.9789460, DIVERSITY_HERFINDAHL: 0.9978761, COVERAGE_ITEM: 0.3528932, COVERAGE_ITEM_CORRECT: 0.0255245, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1357242, DIVERSITY_GINI: 0.0959077, SHANNON_ENTROPY: 10.8434851, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'topK': 115, 'shrink': 61, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1313754, PRECISION: 0.0262065, PRECISION_RECALL_MIN_DEN: 0.0950816, RECALL: 0.0926299, MAP: 0.0429897, MRR: 0.0942301, NDCG: 0.0663085, F1: 0.0408522, HIT_RATE: 0.2620652, ARHR: 0.1050657, NOVELTY: 0.0047935, AVERAGE_POPULARITY: 0.0985088, DIVERSITY_MEAN_INTER_LIST: 0.9854362, DIVERSITY_HERFINDAHL: 0.9985249, COVERAGE_ITEM: 0.3808970, COVERAGE_ITEM_CORRECT: 0.0285813, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1379892, DIVERSITY_GINI: 0.1148679, SHANNON_ENTROPY: 11.2708312, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 287, 'shrink': 163, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1290820, PRECISION: 0.0253714, PRECISION_RECALL_MIN_DEN: 0.0938482, RECALL: 0.0915217, MAP: 0.0423779, MRR: 0.0916342, NDCG: 0.0651894, F1: 0.0397263, HIT_RATE: 0.2537136, ARHR: 0.1019984, NOVELTY: 0.0046406, AVERAGE_POPULARITY: 0.1309798, DIVERSITY_MEAN_INTER_LIST: 0.9743666, DIVERSITY_HERFINDAHL: 0.9974182, COVERAGE_ITEM: 0.3382483, COVERAGE_ITEM_CORRECT: 0.0245313, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1350950, DIVERSITY_GINI: 0.0870946, SHANNON_ENTROPY: 10.6106467, 
