
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6803282378855651, 'l1_ratio': 0.9438322530295725} - results: ROC_AUC: 0.1599921, PRECISION: 0.0341582, PRECISION_RECALL_MIN_DEN: 0.1232003, RECALL: 0.1194797, MAP: 0.0553530, MRR: 0.1154341, NDCG: 0.0840881, F1: 0.0531257, HIT_RATE: 0.3415824, ARHR: 0.1329849, NOVELTY: 0.0051752, AVERAGE_POPULARITY: 0.0431278, DIVERSITY_MEAN_INTER_LIST: 0.9968011, DIVERSITY_HERFINDAHL: 0.9996625, COVERAGE_ITEM: 0.5727507, COVERAGE_ITEM_CORRECT: 0.0537132, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1817793, DIVERSITY_GINI: 0.2616665, SHANNON_ENTROPY: 12.8929970, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.07235658167356974, 'l1_ratio': 0.07672000105894973} - results: ROC_AUC: 0.1770723, PRECISION: 0.0375082, PRECISION_RECALL_MIN_DEN: 0.1306042, RECALL: 0.1264531, MAP: 0.0614904, MRR: 0.1315478, NDCG: 0.0924024, F1: 0.0578532, HIT_RATE: 0.3750816, ARHR: 0.1520182, NOVELTY: 0.0048109, AVERAGE_POPULARITY: 0.1114798, DIVERSITY_MEAN_INTER_LIST: 0.9838363, DIVERSITY_HERFINDAHL: 0.9983662, COVERAGE_ITEM: 0.4498633, COVERAGE_ITEM_CORRECT: 0.0423022, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1964012, DIVERSITY_GINI: 0.1409050, SHANNON_ENTROPY: 11.4195946, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8129428861277737, 'l1_ratio': 0.14069122456123387} - results: ROC_AUC: 0.1888042, PRECISION: 0.0406759, PRECISION_RECALL_MIN_DEN: 0.1427446, RECALL: 0.1382675, MAP: 0.0675132, MRR: 0.1405449, NDCG: 0.1006878, F1: 0.0628572, HIT_RATE: 0.4067593, ARHR: 0.1635601, NOVELTY: 0.0049219, AVERAGE_POPULARITY: 0.0878162, DIVERSITY_MEAN_INTER_LIST: 0.9902632, DIVERSITY_HERFINDAHL: 0.9990088, COVERAGE_ITEM: 0.4699519, COVERAGE_ITEM_CORRECT: 0.0508643, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2098402, DIVERSITY_GINI: 0.1608810, SHANNON_ENTROPY: 11.8552123, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3294500402540556, 'l1_ratio': 0.26297578946827965} - results: ROC_AUC: 0.1855757, PRECISION: 0.0397663, PRECISION_RECALL_MIN_DEN: 0.1389301, RECALL: 0.1345321, MAP: 0.0653930, MRR: 0.1376983, NDCG: 0.0979763, F1: 0.0613845, HIT_RATE: 0.3976627, ARHR: 0.1598586, NOVELTY: 0.0048429, AVERAGE_POPULARITY: 0.1047042, DIVERSITY_MEAN_INTER_LIST: 0.9859996, DIVERSITY_HERFINDAHL: 0.9985825, COVERAGE_ITEM: 0.4551761, COVERAGE_ITEM_CORRECT: 0.0468527, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2065182, DIVERSITY_GINI: 0.1465450, SHANNON_ENTROPY: 11.5549684, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9457062373092435, 'l1_ratio': 0.08675668683308081} - results: ROC_AUC: 0.1833556, PRECISION: 0.0394138, PRECISION_RECALL_MIN_DEN: 0.1383674, RECALL: 0.1339911, MAP: 0.0651876, MRR: 0.1367177, NDCG: 0.0974553, F1: 0.0609082, HIT_RATE: 0.3941375, ARHR: 0.1586916, NOVELTY: 0.0049386, AVERAGE_POPULARITY: 0.0837305, DIVERSITY_MEAN_INTER_LIST: 0.9909951, DIVERSITY_HERFINDAHL: 0.9990820, COVERAGE_ITEM: 0.4683888, COVERAGE_ITEM_CORRECT: 0.0491858, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2042028, DIVERSITY_GINI: 0.1609833, SHANNON_ENTROPY: 11.8897313, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8173117303382958, 'l1_ratio': 0.11215737043781229} - results: ROC_AUC: 0.1863044, PRECISION: 0.0400359, PRECISION_RECALL_MIN_DEN: 0.1402686, RECALL: 0.1358439, MAP: 0.0662823, MRR: 0.1386741, NDCG: 0.0989929, F1: 0.0618421, HIT_RATE: 0.4003590, ARHR: 0.1611608, NOVELTY: 0.0049126, AVERAGE_POPULARITY: 0.0891083, DIVERSITY_MEAN_INTER_LIST: 0.9899468, DIVERSITY_HERFINDAHL: 0.9989772, COVERAGE_ITEM: 0.4655553, COVERAGE_ITEM_CORRECT: 0.0493321, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2070719, DIVERSITY_GINI: 0.1575957, SHANNON_ENTROPY: 11.8138729, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.3018120253689735, 'l1_ratio': 0.6350605696967285} - results: ROC_AUC: 0.1929414, PRECISION: 0.0418449, PRECISION_RECALL_MIN_DEN: 0.1471448, RECALL: 0.1425619, MAP: 0.0691154, MRR: 0.1438962, NDCG: 0.1033339, F1: 0.0646979, HIT_RATE: 0.4184487, ARHR: 0.1678496, NOVELTY: 0.0048828, AVERAGE_POPULARITY: 0.0992674, DIVERSITY_MEAN_INTER_LIST: 0.9875008, DIVERSITY_HERFINDAHL: 0.9987326, COVERAGE_ITEM: 0.4727392, COVERAGE_ITEM_CORRECT: 0.0519192, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2150497, DIVERSITY_GINI: 0.1598022, SHANNON_ENTROPY: 11.7292153, 

