
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.13526825314274307, 'l1_ratio': 0.7247778841376912} - results: ROC_AUC: 0.1880720, PRECISION: 0.0409691, PRECISION_RECALL_MIN_DEN: 0.1427902, RECALL: 0.1381249, MAP: 0.0668115, MRR: 0.1408072, NDCG: 0.1002007, F1: 0.0631932, HIT_RATE: 0.4096908, ARHR: 0.1638451, NOVELTY: 0.0048300, AVERAGE_POPULARITY: 0.0993778, DIVERSITY_MEAN_INTER_LIST: 0.9887174, DIVERSITY_HERFINDAHL: 0.9988543, COVERAGE_ITEM: 0.4329317, COVERAGE_ITEM_CORRECT: 0.0508720, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2109979, DIVERSITY_GINI: 0.1391969, SHANNON_ENTROPY: 11.6364411, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.6594855308349448, 'l1_ratio': 0.8106181913724804} - results: ROC_AUC: 0.1838587, PRECISION: 0.0397461, PRECISION_RECALL_MIN_DEN: 0.1428717, RECALL: 0.1386995, MAP: 0.0654963, MRR: 0.1346712, NDCG: 0.0986695, F1: 0.0617844, HIT_RATE: 0.3974607, ARHR: 0.1563301, NOVELTY: 0.0050641, AVERAGE_POPULARITY: 0.0600428, DIVERSITY_MEAN_INTER_LIST: 0.9954402, DIVERSITY_HERFINDAHL: 0.9995264, COVERAGE_ITEM: 0.5450087, COVERAGE_ITEM_CORRECT: 0.0585255, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2073990, DIVERSITY_GINI: 0.2302294, SHANNON_ENTROPY: 12.6157318, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.09021599239558876, 'l1_ratio': 0.819753637289803} - results: ROC_AUC: 0.1867156, PRECISION: 0.0405030, PRECISION_RECALL_MIN_DEN: 0.1413908, RECALL: 0.1367794, MAP: 0.0660232, MRR: 0.1396760, NDCG: 0.0991494, F1: 0.0624979, HIT_RATE: 0.4050301, ARHR: 0.1622805, NOVELTY: 0.0048230, AVERAGE_POPULARITY: 0.1004444, DIVERSITY_MEAN_INTER_LIST: 0.9884612, DIVERSITY_HERFINDAHL: 0.9988287, COVERAGE_ITEM: 0.4294129, COVERAGE_ITEM_CORRECT: 0.0499172, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2094124, DIVERSITY_GINI: 0.1369040, SHANNON_ENTROPY: 11.6061067, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.3303708861062014, 'l1_ratio': 0.6270997864932274} - results: ROC_AUC: 0.1941912, PRECISION: 0.0427536, PRECISION_RECALL_MIN_DEN: 0.1499171, RECALL: 0.1451145, MAP: 0.0697907, MRR: 0.1454914, NDCG: 0.1045974, F1: 0.0660469, HIT_RATE: 0.4275363, ARHR: 0.1701143, NOVELTY: 0.0048732, AVERAGE_POPULARITY: 0.0923348, DIVERSITY_MEAN_INTER_LIST: 0.9902631, DIVERSITY_HERFINDAHL: 0.9990088, COVERAGE_ITEM: 0.4559538, COVERAGE_ITEM_CORRECT: 0.0550991, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2185479, DIVERSITY_GINI: 0.1544591, SHANNON_ENTROPY: 11.8251601, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9963455075587151, 'l1_ratio': 0.19481316593384584} - results: ROC_AUC: 0.1881473, PRECISION: 0.0412804, PRECISION_RECALL_MIN_DEN: 0.1462052, RECALL: 0.1416894, MAP: 0.0675241, MRR: 0.1390660, NDCG: 0.1013350, F1: 0.0639324, HIT_RATE: 0.4128040, ARHR: 0.1627694, NOVELTY: 0.0050086, AVERAGE_POPULARITY: 0.0715357, DIVERSITY_MEAN_INTER_LIST: 0.9933374, DIVERSITY_HERFINDAHL: 0.9993162, COVERAGE_ITEM: 0.5004273, COVERAGE_ITEM_CORRECT: 0.0555457, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2125330, DIVERSITY_GINI: 0.1871577, SHANNON_ENTROPY: 12.2063825, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.5600413075920939, 'l1_ratio': 0.7289233337728872} - results: ROC_AUC: 0.1936231, PRECISION: 0.0425955, PRECISION_RECALL_MIN_DEN: 0.1517635, RECALL: 0.1472079, MAP: 0.0698917, MRR: 0.1438236, NDCG: 0.1049850, F1: 0.0660710, HIT_RATE: 0.4259547, ARHR: 0.1682084, NOVELTY: 0.0049803, AVERAGE_POPULARITY: 0.0740589, DIVERSITY_MEAN_INTER_LIST: 0.9935793, DIVERSITY_HERFINDAHL: 0.9993404, COVERAGE_ITEM: 0.5132474, COVERAGE_ITEM_CORRECT: 0.0592955, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2187240, DIVERSITY_GINI: 0.1985623, SHANNON_ENTROPY: 12.3060030, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.2759437549415786, 'l1_ratio': 0.8960589325162392} - results: ROC_AUC: 0.1951493, PRECISION: 0.0430221, PRECISION_RECALL_MIN_DEN: 0.1512328, RECALL: 0.1464437, MAP: 0.0703011, MRR: 0.1462519, NDCG: 0.1053719, F1: 0.0665052, HIT_RATE: 0.4302214, ARHR: 0.1710754, NOVELTY: 0.0048779, AVERAGE_POPULARITY: 0.0912980, DIVERSITY_MEAN_INTER_LIST: 0.9904867, DIVERSITY_HERFINDAHL: 0.9990312, COVERAGE_ITEM: 0.4614437, COVERAGE_ITEM_CORRECT: 0.0561925, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2198314, DIVERSITY_GINI: 0.1582108, SHANNON_ENTROPY: 11.8665199, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.8895134050439524, 'l1_ratio': 0.7054805730905427} - results: ROC_AUC: 0.1557076, PRECISION: 0.0334405, PRECISION_RECALL_MIN_DEN: 0.1210839, RECALL: 0.1174780, MAP: 0.0536938, MRR: 0.1123602, NDCG: 0.0820320, F1: 0.0520596, HIT_RATE: 0.3344047, ARHR: 0.1287124, NOVELTY: 0.0051819, AVERAGE_POPULARITY: 0.0393366, DIVERSITY_MEAN_INTER_LIST: 0.9971806, DIVERSITY_HERFINDAHL: 0.9997004, COVERAGE_ITEM: 0.5726660, COVERAGE_ITEM_CORRECT: 0.0537748, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1795143, DIVERSITY_GINI: 0.2631137, SHANNON_ENTROPY: 12.9282388, 
