
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.32619574435139215, 'l1_ratio': 0.3675132185087174} - results: ROC_AUC: 0.1757815, PRECISION: 0.0376854, PRECISION_RECALL_MIN_DEN: 0.1318647, RECALL: 0.1277241, MAP: 0.0614133, MRR: 0.1295000, NDCG: 0.0924704, F1: 0.0581946, HIT_RATE: 0.3768543, ARHR: 0.1501011, NOVELTY: 0.0048614, AVERAGE_POPULARITY: 0.1098301, DIVERSITY_MEAN_INTER_LIST: 0.9843466, DIVERSITY_HERFINDAHL: 0.9984173, COVERAGE_ITEM: 0.4628604, COVERAGE_ITEM_CORRECT: 0.0434495, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1969800, DIVERSITY_GINI: 0.1560651, SHANNON_ENTROPY: 11.6080552, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.8040177775060301, 'l1_ratio': 0.23775511284660528} - results: ROC_AUC: 0.1935746, PRECISION: 0.0421699, PRECISION_RECALL_MIN_DEN: 0.1488789, RECALL: 0.1442545, MAP: 0.0697404, MRR: 0.1445083, NDCG: 0.1042026, F1: 0.0652593, HIT_RATE: 0.4216986, ARHR: 0.1687739, NOVELTY: 0.0049420, AVERAGE_POPULARITY: 0.0871195, DIVERSITY_MEAN_INTER_LIST: 0.9905740, DIVERSITY_HERFINDAHL: 0.9990399, COVERAGE_ITEM: 0.4935207, COVERAGE_ITEM_CORRECT: 0.0540135, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2164087, DIVERSITY_GINI: 0.1775779, SHANNON_ENTROPY: 11.9960126, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.6921822545085695, 'l1_ratio': 0.6188485106736528} - results: ROC_AUC: 0.1856308, PRECISION: 0.0403118, PRECISION_RECALL_MIN_DEN: 0.1436423, RECALL: 0.1393016, MAP: 0.0663621, MRR: 0.1369959, NDCG: 0.0995718, F1: 0.0625263, HIT_RATE: 0.4031182, ARHR: 0.1596148, NOVELTY: 0.0050272, AVERAGE_POPULARITY: 0.0709439, DIVERSITY_MEAN_INTER_LIST: 0.9934569, DIVERSITY_HERFINDAHL: 0.9993281, COVERAGE_ITEM: 0.5413359, COVERAGE_ITEM_CORRECT: 0.0558383, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2092614, DIVERSITY_GINI: 0.2213411, SHANNON_ENTROPY: 12.4464404, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.9152902383047308, 'l1_ratio': 0.6467744885840386} - results: ROC_AUC: 0.1539494, PRECISION: 0.0333280, PRECISION_RECALL_MIN_DEN: 0.1196182, RECALL: 0.1158882, MAP: 0.0531303, MRR: 0.1110829, NDCG: 0.0810581, F1: 0.0517669, HIT_RATE: 0.3332796, ARHR: 0.1276326, NOVELTY: 0.0051782, AVERAGE_POPULARITY: 0.0403382, DIVERSITY_MEAN_INTER_LIST: 0.9970234, DIVERSITY_HERFINDAHL: 0.9996847, COVERAGE_ITEM: 0.5708412, COVERAGE_ITEM_CORRECT: 0.0528893, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1781553, DIVERSITY_GINI: 0.2612205, SHANNON_ENTROPY: 12.9062030, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3423345213014986, 'l1_ratio': 0.6465267521114146} - results: ROC_AUC: 0.1815796, PRECISION: 0.0399217, PRECISION_RECALL_MIN_DEN: 0.1403598, RECALL: 0.1359930, MAP: 0.0650094, MRR: 0.1350372, NDCG: 0.0977215, F1: 0.0617214, HIT_RATE: 0.3992169, ARHR: 0.1573556, NOVELTY: 0.0048847, AVERAGE_POPULARITY: 0.1042043, DIVERSITY_MEAN_INTER_LIST: 0.9859406, DIVERSITY_HERFINDAHL: 0.9985766, COVERAGE_ITEM: 0.4805621, COVERAGE_ITEM_CORRECT: 0.0483773, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2060400, DIVERSITY_GINI: 0.1683751, SHANNON_ENTROPY: 11.7649767, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9928921579185604, 'l1_ratio': 0.4710657497179255} - results: ROC_AUC: 0.1633764, PRECISION: 0.0358793, PRECISION_RECALL_MIN_DEN: 0.1277448, RECALL: 0.1236890, MAP: 0.0563783, MRR: 0.1181075, NDCG: 0.0862635, F1: 0.0556217, HIT_RATE: 0.3587931, ARHR: 0.1370030, NOVELTY: 0.0051512, AVERAGE_POPULARITY: 0.0445360, DIVERSITY_MEAN_INTER_LIST: 0.9966975, DIVERSITY_HERFINDAHL: 0.9996521, COVERAGE_ITEM: 0.5595611, COVERAGE_ITEM_CORRECT: 0.0554071, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1888511, DIVERSITY_GINI: 0.2481954, SHANNON_ENTROPY: 12.8082669, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.37233738410704237, 'l1_ratio': 0.19423765133559462} - results: ROC_AUC: 0.1727165, PRECISION: 0.0368199, PRECISION_RECALL_MIN_DEN: 0.1281920, RECALL: 0.1241496, MAP: 0.0599225, MRR: 0.1275646, NDCG: 0.0903078, F1: 0.0567899, HIT_RATE: 0.3681987, ARHR: 0.1474540, NOVELTY: 0.0048546, AVERAGE_POPULARITY: 0.1104608, DIVERSITY_MEAN_INTER_LIST: 0.9842116, DIVERSITY_HERFINDAHL: 0.9984038, COVERAGE_ITEM: 0.4580173, COVERAGE_ITEM_CORRECT: 0.0415014, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1934818, DIVERSITY_GINI: 0.1526114, SHANNON_ENTROPY: 11.5695175, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.16678540246228704, 'l1_ratio': 0.08476980461636464} - results: ROC_AUC: 0.1631158, PRECISION: 0.0343253, PRECISION_RECALL_MIN_DEN: 0.1198766, RECALL: 0.1161273, MAP: 0.0562797, MRR: 0.1208699, NDCG: 0.0847959, F1: 0.0529821, HIT_RATE: 0.3432527, ARHR: 0.1389486, NOVELTY: 0.0048443, AVERAGE_POPULARITY: 0.1155593, DIVERSITY_MEAN_INTER_LIST: 0.9823561, DIVERSITY_HERFINDAHL: 0.9982183, COVERAGE_ITEM: 0.4541983, COVERAGE_ITEM_CORRECT: 0.0370356, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1822323, DIVERSITY_GINI: 0.1499837, SHANNON_ENTROPY: 11.4968614, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.24053073975085187, 'l1_ratio': 0.776431212763217} - results: ROC_AUC: 0.1765933, PRECISION: 0.0384515, PRECISION_RECALL_MIN_DEN: 0.1348372, RECALL: 0.1306259, MAP: 0.0626397, MRR: 0.1309314, NDCG: 0.0942194, F1: 0.0594097, HIT_RATE: 0.3845153, ARHR: 0.1520906, NOVELTY: 0.0048698, AVERAGE_POPULARITY: 0.1086099, DIVERSITY_MEAN_INTER_LIST: 0.9845675, DIVERSITY_HERFINDAHL: 0.9984394, COVERAGE_ITEM: 0.4699904, COVERAGE_ITEM_CORRECT: 0.0452666, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1994967, DIVERSITY_GINI: 0.1616690, SHANNON_ENTROPY: 11.6709137, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.059931237385260974, 'l1_ratio': 0.04030123282566312} - results: ROC_AUC: 0.1602397, PRECISION: 0.0334446, PRECISION_RECALL_MIN_DEN: 0.1168118, RECALL: 0.1131748, MAP: 0.0548964, MRR: 0.1184163, NDCG: 0.0827909, F1: 0.0516275, HIT_RATE: 0.3344463, ARHR: 0.1357336, NOVELTY: 0.0048445, AVERAGE_POPULARITY: 0.1171571, DIVERSITY_MEAN_INTER_LIST: 0.9816878, DIVERSITY_HERFINDAHL: 0.9981514, COVERAGE_ITEM: 0.4558999, COVERAGE_ITEM_CORRECT: 0.0356266, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1785579, DIVERSITY_GINI: 0.1506637, SHANNON_ENTROPY: 11.4856272, 
