
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6803282378855651, 'l1_ratio': 0.9438322530295725} - results: ROC_AUC: 0.1592721, PRECISION: 0.0344689, PRECISION_RECALL_MIN_DEN: 0.1256181, RECALL: 0.1219559, MAP: 0.0551406, MRR: 0.1142795, NDCG: 0.0844485, F1: 0.0537452, HIT_RATE: 0.3446889, ARHR: 0.1312679, NOVELTY: 0.0051699, AVERAGE_POPULARITY: 0.0415483, DIVERSITY_MEAN_INTER_LIST: 0.9969103, DIVERSITY_HERFINDAHL: 0.9996734, COVERAGE_ITEM: 0.5624331, COVERAGE_ITEM_CORRECT: 0.0548989, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1845225, DIVERSITY_GINI: 0.2525194, SHANNON_ENTROPY: 12.8506318, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.07235658167356974, 'l1_ratio': 0.07672000105894973} - results: ROC_AUC: 0.1721770, PRECISION: 0.0363600, PRECISION_RECALL_MIN_DEN: 0.1264098, RECALL: 0.1223054, MAP: 0.0594736, MRR: 0.1276249, NDCG: 0.0894047, F1: 0.0560544, HIT_RATE: 0.3635998, ARHR: 0.1474205, NOVELTY: 0.0049233, AVERAGE_POPULARITY: 0.0853633, DIVERSITY_MEAN_INTER_LIST: 0.9904567, DIVERSITY_HERFINDAHL: 0.9990282, COVERAGE_ITEM: 0.4648624, COVERAGE_ITEM_CORRECT: 0.0437806, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1906883, DIVERSITY_GINI: 0.1562848, SHANNON_ENTROPY: 11.8181334, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8129428861277737, 'l1_ratio': 0.14069122456123387} - results: ROC_AUC: 0.1986656, PRECISION: 0.0434022, PRECISION_RECALL_MIN_DEN: 0.1559581, RECALL: 0.1514500, MAP: 0.0720556, MRR: 0.1471934, NDCG: 0.1080217, F1: 0.0674680, HIT_RATE: 0.4340219, ARHR: 0.1718250, NOVELTY: 0.0049129, AVERAGE_POPULARITY: 0.0846709, DIVERSITY_MEAN_INTER_LIST: 0.9906404, DIVERSITY_HERFINDAHL: 0.9990465, COVERAGE_ITEM: 0.4894860, COVERAGE_ITEM_CORRECT: 0.0574475, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2233547, DIVERSITY_GINI: 0.1752825, SHANNON_ENTROPY: 11.9826515, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3294500402540556, 'l1_ratio': 0.26297578946827965} - results: ROC_AUC: 0.1894957, PRECISION: 0.0411739, PRECISION_RECALL_MIN_DEN: 0.1460828, RECALL: 0.1416220, MAP: 0.0684130, MRR: 0.1414510, NDCG: 0.1022034, F1: 0.0637977, HIT_RATE: 0.4117387, ARHR: 0.1647000, NOVELTY: 0.0049346, AVERAGE_POPULARITY: 0.0835666, DIVERSITY_MEAN_INTER_LIST: 0.9909558, DIVERSITY_HERFINDAHL: 0.9990781, COVERAGE_ITEM: 0.4698903, COVERAGE_ITEM_CORRECT: 0.0528970, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2123065, DIVERSITY_GINI: 0.1626975, SHANNON_ENTROPY: 11.9040296, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.9457062373092435, 'l1_ratio': 0.08675668683308081} - results: ROC_AUC: 0.1991284, PRECISION: 0.0435508, PRECISION_RECALL_MIN_DEN: 0.1567170, RECALL: 0.1522469, MAP: 0.0723551, MRR: 0.1477656, NDCG: 0.1085270, F1: 0.0677266, HIT_RATE: 0.4355081, ARHR: 0.1722573, NOVELTY: 0.0048819, AVERAGE_POPULARITY: 0.0891135, DIVERSITY_MEAN_INTER_LIST: 0.9895278, DIVERSITY_HERFINDAHL: 0.9989353, COVERAGE_ITEM: 0.4842579, COVERAGE_ITEM_CORRECT: 0.0569856, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2244872, DIVERSITY_GINI: 0.1702677, SHANNON_ENTROPY: 11.8930053, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8173117303382958, 'l1_ratio': 0.11215737043781229} - results: ROC_AUC: 0.1986488, PRECISION: 0.0433883, PRECISION_RECALL_MIN_DEN: 0.1557091, RECALL: 0.1512115, MAP: 0.0720948, MRR: 0.1473037, NDCG: 0.1080281, F1: 0.0674280, HIT_RATE: 0.4338835, ARHR: 0.1717594, NOVELTY: 0.0048979, AVERAGE_POPULARITY: 0.0872963, DIVERSITY_MEAN_INTER_LIST: 0.9900315, DIVERSITY_HERFINDAHL: 0.9989857, COVERAGE_ITEM: 0.4815014, COVERAGE_ITEM_CORRECT: 0.0568932, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2234554, DIVERSITY_GINI: 0.1693209, SHANNON_ENTROPY: 11.9102603, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3018120253689735, 'l1_ratio': 0.6350605696967285} - results: ROC_AUC: 0.1897010, PRECISION: 0.0419377, PRECISION_RECALL_MIN_DEN: 0.1490741, RECALL: 0.1445186, MAP: 0.0686263, MRR: 0.1408750, NDCG: 0.1030154, F1: 0.0650089, HIT_RATE: 0.4193768, ARHR: 0.1648579, NOVELTY: 0.0050000, AVERAGE_POPULARITY: 0.0724854, DIVERSITY_MEAN_INTER_LIST: 0.9931723, DIVERSITY_HERFINDAHL: 0.9992997, COVERAGE_ITEM: 0.5013513, COVERAGE_ITEM_CORRECT: 0.0564620, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2154020, DIVERSITY_GINI: 0.1876621, SHANNON_ENTROPY: 12.2001856, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.7434007521831745, 'l1_ratio': 0.32535370781203904} - results: ROC_AUC: 0.1906556, PRECISION: 0.0420749, PRECISION_RECALL_MIN_DEN: 0.1504755, RECALL: 0.1459337, MAP: 0.0684846, MRR: 0.1401874, NDCG: 0.1032121, F1: 0.0653167, HIT_RATE: 0.4207489, ARHR: 0.1640688, NOVELTY: 0.0050058, AVERAGE_POPULARITY: 0.0686768, DIVERSITY_MEAN_INTER_LIST: 0.9937879, DIVERSITY_HERFINDAHL: 0.9993612, COVERAGE_ITEM: 0.5271376, COVERAGE_ITEM_CORRECT: 0.0585486, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2163080, DIVERSITY_GINI: 0.2092224, SHANNON_ENTROPY: 12.3767515, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8019333337858512, 'l1_ratio': 0.08391961855661857} - results: ROC_AUC: 0.1977767, PRECISION: 0.0430105, PRECISION_RECALL_MIN_DEN: 0.1542130, RECALL: 0.1497461, MAP: 0.0715849, MRR: 0.1469202, NDCG: 0.1072580, F1: 0.0668262, HIT_RATE: 0.4301050, ARHR: 0.1711610, NOVELTY: 0.0048837, AVERAGE_POPULARITY: 0.0899751, DIVERSITY_MEAN_INTER_LIST: 0.9893842, DIVERSITY_HERFINDAHL: 0.9989209, COVERAGE_ITEM: 0.4729933, COVERAGE_ITEM_CORRECT: 0.0558537, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2216434, DIVERSITY_GINI: 0.1627171, SHANNON_ENTROPY: 11.8308835, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.3120224851072216, 'l1_ratio': 0.5483777087945072} - results: ROC_AUC: 0.1906422, PRECISION: 0.0418985, PRECISION_RECALL_MIN_DEN: 0.1492803, RECALL: 0.1447343, MAP: 0.0689824, MRR: 0.1417294, NDCG: 0.1033931, F1: 0.0649835, HIT_RATE: 0.4189847, ARHR: 0.1657573, NOVELTY: 0.0049876, AVERAGE_POPULARITY: 0.0748268, DIVERSITY_MEAN_INTER_LIST: 0.9927498, DIVERSITY_HERFINDAHL: 0.9992574, COVERAGE_ITEM: 0.4954918, COVERAGE_ITEM_CORRECT: 0.0559230, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2154020, DIVERSITY_GINI: 0.1827049, SHANNON_ENTROPY: 12.1426417, 
