
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6803282378855651, 'l1_ratio': 0.9438322530295725} - results: ROC_AUC: 0.1506923, PRECISION: 0.0322387, PRECISION_RECALL_MIN_DEN: 0.1165122, RECALL: 0.1129530, MAP: 0.0515838, MRR: 0.1079251, NDCG: 0.0788038, F1: 0.0501587, HIT_RATE: 0.3223867, ARHR: 0.1239256, NOVELTY: 0.0051893, AVERAGE_POPULARITY: 0.0394615, DIVERSITY_MEAN_INTER_LIST: 0.9970580, DIVERSITY_HERFINDAHL: 0.9996882, COVERAGE_ITEM: 0.5764928, COVERAGE_ITEM_CORRECT: 0.0517036, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1731219, DIVERSITY_GINI: 0.2669849, SHANNON_ENTROPY: 12.9404282, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.07235658167356974, 'l1_ratio': 0.07672000105894973} - results: ROC_AUC: 0.1762091, PRECISION: 0.0372326, PRECISION_RECALL_MIN_DEN: 0.1312634, RECALL: 0.1272274, MAP: 0.0613368, MRR: 0.1307941, NDCG: 0.0923450, F1: 0.0576053, HIT_RATE: 0.3723264, ARHR: 0.1508857, NOVELTY: 0.0047690, AVERAGE_POPULARITY: 0.1200400, DIVERSITY_MEAN_INTER_LIST: 0.9807270, DIVERSITY_HERFINDAHL: 0.9980554, COVERAGE_ITEM: 0.4406622, COVERAGE_ITEM_CORRECT: 0.0414244, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1967535, DIVERSITY_GINI: 0.1324959, SHANNON_ENTROPY: 11.2359097, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8129428861277737, 'l1_ratio': 0.14069122456123387} - results: ROC_AUC: 0.2006223, PRECISION: 0.0437523, PRECISION_RECALL_MIN_DEN: 0.1578326, RECALL: 0.1533415, MAP: 0.0732289, MRR: 0.1492277, NDCG: 0.1095473, F1: 0.0680789, HIT_RATE: 0.4375228, ARHR: 0.1739226, NOVELTY: 0.0048779, AVERAGE_POPULARITY: 0.0933902, DIVERSITY_MEAN_INTER_LIST: 0.9886126, DIVERSITY_HERFINDAHL: 0.9988438, COVERAGE_ITEM: 0.4813782, COVERAGE_ITEM_CORRECT: 0.0566699, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2255694, DIVERSITY_GINI: 0.1672431, SHANNON_ENTROPY: 11.8333892, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3294500402540556, 'l1_ratio': 0.26297578946827965} - results: ROC_AUC: 0.1903607, PRECISION: 0.0411060, PRECISION_RECALL_MIN_DEN: 0.1458587, RECALL: 0.1414407, MAP: 0.0684843, MRR: 0.1420767, NDCG: 0.1023708, F1: 0.0636986, HIT_RATE: 0.4110599, ARHR: 0.1650519, NOVELTY: 0.0048112, AVERAGE_POPULARITY: 0.1111103, DIVERSITY_MEAN_INTER_LIST: 0.9837752, DIVERSITY_HERFINDAHL: 0.9983601, COVERAGE_ITEM: 0.4474456, COVERAGE_ITEM_CORRECT: 0.0493936, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2126840, DIVERSITY_GINI: 0.1409988, SHANNON_ENTROPY: 11.4321567, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9457062373092435, 'l1_ratio': 0.08675668683308081} - results: ROC_AUC: 0.1999664, PRECISION: 0.0436285, PRECISION_RECALL_MIN_DEN: 0.1573068, RECALL: 0.1528444, MAP: 0.0727069, MRR: 0.1484224, NDCG: 0.1089931, F1: 0.0678796, HIT_RATE: 0.4362848, ARHR: 0.1729950, NOVELTY: 0.0048714, AVERAGE_POPULARITY: 0.0917333, DIVERSITY_MEAN_INTER_LIST: 0.9888994, DIVERSITY_HERFINDAHL: 0.9988725, COVERAGE_ITEM: 0.4817555, COVERAGE_ITEM_CORRECT: 0.0568239, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2251919, DIVERSITY_GINI: 0.1677487, SHANNON_ENTROPY: 11.8468678, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8173117303382958, 'l1_ratio': 0.11215737043781229} - results: ROC_AUC: 0.2000909, PRECISION: 0.0436401, PRECISION_RECALL_MIN_DEN: 0.1571557, RECALL: 0.1526533, MAP: 0.0729422, MRR: 0.1490716, NDCG: 0.1091601, F1: 0.0678752, HIT_RATE: 0.4364013, ARHR: 0.1736029, NOVELTY: 0.0048626, AVERAGE_POPULARITY: 0.0959185, DIVERSITY_MEAN_INTER_LIST: 0.9879573, DIVERSITY_HERFINDAHL: 0.9987783, COVERAGE_ITEM: 0.4731858, COVERAGE_ITEM_CORRECT: 0.0560693, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2251667, DIVERSITY_GINI: 0.1613599, SHANNON_ENTROPY: 11.7609865, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3018120253689735, 'l1_ratio': 0.6350605696967285} - results: ROC_AUC: 0.1947048, PRECISION: 0.0424490, PRECISION_RECALL_MIN_DEN: 0.1506247, RECALL: 0.1460656, MAP: 0.0710326, MRR: 0.1460961, NDCG: 0.1057540, F1: 0.0657797, HIT_RATE: 0.4244895, ARHR: 0.1705115, NOVELTY: 0.0048745, AVERAGE_POPULARITY: 0.1011616, DIVERSITY_MEAN_INTER_LIST: 0.9867343, DIVERSITY_HERFINDAHL: 0.9986560, COVERAGE_ITEM: 0.4787372, COVERAGE_ITEM_CORRECT: 0.0534668, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2174909, DIVERSITY_GINI: 0.1628164, SHANNON_ENTROPY: 11.7228421, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.7434007521831745, 'l1_ratio': 0.32535370781203904} - results: ROC_AUC: 0.1959206, PRECISION: 0.0430217, PRECISION_RECALL_MIN_DEN: 0.1543538, RECALL: 0.1497427, MAP: 0.0711626, MRR: 0.1453140, NDCG: 0.1066338, F1: 0.0668366, HIT_RATE: 0.4302175, ARHR: 0.1698423, NOVELTY: 0.0049591, AVERAGE_POPULARITY: 0.0798384, DIVERSITY_MEAN_INTER_LIST: 0.9917257, DIVERSITY_HERFINDAHL: 0.9991550, COVERAGE_ITEM: 0.5186526, COVERAGE_ITEM_CORRECT: 0.0583099, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2211401, DIVERSITY_GINI: 0.1986923, SHANNON_ENTROPY: 12.2005875, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8019333337858512, 'l1_ratio': 0.08391961855661857} - results: ROC_AUC: 0.1987031, PRECISION: 0.0432234, PRECISION_RECALL_MIN_DEN: 0.1551483, RECALL: 0.1506695, MAP: 0.0721782, MRR: 0.1478967, NDCG: 0.1080270, F1: 0.0671748, HIT_RATE: 0.4322340, ARHR: 0.1721555, NOVELTY: 0.0048458, AVERAGE_POPULARITY: 0.0992490, DIVERSITY_MEAN_INTER_LIST: 0.9870792, DIVERSITY_HERFINDAHL: 0.9986905, COVERAGE_ITEM: 0.4641309, COVERAGE_ITEM_CORRECT: 0.0548373, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2228514, DIVERSITY_GINI: 0.1544754, SHANNON_ENTROPY: 11.6697774, 
