
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.5225915735487875, 'l1_ratio': 0.4631890173965628} - results: ROC_AUC: 0.1918306, PRECISION: 0.0420493, PRECISION_RECALL_MIN_DEN: 0.1489793, RECALL: 0.1444902, MAP: 0.0692872, MRR: 0.1423630, NDCG: 0.1037722, F1: 0.0651381, HIT_RATE: 0.4204926, ARHR: 0.1663279, NOVELTY: 0.0048946, AVERAGE_POPULARITY: 0.0983404, DIVERSITY_MEAN_INTER_LIST: 0.9875369, DIVERSITY_HERFINDAHL: 0.9987362, COVERAGE_ITEM: 0.4973244, COVERAGE_ITEM_CORRECT: 0.0532204, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2160815, DIVERSITY_GINI: 0.1791921, SHANNON_ENTROPY: 11.8958735, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.6755676255743549, 'l1_ratio': 0.9337574799192552} - results: ROC_AUC: 0.1648325, PRECISION: 0.0349346, PRECISION_RECALL_MIN_DEN: 0.1265327, RECALL: 0.1228035, MAP: 0.0580084, MRR: 0.1202824, NDCG: 0.0873744, F1: 0.0543926, HIT_RATE: 0.3493460, ARHR: 0.1381774, NOVELTY: 0.0051206, AVERAGE_POPULARITY: 0.0528396, DIVERSITY_MEAN_INTER_LIST: 0.9957684, DIVERSITY_HERFINDAHL: 0.9995592, COVERAGE_ITEM: 0.5666833, COVERAGE_ITEM_CORRECT: 0.0525274, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1866868, DIVERSITY_GINI: 0.2523943, SHANNON_ENTROPY: 12.7748234, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.8067791965504959, 'l1_ratio': 0.6148082084830362} - results: ROC_AUC: 0.1742344, PRECISION: 0.0374159, PRECISION_RECALL_MIN_DEN: 0.1340747, RECALL: 0.1300071, MAP: 0.0615913, MRR: 0.1277295, NDCG: 0.0927148, F1: 0.0581060, HIT_RATE: 0.3741586, ARHR: 0.1476980, NOVELTY: 0.0050911, AVERAGE_POPULARITY: 0.0562523, DIVERSITY_MEAN_INTER_LIST: 0.9954798, DIVERSITY_HERFINDAHL: 0.9995304, COVERAGE_ITEM: 0.5636882, COVERAGE_ITEM_CORRECT: 0.0548912, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1969548, DIVERSITY_GINI: 0.2470254, SHANNON_ENTROPY: 12.7169682, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.7293988991848545, 'l1_ratio': 0.33383889819798734} - results: ROC_AUC: 0.1981332, PRECISION: 0.0432695, PRECISION_RECALL_MIN_DEN: 0.1550419, RECALL: 0.1505167, MAP: 0.0721066, MRR: 0.1474092, NDCG: 0.1078057, F1: 0.0672144, HIT_RATE: 0.4326945, ARHR: 0.1721964, NOVELTY: 0.0049217, AVERAGE_POPULARITY: 0.0890756, DIVERSITY_MEAN_INTER_LIST: 0.9898326, DIVERSITY_HERFINDAHL: 0.9989658, COVERAGE_ITEM: 0.5128239, COVERAGE_ITEM_CORRECT: 0.0570934, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2225494, DIVERSITY_GINI: 0.1914755, SHANNON_ENTROPY: 12.0681457, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9220361703100914, 'l1_ratio': 0.735112687758739} - results: ROC_AUC: 0.1408005, PRECISION: 0.0301818, PRECISION_RECALL_MIN_DEN: 0.1087287, RECALL: 0.1053344, MAP: 0.0481736, MRR: 0.1009306, NDCG: 0.0735905, F1: 0.0469175, HIT_RATE: 0.3018184, ARHR: 0.1151886, NOVELTY: 0.0052102, AVERAGE_POPULARITY: 0.0331971, DIVERSITY_MEAN_INTER_LIST: 0.9974474, DIVERSITY_HERFINDAHL: 0.9997271, COVERAGE_ITEM: 0.5832069, COVERAGE_ITEM_CORRECT: 0.0503484, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1636592, DIVERSITY_GINI: 0.2752557, SHANNON_ENTROPY: 13.0145049, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.7112091975205814, 'l1_ratio': 0.6208814702948798} - results: ROC_AUC: 0.1840723, PRECISION: 0.0397280, PRECISION_RECALL_MIN_DEN: 0.1422110, RECALL: 0.1379378, MAP: 0.0657157, MRR: 0.1357512, NDCG: 0.0986305, F1: 0.0616866, HIT_RATE: 0.3972798, ARHR: 0.1578171, NOVELTY: 0.0050330, AVERAGE_POPULARITY: 0.0684522, DIVERSITY_MEAN_INTER_LIST: 0.9937464, DIVERSITY_HERFINDAHL: 0.9993571, COVERAGE_ITEM: 0.5497132, COVERAGE_ITEM_CORRECT: 0.0557767, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2068705, DIVERSITY_GINI: 0.2293951, SHANNON_ENTROPY: 12.5130235, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.31726900702018396, 'l1_ratio': 0.9231351015606415} - results: ROC_AUC: 0.1836874, PRECISION: 0.0403950, PRECISION_RECALL_MIN_DEN: 0.1421772, RECALL: 0.1377829, MAP: 0.0659741, MRR: 0.1363492, NDCG: 0.0990384, F1: 0.0624715, HIT_RATE: 0.4039504, ARHR: 0.1589940, NOVELTY: 0.0049012, AVERAGE_POPULARITY: 0.1001460, DIVERSITY_MEAN_INTER_LIST: 0.9869396, DIVERSITY_HERFINDAHL: 0.9986765, COVERAGE_ITEM: 0.4940828, COVERAGE_ITEM_CORRECT: 0.0502637, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2083050, DIVERSITY_GINI: 0.1784747, SHANNON_ENTROPY: 11.8821118, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'alpha': 0.8929724301473302, 'l1_ratio': 0.06575255417765237} - results: ROC_AUC: 0.1993425, PRECISION: 0.0433640, PRECISION_RECALL_MIN_DEN: 0.1556582, RECALL: 0.1511905, MAP: 0.0725382, MRR: 0.1481409, NDCG: 0.1084775, F1: 0.0673956, HIT_RATE: 0.4336396, ARHR: 0.1725435, NOVELTY: 0.0048412, AVERAGE_POPULARITY: 0.0998753, DIVERSITY_MEAN_INTER_LIST: 0.9869969, DIVERSITY_HERFINDAHL: 0.9986823, COVERAGE_ITEM: 0.4719461, COVERAGE_ITEM_CORRECT: 0.0549374, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2234554, DIVERSITY_GINI: 0.1587040, SHANNON_ENTROPY: 11.6969961, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.45982260451753365, 'l1_ratio': 0.09981678191259127} - results: ROC_AUC: 0.1788344, PRECISION: 0.0383912, PRECISION_RECALL_MIN_DEN: 0.1355774, RECALL: 0.1314873, MAP: 0.0629791, MRR: 0.1326377, NDCG: 0.0948768, F1: 0.0594261, HIT_RATE: 0.3839118, ARHR: 0.1535017, NOVELTY: 0.0048223, AVERAGE_POPULARITY: 0.1139256, DIVERSITY_MEAN_INTER_LIST: 0.9830246, DIVERSITY_HERFINDAHL: 0.9982851, COVERAGE_ITEM: 0.4518268, COVERAGE_ITEM_CORRECT: 0.0443657, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013842, DIVERSITY_GINI: 0.1476588, SHANNON_ENTROPY: 11.4889083, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'alpha': 0.8991751672246813, 'l1_ratio': 0.11874637825106651} - results: ROC_AUC: 0.2016175, PRECISION: 0.0438621, PRECISION_RECALL_MIN_DEN: 0.1578295, RECALL: 0.1533143, MAP: 0.0736289, MRR: 0.1494574, NDCG: 0.1098964, F1: 0.0682092, HIT_RATE: 0.4386213, ARHR: 0.1743725, NOVELTY: 0.0048687, AVERAGE_POPULARITY: 0.0943234, DIVERSITY_MEAN_INTER_LIST: 0.9884612, DIVERSITY_HERFINDAHL: 0.9988287, COVERAGE_ITEM: 0.4865217, COVERAGE_ITEM_CORRECT: 0.0566314, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2256197, DIVERSITY_GINI: 0.1700637, SHANNON_ENTROPY: 11.8462233, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.5505569487924912, 'l1_ratio': 0.18783973767371204} - results: ROC_AUC: 0.1882613, PRECISION: 0.0408405, PRECISION_RECALL_MIN_DEN: 0.1446916, RECALL: 0.1403889, MAP: 0.0674916, MRR: 0.1396619, NDCG: 0.1011890, F1: 0.0632717, HIT_RATE: 0.4084051, ARHR: 0.1625116, NOVELTY: 0.0048391, AVERAGE_POPULARITY: 0.1089021, DIVERSITY_MEAN_INTER_LIST: 0.9846353, DIVERSITY_HERFINDAHL: 0.9984461, COVERAGE_ITEM: 0.4651935, COVERAGE_ITEM_CORRECT: 0.0493090, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2114509, DIVERSITY_GINI: 0.1557580, SHANNON_ENTROPY: 11.6049028, 
