
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6803282378855651, 'l1_ratio': 0.9438322530295725} - results: ROC_AUC: 0.1388787, PRECISION: 0.0290896, PRECISION_RECALL_MIN_DEN: 0.1087123, RECALL: 0.1057443, MAP: 0.0477761, MRR: 0.0982887, NDCG: 0.0730693, F1: 0.0456254, HIT_RATE: 0.2908958, ARHR: 0.1110794, NOVELTY: 0.0051966, AVERAGE_POPULARITY: 0.0354299, DIVERSITY_MEAN_INTER_LIST: 0.9973191, DIVERSITY_HERFINDAHL: 0.9997143, COVERAGE_ITEM: 0.5779557, COVERAGE_ITEM_CORRECT: 0.0490164, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1610167, DIVERSITY_GINI: 0.2700250, SHANNON_ENTROPY: 12.9773700, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.07235658167356974, 'l1_ratio': 0.07672000105894973} - results: ROC_AUC: 0.1745825, PRECISION: 0.0371558, PRECISION_RECALL_MIN_DEN: 0.1302636, RECALL: 0.1261948, MAP: 0.0609152, MRR: 0.1298704, NDCG: 0.0916863, F1: 0.0574045, HIT_RATE: 0.3715581, ARHR: 0.1498923, NOVELTY: 0.0047649, AVERAGE_POPULARITY: 0.1107789, DIVERSITY_MEAN_INTER_LIST: 0.9848843, DIVERSITY_HERFINDAHL: 0.9984710, COVERAGE_ITEM: 0.4051049, COVERAGE_ITEM_CORRECT: 0.0421790, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1954197, DIVERSITY_GINI: 0.1176019, SHANNON_ENTROPY: 11.2585113, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8129428861277737, 'l1_ratio': 0.14069122456123387} - results: ROC_AUC: 0.2003212, PRECISION: 0.0437978, PRECISION_RECALL_MIN_DEN: 0.1573906, RECALL: 0.1528216, MAP: 0.0732549, MRR: 0.1490854, NDCG: 0.1094269, F1: 0.0680823, HIT_RATE: 0.4379783, ARHR: 0.1740474, NOVELTY: 0.0048845, AVERAGE_POPULARITY: 0.0891073, DIVERSITY_MEAN_INTER_LIST: 0.9897259, DIVERSITY_HERFINDAHL: 0.9989551, COVERAGE_ITEM: 0.4843811, COVERAGE_ITEM_CORRECT: 0.0575476, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2248144, DIVERSITY_GINI: 0.1708796, SHANNON_ENTROPY: 11.9067923, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3294500402540556, 'l1_ratio': 0.26297578946827965} - results: ROC_AUC: 0.1950942, PRECISION: 0.0423889, PRECISION_RECALL_MIN_DEN: 0.1501651, RECALL: 0.1456559, MAP: 0.0707374, MRR: 0.1457511, NDCG: 0.1054533, F1: 0.0656648, HIT_RATE: 0.4238891, ARHR: 0.1701222, NOVELTY: 0.0048356, AVERAGE_POPULARITY: 0.0990424, DIVERSITY_MEAN_INTER_LIST: 0.9877975, DIVERSITY_HERFINDAHL: 0.9987623, COVERAGE_ITEM: 0.4477844, COVERAGE_ITEM_CORRECT: 0.0536516, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2171889, DIVERSITY_GINI: 0.1446266, SHANNON_ENTROPY: 11.6120395, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9457062373092435, 'l1_ratio': 0.08675668683308081} - results: ROC_AUC: 0.1997260, PRECISION: 0.0436850, PRECISION_RECALL_MIN_DEN: 0.1572368, RECALL: 0.1527469, MAP: 0.0725984, MRR: 0.1482127, NDCG: 0.1088908, F1: 0.0679379, HIT_RATE: 0.4368504, ARHR: 0.1727857, NOVELTY: 0.0048726, AVERAGE_POPULARITY: 0.0905647, DIVERSITY_MEAN_INTER_LIST: 0.9892085, DIVERSITY_HERFINDAHL: 0.9989034, COVERAGE_ITEM: 0.4827719, COVERAGE_ITEM_CORRECT: 0.0571396, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250912, DIVERSITY_GINI: 0.1687407, SHANNON_ENTROPY: 11.8667266, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8173117303382958, 'l1_ratio': 0.11215737043781229} - results: ROC_AUC: 0.2001761, PRECISION: 0.0436992, PRECISION_RECALL_MIN_DEN: 0.1570542, RECALL: 0.1525432, MAP: 0.0728626, MRR: 0.1487664, NDCG: 0.1090965, F1: 0.0679350, HIT_RATE: 0.4369920, ARHR: 0.1735262, NOVELTY: 0.0048689, AVERAGE_POPULARITY: 0.0919345, DIVERSITY_MEAN_INTER_LIST: 0.9890510, DIVERSITY_HERFINDAHL: 0.9988876, COVERAGE_ITEM: 0.4765890, COVERAGE_ITEM_CORRECT: 0.0568701, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2249151, DIVERSITY_GINI: 0.1647485, SHANNON_ENTROPY: 11.8294009, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3018120253689735, 'l1_ratio': 0.6350605696967285} - results: ROC_AUC: 0.1931490, PRECISION: 0.0418724, PRECISION_RECALL_MIN_DEN: 0.1504794, RECALL: 0.1461087, MAP: 0.0701459, MRR: 0.1430837, NDCG: 0.1047218, F1: 0.0650891, HIT_RATE: 0.4187245, ARHR: 0.1669007, NOVELTY: 0.0049149, AVERAGE_POPULARITY: 0.0848663, DIVERSITY_MEAN_INTER_LIST: 0.9910796, DIVERSITY_HERFINDAHL: 0.9990904, COVERAGE_ITEM: 0.4907026, COVERAGE_ITEM_CORRECT: 0.0559615, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2159809, DIVERSITY_GINI: 0.1770733, SHANNON_ENTROPY: 12.0136638, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.7434007521831745, 'l1_ratio': 0.32535370781203904} - results: ROC_AUC: 0.1920120, PRECISION: 0.0422330, PRECISION_RECALL_MIN_DEN: 0.1521096, RECALL: 0.1476290, MAP: 0.0700211, MRR: 0.1424360, NDCG: 0.1049140, F1: 0.0656748, HIT_RATE: 0.4223298, ARHR: 0.1663526, NOVELTY: 0.0049732, AVERAGE_POPULARITY: 0.0734722, DIVERSITY_MEAN_INTER_LIST: 0.9930036, DIVERSITY_HERFINDAHL: 0.9992828, COVERAGE_ITEM: 0.5240962, COVERAGE_ITEM_CORRECT: 0.0581944, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2172644, DIVERSITY_GINI: 0.2053492, SHANNON_ENTROPY: 12.3069824, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8019333337858512, 'l1_ratio': 0.08391961855661857} - results: ROC_AUC: 0.1994818, PRECISION: 0.0434310, PRECISION_RECALL_MIN_DEN: 0.1559908, RECALL: 0.1515065, MAP: 0.0725421, MRR: 0.1484663, NDCG: 0.1085552, F1: 0.0675083, HIT_RATE: 0.4343105, ARHR: 0.1730512, NOVELTY: 0.0048508, AVERAGE_POPULARITY: 0.0952311, DIVERSITY_MEAN_INTER_LIST: 0.9882369, DIVERSITY_HERFINDAHL: 0.9988062, COVERAGE_ITEM: 0.4669182, COVERAGE_ITEM_CORRECT: 0.0558768, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2236064, DIVERSITY_GINI: 0.1574250, SHANNON_ENTROPY: 11.7373191, 
