
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.314989719013747, 'l1_ratio': 0.5089768290722003} - results: ROC_AUC: 0.1926590, PRECISION: 0.0421673, PRECISION_RECALL_MIN_DEN: 0.1478552, RECALL: 0.1431212, MAP: 0.0689253, MRR: 0.1442940, NDCG: 0.1033374, F1: 0.0651407, HIT_RATE: 0.4216730, ARHR: 0.1684332, NOVELTY: 0.0048449, AVERAGE_POPULARITY: 0.0977364, DIVERSITY_MEAN_INTER_LIST: 0.9889874, DIVERSITY_HERFINDAHL: 0.9988813, COVERAGE_ITEM: 0.4420096, COVERAGE_ITEM_CORRECT: 0.0530587, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2161822, DIVERSITY_GINI: 0.1445285, SHANNON_ENTROPY: 11.6894794, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.5046536489937781, 'l1_ratio': 0.5595498492535214} - results: ROC_AUC: 0.1981199, PRECISION: 0.0435346, PRECISION_RECALL_MIN_DEN: 0.1536845, RECALL: 0.1489041, MAP: 0.0715900, MRR: 0.1479831, NDCG: 0.1071197, F1: 0.0673708, HIT_RATE: 0.4353463, ARHR: 0.1732419, NOVELTY: 0.0048953, AVERAGE_POPULARITY: 0.0901668, DIVERSITY_MEAN_INTER_LIST: 0.9905470, DIVERSITY_HERFINDAHL: 0.9990372, COVERAGE_ITEM: 0.4712531, COVERAGE_ITEM_CORRECT: 0.0568624, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2223984, DIVERSITY_GINI: 0.1643553, SHANNON_ENTROPY: 11.9129587, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.6892640500841962, 'l1_ratio': 0.3410437106282362} - results: ROC_AUC: 0.1976100, PRECISION: 0.0432163, PRECISION_RECALL_MIN_DEN: 0.1525641, RECALL: 0.1478380, MAP: 0.0714747, MRR: 0.1476678, NDCG: 0.1067383, F1: 0.0668809, HIT_RATE: 0.4321634, ARHR: 0.1726494, NOVELTY: 0.0048786, AVERAGE_POPULARITY: 0.0951656, DIVERSITY_MEAN_INTER_LIST: 0.9891925, DIVERSITY_HERFINDAHL: 0.9989018, COVERAGE_ITEM: 0.4647161, COVERAGE_ITEM_CORRECT: 0.0550067, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2213917, DIVERSITY_GINI: 0.1577193, SHANNON_ENTROPY: 11.7964833, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3973885903387836, 'l1_ratio': 0.5160992594533176} - results: ROC_AUC: 0.1952660, PRECISION: 0.0428483, PRECISION_RECALL_MIN_DEN: 0.1507109, RECALL: 0.1459374, MAP: 0.0701454, MRR: 0.1460996, NDCG: 0.1051313, F1: 0.0662452, HIT_RATE: 0.4284827, ARHR: 0.1707538, NOVELTY: 0.0048608, AVERAGE_POPULARITY: 0.0954310, DIVERSITY_MEAN_INTER_LIST: 0.9894652, DIVERSITY_HERFINDAHL: 0.9989290, COVERAGE_ITEM: 0.4512724, COVERAGE_ITEM_CORRECT: 0.0546218, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193784, DIVERSITY_GINI: 0.1506604, SHANNON_ENTROPY: 11.7591798, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3738040617471899, 'l1_ratio': 0.6166656780701526} - results: ROC_AUC: 0.1958302, PRECISION: 0.0430538, PRECISION_RECALL_MIN_DEN: 0.1515312, RECALL: 0.1467587, MAP: 0.0704659, MRR: 0.1464154, NDCG: 0.1055928, F1: 0.0665751, HIT_RATE: 0.4305376, ARHR: 0.1712950, NOVELTY: 0.0048707, AVERAGE_POPULARITY: 0.0935177, DIVERSITY_MEAN_INTER_LIST: 0.9899262, DIVERSITY_HERFINDAHL: 0.9989751, COVERAGE_ITEM: 0.4563234, COVERAGE_ITEM_CORRECT: 0.0554764, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2200076, DIVERSITY_GINI: 0.1544851, SHANNON_ENTROPY: 11.8111429, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.415080947438524, 'l1_ratio': 0.7244146727002888} - results: ROC_AUC: 0.1971373, PRECISION: 0.0434746, PRECISION_RECALL_MIN_DEN: 0.1533236, RECALL: 0.1485122, MAP: 0.0711739, MRR: 0.1470807, NDCG: 0.1066214, F1: 0.0672588, HIT_RATE: 0.4347457, ARHR: 0.1722427, NOVELTY: 0.0049003, AVERAGE_POPULARITY: 0.0883842, DIVERSITY_MEAN_INTER_LIST: 0.9909996, DIVERSITY_HERFINDAHL: 0.9990824, COVERAGE_ITEM: 0.4740481, COVERAGE_ITEM_CORRECT: 0.0573551, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2219454, DIVERSITY_GINI: 0.1669445, SHANNON_ENTROPY: 11.9549778, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.7054453460761365, 'l1_ratio': 0.9681218440754794} - results: ROC_AUC: 0.1676467, PRECISION: 0.0355998, PRECISION_RECALL_MIN_DEN: 0.1300558, RECALL: 0.1264037, MAP: 0.0587596, MRR: 0.1217442, NDCG: 0.0891338, F1: 0.0555511, HIT_RATE: 0.3559980, ARHR: 0.1395625, NOVELTY: 0.0051388, AVERAGE_POPULARITY: 0.0472500, DIVERSITY_MEAN_INTER_LIST: 0.9966655, DIVERSITY_HERFINDAHL: 0.9996489, COVERAGE_ITEM: 0.5684543, COVERAGE_ITEM_CORRECT: 0.0557305, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1904115, DIVERSITY_GINI: 0.2561798, SHANNON_ENTROPY: 12.8502121, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.15150680681333342, 'l1_ratio': 0.15418817173580104} - results: ROC_AUC: 0.1832258, PRECISION: 0.0394741, PRECISION_RECALL_MIN_DEN: 0.1374459, RECALL: 0.1329599, MAP: 0.0645299, MRR: 0.1371124, NDCG: 0.0968175, F1: 0.0608742, HIT_RATE: 0.3947406, ARHR: 0.1588984, NOVELTY: 0.0048088, AVERAGE_POPULARITY: 0.1032681, DIVERSITY_MEAN_INTER_LIST: 0.9876817, DIVERSITY_HERFINDAHL: 0.9987507, COVERAGE_ITEM: 0.4233532, COVERAGE_ITEM_CORRECT: 0.0474379, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2050585, DIVERSITY_GINI: 0.1324229, SHANNON_ENTROPY: 11.5318747, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.06906019936562781, 'l1_ratio': 0.5952329850460331} - results: ROC_AUC: 0.1846524, PRECISION: 0.0398771, PRECISION_RECALL_MIN_DEN: 0.1391906, RECALL: 0.1346705, MAP: 0.0650539, MRR: 0.1379755, NDCG: 0.0977233, F1: 0.0615325, HIT_RATE: 0.3987710, ARHR: 0.1600247, NOVELTY: 0.0048140, AVERAGE_POPULARITY: 0.1019343, DIVERSITY_MEAN_INTER_LIST: 0.9880807, DIVERSITY_HERFINDAHL: 0.9987906, COVERAGE_ITEM: 0.4255553, COVERAGE_ITEM_CORRECT: 0.0485159, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2072229, DIVERSITY_GINI: 0.1342077, SHANNON_ENTROPY: 11.5662074, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.8986088020222491, 'l1_ratio': 0.6175176514920293} - results: ROC_AUC: 0.1789926, PRECISION: 0.0387603, PRECISION_RECALL_MIN_DEN: 0.1390585, RECALL: 0.1349122, MAP: 0.0639198, MRR: 0.1312704, NDCG: 0.0960537, F1: 0.0602182, HIT_RATE: 0.3876027, ARHR: 0.1526176, NOVELTY: 0.0050955, AVERAGE_POPULARITY: 0.0577251, DIVERSITY_MEAN_INTER_LIST: 0.9954568, DIVERSITY_HERFINDAHL: 0.9995281, COVERAGE_ITEM: 0.5558114, COVERAGE_ITEM_CORRECT: 0.0571473, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2019630, DIVERSITY_GINI: 0.2397010, SHANNON_ENTROPY: 12.6746082, 
