
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6803282378855651, 'l1_ratio': 0.9438322530295725} - results: ROC_AUC: 0.1609133, PRECISION: 0.0343597, PRECISION_RECALL_MIN_DEN: 0.1240353, RECALL: 0.1203015, MAP: 0.0557589, MRR: 0.1161269, NDCG: 0.0846580, F1: 0.0534508, HIT_RATE: 0.3435974, ARHR: 0.1338487, NOVELTY: 0.0051707, AVERAGE_POPULARITY: 0.0441725, DIVERSITY_MEAN_INTER_LIST: 0.9967102, DIVERSITY_HERFINDAHL: 0.9996534, COVERAGE_ITEM: 0.5726121, COVERAGE_ITEM_CORRECT: 0.0537825, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1827356, DIVERSITY_GINI: 0.2610251, SHANNON_ENTROPY: 12.8826748, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.07235658167356974, 'l1_ratio': 0.07672000105894973} - results: ROC_AUC: 0.1768018, PRECISION: 0.0374339, PRECISION_RECALL_MIN_DEN: 0.1307280, RECALL: 0.1266086, MAP: 0.0614627, MRR: 0.1313570, NDCG: 0.0923806, F1: 0.0577812, HIT_RATE: 0.3743391, ARHR: 0.1517365, NOVELTY: 0.0048045, AVERAGE_POPULARITY: 0.1128320, DIVERSITY_MEAN_INTER_LIST: 0.9833805, DIVERSITY_HERFINDAHL: 0.9983207, COVERAGE_ITEM: 0.4465987, COVERAGE_ITEM_CORRECT: 0.0420327, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1962753, DIVERSITY_GINI: 0.1390878, SHANNON_ENTROPY: 11.3904218, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8129428861277737, 'l1_ratio': 0.14069122456123387} - results: ROC_AUC: 0.1871882, PRECISION: 0.0402400, PRECISION_RECALL_MIN_DEN: 0.1417569, RECALL: 0.1373870, MAP: 0.0665609, MRR: 0.1390336, NDCG: 0.0996576, F1: 0.0622470, HIT_RATE: 0.4023998, ARHR: 0.1614596, NOVELTY: 0.0048192, AVERAGE_POPULARITY: 0.1113967, DIVERSITY_MEAN_INTER_LIST: 0.9837380, DIVERSITY_HERFINDAHL: 0.9983564, COVERAGE_ITEM: 0.4524735, COVERAGE_ITEM_CORRECT: 0.0473917, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2083554, DIVERSITY_GINI: 0.1433613, SHANNON_ENTROPY: 11.4467424, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3294500402540556, 'l1_ratio': 0.26297578946827965} - results: ROC_AUC: 0.1843525, PRECISION: 0.0395120, PRECISION_RECALL_MIN_DEN: 0.1383318, RECALL: 0.1339903, MAP: 0.0648852, MRR: 0.1366997, NDCG: 0.0973728, F1: 0.0610259, HIT_RATE: 0.3951203, ARHR: 0.1585922, NOVELTY: 0.0048210, AVERAGE_POPULARITY: 0.1103958, DIVERSITY_MEAN_INTER_LIST: 0.9841754, DIVERSITY_HERFINDAHL: 0.9984002, COVERAGE_ITEM: 0.4510799, COVERAGE_ITEM_CORRECT: 0.0459134, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2054108, DIVERSITY_GINI: 0.1428554, SHANNON_ENTROPY: 11.4556513, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9457062373092435, 'l1_ratio': 0.08675668683308081} - results: ROC_AUC: 0.1843361, PRECISION: 0.0393037, PRECISION_RECALL_MIN_DEN: 0.1387978, RECALL: 0.1345370, MAP: 0.0649959, MRR: 0.1366508, NDCG: 0.0975284, F1: 0.0608336, HIT_RATE: 0.3930374, ARHR: 0.1582103, NOVELTY: 0.0047966, AVERAGE_POPULARITY: 0.1154954, DIVERSITY_MEAN_INTER_LIST: 0.9823729, DIVERSITY_HERFINDAHL: 0.9982199, COVERAGE_ITEM: 0.4451665, COVERAGE_ITEM_CORRECT: 0.0453359, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2052095, DIVERSITY_GINI: 0.1375692, SHANNON_ENTROPY: 11.3462160, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8173117303382958, 'l1_ratio': 0.11215737043781229} - results: ROC_AUC: 0.1853396, PRECISION: 0.0396113, PRECISION_RECALL_MIN_DEN: 0.1395696, RECALL: 0.1352707, MAP: 0.0655020, MRR: 0.1376062, NDCG: 0.0981983, F1: 0.0612773, HIT_RATE: 0.3961129, ARHR: 0.1594621, NOVELTY: 0.0048074, AVERAGE_POPULARITY: 0.1133122, DIVERSITY_MEAN_INTER_LIST: 0.9831079, DIVERSITY_HERFINDAHL: 0.9982934, COVERAGE_ITEM: 0.4491319, COVERAGE_ITEM_CORRECT: 0.0459827, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2064175, DIVERSITY_GINI: 0.1403615, SHANNON_ENTROPY: 11.3956892, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.3018120253689735, 'l1_ratio': 0.6350605696967285} - results: ROC_AUC: 0.1921734, PRECISION: 0.0417811, PRECISION_RECALL_MIN_DEN: 0.1470104, RECALL: 0.1424672, MAP: 0.0688419, MRR: 0.1432055, NDCG: 0.1030538, F1: 0.0646124, HIT_RATE: 0.4178111, ARHR: 0.1671190, NOVELTY: 0.0048723, AVERAGE_POPULARITY: 0.1019651, DIVERSITY_MEAN_INTER_LIST: 0.9867126, DIVERSITY_HERFINDAHL: 0.9986538, COVERAGE_ITEM: 0.4707218, COVERAGE_ITEM_CORRECT: 0.0514649, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2147477, DIVERSITY_GINI: 0.1577981, SHANNON_ENTROPY: 11.6821155, 

