
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.24020484343074794, 'l1_ratio': 0.06391900353568204} - results: ROC_AUC: 0.1645654, PRECISION: 0.0345196, PRECISION_RECALL_MIN_DEN: 0.1211482, RECALL: 0.1174289, MAP: 0.0568625, MRR: 0.1218143, NDCG: 0.0856468, F1: 0.0533490, HIT_RATE: 0.3451961, ARHR: 0.1399393, NOVELTY: 0.0048261, AVERAGE_POPULARITY: 0.1187014, DIVERSITY_MEAN_INTER_LIST: 0.9812066, DIVERSITY_HERFINDAHL: 0.9981033, COVERAGE_ITEM: 0.4480847, COVERAGE_ITEM_CORRECT: 0.0370202, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1834655, DIVERSITY_GINI: 0.1455544, SHANNON_ENTROPY: 11.4222413, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.43466138967563306, 'l1_ratio': 0.8285642742674526} - results: ROC_AUC: 0.1867491, PRECISION: 0.0407984, PRECISION_RECALL_MIN_DEN: 0.1443694, RECALL: 0.1399453, MAP: 0.0667063, MRR: 0.1379221, NDCG: 0.1002542, F1: 0.0631739, HIT_RATE: 0.4079843, ARHR: 0.1609185, NOVELTY: 0.0049350, AVERAGE_POPULARITY: 0.0924153, DIVERSITY_MEAN_INTER_LIST: 0.9888810, DIVERSITY_HERFINDAHL: 0.9988706, COVERAGE_ITEM: 0.5137247, COVERAGE_ITEM_CORRECT: 0.0524504, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2104945, DIVERSITY_GINI: 0.1933302, SHANNON_ENTROPY: 12.0583375, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8226608718908712, 'l1_ratio': 0.5197863789813131} - results: ROC_AUC: 0.1871367, PRECISION: 0.0405484, PRECISION_RECALL_MIN_DEN: 0.1449584, RECALL: 0.1405937, MAP: 0.0669705, MRR: 0.1383190, NDCG: 0.1004672, F1: 0.0629408, HIT_RATE: 0.4054844, ARHR: 0.1610905, NOVELTY: 0.0050133, AVERAGE_POPULARITY: 0.0750076, DIVERSITY_MEAN_INTER_LIST: 0.9926163, DIVERSITY_HERFINDAHL: 0.9992441, COVERAGE_ITEM: 0.5391723, COVERAGE_ITEM_CORRECT: 0.0556689, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2103184, DIVERSITY_GINI: 0.2175380, SHANNON_ENTROPY: 12.3793330, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.7304518462753413, 'l1_ratio': 0.6313424052826544} - results: ROC_AUC: 0.1845393, PRECISION: 0.0400786, PRECISION_RECALL_MIN_DEN: 0.1431942, RECALL: 0.1388704, MAP: 0.0660024, MRR: 0.1363882, NDCG: 0.0991324, F1: 0.0622029, HIT_RATE: 0.4007864, ARHR: 0.1587542, NOVELTY: 0.0050219, AVERAGE_POPULARITY: 0.0732491, DIVERSITY_MEAN_INTER_LIST: 0.9928979, DIVERSITY_HERFINDAHL: 0.9992722, COVERAGE_ITEM: 0.5432916, COVERAGE_ITEM_CORRECT: 0.0553994, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2080030, DIVERSITY_GINI: 0.2221367, SHANNON_ENTROPY: 12.4260423, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.6058837102002429, 'l1_ratio': 0.07066159906619852} - results: ROC_AUC: 0.1743174, PRECISION: 0.0367090, PRECISION_RECALL_MIN_DEN: 0.1284832, RECALL: 0.1245419, MAP: 0.0606006, MRR: 0.1291375, NDCG: 0.0910476, F1: 0.0567006, HIT_RATE: 0.3670903, ARHR: 0.1488594, NOVELTY: 0.0048024, AVERAGE_POPULARITY: 0.1192633, DIVERSITY_MEAN_INTER_LIST: 0.9811323, DIVERSITY_HERFINDAHL: 0.9980959, COVERAGE_ITEM: 0.4472839, COVERAGE_ITEM_CORRECT: 0.0406237, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1938593, DIVERSITY_GINI: 0.1412415, SHANNON_ENTROPY: 11.3553296, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.9750490763621182, 'l1_ratio': 0.35913722169051104} - results: ROC_AUC: 0.1904318, PRECISION: 0.0414671, PRECISION_RECALL_MIN_DEN: 0.1476547, RECALL: 0.1431607, MAP: 0.0688593, MRR: 0.1415941, NDCG: 0.1028592, F1: 0.0643053, HIT_RATE: 0.4146711, ARHR: 0.1653300, NOVELTY: 0.0049804, AVERAGE_POPULARITY: 0.0816241, DIVERSITY_MEAN_INTER_LIST: 0.9913833, DIVERSITY_HERFINDAHL: 0.9991208, COVERAGE_ITEM: 0.5253590, COVERAGE_ITEM_CORRECT: 0.0555919, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2133132, DIVERSITY_GINI: 0.2028418, SHANNON_ENTROPY: 12.2177774, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.6920635633730096, 'l1_ratio': 0.22525749475713136} - results: ROC_AUC: 0.1864762, PRECISION: 0.0404943, PRECISION_RECALL_MIN_DEN: 0.1425038, RECALL: 0.1381420, MAP: 0.0666994, MRR: 0.1388226, NDCG: 0.0999443, F1: 0.0626274, HIT_RATE: 0.4049431, ARHR: 0.1614383, NOVELTY: 0.0048387, AVERAGE_POPULARITY: 0.1116337, DIVERSITY_MEAN_INTER_LIST: 0.9837149, DIVERSITY_HERFINDAHL: 0.9983541, COVERAGE_ITEM: 0.4645467, COVERAGE_ITEM_CORRECT: 0.0482849, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2095885, DIVERSITY_GINI: 0.1530370, SHANNON_ENTROPY: 11.5417189, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.2593676077415132, 'l1_ratio': 0.7171516622538932} - results: ROC_AUC: 0.1768302, PRECISION: 0.0385116, PRECISION_RECALL_MIN_DEN: 0.1351524, RECALL: 0.1309526, MAP: 0.0626782, MRR: 0.1310760, NDCG: 0.0943573, F1: 0.0595153, HIT_RATE: 0.3851162, ARHR: 0.1522707, NOVELTY: 0.0048651, AVERAGE_POPULARITY: 0.1097626, DIVERSITY_MEAN_INTER_LIST: 0.9841856, DIVERSITY_HERFINDAHL: 0.9984012, COVERAGE_ITEM: 0.4680423, COVERAGE_ITEM_CORRECT: 0.0453128, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1998742, DIVERSITY_GINI: 0.1602544, SHANNON_ENTROPY: 11.6467102, 
