
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3674024269285148, 'l1_ratio': 0.9648194097727044} - results: ROC_AUC: 0.1965003, PRECISION: 0.0432663, PRECISION_RECALL_MIN_DEN: 0.1531140, RECALL: 0.1484024, MAP: 0.0709249, MRR: 0.1461709, NDCG: 0.1063213, F1: 0.0669983, HIT_RATE: 0.4326626, ARHR: 0.1711319, NOVELTY: 0.0049214, AVERAGE_POPULARITY: 0.0840564, DIVERSITY_MEAN_INTER_LIST: 0.9918838, DIVERSITY_HERFINDAHL: 0.9991709, COVERAGE_ITEM: 0.4865371, COVERAGE_ITEM_CORRECT: 0.0582868, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2213666, DIVERSITY_GINI: 0.1768621, SHANNON_ENTROPY: 12.0711782, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.3534037288578907, 'l1_ratio': 0.28637577895549965} - results: ROC_AUC: 0.1888897, PRECISION: 0.0410921, PRECISION_RECALL_MIN_DEN: 0.1438329, RECALL: 0.1392141, MAP: 0.0676308, MRR: 0.1415375, NDCG: 0.1011346, F1: 0.0634526, HIT_RATE: 0.4109213, ARHR: 0.1645756, NOVELTY: 0.0048151, AVERAGE_POPULARITY: 0.1049733, DIVERSITY_MEAN_INTER_LIST: 0.9870241, DIVERSITY_HERFINDAHL: 0.9986850, COVERAGE_ITEM: 0.4366275, COVERAGE_ITEM_CORRECT: 0.0499480, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2117025, DIVERSITY_GINI: 0.1387750, SHANNON_ENTROPY: 11.5574941, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.44448494517904047, 'l1_ratio': 0.8303963485796096} - results: ROC_AUC: 0.1972264, PRECISION: 0.0433827, PRECISION_RECALL_MIN_DEN: 0.1538588, RECALL: 0.1491642, MAP: 0.0716347, MRR: 0.1470606, NDCG: 0.1070921, F1: 0.0672149, HIT_RATE: 0.4338272, ARHR: 0.1721307, NOVELTY: 0.0049281, AVERAGE_POPULARITY: 0.0836009, DIVERSITY_MEAN_INTER_LIST: 0.9918883, DIVERSITY_HERFINDAHL: 0.9991713, COVERAGE_ITEM: 0.4931588, COVERAGE_ITEM_CORRECT: 0.0584562, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2217692, DIVERSITY_GINI: 0.1810571, SHANNON_ENTROPY: 12.0997803, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.8402459369313153, 'l1_ratio': 0.5551712301879008} - results: ROC_AUC: 0.1919384, PRECISION: 0.0413084, PRECISION_RECALL_MIN_DEN: 0.1478938, RECALL: 0.1435452, MAP: 0.0691036, MRR: 0.1420100, NDCG: 0.1032201, F1: 0.0641519, HIT_RATE: 0.4130845, ARHR: 0.1653570, NOVELTY: 0.0049906, AVERAGE_POPULARITY: 0.0771732, DIVERSITY_MEAN_INTER_LIST: 0.9924399, DIVERSITY_HERFINDAHL: 0.9992265, COVERAGE_ITEM: 0.5326891, COVERAGE_ITEM_CORRECT: 0.0566006, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2143954, DIVERSITY_GINI: 0.2122004, SHANNON_ENTROPY: 12.3384591, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9679817167897349, 'l1_ratio': 0.9971650034483761} - results: ROC_AUC: 0.1092865, PRECISION: 0.0230965, PRECISION_RECALL_MIN_DEN: 0.0849260, RECALL: 0.0823972, MAP: 0.0365383, MRR: 0.0763015, NDCG: 0.0564277, F1: 0.0360783, HIT_RATE: 0.2309649, ARHR: 0.0860927, NOVELTY: 0.0052845, AVERAGE_POPULARITY: 0.0199162, DIVERSITY_MEAN_INTER_LIST: 0.9978481, DIVERSITY_HERFINDAHL: 0.9997672, COVERAGE_ITEM: 0.5894206, COVERAGE_ITEM_CORRECT: 0.0440423, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1292060, DIVERSITY_GINI: 0.2858599, SHANNON_ENTROPY: 13.1074719, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.36359356064321385, 'l1_ratio': 0.2440074529512079} - results: ROC_AUC: 0.1882719, PRECISION: 0.0407210, PRECISION_RECALL_MIN_DEN: 0.1424880, RECALL: 0.1379216, MAP: 0.0671253, MRR: 0.1406223, NDCG: 0.1003609, F1: 0.0628763, HIT_RATE: 0.4072096, ARHR: 0.1633342, NOVELTY: 0.0048112, AVERAGE_POPULARITY: 0.1059536, DIVERSITY_MEAN_INTER_LIST: 0.9867372, DIVERSITY_HERFINDAHL: 0.9986563, COVERAGE_ITEM: 0.4355496, COVERAGE_ITEM_CORRECT: 0.0490395, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2103939, DIVERSITY_GINI: 0.1378403, SHANNON_ENTROPY: 11.5374041, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.6781638909452292, 'l1_ratio': 0.5405923089832135} - results: ROC_AUC: 0.1980659, PRECISION: 0.0432056, PRECISION_RECALL_MIN_DEN: 0.1541100, RECALL: 0.1494877, MAP: 0.0720862, MRR: 0.1473130, NDCG: 0.1074785, F1: 0.0670347, HIT_RATE: 0.4320565, ARHR: 0.1723260, NOVELTY: 0.0049254, AVERAGE_POPULARITY: 0.0875256, DIVERSITY_MEAN_INTER_LIST: 0.9907363, DIVERSITY_HERFINDAHL: 0.9990561, COVERAGE_ITEM: 0.5035149, COVERAGE_ITEM_CORRECT: 0.0571242, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2211149, DIVERSITY_GINI: 0.1857447, SHANNON_ENTROPY: 12.0748708, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.019693593810705127, 'l1_ratio': 0.18787123651158227} - results: ROC_AUC: 0.1817507, PRECISION: 0.0390575, PRECISION_RECALL_MIN_DEN: 0.1359352, RECALL: 0.1314737, MAP: 0.0638256, MRR: 0.1358483, NDCG: 0.0957880, F1: 0.0602228, HIT_RATE: 0.3905749, ARHR: 0.1573538, NOVELTY: 0.0048063, AVERAGE_POPULARITY: 0.1033036, DIVERSITY_MEAN_INTER_LIST: 0.9877384, DIVERSITY_HERFINDAHL: 0.9987564, COVERAGE_ITEM: 0.4220905, COVERAGE_ITEM_CORRECT: 0.0469605, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2034227, DIVERSITY_GINI: 0.1319896, SHANNON_ENTROPY: 11.5327933, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.6734468404347235, 'l1_ratio': 0.8140799047099708} - results: ROC_AUC: 0.1873443, PRECISION: 0.0402117, PRECISION_RECALL_MIN_DEN: 0.1448108, RECALL: 0.1406171, MAP: 0.0669331, MRR: 0.1373295, NDCG: 0.1004375, F1: 0.0625375, HIT_RATE: 0.4021168, ARHR: 0.1594319, NOVELTY: 0.0050426, AVERAGE_POPULARITY: 0.0646569, DIVERSITY_MEAN_INTER_LIST: 0.9947230, DIVERSITY_HERFINDAHL: 0.9994547, COVERAGE_ITEM: 0.5435534, COVERAGE_ITEM_CORRECT: 0.0580866, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2098654, DIVERSITY_GINI: 0.2265927, SHANNON_ENTROPY: 12.5515754, 
