
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6803282378855651, 'l1_ratio': 0.9438322530295725} - results: ROC_AUC: 0.1599291, PRECISION: 0.0340770, PRECISION_RECALL_MIN_DEN: 0.1234497, RECALL: 0.1197895, MAP: 0.0554715, MRR: 0.1153327, NDCG: 0.0842366, F1: 0.0530580, HIT_RATE: 0.3407698, ARHR: 0.1327209, NOVELTY: 0.0051716, AVERAGE_POPULARITY: 0.0436594, DIVERSITY_MEAN_INTER_LIST: 0.9967478, DIVERSITY_HERFINDAHL: 0.9996572, COVERAGE_ITEM: 0.5721809, COVERAGE_ITEM_CORRECT: 0.0535746, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1815780, DIVERSITY_GINI: 0.2611955, SHANNON_ENTROPY: 12.8866497, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.07235658167356974, 'l1_ratio': 0.07672000105894973} - results: ROC_AUC: 0.1772407, PRECISION: 0.0374378, PRECISION_RECALL_MIN_DEN: 0.1307587, RECALL: 0.1266358, MAP: 0.0615185, MRR: 0.1315162, NDCG: 0.0924420, F1: 0.0577891, HIT_RATE: 0.3743780, ARHR: 0.1518976, NOVELTY: 0.0047819, AVERAGE_POPULARITY: 0.1139471, DIVERSITY_MEAN_INTER_LIST: 0.9831875, DIVERSITY_HERFINDAHL: 0.9983014, COVERAGE_ITEM: 0.4261328, COVERAGE_ITEM_CORRECT: 0.0420096, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1964012, DIVERSITY_GINI: 0.1297455, SHANNON_ENTROPY: 11.3196948, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8129428861277737, 'l1_ratio': 0.14069122456123387} - results: ROC_AUC: 0.1927836, PRECISION: 0.0414279, PRECISION_RECALL_MIN_DEN: 0.1457787, RECALL: 0.1412761, MAP: 0.0687481, MRR: 0.1433263, NDCG: 0.1026502, F1: 0.0640661, HIT_RATE: 0.4142786, ARHR: 0.1670638, NOVELTY: 0.0048268, AVERAGE_POPULARITY: 0.1026614, DIVERSITY_MEAN_INTER_LIST: 0.9869495, DIVERSITY_HERFINDAHL: 0.9986775, COVERAGE_ITEM: 0.4382368, COVERAGE_ITEM_CORRECT: 0.0510568, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2134642, DIVERSITY_GINI: 0.1383075, SHANNON_ENTROPY: 11.5296081, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3294500402540556, 'l1_ratio': 0.26297578946827965} - results: ROC_AUC: 0.1853314, PRECISION: 0.0398481, PRECISION_RECALL_MIN_DEN: 0.1393481, RECALL: 0.1349383, MAP: 0.0652214, MRR: 0.1374359, NDCG: 0.0979384, F1: 0.0615248, HIT_RATE: 0.3984806, ARHR: 0.1596116, NOVELTY: 0.0048024, AVERAGE_POPULARITY: 0.1100682, DIVERSITY_MEAN_INTER_LIST: 0.9845473, DIVERSITY_HERFINDAHL: 0.9984373, COVERAGE_ITEM: 0.4317844, COVERAGE_ITEM_CORRECT: 0.0466218, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2067699, DIVERSITY_GINI: 0.1335903, SHANNON_ENTROPY: 11.4018474, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9457062373092435, 'l1_ratio': 0.08675668683308081} - results: ROC_AUC: 0.1879002, PRECISION: 0.0406719, PRECISION_RECALL_MIN_DEN: 0.1426373, RECALL: 0.1381571, MAP: 0.0669913, MRR: 0.1404482, NDCG: 0.1002591, F1: 0.0628394, HIT_RATE: 0.4067187, ARHR: 0.1635177, NOVELTY: 0.0048068, AVERAGE_POPULARITY: 0.1042619, DIVERSITY_MEAN_INTER_LIST: 0.9866749, DIVERSITY_HERFINDAHL: 0.9986501, COVERAGE_ITEM: 0.4255553, COVERAGE_ITEM_CORRECT: 0.0497940, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2095382, DIVERSITY_GINI: 0.1306739, SHANNON_ENTROPY: 11.4510224, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8173117303382958, 'l1_ratio': 0.11215737043781229} - results: ROC_AUC: 0.1897495, PRECISION: 0.0410320, PRECISION_RECALL_MIN_DEN: 0.1436499, RECALL: 0.1391032, MAP: 0.0676666, MRR: 0.1417458, NDCG: 0.1011575, F1: 0.0633691, HIT_RATE: 0.4103200, ARHR: 0.1650347, NOVELTY: 0.0048098, AVERAGE_POPULARITY: 0.1052277, DIVERSITY_MEAN_INTER_LIST: 0.9862667, DIVERSITY_HERFINDAHL: 0.9986092, COVERAGE_ITEM: 0.4281963, COVERAGE_ITEM_CORRECT: 0.0497786, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2114760, DIVERSITY_GINI: 0.1319968, SHANNON_ENTROPY: 11.4477255, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.3018120253689735, 'l1_ratio': 0.6350605696967285} - results: ROC_AUC: 0.1932939, PRECISION: 0.0418594, PRECISION_RECALL_MIN_DEN: 0.1473265, RECALL: 0.1427825, MAP: 0.0691516, MRR: 0.1438508, NDCG: 0.1034099, F1: 0.0647380, HIT_RATE: 0.4185936, ARHR: 0.1678445, NOVELTY: 0.0048591, AVERAGE_POPULARITY: 0.1019562, DIVERSITY_MEAN_INTER_LIST: 0.9868339, DIVERSITY_HERFINDAHL: 0.9986660, COVERAGE_ITEM: 0.4584716, COVERAGE_ITEM_CORRECT: 0.0517113, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2153014, DIVERSITY_GINI: 0.1516934, SHANNON_ENTROPY: 11.6470331, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'alpha': 0.7434007521831745, 'l1_ratio': 0.32535370781203904} - results: ROC_AUC: 0.1955688, PRECISION: 0.0424737, PRECISION_RECALL_MIN_DEN: 0.1512260, RECALL: 0.1467033, MAP: 0.0709782, MRR: 0.1457064, NDCG: 0.1057970, F1: 0.0658727, HIT_RATE: 0.4247373, ARHR: 0.1702473, NOVELTY: 0.0049195, AVERAGE_POPULARITY: 0.0879237, DIVERSITY_MEAN_INTER_LIST: 0.9903733, DIVERSITY_HERFINDAHL: 0.9990198, COVERAGE_ITEM: 0.4879230, COVERAGE_ITEM_CORRECT: 0.0557613, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2178684, DIVERSITY_GINI: 0.1745308, SHANNON_ENTROPY: 11.9682986, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8019333337858512, 'l1_ratio': 0.08391961855661857} - results: ROC_AUC: 0.1864546, PRECISION: 0.0401531, PRECISION_RECALL_MIN_DEN: 0.1402659, RECALL: 0.1357829, MAP: 0.0658516, MRR: 0.1388226, NDCG: 0.0987285, F1: 0.0619759, HIT_RATE: 0.4015311, ARHR: 0.1613532, NOVELTY: 0.0047918, AVERAGE_POPULARITY: 0.1081382, DIVERSITY_MEAN_INTER_LIST: 0.9854608, DIVERSITY_HERFINDAHL: 0.9985287, COVERAGE_ITEM: 0.4182021, COVERAGE_ITEM_CORRECT: 0.0476843, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2077262, DIVERSITY_GINI: 0.1258460, SHANNON_ENTROPY: 11.3623523, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.3120224851072216, 'l1_ratio': 0.5483777087945072} - results: ROC_AUC: 0.1922336, PRECISION: 0.0416467, PRECISION_RECALL_MIN_DEN: 0.1466054, RECALL: 0.1420692, MAP: 0.0687295, MRR: 0.1429498, NDCG: 0.1028280, F1: 0.0644101, HIT_RATE: 0.4164665, ARHR: 0.1667639, NOVELTY: 0.0048468, AVERAGE_POPULARITY: 0.1037093, DIVERSITY_MEAN_INTER_LIST: 0.9863569, DIVERSITY_HERFINDAHL: 0.9986183, COVERAGE_ITEM: 0.4528816, COVERAGE_ITEM_CORRECT: 0.0510568, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2143954, DIVERSITY_GINI: 0.1477404, SHANNON_ENTROPY: 11.5951066, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.6652526012608986, 'l1_ratio': 0.5217886948411611} - results: ROC_AUC: 0.1908017, PRECISION: 0.0415312, PRECISION_RECALL_MIN_DEN: 0.1494878, RECALL: 0.1451347, MAP: 0.0692343, MRR: 0.1418886, NDCG: 0.1035948, F1: 0.0645785, HIT_RATE: 0.4153122, ARHR: 0.1656207, NOVELTY: 0.0049876, AVERAGE_POPULARITY: 0.0768461, DIVERSITY_MEAN_INTER_LIST: 0.9925061, DIVERSITY_HERFINDAHL: 0.9992331, COVERAGE_ITEM: 0.5200385, COVERAGE_ITEM_CORRECT: 0.0569009, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2144960, DIVERSITY_GINI: 0.2012928, SHANNON_ENTROPY: 12.2613169, 

SearchBayesianSkopt-CV: New best config found. Config 11: {'alpha': 0.6310254748569911, 'l1_ratio': 0.42318219644561506} - results: ROC_AUC: 0.1954476, PRECISION: 0.0426225, PRECISION_RECALL_MIN_DEN: 0.1513339, RECALL: 0.1467620, MAP: 0.0711359, MRR: 0.1463559, NDCG: 0.1060090, F1: 0.0660577, HIT_RATE: 0.4262251, ARHR: 0.1709229, NOVELTY: 0.0049274, AVERAGE_POPULARITY: 0.0879794, DIVERSITY_MEAN_INTER_LIST: 0.9903185, DIVERSITY_HERFINDAHL: 0.9990144, COVERAGE_ITEM: 0.4922425, COVERAGE_ITEM_CORRECT: 0.0558614, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2186234, DIVERSITY_GINI: 0.1772836, SHANNON_ENTROPY: 11.9875757, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.3915886801737558, 'l1_ratio': 0.4198168322029132} - results: ROC_AUC: 0.1924084, PRECISION: 0.0417346, PRECISION_RECALL_MIN_DEN: 0.1464800, RECALL: 0.1419097, MAP: 0.0688007, MRR: 0.1432933, NDCG: 0.1029032, F1: 0.0644987, HIT_RATE: 0.4173459, ARHR: 0.1672523, NOVELTY: 0.0048446, AVERAGE_POPULARITY: 0.1035871, DIVERSITY_MEAN_INTER_LIST: 0.9864300, DIVERSITY_HERFINDAHL: 0.9986256, COVERAGE_ITEM: 0.4514957, COVERAGE_ITEM_CORRECT: 0.0512031, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2141940, DIVERSITY_GINI: 0.1467437, SHANNON_ENTROPY: 11.5877479, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'alpha': 0.7773562402186646, 'l1_ratio': 0.3940598814213493} - results: ROC_AUC: 0.1914195, PRECISION: 0.0414462, PRECISION_RECALL_MIN_DEN: 0.1494471, RECALL: 0.1451497, MAP: 0.0694101, MRR: 0.1420893, NDCG: 0.1037965, F1: 0.0644776, HIT_RATE: 0.4144616, ARHR: 0.1655751, NOVELTY: 0.0049714, AVERAGE_POPULARITY: 0.0781488, DIVERSITY_MEAN_INTER_LIST: 0.9922961, DIVERSITY_HERFINDAHL: 0.9992121, COVERAGE_ITEM: 0.5125467, COVERAGE_ITEM_CORRECT: 0.0564851, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2145715, DIVERSITY_GINI: 0.1956264, SHANNON_ENTROPY: 12.2115326, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'alpha': 0.907292840488491, 'l1_ratio': 0.3362608650382041} - results: ROC_AUC: 0.1866614, PRECISION: 0.0401979, PRECISION_RECALL_MIN_DEN: 0.1456162, RECALL: 0.1414900, MAP: 0.0676132, MRR: 0.1377989, NDCG: 0.1011211, F1: 0.0626068, HIT_RATE: 0.4019787, ARHR: 0.1600908, NOVELTY: 0.0049880, AVERAGE_POPULARITY: 0.0731901, DIVERSITY_MEAN_INTER_LIST: 0.9931884, DIVERSITY_HERFINDAHL: 0.9993013, COVERAGE_ITEM: 0.5201001, COVERAGE_ITEM_CORRECT: 0.0561540, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2090600, DIVERSITY_GINI: 0.2036967, SHANNON_ENTROPY: 12.3109122, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'alpha': 0.002889644905255451, 'l1_ratio': 0.6655330145311033} - results: ROC_AUC: 0.1767870, PRECISION: 0.0373670, PRECISION_RECALL_MIN_DEN: 0.1305738, RECALL: 0.1264712, MAP: 0.0613553, MRR: 0.1312325, NDCG: 0.0922465, F1: 0.0576875, HIT_RATE: 0.3736701, ARHR: 0.1515342, NOVELTY: 0.0047835, AVERAGE_POPULARITY: 0.1139261, DIVERSITY_MEAN_INTER_LIST: 0.9831567, DIVERSITY_HERFINDAHL: 0.9982983, COVERAGE_ITEM: 0.4269952, COVERAGE_ITEM_CORRECT: 0.0418556, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1963508, DIVERSITY_GINI: 0.1305140, SHANNON_ENTROPY: 11.3269456, 
