
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6803282378855651, 'l1_ratio': 0.9438322530295725} - results: ROC_AUC: 0.1507902, PRECISION: 0.0322211, PRECISION_RECALL_MIN_DEN: 0.1165039, RECALL: 0.1129894, MAP: 0.0517353, MRR: 0.1079630, NDCG: 0.0789583, F1: 0.0501414, HIT_RATE: 0.3222114, ARHR: 0.1238343, NOVELTY: 0.0051861, AVERAGE_POPULARITY: 0.0401388, DIVERSITY_MEAN_INTER_LIST: 0.9970002, DIVERSITY_HERFINDAHL: 0.9996824, COVERAGE_ITEM: 0.5752685, COVERAGE_ITEM_CORRECT: 0.0515573, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1731471, DIVERSITY_GINI: 0.2657737, SHANNON_ENTROPY: 12.9298491, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.07235658167356974, 'l1_ratio': 0.07672000105894973} - results: ROC_AUC: 0.1753019, PRECISION: 0.0368614, PRECISION_RECALL_MIN_DEN: 0.1296710, RECALL: 0.1256692, MAP: 0.0607698, MRR: 0.1298067, NDCG: 0.0914392, F1: 0.0570006, HIT_RATE: 0.3686141, ARHR: 0.1497134, NOVELTY: 0.0047697, AVERAGE_POPULARITY: 0.1206246, DIVERSITY_MEAN_INTER_LIST: 0.9805920, DIVERSITY_HERFINDAHL: 0.9980419, COVERAGE_ITEM: 0.4415938, COVERAGE_ITEM_CORRECT: 0.0407007, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1946898, DIVERSITY_GINI: 0.1321328, SHANNON_ENTROPY: 11.2235940, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.8129428861277737, 'l1_ratio': 0.14069122456123387} - results: ROC_AUC: 0.1920091, PRECISION: 0.0414845, PRECISION_RECALL_MIN_DEN: 0.1459945, RECALL: 0.1414610, MAP: 0.0691004, MRR: 0.1436893, NDCG: 0.1029670, F1: 0.0641515, HIT_RATE: 0.4148447, ARHR: 0.1674434, NOVELTY: 0.0048343, AVERAGE_POPULARITY: 0.1030639, DIVERSITY_MEAN_INTER_LIST: 0.9867867, DIVERSITY_HERFINDAHL: 0.9986612, COVERAGE_ITEM: 0.4486314, COVERAGE_ITEM_CORRECT: 0.0512878, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2132629, DIVERSITY_GINI: 0.1429161, SHANNON_ENTROPY: 11.5531346, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.3294500402540556, 'l1_ratio': 0.26297578946827965} - results: ROC_AUC: 0.1864669, PRECISION: 0.0400177, PRECISION_RECALL_MIN_DEN: 0.1411282, RECALL: 0.1367614, MAP: 0.0661089, MRR: 0.1385373, NDCG: 0.0991191, F1: 0.0619161, HIT_RATE: 0.4001766, ARHR: 0.1607420, NOVELTY: 0.0047960, AVERAGE_POPULARITY: 0.1141542, DIVERSITY_MEAN_INTER_LIST: 0.9830595, DIVERSITY_HERFINDAHL: 0.9982886, COVERAGE_ITEM: 0.4407238, COVERAGE_ITEM_CORRECT: 0.0467680, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2078772, DIVERSITY_GINI: 0.1351539, SHANNON_ENTROPY: 11.3484994, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.9457062373092435, 'l1_ratio': 0.08675668683308081} - results: ROC_AUC: 0.1875414, PRECISION: 0.0406043, PRECISION_RECALL_MIN_DEN: 0.1423242, RECALL: 0.1378400, MAP: 0.0668582, MRR: 0.1399859, NDCG: 0.1000582, F1: 0.0627257, HIT_RATE: 0.4060430, ARHR: 0.1629718, NOVELTY: 0.0048179, AVERAGE_POPULARITY: 0.1040046, DIVERSITY_MEAN_INTER_LIST: 0.9866996, DIVERSITY_HERFINDAHL: 0.9986525, COVERAGE_ITEM: 0.4361886, COVERAGE_ITEM_CORRECT: 0.0497093, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2090852, DIVERSITY_GINI: 0.1352788, SHANNON_ENTROPY: 11.4831229, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8173117303382958, 'l1_ratio': 0.11215737043781229} - results: ROC_AUC: 0.1895597, PRECISION: 0.0409757, PRECISION_RECALL_MIN_DEN: 0.1437517, RECALL: 0.1392149, MAP: 0.0677130, MRR: 0.1415460, NDCG: 0.1012022, F1: 0.0633120, HIT_RATE: 0.4097572, ARHR: 0.1647835, NOVELTY: 0.0048163, AVERAGE_POPULARITY: 0.1058799, DIVERSITY_MEAN_INTER_LIST: 0.9860406, DIVERSITY_HERFINDAHL: 0.9985866, COVERAGE_ITEM: 0.4393224, COVERAGE_ITEM_CORRECT: 0.0498479, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2108972, DIVERSITY_GINI: 0.1363731, SHANNON_ENTROPY: 11.4662016, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.3018120253689735, 'l1_ratio': 0.6350605696967285} - results: ROC_AUC: 0.1936844, PRECISION: 0.0421201, PRECISION_RECALL_MIN_DEN: 0.1489955, RECALL: 0.1444479, MAP: 0.0700775, MRR: 0.1448610, NDCG: 0.1045630, F1: 0.0652206, HIT_RATE: 0.4212006, ARHR: 0.1689873, NOVELTY: 0.0048667, AVERAGE_POPULARITY: 0.1028170, DIVERSITY_MEAN_INTER_LIST: 0.9863631, DIVERSITY_HERFINDAHL: 0.9986189, COVERAGE_ITEM: 0.4743715, COVERAGE_ITEM_CORRECT: 0.0525813, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2160815, DIVERSITY_GINI: 0.1592955, SHANNON_ENTROPY: 11.6793584, 

