
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.5383501441414535, 'l1_ratio': 0.05307482851073976} - results: ROC_AUC: 0.1840622, PRECISION: 0.0396294, PRECISION_RECALL_MIN_DEN: 0.1381222, RECALL: 0.1336788, MAP: 0.0648211, MRR: 0.1376175, NDCG: 0.0972792, F1: 0.0611335, HIT_RATE: 0.3962940, ARHR: 0.1595379, NOVELTY: 0.0047991, AVERAGE_POPULARITY: 0.1049170, DIVERSITY_MEAN_INTER_LIST: 0.9871352, DIVERSITY_HERFINDAHL: 0.9986961, COVERAGE_ITEM: 0.4189105, COVERAGE_ITEM_CORRECT: 0.0470837, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2058890, DIVERSITY_GINI: 0.1289129, SHANNON_ENTROPY: 11.4721194, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.038481162498426154, 'l1_ratio': 0.9256406078002748} - results: ROC_AUC: 0.1843745, PRECISION: 0.0397073, PRECISION_RECALL_MIN_DEN: 0.1383427, RECALL: 0.1338062, MAP: 0.0648390, MRR: 0.1375168, NDCG: 0.0973120, F1: 0.0612400, HIT_RATE: 0.3970731, ARHR: 0.1595309, NOVELTY: 0.0048133, AVERAGE_POPULARITY: 0.1019769, DIVERSITY_MEAN_INTER_LIST: 0.9880883, DIVERSITY_HERFINDAHL: 0.9987914, COVERAGE_ITEM: 0.4248085, COVERAGE_ITEM_CORRECT: 0.0483157, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2062413, DIVERSITY_GINI: 0.1339443, SHANNON_ENTROPY: 11.5648865, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.881226444299085, 'l1_ratio': 0.2231265291642895} - results: ROC_AUC: 0.1957666, PRECISION: 0.0426257, PRECISION_RECALL_MIN_DEN: 0.1520778, RECALL: 0.1475787, MAP: 0.0711856, MRR: 0.1458907, NDCG: 0.1061734, F1: 0.0661446, HIT_RATE: 0.4262575, ARHR: 0.1704289, NOVELTY: 0.0048977, AVERAGE_POPULARITY: 0.0886201, DIVERSITY_MEAN_INTER_LIST: 0.9906087, DIVERSITY_HERFINDAHL: 0.9990434, COVERAGE_ITEM: 0.4780212, COVERAGE_ITEM_CORRECT: 0.0560231, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2189254, DIVERSITY_GINI: 0.1678081, SHANNON_ENTROPY: 11.9280856, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.1336981693784776, 'l1_ratio': 0.2833568924441548} - results: ROC_AUC: 0.1844928, PRECISION: 0.0398170, PRECISION_RECALL_MIN_DEN: 0.1388471, RECALL: 0.1343298, MAP: 0.0650811, MRR: 0.1378954, NDCG: 0.0976447, F1: 0.0614253, HIT_RATE: 0.3981701, ARHR: 0.1599717, NOVELTY: 0.0048117, AVERAGE_POPULARITY: 0.1023354, DIVERSITY_MEAN_INTER_LIST: 0.9879672, DIVERSITY_HERFINDAHL: 0.9987793, COVERAGE_ITEM: 0.4241463, COVERAGE_ITEM_CORRECT: 0.0483080, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2067447, DIVERSITY_GINI: 0.1334165, SHANNON_ENTROPY: 11.5543237, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.4862194038749682, 'l1_ratio': 0.2680213630498281} - results: ROC_AUC: 0.1925554, PRECISION: 0.0421640, PRECISION_RECALL_MIN_DEN: 0.1478939, RECALL: 0.1431658, MAP: 0.0692741, MRR: 0.1446691, NDCG: 0.1035918, F1: 0.0651411, HIT_RATE: 0.4216395, ARHR: 0.1688712, NOVELTY: 0.0048369, AVERAGE_POPULARITY: 0.0985963, DIVERSITY_MEAN_INTER_LIST: 0.9887450, DIVERSITY_HERFINDAHL: 0.9988570, COVERAGE_ITEM: 0.4386679, COVERAGE_ITEM_CORRECT: 0.0530818, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2159809, DIVERSITY_GINI: 0.1421069, SHANNON_ENTROPY: 11.6560271, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.2479333420883934, 'l1_ratio': 0.16221670298653582} - results: ROC_AUC: 0.1848467, PRECISION: 0.0398771, PRECISION_RECALL_MIN_DEN: 0.1391341, RECALL: 0.1346347, MAP: 0.0652500, MRR: 0.1382286, NDCG: 0.0978856, F1: 0.0615289, HIT_RATE: 0.3987712, ARHR: 0.1603459, NOVELTY: 0.0048097, AVERAGE_POPULARITY: 0.1027079, DIVERSITY_MEAN_INTER_LIST: 0.9878343, DIVERSITY_HERFINDAHL: 0.9987660, COVERAGE_ITEM: 0.4235765, COVERAGE_ITEM_CORRECT: 0.0483696, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2068202, DIVERSITY_GINI: 0.1326944, SHANNON_ENTROPY: 11.5404894, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9103789557323796, 'l1_ratio': 0.8091428217237838} - results: ROC_AUC: 0.1394629, PRECISION: 0.0291245, PRECISION_RECALL_MIN_DEN: 0.1088823, RECALL: 0.1059728, MAP: 0.0477660, MRR: 0.0984820, NDCG: 0.0731595, F1: 0.0456895, HIT_RATE: 0.2912449, ARHR: 0.1111998, NOVELTY: 0.0052139, AVERAGE_POPULARITY: 0.0331733, DIVERSITY_MEAN_INTER_LIST: 0.9974788, DIVERSITY_HERFINDAHL: 0.9997303, COVERAGE_ITEM: 0.5808816, COVERAGE_ITEM_CORRECT: 0.0496169, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1617214, DIVERSITY_GINI: 0.2739023, SHANNON_ENTROPY: 13.0117259, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.11658472018904523, 'l1_ratio': 0.7826204846719335} - results: ROC_AUC: 0.1876874, PRECISION: 0.0408914, PRECISION_RECALL_MIN_DEN: 0.1425371, RECALL: 0.1378672, MAP: 0.0666619, MRR: 0.1405117, NDCG: 0.0999804, F1: 0.0630736, HIT_RATE: 0.4089144, ARHR: 0.1634965, NOVELTY: 0.0048253, AVERAGE_POPULARITY: 0.1000527, DIVERSITY_MEAN_INTER_LIST: 0.9885547, DIVERSITY_HERFINDAHL: 0.9988380, COVERAGE_ITEM: 0.4307988, COVERAGE_ITEM_CORRECT: 0.0506102, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2106455, DIVERSITY_GINI: 0.1378811, SHANNON_ENTROPY: 11.6188186, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'alpha': 0.4581356830454698, 'l1_ratio': 0.6819779784109994} - results: ROC_AUC: 0.1965896, PRECISION: 0.0433790, PRECISION_RECALL_MIN_DEN: 0.1533321, RECALL: 0.1485997, MAP: 0.0713043, MRR: 0.1465832, NDCG: 0.1066860, F1: 0.0671537, HIT_RATE: 0.4337903, ARHR: 0.1717371, NOVELTY: 0.0049131, AVERAGE_POPULARITY: 0.0854684, DIVERSITY_MEAN_INTER_LIST: 0.9915774, DIVERSITY_HERFINDAHL: 0.9991402, COVERAGE_ITEM: 0.4821328, COVERAGE_ITEM_CORRECT: 0.0579865, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2214169, DIVERSITY_GINI: 0.1731830, SHANNON_ENTROPY: 12.0273868, 
