
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1804972, PRECISION: 0.0387783, PRECISION_RECALL_MIN_DEN: 0.1351367, RECALL: 0.1307700, MAP: 0.0633849, MRR: 0.1353026, NDCG: 0.0952190, F1: 0.0598173, HIT_RATE: 0.3877834, ARHR: 0.1565663, NOVELTY: 0.0048034, AVERAGE_POPULARITY: 0.1052038, DIVERSITY_MEAN_INTER_LIST: 0.9869718, DIVERSITY_HERFINDAHL: 0.9986797, COVERAGE_ITEM: 0.4238383, COVERAGE_ITEM_CORRECT: 0.0454283, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2021140, DIVERSITY_GINI: 0.1312235, SHANNON_ENTROPY: 11.4848003, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1761755, PRECISION: 0.0374765, PRECISION_RECALL_MIN_DEN: 0.1302350, RECALL: 0.1260948, MAP: 0.0609951, MRR: 0.1310099, NDCG: 0.0919354, F1: 0.0577786, HIT_RATE: 0.3747651, ARHR: 0.1514248, NOVELTY: 0.0047963, AVERAGE_POPULARITY: 0.1124635, DIVERSITY_MEAN_INTER_LIST: 0.9836931, DIVERSITY_HERFINDAHL: 0.9983519, COVERAGE_ITEM: 0.4376516, COVERAGE_ITEM_CORRECT: 0.0419942, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965773, DIVERSITY_GINI: 0.1357701, SHANNON_ENTROPY: 11.3827520, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1815784, PRECISION: 0.0389122, PRECISION_RECALL_MIN_DEN: 0.1356389, RECALL: 0.1312092, MAP: 0.0635572, MRR: 0.1355550, NDCG: 0.0954903, F1: 0.0600226, HIT_RATE: 0.3891221, ARHR: 0.1568669, NOVELTY: 0.0048106, AVERAGE_POPULARITY: 0.1027651, DIVERSITY_MEAN_INTER_LIST: 0.9878500, DIVERSITY_HERFINDAHL: 0.9987675, COVERAGE_ITEM: 0.4233686, COVERAGE_ITEM_CORRECT: 0.0466295, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033472, DIVERSITY_GINI: 0.1326319, SHANNON_ENTROPY: 11.5402054, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1816340, PRECISION: 0.0389302, PRECISION_RECALL_MIN_DEN: 0.1356930, RECALL: 0.1312691, MAP: 0.0637383, MRR: 0.1357753, NDCG: 0.0956502, F1: 0.0600501, HIT_RATE: 0.3893016, ARHR: 0.1571395, NOVELTY: 0.0048065, AVERAGE_POPULARITY: 0.1034339, DIVERSITY_MEAN_INTER_LIST: 0.9876751, DIVERSITY_HERFINDAHL: 0.9987501, COVERAGE_ITEM: 0.4217979, COVERAGE_ITEM_CORRECT: 0.0466141, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033220, DIVERSITY_GINI: 0.1316674, SHANNON_ENTROPY: 11.5256764, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1808644, PRECISION: 0.0388420, PRECISION_RECALL_MIN_DEN: 0.1352440, RECALL: 0.1308743, MAP: 0.0634745, MRR: 0.1353088, NDCG: 0.0953207, F1: 0.0599039, HIT_RATE: 0.3884201, ARHR: 0.1565790, NOVELTY: 0.0048130, AVERAGE_POPULARITY: 0.1030556, DIVERSITY_MEAN_INTER_LIST: 0.9876355, DIVERSITY_HERFINDAHL: 0.9987461, COVERAGE_ITEM: 0.4257478, COVERAGE_ITEM_CORRECT: 0.0461290, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026928, DIVERSITY_GINI: 0.1330376, SHANNON_ENTROPY: 11.5284096, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1775484, PRECISION: 0.0375789, PRECISION_RECALL_MIN_DEN: 0.1299212, RECALL: 0.1257567, MAP: 0.0616907, MRR: 0.1320833, NDCG: 0.0924819, F1: 0.0578635, HIT_RATE: 0.3757892, ARHR: 0.1528156, NOVELTY: 0.0048262, AVERAGE_POPULARITY: 0.1062148, DIVERSITY_MEAN_INTER_LIST: 0.9857503, DIVERSITY_HERFINDAHL: 0.9985576, COVERAGE_ITEM: 0.4508720, COVERAGE_ITEM_CORRECT: 0.0427950, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1968038, DIVERSITY_GINI: 0.1421722, SHANNON_ENTROPY: 11.5000127, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1803332, PRECISION: 0.0388175, PRECISION_RECALL_MIN_DEN: 0.1351671, RECALL: 0.1307859, MAP: 0.0633587, MRR: 0.1351570, NDCG: 0.0951993, F1: 0.0598657, HIT_RATE: 0.3881754, ARHR: 0.1564439, NOVELTY: 0.0048069, AVERAGE_POPULARITY: 0.1046176, DIVERSITY_MEAN_INTER_LIST: 0.9871232, DIVERSITY_HERFINDAHL: 0.9986949, COVERAGE_ITEM: 0.4252859, COVERAGE_ITEM_CORRECT: 0.0455361, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2022650, DIVERSITY_GINI: 0.1320465, SHANNON_ENTROPY: 11.4965946, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1815773, PRECISION: 0.0389512, PRECISION_RECALL_MIN_DEN: 0.1355736, RECALL: 0.1311312, MAP: 0.0636082, MRR: 0.1355334, NDCG: 0.0955209, F1: 0.0600607, HIT_RATE: 0.3895122, ARHR: 0.1569252, NOVELTY: 0.0048081, AVERAGE_POPULARITY: 0.1030173, DIVERSITY_MEAN_INTER_LIST: 0.9878086, DIVERSITY_HERFINDAHL: 0.9987634, COVERAGE_ITEM: 0.4223215, COVERAGE_ITEM_CORRECT: 0.0467680, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032465, DIVERSITY_GINI: 0.1321400, SHANNON_ENTROPY: 11.5359208, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1809387, PRECISION: 0.0388491, PRECISION_RECALL_MIN_DEN: 0.1355379, RECALL: 0.1311684, MAP: 0.0633953, MRR: 0.1352870, NDCG: 0.0953341, F1: 0.0599435, HIT_RATE: 0.3884906, ARHR: 0.1565074, NOVELTY: 0.0048060, AVERAGE_POPULARITY: 0.1044815, DIVERSITY_MEAN_INTER_LIST: 0.9872126, DIVERSITY_HERFINDAHL: 0.9987038, COVERAGE_ITEM: 0.4239692, COVERAGE_ITEM_CORRECT: 0.0457902, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2029948, DIVERSITY_GINI: 0.1315967, SHANNON_ENTROPY: 11.4984894, 
