
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1647740, PRECISION: 0.0349108, PRECISION_RECALL_MIN_DEN: 0.1187818, RECALL: 0.1148983, MAP: 0.0559096, MRR: 0.1219371, NDCG: 0.0845578, F1: 0.0535483, HIT_RATE: 0.3491077, ARHR: 0.1407605, NOVELTY: 0.0048475, AVERAGE_POPULARITY: 0.1139088, DIVERSITY_MEAN_INTER_LIST: 0.9829301, DIVERSITY_HERFINDAHL: 0.9982756, COVERAGE_ITEM: 0.4507257, COVERAGE_ITEM_CORRECT: 0.0376054, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1836668, DIVERSITY_GINI: 0.1467591, SHANNON_ENTROPY: 11.4770324, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1725035, PRECISION: 0.0367058, PRECISION_RECALL_MIN_DEN: 0.1258996, RECALL: 0.1218188, MAP: 0.0588213, MRR: 0.1280852, NDCG: 0.0890597, F1: 0.0564125, HIT_RATE: 0.3670577, ARHR: 0.1480875, NOVELTY: 0.0048157, AVERAGE_POPULARITY: 0.1129514, DIVERSITY_MEAN_INTER_LIST: 0.9833223, DIVERSITY_HERFINDAHL: 0.9983149, COVERAGE_ITEM: 0.4437575, COVERAGE_ITEM_CORRECT: 0.0405544, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1921983, DIVERSITY_GINI: 0.1379091, SHANNON_ENTROPY: 11.3846701, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1584491, PRECISION: 0.0334875, PRECISION_RECALL_MIN_DEN: 0.1137669, RECALL: 0.1100072, MAP: 0.0535768, MRR: 0.1171357, NDCG: 0.0810468, F1: 0.0513420, HIT_RATE: 0.3348753, ARHR: 0.1349903, NOVELTY: 0.0048675, AVERAGE_POPULARITY: 0.1136713, DIVERSITY_MEAN_INTER_LIST: 0.9829319, DIVERSITY_HERFINDAHL: 0.9982758, COVERAGE_ITEM: 0.4521886, COVERAGE_ITEM_CORRECT: 0.0357498, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1764439, DIVERSITY_GINI: 0.1503431, SHANNON_ENTROPY: 11.5288475, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1582828, PRECISION: 0.0333990, PRECISION_RECALL_MIN_DEN: 0.1135263, RECALL: 0.1097718, MAP: 0.0535021, MRR: 0.1169804, NDCG: 0.0809102, F1: 0.0512123, HIT_RATE: 0.3339903, ARHR: 0.1347236, NOVELTY: 0.0048660, AVERAGE_POPULARITY: 0.1141995, DIVERSITY_MEAN_INTER_LIST: 0.9827251, DIVERSITY_HERFINDAHL: 0.9982551, COVERAGE_ITEM: 0.4515573, COVERAGE_ITEM_CORRECT: 0.0356266, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1761168, DIVERSITY_GINI: 0.1499935, SHANNON_ENTROPY: 11.5205917, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1635257, PRECISION: 0.0345863, PRECISION_RECALL_MIN_DEN: 0.1176522, RECALL: 0.1137905, MAP: 0.0555677, MRR: 0.1212952, NDCG: 0.0839237, F1: 0.0530462, HIT_RATE: 0.3458627, ARHR: 0.1399495, NOVELTY: 0.0048569, AVERAGE_POPULARITY: 0.1128052, DIVERSITY_MEAN_INTER_LIST: 0.9833214, DIVERSITY_HERFINDAHL: 0.9983148, COVERAGE_ITEM: 0.4517883, COVERAGE_ITEM_CORRECT: 0.0371973, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1819051, DIVERSITY_GINI: 0.1484571, SHANNON_ENTROPY: 11.5095929, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1738543, PRECISION: 0.0368263, PRECISION_RECALL_MIN_DEN: 0.1262074, RECALL: 0.1221257, MAP: 0.0594420, MRR: 0.1292467, NDCG: 0.0897185, F1: 0.0565876, HIT_RATE: 0.3682630, ARHR: 0.1494673, NOVELTY: 0.0048332, AVERAGE_POPULARITY: 0.1082454, DIVERSITY_MEAN_INTER_LIST: 0.9848592, DIVERSITY_HERFINDAHL: 0.9984685, COVERAGE_ITEM: 0.4465371, COVERAGE_ITEM_CORRECT: 0.0411781, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1928526, DIVERSITY_GINI: 0.1406336, SHANNON_ENTROPY: 11.4641177, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1651701, PRECISION: 0.0349780, PRECISION_RECALL_MIN_DEN: 0.1189656, RECALL: 0.1150575, MAP: 0.0560892, MRR: 0.1222838, NDCG: 0.0847706, F1: 0.0536452, HIT_RATE: 0.3497804, ARHR: 0.1411774, NOVELTY: 0.0048484, AVERAGE_POPULARITY: 0.1133392, DIVERSITY_MEAN_INTER_LIST: 0.9831387, DIVERSITY_HERFINDAHL: 0.9982965, COVERAGE_ITEM: 0.4507950, COVERAGE_ITEM_CORRECT: 0.0377979, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1838681, DIVERSITY_GINI: 0.1468714, SHANNON_ENTROPY: 11.4834685, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1575639, PRECISION: 0.0331517, PRECISION_RECALL_MIN_DEN: 0.1129040, RECALL: 0.1091881, MAP: 0.0531775, MRR: 0.1163801, NDCG: 0.0804510, F1: 0.0508581, HIT_RATE: 0.3315171, ARHR: 0.1338929, NOVELTY: 0.0048689, AVERAGE_POPULARITY: 0.1141300, DIVERSITY_MEAN_INTER_LIST: 0.9827345, DIVERSITY_HERFINDAHL: 0.9982561, COVERAGE_ITEM: 0.4520423, COVERAGE_ITEM_CORRECT: 0.0351877, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1752359, DIVERSITY_GINI: 0.1505357, SHANNON_ENTROPY: 11.5284951, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1642745, PRECISION: 0.0347589, PRECISION_RECALL_MIN_DEN: 0.1182682, RECALL: 0.1143926, MAP: 0.0556785, MRR: 0.1215811, NDCG: 0.0842112, F1: 0.0533148, HIT_RATE: 0.3475895, ARHR: 0.1402865, NOVELTY: 0.0048516, AVERAGE_POPULARITY: 0.1135765, DIVERSITY_MEAN_INTER_LIST: 0.9830368, DIVERSITY_HERFINDAHL: 0.9982863, COVERAGE_ITEM: 0.4508335, COVERAGE_ITEM_CORRECT: 0.0374283, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1830628, DIVERSITY_GINI: 0.1474970, SHANNON_ENTROPY: 11.4899178, 
