
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1799825, PRECISION: 0.0387325, PRECISION_RECALL_MIN_DEN: 0.1353424, RECALL: 0.1310237, MAP: 0.0632060, MRR: 0.1347060, NDCG: 0.0951130, F1: 0.0597894, HIT_RATE: 0.3873251, ARHR: 0.1557844, NOVELTY: 0.0047996, AVERAGE_POPULARITY: 0.1062847, DIVERSITY_MEAN_INTER_LIST: 0.9867027, DIVERSITY_HERFINDAHL: 0.9986528, COVERAGE_ITEM: 0.4235534, COVERAGE_ITEM_CORRECT: 0.0454899, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2022398, DIVERSITY_GINI: 0.1306132, SHANNON_ENTROPY: 11.4679543, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1746973, PRECISION: 0.0367942, PRECISION_RECALL_MIN_DEN: 0.1286435, RECALL: 0.1246260, MAP: 0.0604742, MRR: 0.1296811, NDCG: 0.0909973, F1: 0.0568130, HIT_RATE: 0.3679423, ARHR: 0.1495563, NOVELTY: 0.0047729, AVERAGE_POPULARITY: 0.1197027, DIVERSITY_MEAN_INTER_LIST: 0.9810155, DIVERSITY_HERFINDAHL: 0.9980842, COVERAGE_ITEM: 0.4430491, COVERAGE_ITEM_CORRECT: 0.0406083, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1941613, DIVERSITY_GINI: 0.1331921, SHANNON_ENTROPY: 11.2470373, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1815217, PRECISION: 0.0388805, PRECISION_RECALL_MIN_DEN: 0.1354782, RECALL: 0.1310614, MAP: 0.0635160, MRR: 0.1354560, NDCG: 0.0954248, F1: 0.0599696, HIT_RATE: 0.3888053, ARHR: 0.1567773, NOVELTY: 0.0048101, AVERAGE_POPULARITY: 0.1028820, DIVERSITY_MEAN_INTER_LIST: 0.9878187, DIVERSITY_HERFINDAHL: 0.9987644, COVERAGE_ITEM: 0.4234918, COVERAGE_ITEM_CORRECT: 0.0465679, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031458, DIVERSITY_GINI: 0.1326405, SHANNON_ENTROPY: 11.5389014, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1814822, PRECISION: 0.0389122, PRECISION_RECALL_MIN_DEN: 0.1356370, RECALL: 0.1312187, MAP: 0.0636643, MRR: 0.1356201, NDCG: 0.0955815, F1: 0.0600238, HIT_RATE: 0.3891223, ARHR: 0.1569485, NOVELTY: 0.0048061, AVERAGE_POPULARITY: 0.1035800, DIVERSITY_MEAN_INTER_LIST: 0.9876361, DIVERSITY_HERFINDAHL: 0.9987462, COVERAGE_ITEM: 0.4222445, COVERAGE_ITEM_CORRECT: 0.0465679, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031710, DIVERSITY_GINI: 0.1317882, SHANNON_ENTROPY: 11.5247454, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1805999, PRECISION: 0.0387538, PRECISION_RECALL_MIN_DEN: 0.1352838, RECALL: 0.1309381, MAP: 0.0632717, MRR: 0.1349852, NDCG: 0.0951624, F1: 0.0598058, HIT_RATE: 0.3875380, ARHR: 0.1560743, NOVELTY: 0.0048111, AVERAGE_POPULARITY: 0.1035674, DIVERSITY_MEAN_INTER_LIST: 0.9875200, DIVERSITY_HERFINDAHL: 0.9987345, COVERAGE_ITEM: 0.4254475, COVERAGE_ITEM_CORRECT: 0.0460058, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2027180, DIVERSITY_GINI: 0.1327481, SHANNON_ENTROPY: 11.5214302, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1765098, PRECISION: 0.0371935, PRECISION_RECALL_MIN_DEN: 0.1294493, RECALL: 0.1253348, MAP: 0.0615374, MRR: 0.1317006, NDCG: 0.0921703, F1: 0.0573620, HIT_RATE: 0.3719349, ARHR: 0.1519689, NOVELTY: 0.0048096, AVERAGE_POPULARITY: 0.1093753, DIVERSITY_MEAN_INTER_LIST: 0.9847120, DIVERSITY_HERFINDAHL: 0.9984538, COVERAGE_ITEM: 0.4455130, COVERAGE_ITEM_CORRECT: 0.0419480, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1954448, DIVERSITY_GINI: 0.1376997, SHANNON_ENTROPY: 11.4199265, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1799008, PRECISION: 0.0386972, PRECISION_RECALL_MIN_DEN: 0.1351055, RECALL: 0.1307756, MAP: 0.0631951, MRR: 0.1346328, NDCG: 0.0950391, F1: 0.0597215, HIT_RATE: 0.3869718, ARHR: 0.1557108, NOVELTY: 0.0048033, AVERAGE_POPULARITY: 0.1056601, DIVERSITY_MEAN_INTER_LIST: 0.9868601, DIVERSITY_HERFINDAHL: 0.9986686, COVERAGE_ITEM: 0.4249394, COVERAGE_ITEM_CORRECT: 0.0454283, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020888, DIVERSITY_GINI: 0.1314084, SHANNON_ENTROPY: 11.4800481, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1815218, PRECISION: 0.0389337, PRECISION_RECALL_MIN_DEN: 0.1355674, RECALL: 0.1311279, MAP: 0.0635899, MRR: 0.1354831, NDCG: 0.0954977, F1: 0.0600394, HIT_RATE: 0.3893367, ARHR: 0.1568444, NOVELTY: 0.0048078, AVERAGE_POPULARITY: 0.1031084, DIVERSITY_MEAN_INTER_LIST: 0.9877855, DIVERSITY_HERFINDAHL: 0.9987611, COVERAGE_ITEM: 0.4222753, COVERAGE_ITEM_CORRECT: 0.0467526, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032213, DIVERSITY_GINI: 0.1321070, SHANNON_ENTROPY: 11.5347180, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1804128, PRECISION: 0.0387075, PRECISION_RECALL_MIN_DEN: 0.1351902, RECALL: 0.1308674, MAP: 0.0632986, MRR: 0.1347807, NDCG: 0.0951486, F1: 0.0597435, HIT_RATE: 0.3870751, ARHR: 0.1558405, NOVELTY: 0.0048029, AVERAGE_POPULARITY: 0.1053705, DIVERSITY_MEAN_INTER_LIST: 0.9869924, DIVERSITY_HERFINDAHL: 0.9986818, COVERAGE_ITEM: 0.4240308, COVERAGE_ITEM_CORRECT: 0.0456901, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2023153, DIVERSITY_GINI: 0.1312740, SHANNON_ENTROPY: 11.4859706, 
