
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1638828, PRECISION: 0.0345434, PRECISION_RECALL_MIN_DEN: 0.1179264, RECALL: 0.1141093, MAP: 0.0555984, MRR: 0.1211450, NDCG: 0.0840226, F1: 0.0530303, HIT_RATE: 0.3454336, ARHR: 0.1396494, NOVELTY: 0.0048404, AVERAGE_POPULARITY: 0.1163740, DIVERSITY_MEAN_INTER_LIST: 0.9820773, DIVERSITY_HERFINDAHL: 0.9981904, COVERAGE_ITEM: 0.4480847, COVERAGE_ITEM_CORRECT: 0.0369355, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1823581, DIVERSITY_GINI: 0.1450978, SHANNON_ENTROPY: 11.4395968, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1712236, PRECISION: 0.0360733, PRECISION_RECALL_MIN_DEN: 0.1246905, RECALL: 0.1206999, MAP: 0.0583197, MRR: 0.1266765, NDCG: 0.0882081, F1: 0.0555442, HIT_RATE: 0.3607332, ARHR: 0.1461726, NOVELTY: 0.0047777, AVERAGE_POPULARITY: 0.1210625, DIVERSITY_MEAN_INTER_LIST: 0.9803608, DIVERSITY_HERFINDAHL: 0.9980188, COVERAGE_ITEM: 0.4338094, COVERAGE_ITEM_CORRECT: 0.0392069, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1900340, DIVERSITY_GINI: 0.1296245, SHANNON_ENTROPY: 11.2103820, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1583638, PRECISION: 0.0334203, PRECISION_RECALL_MIN_DEN: 0.1135947, RECALL: 0.1098411, MAP: 0.0535403, MRR: 0.1170630, NDCG: 0.0809661, F1: 0.0512446, HIT_RATE: 0.3342028, ARHR: 0.1348647, NOVELTY: 0.0048669, AVERAGE_POPULARITY: 0.1139934, DIVERSITY_MEAN_INTER_LIST: 0.9828192, DIVERSITY_HERFINDAHL: 0.9982646, COVERAGE_ITEM: 0.4518807, COVERAGE_ITEM_CORRECT: 0.0356035, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1761168, DIVERSITY_GINI: 0.1501593, SHANNON_ENTROPY: 11.5247854, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1579145, PRECISION: 0.0332754, PRECISION_RECALL_MIN_DEN: 0.1132841, RECALL: 0.1095450, MAP: 0.0534146, MRR: 0.1167166, NDCG: 0.0807505, F1: 0.0510419, HIT_RATE: 0.3327542, ARHR: 0.1344143, NOVELTY: 0.0048650, AVERAGE_POPULARITY: 0.1146750, DIVERSITY_MEAN_INTER_LIST: 0.9825592, DIVERSITY_HERFINDAHL: 0.9982386, COVERAGE_ITEM: 0.4504947, COVERAGE_ITEM_CORRECT: 0.0353648, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1754876, DIVERSITY_GINI: 0.1494827, SHANNON_ENTROPY: 11.5131459, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1627233, PRECISION: 0.0343426, PRECISION_RECALL_MIN_DEN: 0.1170223, RECALL: 0.1131985, MAP: 0.0552354, MRR: 0.1205487, NDCG: 0.0834368, F1: 0.0526950, HIT_RATE: 0.3434258, ARHR: 0.1389743, NOVELTY: 0.0048534, AVERAGE_POPULARITY: 0.1140816, DIVERSITY_MEAN_INTER_LIST: 0.9828969, DIVERSITY_HERFINDAHL: 0.9982723, COVERAGE_ITEM: 0.4507026, COVERAGE_ITEM_CORRECT: 0.0367892, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1809236, DIVERSITY_GINI: 0.1477041, SHANNON_ENTROPY: 11.4915704, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1726700, PRECISION: 0.0362997, PRECISION_RECALL_MIN_DEN: 0.1250335, RECALL: 0.1210081, MAP: 0.0591951, MRR: 0.1282188, NDCG: 0.0891023, F1: 0.0558451, HIT_RATE: 0.3629974, ARHR: 0.1479769, NOVELTY: 0.0048133, AVERAGE_POPULARITY: 0.1122883, DIVERSITY_MEAN_INTER_LIST: 0.9834574, DIVERSITY_HERFINDAHL: 0.9983284, COVERAGE_ITEM: 0.4408701, COVERAGE_ITEM_CORRECT: 0.0401771, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1907135, DIVERSITY_GINI: 0.1359718, SHANNON_ENTROPY: 11.3715155, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1644323, PRECISION: 0.0346920, PRECISION_RECALL_MIN_DEN: 0.1183188, RECALL: 0.1144772, MAP: 0.0558611, MRR: 0.1217350, NDCG: 0.0843867, F1: 0.0532456, HIT_RATE: 0.3469197, ARHR: 0.1403562, NOVELTY: 0.0048421, AVERAGE_POPULARITY: 0.1155631, DIVERSITY_MEAN_INTER_LIST: 0.9823784, DIVERSITY_HERFINDAHL: 0.9982205, COVERAGE_ITEM: 0.4489086, COVERAGE_ITEM_CORRECT: 0.0371665, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1830125, DIVERSITY_GINI: 0.1455114, SHANNON_ENTROPY: 11.4505858, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1575289, PRECISION: 0.0331375, PRECISION_RECALL_MIN_DEN: 0.1128081, RECALL: 0.1090912, MAP: 0.0531089, MRR: 0.1162779, NDCG: 0.0803691, F1: 0.0508309, HIT_RATE: 0.3313755, ARHR: 0.1337850, NOVELTY: 0.0048688, AVERAGE_POPULARITY: 0.1142717, DIVERSITY_MEAN_INTER_LIST: 0.9826849, DIVERSITY_HERFINDAHL: 0.9982511, COVERAGE_ITEM: 0.4517344, COVERAGE_ITEM_CORRECT: 0.0351723, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1751604, DIVERSITY_GINI: 0.1503832, SHANNON_ENTROPY: 11.5263301, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1632108, PRECISION: 0.0343920, PRECISION_RECALL_MIN_DEN: 0.1172100, RECALL: 0.1134043, MAP: 0.0553825, MRR: 0.1207989, NDCG: 0.0836432, F1: 0.0527756, HIT_RATE: 0.3439199, ARHR: 0.1392234, NOVELTY: 0.0048457, AVERAGE_POPULARITY: 0.1156185, DIVERSITY_MEAN_INTER_LIST: 0.9823397, DIVERSITY_HERFINDAHL: 0.9982166, COVERAGE_ITEM: 0.4488393, COVERAGE_ITEM_CORRECT: 0.0367430, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1812256, DIVERSITY_GINI: 0.1460759, SHANNON_ENTROPY: 11.4590195, 
