
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1811711, PRECISION: 0.0386330, PRECISION_RECALL_MIN_DEN: 0.1349789, RECALL: 0.1307448, MAP: 0.0636840, MRR: 0.1354180, NDCG: 0.0954867, F1: 0.0596415, HIT_RATE: 0.3863301, ARHR: 0.1563911, NOVELTY: 0.0047999, AVERAGE_POPULARITY: 0.1087288, DIVERSITY_MEAN_INTER_LIST: 0.9859305, DIVERSITY_HERFINDAHL: 0.9985756, COVERAGE_ITEM: 0.4312069, COVERAGE_ITEM_CORRECT: 0.0448354, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2022147, DIVERSITY_GINI: 0.1342967, SHANNON_ENTROPY: 11.4716701, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1609572, PRECISION: 0.0337950, PRECISION_RECALL_MIN_DEN: 0.1164495, RECALL: 0.1127233, MAP: 0.0550480, MRR: 0.1189840, NDCG: 0.0829194, F1: 0.0519966, HIT_RATE: 0.3379499, ARHR: 0.1368012, NOVELTY: 0.0048479, AVERAGE_POPULARITY: 0.1145270, DIVERSITY_MEAN_INTER_LIST: 0.9827626, DIVERSITY_HERFINDAHL: 0.9982589, COVERAGE_ITEM: 0.4470683, COVERAGE_ITEM_CORRECT: 0.0363580, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1789354, DIVERSITY_GINI: 0.1487425, SHANNON_ENTROPY: 11.5164731, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1816651, PRECISION: 0.0389300, PRECISION_RECALL_MIN_DEN: 0.1356896, RECALL: 0.1312787, MAP: 0.0637838, MRR: 0.1357407, NDCG: 0.0957012, F1: 0.0600509, HIT_RATE: 0.3892997, ARHR: 0.1570662, NOVELTY: 0.0048085, AVERAGE_POPULARITY: 0.1033235, DIVERSITY_MEAN_INTER_LIST: 0.9877039, DIVERSITY_HERFINDAHL: 0.9987529, COVERAGE_ITEM: 0.4235534, COVERAGE_ITEM_CORRECT: 0.0466141, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031710, DIVERSITY_GINI: 0.1324841, SHANNON_ENTROPY: 11.5329861, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1816454, PRECISION: 0.0389623, PRECISION_RECALL_MIN_DEN: 0.1359357, RECALL: 0.1315591, MAP: 0.0638589, MRR: 0.1358886, NDCG: 0.0958436, F1: 0.0601189, HIT_RATE: 0.3896226, ARHR: 0.1571566, NOVELTY: 0.0048033, AVERAGE_POPULARITY: 0.1043873, DIVERSITY_MEAN_INTER_LIST: 0.9874232, DIVERSITY_HERFINDAHL: 0.9987249, COVERAGE_ITEM: 0.4223292, COVERAGE_ITEM_CORRECT: 0.0465294, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035737, DIVERSITY_GINI: 0.1315833, SHANNON_ENTROPY: 11.5151951, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1815258, PRECISION: 0.0388098, PRECISION_RECALL_MIN_DEN: 0.1358047, RECALL: 0.1315121, MAP: 0.0638365, MRR: 0.1357199, NDCG: 0.0957695, F1: 0.0599321, HIT_RATE: 0.3880982, ARHR: 0.1569141, NOVELTY: 0.0048075, AVERAGE_POPULARITY: 0.1053077, DIVERSITY_MEAN_INTER_LIST: 0.9870223, DIVERSITY_HERFINDAHL: 0.9986848, COVERAGE_ITEM: 0.4292666, COVERAGE_ITEM_CORRECT: 0.0458133, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2027683, DIVERSITY_GINI: 0.1340262, SHANNON_ENTROPY: 11.5117935, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1692877, PRECISION: 0.0358012, PRECISION_RECALL_MIN_DEN: 0.1232682, RECALL: 0.1193587, MAP: 0.0583789, MRR: 0.1258282, NDCG: 0.0878124, F1: 0.0550791, HIT_RATE: 0.3580117, ARHR: 0.1451859, NOVELTY: 0.0048515, AVERAGE_POPULARITY: 0.1100420, DIVERSITY_MEAN_INTER_LIST: 0.9845371, DIVERSITY_HERFINDAHL: 0.9984363, COVERAGE_ITEM: 0.4607815, COVERAGE_ITEM_CORRECT: 0.0395919, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1885491, DIVERSITY_GINI: 0.1522651, SHANNON_ENTROPY: 11.5643270, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1810104, PRECISION: 0.0386190, PRECISION_RECALL_MIN_DEN: 0.1348712, RECALL: 0.1306353, MAP: 0.0636150, MRR: 0.1352397, NDCG: 0.0953954, F1: 0.0596133, HIT_RATE: 0.3861897, ARHR: 0.1562407, NOVELTY: 0.0048032, AVERAGE_POPULARITY: 0.1079908, DIVERSITY_MEAN_INTER_LIST: 0.9861434, DIVERSITY_HERFINDAHL: 0.9985969, COVERAGE_ITEM: 0.4323234, COVERAGE_ITEM_CORRECT: 0.0449278, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020133, DIVERSITY_GINI: 0.1348900, SHANNON_ENTROPY: 11.4834261, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1815245, PRECISION: 0.0389903, PRECISION_RECALL_MIN_DEN: 0.1357004, RECALL: 0.1312533, MAP: 0.0637364, MRR: 0.1356605, NDCG: 0.0956548, F1: 0.0601198, HIT_RATE: 0.3899031, ARHR: 0.1570661, NOVELTY: 0.0048069, AVERAGE_POPULARITY: 0.1033591, DIVERSITY_MEAN_INTER_LIST: 0.9877139, DIVERSITY_HERFINDAHL: 0.9987539, COVERAGE_ITEM: 0.4221213, COVERAGE_ITEM_CORRECT: 0.0467757, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032213, DIVERSITY_GINI: 0.1320289, SHANNON_ENTROPY: 11.5313870, 

SearchBayesianSkopt-CV: New best config found. Config 8: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1813844, PRECISION: 0.0388412, PRECISION_RECALL_MIN_DEN: 0.1357309, RECALL: 0.1314592, MAP: 0.0638858, MRR: 0.1359074, NDCG: 0.0958606, F1: 0.0599638, HIT_RATE: 0.3884116, ARHR: 0.1570430, NOVELTY: 0.0048012, AVERAGE_POPULARITY: 0.1075576, DIVERSITY_MEAN_INTER_LIST: 0.9863276, DIVERSITY_HERFINDAHL: 0.9986153, COVERAGE_ITEM: 0.4301059, COVERAGE_ITEM_CORRECT: 0.0453513, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2030955, DIVERSITY_GINI: 0.1338525, SHANNON_ENTROPY: 11.4831015, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.06162894636864159, 'l1_ratio': 0.7750867227642295} - results: ROC_AUC: 0.1815493, PRECISION: 0.0389444, PRECISION_RECALL_MIN_DEN: 0.1355776, RECALL: 0.1311370, MAP: 0.0636699, MRR: 0.1355740, NDCG: 0.0955659, F1: 0.0600532, HIT_RATE: 0.3894436, ARHR: 0.1569624, NOVELTY: 0.0048093, AVERAGE_POPULARITY: 0.1029356, DIVERSITY_MEAN_INTER_LIST: 0.9878251, DIVERSITY_HERFINDAHL: 0.9987651, COVERAGE_ITEM: 0.4230760, COVERAGE_ITEM_CORRECT: 0.0467526, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032213, DIVERSITY_GINI: 0.1325309, SHANNON_ENTROPY: 11.5394575, 
