
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.669098657708291, 'l1_ratio': 0.09169342993189057} - results: ROC_AUC: 0.1765271, PRECISION: 0.0372115, PRECISION_RECALL_MIN_DEN: 0.1287411, RECALL: 0.1245840, MAP: 0.0614857, MRR: 0.1314161, NDCG: 0.0919532, F1: 0.0573043, HIT_RATE: 0.3721152, ARHR: 0.1519197, NOVELTY: 0.0048586, AVERAGE_POPULARITY: 0.0992008, DIVERSITY_MEAN_INTER_LIST: 0.9874165, DIVERSITY_HERFINDAHL: 0.9987242, COVERAGE_ITEM: 0.4591030, COVERAGE_ITEM_CORRECT: 0.0429798, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1946898, DIVERSITY_GINI: 0.1481734, SHANNON_ENTROPY: 11.6132588, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.4823394801746458, 'l1_ratio': 0.6679965487918444} - results: ROC_AUC: 0.1807061, PRECISION: 0.0385511, PRECISION_RECALL_MIN_DEN: 0.1344420, RECALL: 0.1301966, MAP: 0.0631644, MRR: 0.1346005, NDCG: 0.0949656, F1: 0.0594860, HIT_RATE: 0.3855112, ARHR: 0.1558427, NOVELTY: 0.0048147, AVERAGE_POPULARITY: 0.1079035, DIVERSITY_MEAN_INTER_LIST: 0.9849467, DIVERSITY_HERFINDAHL: 0.9984773, COVERAGE_ITEM: 0.4438268, COVERAGE_ITEM_CORRECT: 0.0445505, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013590, DIVERSITY_GINI: 0.1388959, SHANNON_ENTROPY: 11.4505222, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.7287246747064924, 'l1_ratio': 0.14987289601285583} - results: ROC_AUC: 0.1769213, PRECISION: 0.0373069, PRECISION_RECALL_MIN_DEN: 0.1292394, RECALL: 0.1250654, MAP: 0.0617600, MRR: 0.1318408, NDCG: 0.0922964, F1: 0.0574678, HIT_RATE: 0.3730691, ARHR: 0.1523644, NOVELTY: 0.0048629, AVERAGE_POPULARITY: 0.0979502, DIVERSITY_MEAN_INTER_LIST: 0.9877219, DIVERSITY_HERFINDAHL: 0.9987547, COVERAGE_ITEM: 0.4574013, COVERAGE_ITEM_CORRECT: 0.0432724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1949918, DIVERSITY_GINI: 0.1478928, SHANNON_ENTROPY: 11.6268263, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.9437555919946353, 'l1_ratio': 0.2051047469744946} - results: ROC_AUC: 0.1756520, PRECISION: 0.0371661, PRECISION_RECALL_MIN_DEN: 0.1291457, RECALL: 0.1249982, MAP: 0.0611385, MRR: 0.1308368, NDCG: 0.0917056, F1: 0.0572945, HIT_RATE: 0.3716613, ARHR: 0.1512180, NOVELTY: 0.0048959, AVERAGE_POPULARITY: 0.0905460, DIVERSITY_MEAN_INTER_LIST: 0.9893747, DIVERSITY_HERFINDAHL: 0.9989200, COVERAGE_ITEM: 0.4576477, COVERAGE_ITEM_CORRECT: 0.0445197, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1941613, DIVERSITY_GINI: 0.1510217, SHANNON_ENTROPY: 11.7289532, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.4531331518527948, 'l1_ratio': 0.8587861595214221} - results: ROC_AUC: 0.1818395, PRECISION: 0.0387983, PRECISION_RECALL_MIN_DEN: 0.1356790, RECALL: 0.1314409, MAP: 0.0637536, MRR: 0.1354870, NDCG: 0.0957819, F1: 0.0599107, HIT_RATE: 0.3879827, ARHR: 0.1568679, NOVELTY: 0.0048068, AVERAGE_POPULARITY: 0.1093423, DIVERSITY_MEAN_INTER_LIST: 0.9844983, DIVERSITY_HERFINDAHL: 0.9984324, COVERAGE_ITEM: 0.4405698, COVERAGE_ITEM_CORRECT: 0.0449586, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2024160, DIVERSITY_GINI: 0.1371313, SHANNON_ENTROPY: 11.4215448, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.9694882534748914, 'l1_ratio': 0.8513428106519773} - results: ROC_AUC: 0.1920421, PRECISION: 0.0414132, PRECISION_RECALL_MIN_DEN: 0.1474288, RECALL: 0.1430547, MAP: 0.0692164, MRR: 0.1436898, NDCG: 0.1035138, F1: 0.0642304, HIT_RATE: 0.4141319, ARHR: 0.1667953, NOVELTY: 0.0048404, AVERAGE_POPULARITY: 0.0981592, DIVERSITY_MEAN_INTER_LIST: 0.9873023, DIVERSITY_HERFINDAHL: 0.9987128, COVERAGE_ITEM: 0.4545525, COVERAGE_ITEM_CORRECT: 0.0516035, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2144960, DIVERSITY_GINI: 0.1478316, SHANNON_ENTROPY: 11.6204486, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4672975032427851, 'l1_ratio': 0.4542958547261343} - results: ROC_AUC: 0.1792134, PRECISION: 0.0382398, PRECISION_RECALL_MIN_DEN: 0.1331957, RECALL: 0.1289836, MAP: 0.0625366, MRR: 0.1334785, NDCG: 0.0940673, F1: 0.0589885, HIT_RATE: 0.3823980, ARHR: 0.1545221, NOVELTY: 0.0048217, AVERAGE_POPULARITY: 0.1068409, DIVERSITY_MEAN_INTER_LIST: 0.9852723, DIVERSITY_HERFINDAHL: 0.9985098, COVERAGE_ITEM: 0.4482849, COVERAGE_ITEM_CORRECT: 0.0439115, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2001007, DIVERSITY_GINI: 0.1410466, SHANNON_ENTROPY: 11.4763839, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.5267598731000969, 'l1_ratio': 0.8523308639031066} - results: ROC_AUC: 0.1831288, PRECISION: 0.0391413, PRECISION_RECALL_MIN_DEN: 0.1372173, RECALL: 0.1329641, MAP: 0.0645113, MRR: 0.1364940, NDCG: 0.0968208, F1: 0.0604773, HIT_RATE: 0.3914135, ARHR: 0.1581099, NOVELTY: 0.0048091, AVERAGE_POPULARITY: 0.1084889, DIVERSITY_MEAN_INTER_LIST: 0.9847392, DIVERSITY_HERFINDAHL: 0.9984565, COVERAGE_ITEM: 0.4406391, COVERAGE_ITEM_CORRECT: 0.0457440, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2041525, DIVERSITY_GINI: 0.1373641, SHANNON_ENTROPY: 11.4328301, 
