
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.12013211501841217, 'l1_ratio': 0.05506489956063311} - results: ROC_AUC: 0.1701316, PRECISION: 0.0360171, PRECISION_RECALL_MIN_DEN: 0.1248293, RECALL: 0.1208614, MAP: 0.0589259, MRR: 0.1265836, NDCG: 0.0885891, F1: 0.0554937, HIT_RATE: 0.3601714, ARHR: 0.1459755, NOVELTY: 0.0047954, AVERAGE_POPULARITY: 0.1073242, DIVERSITY_MEAN_INTER_LIST: 0.9857954, DIVERSITY_HERFINDAHL: 0.9985621, COVERAGE_ITEM: 0.4257478, COVERAGE_ITEM_CORRECT: 0.0403927, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1895306, DIVERSITY_GINI: 0.1264929, SHANNON_ENTROPY: 11.3562633, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.10994230891657611, 'l1_ratio': 0.008680871256307567} - results: ROC_AUC: 0.1692078, PRECISION: 0.0359040, PRECISION_RECALL_MIN_DEN: 0.1243757, RECALL: 0.1204163, MAP: 0.0585291, MRR: 0.1259546, NDCG: 0.0881157, F1: 0.0553124, HIT_RATE: 0.3590403, ARHR: 0.1452198, NOVELTY: 0.0047950, AVERAGE_POPULARITY: 0.1075089, DIVERSITY_MEAN_INTER_LIST: 0.9857541, DIVERSITY_HERFINDAHL: 0.9985580, COVERAGE_ITEM: 0.4262329, COVERAGE_ITEM_CORRECT: 0.0401386, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1889518, DIVERSITY_GINI: 0.1264588, SHANNON_ENTROPY: 11.3530864, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.09586338008335207, 'l1_ratio': 0.7639148734265954} - results: ROC_AUC: 0.1731732, PRECISION: 0.0367030, PRECISION_RECALL_MIN_DEN: 0.1283473, RECALL: 0.1243195, MAP: 0.0601220, MRR: 0.1287894, NDCG: 0.0905304, F1: 0.0566709, HIT_RATE: 0.3670305, ARHR: 0.1485256, NOVELTY: 0.0047720, AVERAGE_POPULARITY: 0.1101636, DIVERSITY_MEAN_INTER_LIST: 0.9850209, DIVERSITY_HERFINDAHL: 0.9984847, COVERAGE_ITEM: 0.4101867, COVERAGE_ITEM_CORRECT: 0.0413167, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1934818, DIVERSITY_GINI: 0.1197487, SHANNON_ENTROPY: 11.2791573, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.7467705935120167, 'l1_ratio': 0.8920268351457996} - results: ROC_AUC: 0.1905532, PRECISION: 0.0410743, PRECISION_RECALL_MIN_DEN: 0.1452709, RECALL: 0.1409026, MAP: 0.0684762, MRR: 0.1425813, NDCG: 0.1023620, F1: 0.0636057, HIT_RATE: 0.4107433, ARHR: 0.1655764, NOVELTY: 0.0048190, AVERAGE_POPULARITY: 0.1019292, DIVERSITY_MEAN_INTER_LIST: 0.9865479, DIVERSITY_HERFINDAHL: 0.9986374, COVERAGE_ITEM: 0.4420173, COVERAGE_ITEM_CORRECT: 0.0504331, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2123569, DIVERSITY_GINI: 0.1394668, SHANNON_ENTROPY: 11.5182798, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.42332968704829976, 'l1_ratio': 0.02027102563280048} - results: ROC_AUC: 0.1713359, PRECISION: 0.0363800, PRECISION_RECALL_MIN_DEN: 0.1256807, RECALL: 0.1216148, MAP: 0.0593450, MRR: 0.1277581, NDCG: 0.0892340, F1: 0.0560051, HIT_RATE: 0.3637997, ARHR: 0.1474672, NOVELTY: 0.0048454, AVERAGE_POPULARITY: 0.0985826, DIVERSITY_MEAN_INTER_LIST: 0.9878711, DIVERSITY_HERFINDAHL: 0.9987697, COVERAGE_ITEM: 0.4438037, COVERAGE_ITEM_CORRECT: 0.0417247, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1904366, DIVERSITY_GINI: 0.1387121, SHANNON_ENTROPY: 11.5475299, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.25313748557939336, 'l1_ratio': 0.6363290486221372} - results: ROC_AUC: 0.1771261, PRECISION: 0.0377213, PRECISION_RECALL_MIN_DEN: 0.1314060, RECALL: 0.1272328, MAP: 0.0616929, MRR: 0.1317532, NDCG: 0.0927914, F1: 0.0581877, HIT_RATE: 0.3772127, ARHR: 0.1523073, NOVELTY: 0.0047926, AVERAGE_POPULARITY: 0.1068848, DIVERSITY_MEAN_INTER_LIST: 0.9857729, DIVERSITY_HERFINDAHL: 0.9985599, COVERAGE_ITEM: 0.4200192, COVERAGE_ITEM_CORRECT: 0.0435727, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1973072, DIVERSITY_GINI: 0.1254809, SHANNON_ENTROPY: 11.3590431, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.6007412439318751, 'l1_ratio': 0.4205996433310597} - results: ROC_AUC: 0.1796830, PRECISION: 0.0383314, PRECISION_RECALL_MIN_DEN: 0.1337992, RECALL: 0.1295463, MAP: 0.0630615, MRR: 0.1342863, NDCG: 0.0946184, F1: 0.0591566, HIT_RATE: 0.3833141, ARHR: 0.1554239, NOVELTY: 0.0048402, AVERAGE_POPULARITY: 0.0991201, DIVERSITY_MEAN_INTER_LIST: 0.9875605, DIVERSITY_HERFINDAHL: 0.9987386, COVERAGE_ITEM: 0.4376747, COVERAGE_ITEM_CORRECT: 0.0453513, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1995973, DIVERSITY_GINI: 0.1372650, SHANNON_ENTROPY: 11.5354510, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9536906179601048, 'l1_ratio': 0.1995460114095356} - results: ROC_AUC: 0.1746057, PRECISION: 0.0370100, PRECISION_RECALL_MIN_DEN: 0.1289018, RECALL: 0.1247840, MAP: 0.0607100, MRR: 0.1299788, NDCG: 0.0912105, F1: 0.0570866, HIT_RATE: 0.3700995, ARHR: 0.1501470, NOVELTY: 0.0049025, AVERAGE_POPULARITY: 0.0890776, DIVERSITY_MEAN_INTER_LIST: 0.9896850, DIVERSITY_HERFINDAHL: 0.9989510, COVERAGE_ITEM: 0.4575322, COVERAGE_ITEM_CORRECT: 0.0444504, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1936832, DIVERSITY_GINI: 0.1514121, SHANNON_ENTROPY: 11.7456287, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.034843937465025794, 'l1_ratio': 0.5381144916518004} - results: ROC_AUC: 0.1703198, PRECISION: 0.0360494, PRECISION_RECALL_MIN_DEN: 0.1262264, RECALL: 0.1222902, MAP: 0.0592269, MRR: 0.1268153, NDCG: 0.0891165, F1: 0.0556810, HIT_RATE: 0.3604939, ARHR: 0.1460486, NOVELTY: 0.0047689, AVERAGE_POPULARITY: 0.1109873, DIVERSITY_MEAN_INTER_LIST: 0.9848549, DIVERSITY_HERFINDAHL: 0.9984681, COVERAGE_ITEM: 0.4104947, COVERAGE_ITEM_CORRECT: 0.0401617, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1903863, DIVERSITY_GINI: 0.1191738, SHANNON_ENTROPY: 11.2640847, 
