
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1812288, PRECISION: 0.0390115, PRECISION_RECALL_MIN_DEN: 0.1360610, RECALL: 0.1316778, MAP: 0.0636968, MRR: 0.1357525, NDCG: 0.0957472, F1: 0.0601895, HIT_RATE: 0.3901154, ARHR: 0.1571160, NOVELTY: 0.0048006, AVERAGE_POPULARITY: 0.1055505, DIVERSITY_MEAN_INTER_LIST: 0.9868760, DIVERSITY_HERFINDAHL: 0.9986702, COVERAGE_ITEM: 0.4231761, COVERAGE_ITEM_CORRECT: 0.0458210, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032717, DIVERSITY_GINI: 0.1308179, SHANNON_ENTROPY: 11.4777924, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1761881, PRECISION: 0.0374835, PRECISION_RECALL_MIN_DEN: 0.1302183, RECALL: 0.1260756, MAP: 0.0610034, MRR: 0.1310046, NDCG: 0.0919370, F1: 0.0577849, HIT_RATE: 0.3748354, ARHR: 0.1514325, NOVELTY: 0.0047952, AVERAGE_POPULARITY: 0.1125285, DIVERSITY_MEAN_INTER_LIST: 0.9836818, DIVERSITY_HERFINDAHL: 0.9983508, COVERAGE_ITEM: 0.4366968, COVERAGE_ITEM_CORRECT: 0.0420096, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965522, DIVERSITY_GINI: 0.1353406, SHANNON_ENTROPY: 11.3797092, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1823308, PRECISION: 0.0391136, PRECISION_RECALL_MIN_DEN: 0.1361907, RECALL: 0.1317392, MAP: 0.0639862, MRR: 0.1362047, NDCG: 0.0960117, F1: 0.0603177, HIT_RATE: 0.3911364, ARHR: 0.1577027, NOVELTY: 0.0048075, AVERAGE_POPULARITY: 0.1031395, DIVERSITY_MEAN_INTER_LIST: 0.9877471, DIVERSITY_HERFINDAHL: 0.9987573, COVERAGE_ITEM: 0.4230144, COVERAGE_ITEM_CORRECT: 0.0469374, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040267, DIVERSITY_GINI: 0.1323250, SHANNON_ENTROPY: 11.5339795, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1817234, PRECISION: 0.0389866, PRECISION_RECALL_MIN_DEN: 0.1358378, RECALL: 0.1314051, MAP: 0.0637742, MRR: 0.1357903, NDCG: 0.0957214, F1: 0.0601316, HIT_RATE: 0.3898657, ARHR: 0.1571838, NOVELTY: 0.0048061, AVERAGE_POPULARITY: 0.1035048, DIVERSITY_MEAN_INTER_LIST: 0.9876542, DIVERSITY_HERFINDAHL: 0.9987480, COVERAGE_ITEM: 0.4217825, COVERAGE_ITEM_CORRECT: 0.0466603, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035485, DIVERSITY_GINI: 0.1316404, SHANNON_ENTROPY: 11.5246726, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1829814, PRECISION: 0.0393083, PRECISION_RECALL_MIN_DEN: 0.1369776, RECALL: 0.1325669, MAP: 0.0642901, MRR: 0.1367475, NDCG: 0.0965396, F1: 0.0606358, HIT_RATE: 0.3930828, ARHR: 0.1583060, NOVELTY: 0.0048060, AVERAGE_POPULARITY: 0.1040803, DIVERSITY_MEAN_INTER_LIST: 0.9873556, DIVERSITY_HERFINDAHL: 0.9987181, COVERAGE_ITEM: 0.4241925, COVERAGE_ITEM_CORRECT: 0.0469374, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2049578, DIVERSITY_GINI: 0.1321123, SHANNON_ENTROPY: 11.5110201, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1818528, PRECISION: 0.0387702, PRECISION_RECALL_MIN_DEN: 0.1353536, RECALL: 0.1311157, MAP: 0.0637932, MRR: 0.1357366, NDCG: 0.0957504, F1: 0.0598430, HIT_RATE: 0.3877016, ARHR: 0.1570071, NOVELTY: 0.0048013, AVERAGE_POPULARITY: 0.1098631, DIVERSITY_MEAN_INTER_LIST: 0.9846411, DIVERSITY_HERFINDAHL: 0.9984467, COVERAGE_ITEM: 0.4366737, COVERAGE_ITEM_CORRECT: 0.0447199, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2027180, DIVERSITY_GINI: 0.1352199, SHANNON_ENTROPY: 11.4130576, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1817710, PRECISION: 0.0391105, PRECISION_RECALL_MIN_DEN: 0.1364447, RECALL: 0.1320714, MAP: 0.0639234, MRR: 0.1360733, NDCG: 0.0960576, F1: 0.0603485, HIT_RATE: 0.3911046, ARHR: 0.1575285, NOVELTY: 0.0048020, AVERAGE_POPULARITY: 0.1053301, DIVERSITY_MEAN_INTER_LIST: 0.9869258, DIVERSITY_HERFINDAHL: 0.9986751, COVERAGE_ITEM: 0.4239384, COVERAGE_ITEM_CORRECT: 0.0460828, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2036492, DIVERSITY_GINI: 0.1312526, SHANNON_ENTROPY: 11.4832075, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1817094, PRECISION: 0.0390291, PRECISION_RECALL_MIN_DEN: 0.1357382, RECALL: 0.1312908, MAP: 0.0637261, MRR: 0.1357538, NDCG: 0.0956763, F1: 0.0601700, HIT_RATE: 0.3902910, ARHR: 0.1572426, NOVELTY: 0.0048072, AVERAGE_POPULARITY: 0.1031282, DIVERSITY_MEAN_INTER_LIST: 0.9877762, DIVERSITY_HERFINDAHL: 0.9987602, COVERAGE_ITEM: 0.4223061, COVERAGE_ITEM_CORRECT: 0.0468758, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033975, DIVERSITY_GINI: 0.1321013, SHANNON_ENTROPY: 11.5343308, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1819396, PRECISION: 0.0390753, PRECISION_RECALL_MIN_DEN: 0.1364675, RECALL: 0.1320969, MAP: 0.0638808, MRR: 0.1360789, NDCG: 0.0960206, F1: 0.0603092, HIT_RATE: 0.3907526, ARHR: 0.1574345, NOVELTY: 0.0048024, AVERAGE_POPULARITY: 0.1049677, DIVERSITY_MEAN_INTER_LIST: 0.9870761, DIVERSITY_HERFINDAHL: 0.9986902, COVERAGE_ITEM: 0.4227680, COVERAGE_ITEM_CORRECT: 0.0461521, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040015, DIVERSITY_GINI: 0.1310567, SHANNON_ENTROPY: 11.4894775, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.06162894636864159, 'l1_ratio': 0.7750867227642295} - results: ROC_AUC: 0.1820204, PRECISION: 0.0390608, PRECISION_RECALL_MIN_DEN: 0.1358900, RECALL: 0.1314456, MAP: 0.0637614, MRR: 0.1358692, NDCG: 0.0957653, F1: 0.0602237, HIT_RATE: 0.3906076, ARHR: 0.1573553, NOVELTY: 0.0048077, AVERAGE_POPULARITY: 0.1029920, DIVERSITY_MEAN_INTER_LIST: 0.9878050, DIVERSITY_HERFINDAHL: 0.9987630, COVERAGE_ITEM: 0.4227680, COVERAGE_ITEM_CORRECT: 0.0469836, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2037498, DIVERSITY_GINI: 0.1323557, SHANNON_ENTROPY: 11.5373411, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.6854968810862074, 'l1_ratio': 0.305041631006905} - results: ROC_AUC: 0.1825911, PRECISION: 0.0389186, PRECISION_RECALL_MIN_DEN: 0.1359767, RECALL: 0.1316675, MAP: 0.0640466, MRR: 0.1362688, NDCG: 0.0960585, F1: 0.0600784, HIT_RATE: 0.3891855, ARHR: 0.1576993, NOVELTY: 0.0048019, AVERAGE_POPULARITY: 0.1073148, DIVERSITY_MEAN_INTER_LIST: 0.9859548, DIVERSITY_HERFINDAHL: 0.9985781, COVERAGE_ITEM: 0.4292281, COVERAGE_ITEM_CORRECT: 0.0452897, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2030955, DIVERSITY_GINI: 0.1326881, SHANNON_ENTROPY: 11.4490344, 

SearchBayesianSkopt-CV: New best config found. Config 11: {'alpha': 0.4528334898290506, 'l1_ratio': 0.5632509517008222} - results: ROC_AUC: 0.1839031, PRECISION: 0.0395807, PRECISION_RECALL_MIN_DEN: 0.1378640, RECALL: 0.1334389, MAP: 0.0648729, MRR: 0.1377659, NDCG: 0.0973083, F1: 0.0610512, HIT_RATE: 0.3958071, ARHR: 0.1595522, NOVELTY: 0.0048077, AVERAGE_POPULARITY: 0.1040999, DIVERSITY_MEAN_INTER_LIST: 0.9872316, DIVERSITY_HERFINDAHL: 0.9987057, COVERAGE_ITEM: 0.4266256, COVERAGE_ITEM_CORRECT: 0.0471992, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2059142, DIVERSITY_GINI: 0.1330878, SHANNON_ENTROPY: 11.5105973, 
