
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1810294, PRECISION: 0.0388882, PRECISION_RECALL_MIN_DEN: 0.1359799, RECALL: 0.1316626, MAP: 0.0636256, MRR: 0.1354531, NDCG: 0.0956733, F1: 0.0600413, HIT_RATE: 0.3888815, ARHR: 0.1565779, NOVELTY: 0.0047970, AVERAGE_POPULARITY: 0.1066134, DIVERSITY_MEAN_INTER_LIST: 0.9866058, DIVERSITY_HERFINDAHL: 0.9986431, COVERAGE_ITEM: 0.4231684, COVERAGE_ITEM_CORRECT: 0.0456978, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031962, DIVERSITY_GINI: 0.1303718, SHANNON_ENTROPY: 11.4624171, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1748189, PRECISION: 0.0367978, PRECISION_RECALL_MIN_DEN: 0.1286824, RECALL: 0.1246658, MAP: 0.0604937, MRR: 0.1297483, NDCG: 0.0910307, F1: 0.0568214, HIT_RATE: 0.3679780, ARHR: 0.1496226, NOVELTY: 0.0047726, AVERAGE_POPULARITY: 0.1197307, DIVERSITY_MEAN_INTER_LIST: 0.9810058, DIVERSITY_HERFINDAHL: 0.9980832, COVERAGE_ITEM: 0.4429721, COVERAGE_ITEM_CORRECT: 0.0406160, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1942117, DIVERSITY_GINI: 0.1331429, SHANNON_ENTROPY: 11.2463915, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1821842, PRECISION: 0.0391101, PRECISION_RECALL_MIN_DEN: 0.1362011, RECALL: 0.1317640, MAP: 0.0639083, MRR: 0.1360350, NDCG: 0.0959601, F1: 0.0603159, HIT_RATE: 0.3911014, ARHR: 0.1575190, NOVELTY: 0.0048071, AVERAGE_POPULARITY: 0.1032431, DIVERSITY_MEAN_INTER_LIST: 0.9877165, DIVERSITY_HERFINDAHL: 0.9987542, COVERAGE_ITEM: 0.4232839, COVERAGE_ITEM_CORRECT: 0.0469374, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040770, DIVERSITY_GINI: 0.1323816, SHANNON_ENTROPY: 11.5329235, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1816368, PRECISION: 0.0389086, PRECISION_RECALL_MIN_DEN: 0.1355902, RECALL: 0.1311777, MAP: 0.0636956, MRR: 0.1356821, NDCG: 0.0956018, F1: 0.0600151, HIT_RATE: 0.3890861, ARHR: 0.1570112, NOVELTY: 0.0048055, AVERAGE_POPULARITY: 0.1036528, DIVERSITY_MEAN_INTER_LIST: 0.9876166, DIVERSITY_HERFINDAHL: 0.9987442, COVERAGE_ITEM: 0.4220212, COVERAGE_ITEM_CORRECT: 0.0465910, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2031710, DIVERSITY_GINI: 0.1316759, SHANNON_ENTROPY: 11.5233295, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1826862, PRECISION: 0.0392165, PRECISION_RECALL_MIN_DEN: 0.1368954, RECALL: 0.1325189, MAP: 0.0643459, MRR: 0.1366501, NDCG: 0.0965375, F1: 0.0605220, HIT_RATE: 0.3921648, ARHR: 0.1581237, NOVELTY: 0.0048039, AVERAGE_POPULARITY: 0.1046764, DIVERSITY_MEAN_INTER_LIST: 0.9872095, DIVERSITY_HERFINDAHL: 0.9987035, COVERAGE_ITEM: 0.4242464, COVERAGE_ITEM_CORRECT: 0.0467834, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2045552, DIVERSITY_GINI: 0.1319128, SHANNON_ENTROPY: 11.5028296, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1821129, PRECISION: 0.0385080, PRECISION_RECALL_MIN_DEN: 0.1359672, RECALL: 0.1318181, MAP: 0.0639328, MRR: 0.1354366, NDCG: 0.0959147, F1: 0.0596027, HIT_RATE: 0.3850799, ARHR: 0.1564358, NOVELTY: 0.0047825, AVERAGE_POPULARITY: 0.1139892, DIVERSITY_MEAN_INTER_LIST: 0.9832086, DIVERSITY_HERFINDAHL: 0.9983035, COVERAGE_ITEM: 0.4326699, COVERAGE_ITEM_CORRECT: 0.0441732, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2024160, DIVERSITY_GINI: 0.1311799, SHANNON_ENTROPY: 11.3214337, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1817446, PRECISION: 0.0389871, PRECISION_RECALL_MIN_DEN: 0.1364074, RECALL: 0.1320806, MAP: 0.0639262, MRR: 0.1359923, NDCG: 0.0960395, F1: 0.0602026, HIT_RATE: 0.3898706, ARHR: 0.1571967, NOVELTY: 0.0047985, AVERAGE_POPULARITY: 0.1063478, DIVERSITY_MEAN_INTER_LIST: 0.9866628, DIVERSITY_HERFINDAHL: 0.9986488, COVERAGE_ITEM: 0.4237151, COVERAGE_ITEM_CORRECT: 0.0459288, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2038757, DIVERSITY_GINI: 0.1307567, SHANNON_ENTROPY: 11.4678652, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1816972, PRECISION: 0.0390043, PRECISION_RECALL_MIN_DEN: 0.1357428, RECALL: 0.1313025, MAP: 0.0636914, MRR: 0.1356210, NDCG: 0.0956351, F1: 0.0601416, HIT_RATE: 0.3900431, ARHR: 0.1570751, NOVELTY: 0.0048069, AVERAGE_POPULARITY: 0.1032014, DIVERSITY_MEAN_INTER_LIST: 0.9877574, DIVERSITY_HERFINDAHL: 0.9987583, COVERAGE_ITEM: 0.4220828, COVERAGE_ITEM_CORRECT: 0.0468604, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033723, DIVERSITY_GINI: 0.1320156, SHANNON_ENTROPY: 11.5330904, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1814787, PRECISION: 0.0389974, PRECISION_RECALL_MIN_DEN: 0.1363087, RECALL: 0.1319677, MAP: 0.0637809, MRR: 0.1356452, NDCG: 0.0958833, F1: 0.0602033, HIT_RATE: 0.3899735, ARHR: 0.1568198, NOVELTY: 0.0047994, AVERAGE_POPULARITY: 0.1059037, DIVERSITY_MEAN_INTER_LIST: 0.9868423, DIVERSITY_HERFINDAHL: 0.9986668, COVERAGE_ITEM: 0.4232300, COVERAGE_ITEM_CORRECT: 0.0460982, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2039008, DIVERSITY_GINI: 0.1308077, SHANNON_ENTROPY: 11.4771999, 
