
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.9302524861170793, 'l1_ratio': 0.10250239710056311} - results: ROC_AUC: 0.1754509, PRECISION: 0.0371944, PRECISION_RECALL_MIN_DEN: 0.1298643, RECALL: 0.1257762, MAP: 0.0612621, MRR: 0.1308073, NDCG: 0.0919476, F1: 0.0574077, HIT_RATE: 0.3719443, ARHR: 0.1509407, NOVELTY: 0.0047679, AVERAGE_POPULARITY: 0.1111450, DIVERSITY_MEAN_INTER_LIST: 0.9846323, DIVERSITY_HERFINDAHL: 0.9984458, COVERAGE_ITEM: 0.4092320, COVERAGE_ITEM_CORRECT: 0.0419865, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1954448, DIVERSITY_GINI: 0.1192750, SHANNON_ENTROPY: 11.2625904, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.7860700251081233, 'l1_ratio': 0.16468705279421117} - results: ROC_AUC: 0.1780630, PRECISION: 0.0379082, PRECISION_RECALL_MIN_DEN: 0.1324756, RECALL: 0.1283332, MAP: 0.0621911, MRR: 0.1327627, NDCG: 0.0935358, F1: 0.0585253, HIT_RATE: 0.3790816, ARHR: 0.1533710, NOVELTY: 0.0047742, AVERAGE_POPULARITY: 0.1115968, DIVERSITY_MEAN_INTER_LIST: 0.9842893, DIVERSITY_HERFINDAHL: 0.9984115, COVERAGE_ITEM: 0.4167161, COVERAGE_ITEM_CORRECT: 0.0428027, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991192, DIVERSITY_GINI: 0.1230685, SHANNON_ENTROPY: 11.2846627, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.27487006457965385, 'l1_ratio': 0.953614741404301} - results: ROC_AUC: 0.1791541, PRECISION: 0.0382503, PRECISION_RECALL_MIN_DEN: 0.1335396, RECALL: 0.1293738, MAP: 0.0624596, MRR: 0.1335232, NDCG: 0.0941181, F1: 0.0590425, HIT_RATE: 0.3825030, ARHR: 0.1544019, NOVELTY: 0.0047987, AVERAGE_POPULARITY: 0.1116449, DIVERSITY_MEAN_INTER_LIST: 0.9838113, DIVERSITY_HERFINDAHL: 0.9983637, COVERAGE_ITEM: 0.4386295, COVERAGE_ITEM_CORRECT: 0.0436266, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2004278, DIVERSITY_GINI: 0.1358183, SHANNON_ENTROPY: 11.3864910, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.01461548143138425, 'l1_ratio': 0.654921311306595} - results: ROC_AUC: 0.1762115, PRECISION: 0.0373139, PRECISION_RECALL_MIN_DEN: 0.1299962, RECALL: 0.1258874, MAP: 0.0609859, MRR: 0.1309378, NDCG: 0.0918411, F1: 0.0575634, HIT_RATE: 0.3731387, ARHR: 0.1512732, NOVELTY: 0.0047971, AVERAGE_POPULARITY: 0.1127826, DIVERSITY_MEAN_INTER_LIST: 0.9834396, DIVERSITY_HERFINDAHL: 0.9983266, COVERAGE_ITEM: 0.4404235, COVERAGE_ITEM_CORRECT: 0.0417940, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1959733, DIVERSITY_GINI: 0.1369434, SHANNON_ENTROPY: 11.3817252, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.7960346827016632, 'l1_ratio': 0.16726185155290532} - results: ROC_AUC: 0.1780458, PRECISION: 0.0378976, PRECISION_RECALL_MIN_DEN: 0.1325092, RECALL: 0.1283714, MAP: 0.0622428, MRR: 0.1327648, NDCG: 0.0935700, F1: 0.0585165, HIT_RATE: 0.3789765, ARHR: 0.1533727, NOVELTY: 0.0047743, AVERAGE_POPULARITY: 0.1115169, DIVERSITY_MEAN_INTER_LIST: 0.9843181, DIVERSITY_HERFINDAHL: 0.9984144, COVERAGE_ITEM: 0.4166237, COVERAGE_ITEM_CORRECT: 0.0428412, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1990437, DIVERSITY_GINI: 0.1230229, SHANNON_ENTROPY: 11.2851782, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.8160544345681601, 'l1_ratio': 0.7535003394117424} - results: ROC_AUC: 0.1893573, PRECISION: 0.0406923, PRECISION_RECALL_MIN_DEN: 0.1437993, RECALL: 0.1394729, MAP: 0.0677220, MRR: 0.1418201, NDCG: 0.1013811, F1: 0.0630015, HIT_RATE: 0.4069225, ARHR: 0.1644909, NOVELTY: 0.0048034, AVERAGE_POPULARITY: 0.1069422, DIVERSITY_MEAN_INTER_LIST: 0.9852009, DIVERSITY_HERFINDAHL: 0.9985027, COVERAGE_ITEM: 0.4365351, COVERAGE_ITEM_CORRECT: 0.0489933, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2113250, DIVERSITY_GINI: 0.1352210, SHANNON_ENTROPY: 11.4309418, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.5964050030805949, 'l1_ratio': 0.8605040558515882} - results: ROC_AUC: 0.1852242, PRECISION: 0.0395156, PRECISION_RECALL_MIN_DEN: 0.1390666, RECALL: 0.1348164, MAP: 0.0653392, MRR: 0.1379194, NDCG: 0.0980414, F1: 0.0611160, HIT_RATE: 0.3951564, ARHR: 0.1597485, NOVELTY: 0.0048015, AVERAGE_POPULARITY: 0.1092851, DIVERSITY_MEAN_INTER_LIST: 0.9845177, DIVERSITY_HERFINDAHL: 0.9984344, COVERAGE_ITEM: 0.4369817, COVERAGE_ITEM_CORRECT: 0.0464601, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2062917, DIVERSITY_GINI: 0.1351245, SHANNON_ENTROPY: 11.4053205, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.25776981453773823, 'l1_ratio': 0.7655165658025571} - results: ROC_AUC: 0.1787747, PRECISION: 0.0379357, PRECISION_RECALL_MIN_DEN: 0.1324790, RECALL: 0.1283478, MAP: 0.0621314, MRR: 0.1330357, NDCG: 0.0935546, F1: 0.0585605, HIT_RATE: 0.3793571, ARHR: 0.1537013, NOVELTY: 0.0047959, AVERAGE_POPULARITY: 0.1121247, DIVERSITY_MEAN_INTER_LIST: 0.9836887, DIVERSITY_HERFINDAHL: 0.9983515, COVERAGE_ITEM: 0.4374437, COVERAGE_ITEM_CORRECT: 0.0429259, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1991443, DIVERSITY_GINI: 0.1350221, SHANNON_ENTROPY: 11.3743177, 
