
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.9302524861170793, 'l1_ratio': 0.10250239710056311} - results: ROC_AUC: 0.1748886, PRECISION: 0.0370775, PRECISION_RECALL_MIN_DEN: 0.1296473, RECALL: 0.1255620, MAP: 0.0609211, MRR: 0.1302077, NDCG: 0.0915808, F1: 0.0572463, HIT_RATE: 0.3707752, ARHR: 0.1502568, NOVELTY: 0.0047652, AVERAGE_POPULARITY: 0.1121570, DIVERSITY_MEAN_INTER_LIST: 0.9843413, DIVERSITY_HERFINDAHL: 0.9984167, COVERAGE_ITEM: 0.4094398, COVERAGE_ITEM_CORRECT: 0.0418556, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1950170, DIVERSITY_GINI: 0.1189225, SHANNON_ENTROPY: 11.2465612, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.7860700251081233, 'l1_ratio': 0.16468705279421117} - results: ROC_AUC: 0.1771467, PRECISION: 0.0374806, PRECISION_RECALL_MIN_DEN: 0.1314702, RECALL: 0.1273779, MAP: 0.0617078, MRR: 0.1317760, NDCG: 0.0927939, F1: 0.0579159, HIT_RATE: 0.3748058, ARHR: 0.1521158, NOVELTY: 0.0047647, AVERAGE_POPULARITY: 0.1141936, DIVERSITY_MEAN_INTER_LIST: 0.9834871, DIVERSITY_HERFINDAHL: 0.9983313, COVERAGE_ITEM: 0.4160847, COVERAGE_ITEM_CORRECT: 0.0420327, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1972820, DIVERSITY_GINI: 0.1213421, SHANNON_ENTROPY: 11.2353360, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.27487006457965385, 'l1_ratio': 0.953614741404301} - results: ROC_AUC: 0.1788977, PRECISION: 0.0378901, PRECISION_RECALL_MIN_DEN: 0.1335068, RECALL: 0.1294139, MAP: 0.0625532, MRR: 0.1332179, NDCG: 0.0940878, F1: 0.0586165, HIT_RATE: 0.3789013, ARHR: 0.1537492, NOVELTY: 0.0047737, AVERAGE_POPULARITY: 0.1175731, DIVERSITY_MEAN_INTER_LIST: 0.9816175, DIVERSITY_HERFINDAHL: 0.9981444, COVERAGE_ITEM: 0.4354726, COVERAGE_ITEM_CORRECT: 0.0427257, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1995722, DIVERSITY_GINI: 0.1310277, SHANNON_ENTROPY: 11.2597753, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.01461548143138425, 'l1_ratio': 0.654921311306595} - results: ROC_AUC: 0.1736621, PRECISION: 0.0366105, PRECISION_RECALL_MIN_DEN: 0.1282133, RECALL: 0.1242216, MAP: 0.0599761, MRR: 0.1287126, NDCG: 0.0904209, F1: 0.0565515, HIT_RATE: 0.3661054, ARHR: 0.1484721, NOVELTY: 0.0047707, AVERAGE_POPULARITY: 0.1209023, DIVERSITY_MEAN_INTER_LIST: 0.9804012, DIVERSITY_HERFINDAHL: 0.9980228, COVERAGE_ITEM: 0.4459211, COVERAGE_ITEM_CORRECT: 0.0403234, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1933308, DIVERSITY_GINI: 0.1340397, SHANNON_ENTROPY: 11.2301639, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.7960346827016632, 'l1_ratio': 0.16726185155290532} - results: ROC_AUC: 0.1773152, PRECISION: 0.0375160, PRECISION_RECALL_MIN_DEN: 0.1316436, RECALL: 0.1275478, MAP: 0.0617635, MRR: 0.1318397, NDCG: 0.0928894, F1: 0.0579758, HIT_RATE: 0.3751597, ARHR: 0.1521938, NOVELTY: 0.0047650, AVERAGE_POPULARITY: 0.1139896, DIVERSITY_MEAN_INTER_LIST: 0.9835594, DIVERSITY_HERFINDAHL: 0.9983386, COVERAGE_ITEM: 0.4156843, COVERAGE_ITEM_CORRECT: 0.0420866, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1975337, DIVERSITY_GINI: 0.1212380, SHANNON_ENTROPY: 11.2371214, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.8160544345681601, 'l1_ratio': 0.7535003394117424} - results: ROC_AUC: 0.1895101, PRECISION: 0.0406925, PRECISION_RECALL_MIN_DEN: 0.1440766, RECALL: 0.1397330, MAP: 0.0680202, MRR: 0.1419168, NDCG: 0.1016457, F1: 0.0630289, HIT_RATE: 0.4069246, ARHR: 0.1646159, NOVELTY: 0.0047962, AVERAGE_POPULARITY: 0.1083423, DIVERSITY_MEAN_INTER_LIST: 0.9847067, DIVERSITY_HERFINDAHL: 0.9984533, COVERAGE_ITEM: 0.4357113, COVERAGE_ITEM_CORRECT: 0.0489240, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2109475, DIVERSITY_GINI: 0.1341704, SHANNON_ENTROPY: 11.4021856, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.5964050030805949, 'l1_ratio': 0.8605040558515882} - results: ROC_AUC: 0.1854783, PRECISION: 0.0397378, PRECISION_RECALL_MIN_DEN: 0.1406373, RECALL: 0.1363655, MAP: 0.0660783, MRR: 0.1386093, NDCG: 0.0989983, F1: 0.0615406, HIT_RATE: 0.3973777, ARHR: 0.1604642, NOVELTY: 0.0047869, AVERAGE_POPULARITY: 0.1123939, DIVERSITY_MEAN_INTER_LIST: 0.9833693, DIVERSITY_HERFINDAHL: 0.9983196, COVERAGE_ITEM: 0.4339865, COVERAGE_ITEM_CORRECT: 0.0468219, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2072984, DIVERSITY_GINI: 0.1322065, SHANNON_ENTROPY: 11.3358985, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.25776981453773823, 'l1_ratio': 0.7655165658025571} - results: ROC_AUC: 0.1778711, PRECISION: 0.0376567, PRECISION_RECALL_MIN_DEN: 0.1326010, RECALL: 0.1285255, MAP: 0.0620996, MRR: 0.1324160, NDCG: 0.0934329, F1: 0.0582461, HIT_RATE: 0.3765668, ARHR: 0.1527652, NOVELTY: 0.0047706, AVERAGE_POPULARITY: 0.1183421, DIVERSITY_MEAN_INTER_LIST: 0.9814031, DIVERSITY_HERFINDAHL: 0.9981230, COVERAGE_ITEM: 0.4354187, COVERAGE_ITEM_CORRECT: 0.0421482, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1986662, DIVERSITY_GINI: 0.1304719, SHANNON_ENTROPY: 11.2447623, 
