
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1815457, PRECISION: 0.0389899, PRECISION_RECALL_MIN_DEN: 0.1359745, RECALL: 0.1316194, MAP: 0.0637176, MRR: 0.1356241, NDCG: 0.0957384, F1: 0.0601575, HIT_RATE: 0.3898994, ARHR: 0.1569816, NOVELTY: 0.0047994, AVERAGE_POPULARITY: 0.1047027, DIVERSITY_MEAN_INTER_LIST: 0.9872447, DIVERSITY_HERFINDAHL: 0.9987070, COVERAGE_ITEM: 0.4189259, COVERAGE_ITEM_CORRECT: 0.0462830, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035233, DIVERSITY_GINI: 0.1293675, SHANNON_ENTROPY: 11.4828351, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1714767, PRECISION: 0.0362756, PRECISION_RECALL_MIN_DEN: 0.1266208, RECALL: 0.1226498, MAP: 0.0595721, MRR: 0.1277747, NDCG: 0.0895869, F1: 0.0559875, HIT_RATE: 0.3627562, ARHR: 0.1472441, NOVELTY: 0.0047617, AVERAGE_POPULARITY: 0.1114346, DIVERSITY_MEAN_INTER_LIST: 0.9848863, DIVERSITY_HERFINDAHL: 0.9984712, COVERAGE_ITEM: 0.4020635, COVERAGE_ITEM_CORRECT: 0.0403927, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1912923, DIVERSITY_GINI: 0.1164393, SHANNON_ENTROPY: 11.2504756, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1821396, PRECISION: 0.0391138, PRECISION_RECALL_MIN_DEN: 0.1361243, RECALL: 0.1316778, MAP: 0.0638647, MRR: 0.1360395, NDCG: 0.0959125, F1: 0.0603110, HIT_RATE: 0.3911380, ARHR: 0.1575379, NOVELTY: 0.0048072, AVERAGE_POPULARITY: 0.1030796, DIVERSITY_MEAN_INTER_LIST: 0.9877740, DIVERSITY_HERFINDAHL: 0.9987599, COVERAGE_ITEM: 0.4225063, COVERAGE_ITEM_CORRECT: 0.0469605, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040267, DIVERSITY_GINI: 0.1321996, SHANNON_ENTROPY: 11.5344075, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1814383, PRECISION: 0.0389904, PRECISION_RECALL_MIN_DEN: 0.1356412, RECALL: 0.1311847, MAP: 0.0636892, MRR: 0.1356498, NDCG: 0.0955970, F1: 0.0601127, HIT_RATE: 0.3899042, ARHR: 0.1570822, NOVELTY: 0.0048057, AVERAGE_POPULARITY: 0.1033909, DIVERSITY_MEAN_INTER_LIST: 0.9877098, DIVERSITY_HERFINDAHL: 0.9987535, COVERAGE_ITEM: 0.4211434, COVERAGE_ITEM_CORRECT: 0.0467603, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032213, DIVERSITY_GINI: 0.1315040, SHANNON_ENTROPY: 11.5267145, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1830858, PRECISION: 0.0393115, PRECISION_RECALL_MIN_DEN: 0.1370544, RECALL: 0.1326535, MAP: 0.0644127, MRR: 0.1369340, NDCG: 0.0966583, F1: 0.0606488, HIT_RATE: 0.3931148, ARHR: 0.1585774, NOVELTY: 0.0048054, AVERAGE_POPULARITY: 0.1035566, DIVERSITY_MEAN_INTER_LIST: 0.9875640, DIVERSITY_HERFINDAHL: 0.9987390, COVERAGE_ITEM: 0.4228527, COVERAGE_ITEM_CORRECT: 0.0471761, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2048572, DIVERSITY_GINI: 0.1318017, SHANNON_ENTROPY: 11.5177424, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1848890, PRECISION: 0.0395124, PRECISION_RECALL_MIN_DEN: 0.1382244, RECALL: 0.1339189, MAP: 0.0653632, MRR: 0.1382118, NDCG: 0.0978752, F1: 0.0610192, HIT_RATE: 0.3951243, ARHR: 0.1601827, NOVELTY: 0.0047912, AVERAGE_POPULARITY: 0.1070053, DIVERSITY_MEAN_INTER_LIST: 0.9858920, DIVERSITY_HERFINDAHL: 0.9985718, COVERAGE_ITEM: 0.4218441, COVERAGE_ITEM_CORRECT: 0.0466833, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2052095, DIVERSITY_GINI: 0.1276928, SHANNON_ENTROPY: 11.3922464, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1821958, PRECISION: 0.0391563, PRECISION_RECALL_MIN_DEN: 0.1365180, RECALL: 0.1321608, MAP: 0.0639778, MRR: 0.1361756, NDCG: 0.0961428, F1: 0.0604126, HIT_RATE: 0.3915633, ARHR: 0.1576872, NOVELTY: 0.0048008, AVERAGE_POPULARITY: 0.1044635, DIVERSITY_MEAN_INTER_LIST: 0.9872854, DIVERSITY_HERFINDAHL: 0.9987111, COVERAGE_ITEM: 0.4203965, COVERAGE_ITEM_CORRECT: 0.0466064, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2042532, DIVERSITY_GINI: 0.1300720, SHANNON_ENTROPY: 11.4896115, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1816740, PRECISION: 0.0390361, PRECISION_RECALL_MIN_DEN: 0.1357217, RECALL: 0.1312631, MAP: 0.0636902, MRR: 0.1356941, NDCG: 0.0956416, F1: 0.0601752, HIT_RATE: 0.3903613, ARHR: 0.1571764, NOVELTY: 0.0048068, AVERAGE_POPULARITY: 0.1031158, DIVERSITY_MEAN_INTER_LIST: 0.9877885, DIVERSITY_HERFINDAHL: 0.9987614, COVERAGE_ITEM: 0.4218056, COVERAGE_ITEM_CORRECT: 0.0469374, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2034730, DIVERSITY_GINI: 0.1319360, SHANNON_ENTROPY: 11.5339917, 
