
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3470754812599805, 'l1_ratio': 0.8689634973821764} - results: ROC_AUC: 0.1691176, PRECISION: 0.0356567, PRECISION_RECALL_MIN_DEN: 0.1249392, RECALL: 0.1210959, MAP: 0.0586207, MRR: 0.1253050, NDCG: 0.0882847, F1: 0.0550873, HIT_RATE: 0.3565670, ARHR: 0.1442367, NOVELTY: 0.0048165, AVERAGE_POPULARITY: 0.1171368, DIVERSITY_MEAN_INTER_LIST: 0.9819250, DIVERSITY_HERFINDAHL: 0.9981752, COVERAGE_ITEM: 0.4437498, COVERAGE_ITEM_CORRECT: 0.0391222, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1890273, DIVERSITY_GINI: 0.1434240, SHANNON_ENTROPY: 11.4257237, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.4327226397810895, 'l1_ratio': 0.4771850938812353} - results: ROC_AUC: 0.1693565, PRECISION: 0.0354413, PRECISION_RECALL_MIN_DEN: 0.1240119, RECALL: 0.1202071, MAP: 0.0584970, MRR: 0.1254173, NDCG: 0.0880007, F1: 0.0547386, HIT_RATE: 0.3544128, ARHR: 0.1442766, NOVELTY: 0.0048063, AVERAGE_POPULARITY: 0.1180326, DIVERSITY_MEAN_INTER_LIST: 0.9817483, DIVERSITY_HERFINDAHL: 0.9981575, COVERAGE_ITEM: 0.4395688, COVERAGE_ITEM_CORRECT: 0.0385756, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1880458, DIVERSITY_GINI: 0.1398546, SHANNON_ENTROPY: 11.3835132, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.34398766583502777, 'l1_ratio': 0.31677884294843756} - results: ROC_AUC: 0.1655691, PRECISION: 0.0346888, PRECISION_RECALL_MIN_DEN: 0.1215656, RECALL: 0.1178491, MAP: 0.0570510, MRR: 0.1225468, NDCG: 0.0860072, F1: 0.0535967, HIT_RATE: 0.3468875, ARHR: 0.1408736, NOVELTY: 0.0048103, AVERAGE_POPULARITY: 0.1186119, DIVERSITY_MEAN_INTER_LIST: 0.9814787, DIVERSITY_HERFINDAHL: 0.9981305, COVERAGE_ITEM: 0.4394379, COVERAGE_ITEM_CORRECT: 0.0371973, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1843715, DIVERSITY_GINI: 0.1405950, SHANNON_ENTROPY: 11.3886322, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.683827549674286, 'l1_ratio': 0.7022712298575804} - results: ROC_AUC: 0.1812195, PRECISION: 0.0386293, PRECISION_RECALL_MIN_DEN: 0.1358066, RECALL: 0.1317192, MAP: 0.0639642, MRR: 0.1352216, NDCG: 0.0959807, F1: 0.0597364, HIT_RATE: 0.3862928, ARHR: 0.1563641, NOVELTY: 0.0047956, AVERAGE_POPULARITY: 0.1148692, DIVERSITY_MEAN_INTER_LIST: 0.9828903, DIVERSITY_HERFINDAHL: 0.9982717, COVERAGE_ITEM: 0.4407469, COVERAGE_ITEM_CORRECT: 0.0445120, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2029193, DIVERSITY_GINI: 0.1383367, SHANNON_ENTROPY: 11.3874916, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.715956790124757, 'l1_ratio': 0.6609881604702522} - results: ROC_AUC: 0.1819043, PRECISION: 0.0388623, PRECISION_RECALL_MIN_DEN: 0.1363627, RECALL: 0.1322306, MAP: 0.0643305, MRR: 0.1357977, NDCG: 0.0964564, F1: 0.0600680, HIT_RATE: 0.3886235, ARHR: 0.1570544, NOVELTY: 0.0047929, AVERAGE_POPULARITY: 0.1146493, DIVERSITY_MEAN_INTER_LIST: 0.9829895, DIVERSITY_HERFINDAHL: 0.9982816, COVERAGE_ITEM: 0.4396073, COVERAGE_ITEM_CORRECT: 0.0448739, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2038253, DIVERSITY_GINI: 0.1372177, SHANNON_ENTROPY: 11.3781813, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.14567557851136861, 'l1_ratio': 0.2558750561546959} - results: ROC_AUC: 0.1611461, PRECISION: 0.0337559, PRECISION_RECALL_MIN_DEN: 0.1182826, RECALL: 0.1146480, MAP: 0.0554203, MRR: 0.1194552, NDCG: 0.0836420, F1: 0.0521510, HIT_RATE: 0.3375585, ARHR: 0.1369864, NOVELTY: 0.0048240, AVERAGE_POPULARITY: 0.1183977, DIVERSITY_MEAN_INTER_LIST: 0.9813693, DIVERSITY_HERFINDAHL: 0.9981196, COVERAGE_ITEM: 0.4429259, COVERAGE_ITEM_CORRECT: 0.0358961, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1799924, DIVERSITY_GINI: 0.1441768, SHANNON_ENTROPY: 11.4287351, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.9863847705892288, 'l1_ratio': 0.9381597005049093} - results: ROC_AUC: 0.1942396, PRECISION: 0.0419186, PRECISION_RECALL_MIN_DEN: 0.1497607, RECALL: 0.1453705, MAP: 0.0700839, MRR: 0.1448771, NDCG: 0.1048893, F1: 0.0650719, HIT_RATE: 0.4191861, ARHR: 0.1683268, NOVELTY: 0.0048215, AVERAGE_POPULARITY: 0.1005511, DIVERSITY_MEAN_INTER_LIST: 0.9866499, DIVERSITY_HERFINDAHL: 0.9986476, COVERAGE_ITEM: 0.4576631, COVERAGE_ITEM_CORRECT: 0.0523580, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2168617, DIVERSITY_GINI: 0.1488667, SHANNON_ENTROPY: 11.5995414, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.8189660877065434, 'l1_ratio': 0.246442448117227} - results: ROC_AUC: 0.1779324, PRECISION: 0.0377597, PRECISION_RECALL_MIN_DEN: 0.1320107, RECALL: 0.1279222, MAP: 0.0625243, MRR: 0.1331988, NDCG: 0.0937057, F1: 0.0583052, HIT_RATE: 0.3775971, ARHR: 0.1536815, NOVELTY: 0.0047711, AVERAGE_POPULARITY: 0.1161836, DIVERSITY_MEAN_INTER_LIST: 0.9828809, DIVERSITY_HERFINDAHL: 0.9982707, COVERAGE_ITEM: 0.4233840, COVERAGE_ITEM_CORRECT: 0.0423638, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1986913, DIVERSITY_GINI: 0.1267912, SHANNON_ENTROPY: 11.2756056, 
