
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.18028000050677875, 'l1_ratio': 0.8193199373961375} - results: ROC_AUC: 0.1813307, PRECISION: 0.0390328, PRECISION_RECALL_MIN_DEN: 0.1361831, RECALL: 0.1317906, MAP: 0.0636968, MRR: 0.1358360, NDCG: 0.0957825, F1: 0.0602269, HIT_RATE: 0.3903279, ARHR: 0.1570844, NOVELTY: 0.0048023, AVERAGE_POPULARITY: 0.1047157, DIVERSITY_MEAN_INTER_LIST: 0.9872668, DIVERSITY_HERFINDAHL: 0.9987092, COVERAGE_ITEM: 0.4215207, COVERAGE_ITEM_CORRECT: 0.0463215, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2040015, DIVERSITY_GINI: 0.1308502, SHANNON_ENTROPY: 11.4999446, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.08872356945557748, 'l1_ratio': 0.9131524373038246} - results: ROC_AUC: 0.1816850, PRECISION: 0.0389549, PRECISION_RECALL_MIN_DEN: 0.1358043, RECALL: 0.1313936, MAP: 0.0637799, MRR: 0.1358595, NDCG: 0.0957364, F1: 0.0600926, HIT_RATE: 0.3895489, ARHR: 0.1571761, NOVELTY: 0.0048051, AVERAGE_POPULARITY: 0.1037671, DIVERSITY_MEAN_INTER_LIST: 0.9875778, DIVERSITY_HERFINDAHL: 0.9987403, COVERAGE_ITEM: 0.4215053, COVERAGE_ITEM_CORRECT: 0.0465525, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033975, DIVERSITY_GINI: 0.1313730, SHANNON_ENTROPY: 11.5191960, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.19024965623474815, 'l1_ratio': 0.16158166863709636} - results: ROC_AUC: 0.1817814, PRECISION: 0.0389687, PRECISION_RECALL_MIN_DEN: 0.1361022, RECALL: 0.1317581, MAP: 0.0638277, MRR: 0.1359075, NDCG: 0.0958793, F1: 0.0601476, HIT_RATE: 0.3896875, ARHR: 0.1571673, NOVELTY: 0.0047983, AVERAGE_POPULARITY: 0.1063347, DIVERSITY_MEAN_INTER_LIST: 0.9868002, DIVERSITY_HERFINDAHL: 0.9986626, COVERAGE_ITEM: 0.4243542, COVERAGE_ITEM_CORRECT: 0.0461136, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035485, DIVERSITY_GINI: 0.1315566, SHANNON_ENTROPY: 11.4868242, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.39060444143234796, 'l1_ratio': 0.710350697446395} - results: ROC_AUC: 0.1810764, PRECISION: 0.0388238, PRECISION_RECALL_MIN_DEN: 0.1354354, RECALL: 0.1311159, MAP: 0.0635230, MRR: 0.1355203, NDCG: 0.0954722, F1: 0.0599076, HIT_RATE: 0.3882384, ARHR: 0.1566995, NOVELTY: 0.0047967, AVERAGE_POPULARITY: 0.1073997, DIVERSITY_MEAN_INTER_LIST: 0.9863167, DIVERSITY_HERFINDAHL: 0.9986142, COVERAGE_ITEM: 0.4241001, COVERAGE_ITEM_CORRECT: 0.0450356, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2027683, DIVERSITY_GINI: 0.1309071, SHANNON_ENTROPY: 11.4574708, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8057048796726889, 'l1_ratio': 0.45382797658433394} - results: ROC_AUC: 0.1750661, PRECISION: 0.0369894, PRECISION_RECALL_MIN_DEN: 0.1284469, RECALL: 0.1244118, MAP: 0.0608179, MRR: 0.1304099, NDCG: 0.0913348, F1: 0.0570222, HIT_RATE: 0.3698941, ARHR: 0.1505078, NOVELTY: 0.0048073, AVERAGE_POPULARITY: 0.1132647, DIVERSITY_MEAN_INTER_LIST: 0.9837641, DIVERSITY_HERFINDAHL: 0.9983590, COVERAGE_ITEM: 0.4388604, COVERAGE_ITEM_CORRECT: 0.0412243, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1945137, DIVERSITY_GINI: 0.1388365, SHANNON_ENTROPY: 11.4285118, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.34954961088247355, 'l1_ratio': 0.9323465964081014} - results: ROC_AUC: 0.1807447, PRECISION: 0.0388665, PRECISION_RECALL_MIN_DEN: 0.1355665, RECALL: 0.1312146, MAP: 0.0635128, MRR: 0.1353940, NDCG: 0.0954525, F1: 0.0599689, HIT_RATE: 0.3886654, ARHR: 0.1566920, NOVELTY: 0.0047988, AVERAGE_POPULARITY: 0.1059933, DIVERSITY_MEAN_INTER_LIST: 0.9867739, DIVERSITY_HERFINDAHL: 0.9986599, COVERAGE_ITEM: 0.4220443, COVERAGE_ITEM_CORRECT: 0.0454668, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026173, DIVERSITY_GINI: 0.1303362, SHANNON_ENTROPY: 11.4710397, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9088007355009297, 'l1_ratio': 0.12652191825702855} - results: ROC_AUC: 0.1663425, PRECISION: 0.0350565, PRECISION_RECALL_MIN_DEN: 0.1211605, RECALL: 0.1173307, MAP: 0.0572073, MRR: 0.1232036, NDCG: 0.0861401, F1: 0.0539810, HIT_RATE: 0.3505647, ARHR: 0.1418973, NOVELTY: 0.0048330, AVERAGE_POPULARITY: 0.1145073, DIVERSITY_MEAN_INTER_LIST: 0.9829796, DIVERSITY_HERFINDAHL: 0.9982806, COVERAGE_ITEM: 0.4440962, COVERAGE_ITEM_CORRECT: 0.0381367, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1852775, DIVERSITY_GINI: 0.1453618, SHANNON_ENTROPY: 11.4822189, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6153547488390501, 'l1_ratio': 0.6597631006022507} - results: ROC_AUC: 0.1795842, PRECISION: 0.0381907, PRECISION_RECALL_MIN_DEN: 0.1328586, RECALL: 0.1286543, MAP: 0.0627275, MRR: 0.1342477, NDCG: 0.0941862, F1: 0.0588963, HIT_RATE: 0.3819073, ARHR: 0.1550262, NOVELTY: 0.0047958, AVERAGE_POPULARITY: 0.1103607, DIVERSITY_MEAN_INTER_LIST: 0.9851200, DIVERSITY_HERFINDAHL: 0.9984946, COVERAGE_ITEM: 0.4302291, COVERAGE_ITEM_CORRECT: 0.0433956, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2001007, DIVERSITY_GINI: 0.1330526, SHANNON_ENTROPY: 11.4235938, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.3815829147899019, 'l1_ratio': 0.97960488643572} - results: ROC_AUC: 0.1806272, PRECISION: 0.0388027, PRECISION_RECALL_MIN_DEN: 0.1353078, RECALL: 0.1309663, MAP: 0.0634461, MRR: 0.1353785, NDCG: 0.0953381, F1: 0.0598670, HIT_RATE: 0.3880267, ARHR: 0.1566871, NOVELTY: 0.0047988, AVERAGE_POPULARITY: 0.1061077, DIVERSITY_MEAN_INTER_LIST: 0.9867117, DIVERSITY_HERFINDAHL: 0.9986537, COVERAGE_ITEM: 0.4219750, COVERAGE_ITEM_CORRECT: 0.0453128, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2022398, DIVERSITY_GINI: 0.1301883, SHANNON_ENTROPY: 11.4663293, 
