
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.18028000050677875, 'l1_ratio': 0.8193199373961375} - results: ROC_AUC: 0.1811790, PRECISION: 0.0389302, PRECISION_RECALL_MIN_DEN: 0.1356711, RECALL: 0.1312893, MAP: 0.0636319, MRR: 0.1355696, NDCG: 0.0955907, F1: 0.0600525, HIT_RATE: 0.3893020, ARHR: 0.1567676, NOVELTY: 0.0048025, AVERAGE_POPULARITY: 0.1046943, DIVERSITY_MEAN_INTER_LIST: 0.9872827, DIVERSITY_HERFINDAHL: 0.9987108, COVERAGE_ITEM: 0.4213821, COVERAGE_ITEM_CORRECT: 0.0462599, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2034730, DIVERSITY_GINI: 0.1308200, SHANNON_ENTROPY: 11.4998627, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.08872356945557748, 'l1_ratio': 0.9131524373038246} - results: ROC_AUC: 0.1814805, PRECISION: 0.0389299, PRECISION_RECALL_MIN_DEN: 0.1356607, RECALL: 0.1312466, MAP: 0.0637013, MRR: 0.1356735, NDCG: 0.0956220, F1: 0.0600476, HIT_RATE: 0.3892986, ARHR: 0.1569851, NOVELTY: 0.0048047, AVERAGE_POPULARITY: 0.1038687, DIVERSITY_MEAN_INTER_LIST: 0.9875547, DIVERSITY_HERFINDAHL: 0.9987380, COVERAGE_ITEM: 0.4217055, COVERAGE_ITEM_CORRECT: 0.0465371, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032465, DIVERSITY_GINI: 0.1314457, SHANNON_ENTROPY: 11.5185788, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.19024965623474815, 'l1_ratio': 0.16158166863709636} - results: ROC_AUC: 0.1811905, PRECISION: 0.0390221, PRECISION_RECALL_MIN_DEN: 0.1362574, RECALL: 0.1318678, MAP: 0.0636453, MRR: 0.1355546, NDCG: 0.0957293, F1: 0.0602224, HIT_RATE: 0.3902207, ARHR: 0.1568167, NOVELTY: 0.0048030, AVERAGE_POPULARITY: 0.1044736, DIVERSITY_MEAN_INTER_LIST: 0.9873287, DIVERSITY_HERFINDAHL: 0.9987154, COVERAGE_ITEM: 0.4211973, COVERAGE_ITEM_CORRECT: 0.0464062, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2038253, DIVERSITY_GINI: 0.1307771, SHANNON_ENTROPY: 11.5013891, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.39060444143234796, 'l1_ratio': 0.710350697446395} - results: ROC_AUC: 0.1803132, PRECISION: 0.0387749, PRECISION_RECALL_MIN_DEN: 0.1354565, RECALL: 0.1311218, MAP: 0.0634070, MRR: 0.1350921, NDCG: 0.0953173, F1: 0.0598504, HIT_RATE: 0.3877494, ARHR: 0.1562115, NOVELTY: 0.0047959, AVERAGE_POPULARITY: 0.1069744, DIVERSITY_MEAN_INTER_LIST: 0.9864716, DIVERSITY_HERFINDAHL: 0.9986297, COVERAGE_ITEM: 0.4224986, COVERAGE_ITEM_CORRECT: 0.0452743, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025167, DIVERSITY_GINI: 0.1298535, SHANNON_ENTROPY: 11.4523506, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8057048796726889, 'l1_ratio': 0.45382797658433394} - results: ROC_AUC: 0.1783264, PRECISION: 0.0377941, PRECISION_RECALL_MIN_DEN: 0.1317087, RECALL: 0.1275639, MAP: 0.0620351, MRR: 0.1330595, NDCG: 0.0932691, F1: 0.0583100, HIT_RATE: 0.3779405, ARHR: 0.1535321, NOVELTY: 0.0047917, AVERAGE_POPULARITY: 0.1120363, DIVERSITY_MEAN_INTER_LIST: 0.9842018, DIVERSITY_HERFINDAHL: 0.9984028, COVERAGE_ITEM: 0.4354495, COVERAGE_ITEM_CORRECT: 0.0426256, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1989682, DIVERSITY_GINI: 0.1332751, SHANNON_ENTROPY: 11.3753388, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.34954961088247355, 'l1_ratio': 0.9323465964081014} - results: ROC_AUC: 0.1801673, PRECISION: 0.0387962, PRECISION_RECALL_MIN_DEN: 0.1355347, RECALL: 0.1312020, MAP: 0.0632913, MRR: 0.1348408, NDCG: 0.0952428, F1: 0.0598840, HIT_RATE: 0.3879615, ARHR: 0.1559331, NOVELTY: 0.0047958, AVERAGE_POPULARITY: 0.1068052, DIVERSITY_MEAN_INTER_LIST: 0.9865752, DIVERSITY_HERFINDAHL: 0.9986401, COVERAGE_ITEM: 0.4221059, COVERAGE_ITEM_CORRECT: 0.0455207, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025922, DIVERSITY_GINI: 0.1298200, SHANNON_ENTROPY: 11.4574931, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9088007355009297, 'l1_ratio': 0.12652191825702855} - results: ROC_AUC: 0.1777257, PRECISION: 0.0376105, PRECISION_RECALL_MIN_DEN: 0.1309951, RECALL: 0.1268787, MAP: 0.0615890, MRR: 0.1322235, NDCG: 0.0926778, F1: 0.0580200, HIT_RATE: 0.3761054, ARHR: 0.1526900, NOVELTY: 0.0047976, AVERAGE_POPULARITY: 0.1121746, DIVERSITY_MEAN_INTER_LIST: 0.9839052, DIVERSITY_HERFINDAHL: 0.9983731, COVERAGE_ITEM: 0.4393994, COVERAGE_ITEM_CORRECT: 0.0422791, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1977602, DIVERSITY_GINI: 0.1358829, SHANNON_ENTROPY: 11.3871244, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6153547488390501, 'l1_ratio': 0.6597631006022507} - results: ROC_AUC: 0.1793823, PRECISION: 0.0382680, PRECISION_RECALL_MIN_DEN: 0.1336300, RECALL: 0.1293943, MAP: 0.0627722, MRR: 0.1339885, NDCG: 0.0943141, F1: 0.0590657, HIT_RATE: 0.3826799, ARHR: 0.1548089, NOVELTY: 0.0047906, AVERAGE_POPULARITY: 0.1099251, DIVERSITY_MEAN_INTER_LIST: 0.9852909, DIVERSITY_HERFINDAHL: 0.9985117, COVERAGE_ITEM: 0.4266487, COVERAGE_ITEM_CORRECT: 0.0438191, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2004530, DIVERSITY_GINI: 0.1302718, SHANNON_ENTROPY: 11.4009950, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.3815829147899019, 'l1_ratio': 0.97960488643572} - results: ROC_AUC: 0.1801094, PRECISION: 0.0386971, PRECISION_RECALL_MIN_DEN: 0.1352144, RECALL: 0.1309043, MAP: 0.0632799, MRR: 0.1347204, NDCG: 0.0951421, F1: 0.0597349, HIT_RATE: 0.3869709, ARHR: 0.1557876, NOVELTY: 0.0047946, AVERAGE_POPULARITY: 0.1073007, DIVERSITY_MEAN_INTER_LIST: 0.9864017, DIVERSITY_HERFINDAHL: 0.9986227, COVERAGE_ITEM: 0.4222753, COVERAGE_ITEM_CORRECT: 0.0452281, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2022398, DIVERSITY_GINI: 0.1296691, SHANNON_ENTROPY: 11.4480256, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.4355917404713884, 'l1_ratio': 0.6960113177643715} - results: ROC_AUC: 0.1799208, PRECISION: 0.0386828, PRECISION_RECALL_MIN_DEN: 0.1351866, RECALL: 0.1308772, MAP: 0.0631384, MRR: 0.1346614, NDCG: 0.0950206, F1: 0.0597151, HIT_RATE: 0.3868282, ARHR: 0.1557683, NOVELTY: 0.0047948, AVERAGE_POPULARITY: 0.1075670, DIVERSITY_MEAN_INTER_LIST: 0.9862527, DIVERSITY_HERFINDAHL: 0.9986078, COVERAGE_ITEM: 0.4232069, COVERAGE_ITEM_CORRECT: 0.0449971, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020888, DIVERSITY_GINI: 0.1299098, SHANNON_ENTROPY: 11.4423289, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.3220112808002052, 'l1_ratio': 0.810242588788638} - results: ROC_AUC: 0.1804119, PRECISION: 0.0388173, PRECISION_RECALL_MIN_DEN: 0.1357471, RECALL: 0.1314156, MAP: 0.0634055, MRR: 0.1350288, NDCG: 0.0953739, F1: 0.0599311, HIT_RATE: 0.3881730, ARHR: 0.1561401, NOVELTY: 0.0047975, AVERAGE_POPULARITY: 0.1063134, DIVERSITY_MEAN_INTER_LIST: 0.9867326, DIVERSITY_HERFINDAHL: 0.9986558, COVERAGE_ITEM: 0.4219596, COVERAGE_ITEM_CORRECT: 0.0456054, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2027935, DIVERSITY_GINI: 0.1300142, SHANNON_ENTROPY: 11.4664071, 

SearchBayesianSkopt-CV: New best config found. Config 11: {'alpha': 0.10463256401739832, 'l1_ratio': 0.5100890005887451} - results: ROC_AUC: 0.1814779, PRECISION: 0.0389442, PRECISION_RECALL_MIN_DEN: 0.1357187, RECALL: 0.1312978, MAP: 0.0637517, MRR: 0.1358213, NDCG: 0.0956822, F1: 0.0600699, HIT_RATE: 0.3894423, ARHR: 0.1571260, NOVELTY: 0.0048046, AVERAGE_POPULARITY: 0.1039029, DIVERSITY_MEAN_INTER_LIST: 0.9875354, DIVERSITY_HERFINDAHL: 0.9987361, COVERAGE_ITEM: 0.4215592, COVERAGE_ITEM_CORRECT: 0.0465217, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032968, DIVERSITY_GINI: 0.1313167, SHANNON_ENTROPY: 11.5163804, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.33626438728146074, 'l1_ratio': 0.4983171965048039} - results: ROC_AUC: 0.1807451, PRECISION: 0.0388278, PRECISION_RECALL_MIN_DEN: 0.1356612, RECALL: 0.1313118, MAP: 0.0635003, MRR: 0.1352571, NDCG: 0.0954330, F1: 0.0599329, HIT_RATE: 0.3882781, ARHR: 0.1564565, NOVELTY: 0.0047982, AVERAGE_POPULARITY: 0.1060979, DIVERSITY_MEAN_INTER_LIST: 0.9867716, DIVERSITY_HERFINDAHL: 0.9986597, COVERAGE_ITEM: 0.4218980, COVERAGE_ITEM_CORRECT: 0.0455823, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026173, DIVERSITY_GINI: 0.1300711, SHANNON_ENTROPY: 11.4681228, 
