
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.18028000050677875, 'l1_ratio': 0.8193199373961375} - results: ROC_AUC: 0.1603222, PRECISION: 0.0336888, PRECISION_RECALL_MIN_DEN: 0.1148677, RECALL: 0.1111001, MAP: 0.0542996, MRR: 0.1185455, NDCG: 0.0819841, F1: 0.0516973, HIT_RATE: 0.3368883, ARHR: 0.1364605, NOVELTY: 0.0048565, AVERAGE_POPULARITY: 0.1153501, DIVERSITY_MEAN_INTER_LIST: 0.9823525, DIVERSITY_HERFINDAHL: 0.9982179, COVERAGE_ITEM: 0.4487315, COVERAGE_ITEM_CORRECT: 0.0358961, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1779036, DIVERSITY_GINI: 0.1476683, SHANNON_ENTROPY: 11.4851887, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.08872356945557748, 'l1_ratio': 0.9131524373038246} - results: ROC_AUC: 0.1582731, PRECISION: 0.0333106, PRECISION_RECALL_MIN_DEN: 0.1134039, RECALL: 0.1096587, MAP: 0.0535276, MRR: 0.1169348, NDCG: 0.0808769, F1: 0.0510958, HIT_RATE: 0.3331064, ARHR: 0.1346479, NOVELTY: 0.0048637, AVERAGE_POPULARITY: 0.1148689, DIVERSITY_MEAN_INTER_LIST: 0.9824868, DIVERSITY_HERFINDAHL: 0.9982313, COVERAGE_ITEM: 0.4491165, COVERAGE_ITEM_CORRECT: 0.0354418, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1757644, DIVERSITY_GINI: 0.1488330, SHANNON_ENTROPY: 11.5061073, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.19024965623474815, 'l1_ratio': 0.16158166863709636} - results: ROC_AUC: 0.1612023, PRECISION: 0.0338688, PRECISION_RECALL_MIN_DEN: 0.1153276, RECALL: 0.1115287, MAP: 0.0545380, MRR: 0.1191755, NDCG: 0.0823491, F1: 0.0519565, HIT_RATE: 0.3386878, ARHR: 0.1372714, NOVELTY: 0.0048580, AVERAGE_POPULARITY: 0.1144974, DIVERSITY_MEAN_INTER_LIST: 0.9826541, DIVERSITY_HERFINDAHL: 0.9982480, COVERAGE_ITEM: 0.4490241, COVERAGE_ITEM_CORRECT: 0.0361809, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1786838, DIVERSITY_GINI: 0.1479354, SHANNON_ENTROPY: 11.4943050, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.39060444143234796, 'l1_ratio': 0.710350697446395} - results: ROC_AUC: 0.1645812, PRECISION: 0.0346919, PRECISION_RECALL_MIN_DEN: 0.1186596, RECALL: 0.1148282, MAP: 0.0558644, MRR: 0.1216482, NDCG: 0.0844358, F1: 0.0532835, HIT_RATE: 0.3469190, ARHR: 0.1402539, NOVELTY: 0.0048384, AVERAGE_POPULARITY: 0.1164345, DIVERSITY_MEAN_INTER_LIST: 0.9820283, DIVERSITY_HERFINDAHL: 0.9981855, COVERAGE_ITEM: 0.4472223, COVERAGE_ITEM_CORRECT: 0.0371665, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1830628, DIVERSITY_GINI: 0.1445294, SHANNON_ENTROPY: 11.4321095, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.8057048796726889, 'l1_ratio': 0.45382797658433394} - results: ROC_AUC: 0.1713753, PRECISION: 0.0361655, PRECISION_RECALL_MIN_DEN: 0.1242083, RECALL: 0.1202201, MAP: 0.0583501, MRR: 0.1272104, NDCG: 0.0882106, F1: 0.0556030, HIT_RATE: 0.3616553, ARHR: 0.1468098, NOVELTY: 0.0048092, AVERAGE_POPULARITY: 0.1163344, DIVERSITY_MEAN_INTER_LIST: 0.9821142, DIVERSITY_HERFINDAHL: 0.9981941, COVERAGE_ITEM: 0.4425255, COVERAGE_ITEM_CORRECT: 0.0395534, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1899836, DIVERSITY_GINI: 0.1373900, SHANNON_ENTROPY: 11.3442751, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.34954961088247355, 'l1_ratio': 0.9323465964081014} - results: ROC_AUC: 0.1635788, PRECISION: 0.0343991, PRECISION_RECALL_MIN_DEN: 0.1174178, RECALL: 0.1136226, MAP: 0.0553979, MRR: 0.1206647, NDCG: 0.0837008, F1: 0.0528078, HIT_RATE: 0.3439908, ARHR: 0.1390943, NOVELTY: 0.0048404, AVERAGE_POPULARITY: 0.1167860, DIVERSITY_MEAN_INTER_LIST: 0.9818895, DIVERSITY_HERFINDAHL: 0.9981716, COVERAGE_ITEM: 0.4468296, COVERAGE_ITEM_CORRECT: 0.0368046, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1815276, DIVERSITY_GINI: 0.1447386, SHANNON_ENTROPY: 11.4335390, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.9088007355009297, 'l1_ratio': 0.12652191825702855} - results: ROC_AUC: 0.1724818, PRECISION: 0.0366492, PRECISION_RECALL_MIN_DEN: 0.1257990, RECALL: 0.1217303, MAP: 0.0588501, MRR: 0.1280165, NDCG: 0.0890425, F1: 0.0563365, HIT_RATE: 0.3664918, ARHR: 0.1479197, NOVELTY: 0.0048134, AVERAGE_POPULARITY: 0.1140216, DIVERSITY_MEAN_INTER_LIST: 0.9829268, DIVERSITY_HERFINDAHL: 0.9982753, COVERAGE_ITEM: 0.4425024, COVERAGE_ITEM_CORRECT: 0.0404158, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1920976, DIVERSITY_GINI: 0.1374882, SHANNON_ENTROPY: 11.3699253, 
