
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.18028000050677875, 'l1_ratio': 0.8193199373961375} - results: ROC_AUC: 0.1812086, PRECISION: 0.0389337, PRECISION_RECALL_MIN_DEN: 0.1360045, RECALL: 0.1316381, MAP: 0.0637456, MRR: 0.1358627, NDCG: 0.0957599, F1: 0.0600931, HIT_RATE: 0.3893367, ARHR: 0.1570617, NOVELTY: 0.0048006, AVERAGE_POPULARITY: 0.1052002, DIVERSITY_MEAN_INTER_LIST: 0.9871445, DIVERSITY_HERFINDAHL: 0.9986970, COVERAGE_ITEM: 0.4219519, COVERAGE_ITEM_CORRECT: 0.0461829, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033472, DIVERSITY_GINI: 0.1308185, SHANNON_ENTROPY: 11.4944013, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.08872356945557748, 'l1_ratio': 0.9131524373038246} - results: ROC_AUC: 0.1814760, PRECISION: 0.0389370, PRECISION_RECALL_MIN_DEN: 0.1356825, RECALL: 0.1312686, MAP: 0.0637337, MRR: 0.1356803, NDCG: 0.0956578, F1: 0.0600585, HIT_RATE: 0.3893700, ARHR: 0.1569924, NOVELTY: 0.0048044, AVERAGE_POPULARITY: 0.1039700, DIVERSITY_MEAN_INTER_LIST: 0.9875283, DIVERSITY_HERFINDAHL: 0.9987354, COVERAGE_ITEM: 0.4217671, COVERAGE_ITEM_CORRECT: 0.0465525, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032717, DIVERSITY_GINI: 0.1314391, SHANNON_ENTROPY: 11.5175509, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.19024965623474815, 'l1_ratio': 0.16158166863709636} - results: ROC_AUC: 0.1817970, PRECISION: 0.0389405, PRECISION_RECALL_MIN_DEN: 0.1361811, RECALL: 0.1318432, MAP: 0.0638659, MRR: 0.1359476, NDCG: 0.0959198, F1: 0.0601227, HIT_RATE: 0.3894047, ARHR: 0.1571898, NOVELTY: 0.0047977, AVERAGE_POPULARITY: 0.1064619, DIVERSITY_MEAN_INTER_LIST: 0.9867676, DIVERSITY_HERFINDAHL: 0.9986593, COVERAGE_ITEM: 0.4243311, COVERAGE_ITEM_CORRECT: 0.0460443, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2035233, DIVERSITY_GINI: 0.1314883, SHANNON_ENTROPY: 11.4849077, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.39060444143234796, 'l1_ratio': 0.710350697446395} - results: ROC_AUC: 0.1807019, PRECISION: 0.0387743, PRECISION_RECALL_MIN_DEN: 0.1354302, RECALL: 0.1311315, MAP: 0.0635746, MRR: 0.1353152, NDCG: 0.0954850, F1: 0.0598503, HIT_RATE: 0.3877428, ARHR: 0.1564265, NOVELTY: 0.0047930, AVERAGE_POPULARITY: 0.1084874, DIVERSITY_MEAN_INTER_LIST: 0.9860360, DIVERSITY_HERFINDAHL: 0.9985862, COVERAGE_ITEM: 0.4251627, COVERAGE_ITEM_CORRECT: 0.0451126, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026928, DIVERSITY_GINI: 0.1306601, SHANNON_ENTROPY: 11.4429957, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8057048796726889, 'l1_ratio': 0.45382797658433394} - results: ROC_AUC: 0.1746769, PRECISION: 0.0368022, PRECISION_RECALL_MIN_DEN: 0.1283476, RECALL: 0.1244175, MAP: 0.0607510, MRR: 0.1300878, NDCG: 0.0912588, F1: 0.0568003, HIT_RATE: 0.3680220, ARHR: 0.1499749, NOVELTY: 0.0048037, AVERAGE_POPULARITY: 0.1155889, DIVERSITY_MEAN_INTER_LIST: 0.9829867, DIVERSITY_HERFINDAHL: 0.9982813, COVERAGE_ITEM: 0.4429721, COVERAGE_ITEM_CORRECT: 0.0408932, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1940858, DIVERSITY_GINI: 0.1395065, SHANNON_ENTROPY: 11.4021649, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.34954961088247355, 'l1_ratio': 0.9323465964081014} - results: ROC_AUC: 0.1805779, PRECISION: 0.0387748, PRECISION_RECALL_MIN_DEN: 0.1354860, RECALL: 0.1311573, MAP: 0.0635355, MRR: 0.1352184, NDCG: 0.0954351, F1: 0.0598539, HIT_RATE: 0.3877484, ARHR: 0.1562936, NOVELTY: 0.0047950, AVERAGE_POPULARITY: 0.1071350, DIVERSITY_MEAN_INTER_LIST: 0.9864802, DIVERSITY_HERFINDAHL: 0.9986306, COVERAGE_ITEM: 0.4226987, COVERAGE_ITEM_CORRECT: 0.0453975, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026173, DIVERSITY_GINI: 0.1299864, SHANNON_ENTROPY: 11.4554320, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9088007355009297, 'l1_ratio': 0.12652191825702855} - results: ROC_AUC: 0.1659111, PRECISION: 0.0349751, PRECISION_RECALL_MIN_DEN: 0.1207596, RECALL: 0.1169405, MAP: 0.0571098, MRR: 0.1230351, NDCG: 0.0859657, F1: 0.0538429, HIT_RATE: 0.3497508, ARHR: 0.1416508, NOVELTY: 0.0048359, AVERAGE_POPULARITY: 0.1150482, DIVERSITY_MEAN_INTER_LIST: 0.9827652, DIVERSITY_HERFINDAHL: 0.9982592, COVERAGE_ITEM: 0.4486314, COVERAGE_ITEM_CORRECT: 0.0380597, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1848496, DIVERSITY_GINI: 0.1470584, SHANNON_ENTROPY: 11.4849433, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6153547488390501, 'l1_ratio': 0.6597631006022507} - results: ROC_AUC: 0.1791339, PRECISION: 0.0381663, PRECISION_RECALL_MIN_DEN: 0.1334684, RECALL: 0.1293120, MAP: 0.0627273, MRR: 0.1338804, NDCG: 0.0942898, F1: 0.0589361, HIT_RATE: 0.3816634, ARHR: 0.1544392, NOVELTY: 0.0047889, AVERAGE_POPULARITY: 0.1124345, DIVERSITY_MEAN_INTER_LIST: 0.9845105, DIVERSITY_HERFINDAHL: 0.9984337, COVERAGE_ITEM: 0.4314687, COVERAGE_ITEM_CORRECT: 0.0433340, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2003272, DIVERSITY_GINI: 0.1324236, SHANNON_ENTROPY: 11.3923631, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.3815829147899019, 'l1_ratio': 0.97960488643572} - results: ROC_AUC: 0.1802294, PRECISION: 0.0386936, PRECISION_RECALL_MIN_DEN: 0.1351456, RECALL: 0.1308373, MAP: 0.0633367, MRR: 0.1349200, NDCG: 0.0951922, F1: 0.0597238, HIT_RATE: 0.3869356, ARHR: 0.1559973, NOVELTY: 0.0047943, AVERAGE_POPULARITY: 0.1073997, DIVERSITY_MEAN_INTER_LIST: 0.9863747, DIVERSITY_HERFINDAHL: 0.9986200, COVERAGE_ITEM: 0.4224678, COVERAGE_ITEM_CORRECT: 0.0452589, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2021895, DIVERSITY_GINI: 0.1297347, SHANNON_ENTROPY: 11.4477599, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.4355917404713884, 'l1_ratio': 0.6960113177643715} - results: ROC_AUC: 0.1806027, PRECISION: 0.0387391, PRECISION_RECALL_MIN_DEN: 0.1355118, RECALL: 0.1312244, MAP: 0.0635876, MRR: 0.1352792, NDCG: 0.0955071, F1: 0.0598179, HIT_RATE: 0.3873913, ARHR: 0.1563075, NOVELTY: 0.0047916, AVERAGE_POPULARITY: 0.1092673, DIVERSITY_MEAN_INTER_LIST: 0.9857559, DIVERSITY_HERFINDAHL: 0.9985582, COVERAGE_ITEM: 0.4260327, COVERAGE_ITEM_CORRECT: 0.0448200, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028187, DIVERSITY_GINI: 0.1308371, SHANNON_ENTROPY: 11.4323478, 
