
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.46648469366970047, 'l1_ratio': 0.8163875098924521} - results: ROC_AUC: 0.1925660, PRECISION: 0.0422032, PRECISION_RECALL_MIN_DEN: 0.1502453, RECALL: 0.1458269, MAP: 0.0692357, MRR: 0.1427860, NDCG: 0.1041917, F1: 0.0654598, HIT_RATE: 0.4220321, ARHR: 0.1666226, NOVELTY: 0.0049221, AVERAGE_POPULARITY: 0.0936238, DIVERSITY_MEAN_INTER_LIST: 0.9886478, DIVERSITY_HERFINDAHL: 0.9988473, COVERAGE_ITEM: 0.5050087, COVERAGE_ITEM_CORRECT: 0.0544447, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2174657, DIVERSITY_GINI: 0.1863075, SHANNON_ENTROPY: 11.9939636, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.37302216996033416, 'l1_ratio': 0.17302077481744219} - results: ROC_AUC: 0.1710732, PRECISION: 0.0362045, PRECISION_RECALL_MIN_DEN: 0.1260040, RECALL: 0.1220610, MAP: 0.0589607, MRR: 0.1261371, NDCG: 0.0889423, F1: 0.0558395, HIT_RATE: 0.3620446, ARHR: 0.1455888, NOVELTY: 0.0048498, AVERAGE_POPULARITY: 0.1108765, DIVERSITY_MEAN_INTER_LIST: 0.9840874, DIVERSITY_HERFINDAHL: 0.9983914, COVERAGE_ITEM: 0.4537825, COVERAGE_ITEM_CORRECT: 0.0405544, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1911161, DIVERSITY_GINI: 0.1505377, SHANNON_ENTROPY: 11.5504743, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3178415182196012, 'l1_ratio': 0.597537439410623} - results: ROC_AUC: 0.1781282, PRECISION: 0.0387021, PRECISION_RECALL_MIN_DEN: 0.1363686, RECALL: 0.1321893, MAP: 0.0626152, MRR: 0.1318482, NDCG: 0.0947419, F1: 0.0598701, HIT_RATE: 0.3870213, ARHR: 0.1528976, NOVELTY: 0.0048635, AVERAGE_POPULARITY: 0.1085560, DIVERSITY_MEAN_INTER_LIST: 0.9846927, DIVERSITY_HERFINDAHL: 0.9984519, COVERAGE_ITEM: 0.4616747, COVERAGE_ITEM_CORRECT: 0.0455284, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020133, DIVERSITY_GINI: 0.1567054, SHANNON_ENTROPY: 11.6323635, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.6012894171875667, 'l1_ratio': 0.4644115059639755} - results: ROC_AUC: 0.1946713, PRECISION: 0.0426670, PRECISION_RECALL_MIN_DEN: 0.1508271, RECALL: 0.1463069, MAP: 0.0700326, MRR: 0.1449389, NDCG: 0.1051397, F1: 0.0660657, HIT_RATE: 0.4266698, ARHR: 0.1692303, NOVELTY: 0.0049097, AVERAGE_POPULARITY: 0.0950063, DIVERSITY_MEAN_INTER_LIST: 0.9885852, DIVERSITY_HERFINDAHL: 0.9988411, COVERAGE_ITEM: 0.4897478, COVERAGE_ITEM_CORRECT: 0.0538980, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193280, DIVERSITY_GINI: 0.1746299, SHANNON_ENTROPY: 11.8972565, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.08951866382248387, 'l1_ratio': 0.9593471893583222} - results: ROC_AUC: 0.1657918, PRECISION: 0.0348482, PRECISION_RECALL_MIN_DEN: 0.1228479, RECALL: 0.1190942, MAP: 0.0569549, MRR: 0.1216714, NDCG: 0.0861457, F1: 0.0539150, HIT_RATE: 0.3484816, ARHR: 0.1399313, NOVELTY: 0.0048423, AVERAGE_POPULARITY: 0.1156783, DIVERSITY_MEAN_INTER_LIST: 0.9822231, DIVERSITY_HERFINDAHL: 0.9982050, COVERAGE_ITEM: 0.4473763, COVERAGE_ITEM_CORRECT: 0.0382984, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1854536, DIVERSITY_GINI: 0.1483450, SHANNON_ENTROPY: 11.4988750, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.7020366263757939, 'l1_ratio': 0.5599772502888617} - results: ROC_AUC: 0.1975295, PRECISION: 0.0430202, PRECISION_RECALL_MIN_DEN: 0.1539471, RECALL: 0.1495012, MAP: 0.0714598, MRR: 0.1468455, NDCG: 0.1071098, F1: 0.0668135, HIT_RATE: 0.4302024, ARHR: 0.1714216, NOVELTY: 0.0049715, AVERAGE_POPULARITY: 0.0808176, DIVERSITY_MEAN_INTER_LIST: 0.9916461, DIVERSITY_HERFINDAHL: 0.9991471, COVERAGE_ITEM: 0.5230260, COVERAGE_ITEM_CORRECT: 0.0576092, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2212156, DIVERSITY_GINI: 0.2005354, SHANNON_ENTROPY: 12.2110256, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.3195360837780798, 'l1_ratio': 0.2697068490253394} - results: ROC_AUC: 0.1710034, PRECISION: 0.0364169, PRECISION_RECALL_MIN_DEN: 0.1270039, RECALL: 0.1230190, MAP: 0.0591485, MRR: 0.1261730, NDCG: 0.0893012, F1: 0.0561932, HIT_RATE: 0.3641690, ARHR: 0.1457315, NOVELTY: 0.0048493, AVERAGE_POPULARITY: 0.1116087, DIVERSITY_MEAN_INTER_LIST: 0.9838082, DIVERSITY_HERFINDAHL: 0.9983634, COVERAGE_ITEM: 0.4520654, COVERAGE_ITEM_CORRECT: 0.0410164, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1919970, DIVERSITY_GINI: 0.1502372, SHANNON_ENTROPY: 11.5456696, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.4465779631422684, 'l1_ratio': 0.6187760966692167} - results: ROC_AUC: 0.1881563, PRECISION: 0.0414610, PRECISION_RECALL_MIN_DEN: 0.1466017, RECALL: 0.1422081, MAP: 0.0673866, MRR: 0.1397529, NDCG: 0.1016089, F1: 0.0642019, HIT_RATE: 0.4146095, ARHR: 0.1629970, NOVELTY: 0.0048905, AVERAGE_POPULARITY: 0.1010228, DIVERSITY_MEAN_INTER_LIST: 0.9869023, DIVERSITY_HERFINDAHL: 0.9986728, COVERAGE_ITEM: 0.4817478, COVERAGE_ITEM_CORRECT: 0.0511800, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2137914, DIVERSITY_GINI: 0.1694342, SHANNON_ENTROPY: 11.8018812, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.5849578725888509, 'l1_ratio': 0.5788820488994324} - results: ROC_AUC: 0.1957841, PRECISION: 0.0428189, PRECISION_RECALL_MIN_DEN: 0.1520489, RECALL: 0.1475551, MAP: 0.0705486, MRR: 0.1456398, NDCG: 0.1058925, F1: 0.0663739, HIT_RATE: 0.4281892, ARHR: 0.1700623, NOVELTY: 0.0049269, AVERAGE_POPULARITY: 0.0915646, DIVERSITY_MEAN_INTER_LIST: 0.9893161, DIVERSITY_HERFINDAHL: 0.9989141, COVERAGE_ITEM: 0.5030837, COVERAGE_ITEM_CORRECT: 0.0553763, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2201586, DIVERSITY_GINI: 0.1843968, SHANNON_ENTROPY: 11.9989194, 
