
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.24967506196502237, 'l1_ratio': 0.3005564383881077} - results: ROC_AUC: 0.1862835, PRECISION: 0.0401346, PRECISION_RECALL_MIN_DEN: 0.1404098, RECALL: 0.1359941, MAP: 0.0660477, MRR: 0.1392021, NDCG: 0.0989630, F1: 0.0619766, HIT_RATE: 0.4013459, ARHR: 0.1618786, NOVELTY: 0.0048332, AVERAGE_POPULARITY: 0.0996085, DIVERSITY_MEAN_INTER_LIST: 0.9877804, DIVERSITY_HERFINDAHL: 0.9987606, COVERAGE_ITEM: 0.4313763, COVERAGE_ITEM_CORRECT: 0.0489548, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2075752, DIVERSITY_GINI: 0.1345991, SHANNON_ENTROPY: 11.5260892, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.7204110117056927, 'l1_ratio': 0.05787448518421713} - results: ROC_AUC: 0.1783755, PRECISION: 0.0379813, PRECISION_RECALL_MIN_DEN: 0.1326609, RECALL: 0.1284120, MAP: 0.0623200, MRR: 0.1326312, NDCG: 0.0935950, F1: 0.0586212, HIT_RATE: 0.3798126, ARHR: 0.1534834, NOVELTY: 0.0048948, AVERAGE_POPULARITY: 0.0901438, DIVERSITY_MEAN_INTER_LIST: 0.9897036, DIVERSITY_HERFINDAHL: 0.9989529, COVERAGE_ITEM: 0.4516574, COVERAGE_ITEM_CORRECT: 0.0455977, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1981880, DIVERSITY_GINI: 0.1482925, SHANNON_ENTROPY: 11.7225808, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.300840963387734, 'l1_ratio': 0.556569160258971} - results: ROC_AUC: 0.1950296, PRECISION: 0.0425685, PRECISION_RECALL_MIN_DEN: 0.1518575, RECALL: 0.1473891, MAP: 0.0707666, MRR: 0.1460398, NDCG: 0.1059240, F1: 0.0660551, HIT_RATE: 0.4256848, ARHR: 0.1703470, NOVELTY: 0.0048830, AVERAGE_POPULARITY: 0.0908609, DIVERSITY_MEAN_INTER_LIST: 0.9898170, DIVERSITY_HERFINDAHL: 0.9989642, COVERAGE_ITEM: 0.4627295, COVERAGE_ITEM_CORRECT: 0.0550760, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2184220, DIVERSITY_GINI: 0.1557413, SHANNON_ENTROPY: 11.7895772, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.7569559355493917, 'l1_ratio': 0.12863542868806557} - results: ROC_AUC: 0.1860318, PRECISION: 0.0400742, PRECISION_RECALL_MIN_DEN: 0.1406619, RECALL: 0.1362569, MAP: 0.0662287, MRR: 0.1388580, NDCG: 0.0990888, F1: 0.0619318, HIT_RATE: 0.4007416, ARHR: 0.1614930, NOVELTY: 0.0049146, AVERAGE_POPULARITY: 0.0866954, DIVERSITY_MEAN_INTER_LIST: 0.9904790, DIVERSITY_HERFINDAHL: 0.9990304, COVERAGE_ITEM: 0.4576246, COVERAGE_ITEM_CORRECT: 0.0500096, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2072732, DIVERSITY_GINI: 0.1537922, SHANNON_ENTROPY: 11.8085271, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.7729996263651614, 'l1_ratio': 0.49447523186655906} - results: ROC_AUC: 0.1894031, PRECISION: 0.0412001, PRECISION_RECALL_MIN_DEN: 0.1495732, RECALL: 0.1453315, MAP: 0.0681677, MRR: 0.1396067, NDCG: 0.1027994, F1: 0.0641992, HIT_RATE: 0.4120010, ARHR: 0.1621982, NOVELTY: 0.0050430, AVERAGE_POPULARITY: 0.0622493, DIVERSITY_MEAN_INTER_LIST: 0.9947554, DIVERSITY_HERFINDAHL: 0.9994580, COVERAGE_ITEM: 0.5318730, COVERAGE_ITEM_CORRECT: 0.0590029, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2141185, DIVERSITY_GINI: 0.2146134, SHANNON_ENTROPY: 12.4690412, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.3488704525909195, 'l1_ratio': 0.5350942574156892} - results: ROC_AUC: 0.1958104, PRECISION: 0.0427133, PRECISION_RECALL_MIN_DEN: 0.1527797, RECALL: 0.1483138, MAP: 0.0711559, MRR: 0.1464398, NDCG: 0.1064792, F1: 0.0663235, HIT_RATE: 0.4271325, ARHR: 0.1707884, NOVELTY: 0.0048996, AVERAGE_POPULARITY: 0.0880352, DIVERSITY_MEAN_INTER_LIST: 0.9904078, DIVERSITY_HERFINDAHL: 0.9990233, COVERAGE_ITEM: 0.4702291, COVERAGE_ITEM_CORRECT: 0.0558383, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2191770, DIVERSITY_GINI: 0.1613867, SHANNON_ENTROPY: 11.8613668, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.9793356347642577, 'l1_ratio': 0.3350868317425251} - results: ROC_AUC: 0.1914177, PRECISION: 0.0421619, PRECISION_RECALL_MIN_DEN: 0.1520292, RECALL: 0.1476183, MAP: 0.0688885, MRR: 0.1412147, NDCG: 0.1040554, F1: 0.0655895, HIT_RATE: 0.4216193, ARHR: 0.1648250, NOVELTY: 0.0050419, AVERAGE_POPULARITY: 0.0636308, DIVERSITY_MEAN_INTER_LIST: 0.9944822, DIVERSITY_HERFINDAHL: 0.9994306, COVERAGE_ITEM: 0.5186833, COVERAGE_ITEM_CORRECT: 0.0593879, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2178935, DIVERSITY_GINI: 0.2035709, SHANNON_ENTROPY: 12.3839337, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.22955689745267166, 'l1_ratio': 0.4190510373790156} - results: ROC_AUC: 0.1887648, PRECISION: 0.0410358, PRECISION_RECALL_MIN_DEN: 0.1437450, RECALL: 0.1392085, MAP: 0.0676397, MRR: 0.1415206, NDCG: 0.1011604, F1: 0.0633839, HIT_RATE: 0.4103575, ARHR: 0.1649594, NOVELTY: 0.0048389, AVERAGE_POPULARITY: 0.0987282, DIVERSITY_MEAN_INTER_LIST: 0.9880216, DIVERSITY_HERFINDAHL: 0.9987847, COVERAGE_ITEM: 0.4361347, COVERAGE_ITEM_CORRECT: 0.0507565, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2108720, DIVERSITY_GINI: 0.1375255, SHANNON_ENTROPY: 11.5610324, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8149140732524093, 'l1_ratio': 0.5317107734803529} - results: ROC_AUC: 0.1836913, PRECISION: 0.0400229, PRECISION_RECALL_MIN_DEN: 0.1458685, RECALL: 0.1417147, MAP: 0.0659171, MRR: 0.1348362, NDCG: 0.0996713, F1: 0.0624170, HIT_RATE: 0.4002291, ARHR: 0.1564143, NOVELTY: 0.0050726, AVERAGE_POPULARITY: 0.0565791, DIVERSITY_MEAN_INTER_LIST: 0.9954479, DIVERSITY_HERFINDAHL: 0.9995272, COVERAGE_ITEM: 0.5441463, COVERAGE_ITEM_CORRECT: 0.0586025, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2086825, DIVERSITY_GINI: 0.2270409, SHANNON_ENTROPY: 12.5898582, 
