
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.10302707261823332, 'l1_ratio': 0.2827205716647178} - results: ROC_AUC: 0.1796036, PRECISION: 0.0382216, PRECISION_RECALL_MIN_DEN: 0.1337425, RECALL: 0.1295274, MAP: 0.0624572, MRR: 0.1332747, NDCG: 0.0940883, F1: 0.0590241, HIT_RATE: 0.3822157, ARHR: 0.1542235, NOVELTY: 0.0047989, AVERAGE_POPULARITY: 0.1118781, DIVERSITY_MEAN_INTER_LIST: 0.9837614, DIVERSITY_HERFINDAHL: 0.9983588, COVERAGE_ITEM: 0.4374899, COVERAGE_ITEM_CORRECT: 0.0434880, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2000000, DIVERSITY_GINI: 0.1359598, SHANNON_ENTROPY: 11.3893360, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.05060452165198094, 'l1_ratio': 0.6419489605141742} - results: ROC_AUC: 0.1792904, PRECISION: 0.0381193, PRECISION_RECALL_MIN_DEN: 0.1334898, RECALL: 0.1292879, MAP: 0.0624615, MRR: 0.1331175, NDCG: 0.0939802, F1: 0.0588771, HIT_RATE: 0.3811933, ARHR: 0.1540009, NOVELTY: 0.0047990, AVERAGE_POPULARITY: 0.1120479, DIVERSITY_MEAN_INTER_LIST: 0.9837141, DIVERSITY_HERFINDAHL: 0.9983540, COVERAGE_ITEM: 0.4370741, COVERAGE_ITEM_CORRECT: 0.0432724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1995218, DIVERSITY_GINI: 0.1359220, SHANNON_ENTROPY: 11.3878901, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.7355219821780054, 'l1_ratio': 0.6910417528339939} - results: ROC_AUC: 0.1875539, PRECISION: 0.0406453, PRECISION_RECALL_MIN_DEN: 0.1475407, RECALL: 0.1433535, MAP: 0.0674916, MRR: 0.1385236, NDCG: 0.1016212, F1: 0.0633329, HIT_RATE: 0.4064529, ARHR: 0.1609333, NOVELTY: 0.0050708, AVERAGE_POPULARITY: 0.0592694, DIVERSITY_MEAN_INTER_LIST: 0.9950109, DIVERSITY_HERFINDAHL: 0.9994835, COVERAGE_ITEM: 0.5603850, COVERAGE_ITEM_CORRECT: 0.0589644, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2112495, DIVERSITY_GINI: 0.2386300, SHANNON_ENTROPY: 12.6289086, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.6954491125940762, 'l1_ratio': 0.02430334958898373} - results: ROC_AUC: 0.1906926, PRECISION: 0.0410737, PRECISION_RECALL_MIN_DEN: 0.1457378, RECALL: 0.1413746, MAP: 0.0685175, MRR: 0.1428208, NDCG: 0.1025158, F1: 0.0636524, HIT_RATE: 0.4107367, ARHR: 0.1657182, NOVELTY: 0.0048167, AVERAGE_POPULARITY: 0.1058810, DIVERSITY_MEAN_INTER_LIST: 0.9853838, DIVERSITY_HERFINDAHL: 0.9985210, COVERAGE_ITEM: 0.4447199, COVERAGE_ITEM_CORRECT: 0.0497632, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2132125, DIVERSITY_GINI: 0.1405687, SHANNON_ENTROPY: 11.4868903, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8356156733607771, 'l1_ratio': 0.5561786471157418} - results: ROC_AUC: 0.1859457, PRECISION: 0.0403241, PRECISION_RECALL_MIN_DEN: 0.1456874, RECALL: 0.1414949, MAP: 0.0664318, MRR: 0.1368920, NDCG: 0.1002401, F1: 0.0627613, HIT_RATE: 0.4032412, ARHR: 0.1591615, NOVELTY: 0.0050671, AVERAGE_POPULARITY: 0.0581011, DIVERSITY_MEAN_INTER_LIST: 0.9951684, DIVERSITY_HERFINDAHL: 0.9994993, COVERAGE_ITEM: 0.5632108, COVERAGE_ITEM_CORRECT: 0.0583484, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2095634, DIVERSITY_GINI: 0.2408276, SHANNON_ENTROPY: 12.6486154, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.6184831809113908, 'l1_ratio': 0.9494660700807228} - results: ROC_AUC: 0.1853576, PRECISION: 0.0400270, PRECISION_RECALL_MIN_DEN: 0.1456624, RECALL: 0.1415820, MAP: 0.0666707, MRR: 0.1364236, NDCG: 0.1003418, F1: 0.0624094, HIT_RATE: 0.4002702, ARHR: 0.1583878, NOVELTY: 0.0050900, AVERAGE_POPULARITY: 0.0575846, DIVERSITY_MEAN_INTER_LIST: 0.9951970, DIVERSITY_HERFINDAHL: 0.9995021, COVERAGE_ITEM: 0.5624639, COVERAGE_ITEM_CORRECT: 0.0587565, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2086825, DIVERSITY_GINI: 0.2412707, SHANNON_ENTROPY: 12.6601445, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.020645881326745056, 'l1_ratio': 0.38264158472247645} - results: ROC_AUC: 0.1774781, PRECISION: 0.0376035, PRECISION_RECALL_MIN_DEN: 0.1315365, RECALL: 0.1274058, MAP: 0.0615487, MRR: 0.1315851, NDCG: 0.0926834, F1: 0.0580667, HIT_RATE: 0.3760354, ARHR: 0.1520844, NOVELTY: 0.0047938, AVERAGE_POPULARITY: 0.1127824, DIVERSITY_MEAN_INTER_LIST: 0.9834622, DIVERSITY_HERFINDAHL: 0.9983288, COVERAGE_ITEM: 0.4371203, COVERAGE_ITEM_CORRECT: 0.0423407, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1973323, DIVERSITY_GINI: 0.1353946, SHANNON_ENTROPY: 11.3723965, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.7725483546160674, 'l1_ratio': 0.7010404927014716} - results: ROC_AUC: 0.1818166, PRECISION: 0.0391747, PRECISION_RECALL_MIN_DEN: 0.1416923, RECALL: 0.1375803, MAP: 0.0647067, MRR: 0.1335252, NDCG: 0.0976163, F1: 0.0609843, HIT_RATE: 0.3917470, ARHR: 0.1548936, NOVELTY: 0.0050965, AVERAGE_POPULARITY: 0.0539361, DIVERSITY_MEAN_INTER_LIST: 0.9956570, DIVERSITY_HERFINDAHL: 0.9995481, COVERAGE_ITEM: 0.5682387, COVERAGE_ITEM_CORRECT: 0.0578787, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2044545, DIVERSITY_GINI: 0.2477501, SHANNON_ENTROPY: 12.7231041, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.11137301595374063, 'l1_ratio': 0.6166754083718929} - results: ROC_AUC: 0.1824265, PRECISION: 0.0389320, PRECISION_RECALL_MIN_DEN: 0.1361991, RECALL: 0.1319000, MAP: 0.0637080, MRR: 0.1353304, NDCG: 0.0958384, F1: 0.0601178, HIT_RATE: 0.3893202, ARHR: 0.1569007, NOVELTY: 0.0048075, AVERAGE_POPULARITY: 0.1106491, DIVERSITY_MEAN_INTER_LIST: 0.9841783, DIVERSITY_HERFINDAHL: 0.9984004, COVERAGE_ITEM: 0.4395457, COVERAGE_ITEM_CORRECT: 0.0448431, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2028438, DIVERSITY_GINI: 0.1376370, SHANNON_ENTROPY: 11.4204506, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'alpha': 0.42470935205481075, 'l1_ratio': 0.7426693029884911} - results: ROC_AUC: 0.2014427, PRECISION: 0.0439154, PRECISION_RECALL_MIN_DEN: 0.1569457, RECALL: 0.1524213, MAP: 0.0731632, MRR: 0.1508754, NDCG: 0.1095141, F1: 0.0681835, HIT_RATE: 0.4391544, ARHR: 0.1760266, NOVELTY: 0.0049169, AVERAGE_POPULARITY: 0.0916138, DIVERSITY_MEAN_INTER_LIST: 0.9892832, DIVERSITY_HERFINDAHL: 0.9989108, COVERAGE_ITEM: 0.4889317, COVERAGE_ITEM_CORRECT: 0.0569240, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2259972, DIVERSITY_GINI: 0.1730915, SHANNON_ENTROPY: 11.9092793, 

