
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.8110718202066881, 'l1_ratio': 0.413877146470911} - results: ROC_AUC: 0.1951205, PRECISION: 0.0427229, PRECISION_RECALL_MIN_DEN: 0.1539565, RECALL: 0.1494883, MAP: 0.0702543, MRR: 0.1445217, NDCG: 0.1059000, F1: 0.0664534, HIT_RATE: 0.4272287, ARHR: 0.1685854, NOVELTY: 0.0049933, AVERAGE_POPULARITY: 0.0713823, DIVERSITY_MEAN_INTER_LIST: 0.9931532, DIVERSITY_HERFINDAHL: 0.9992978, COVERAGE_ITEM: 0.5392416, COVERAGE_ITEM_CORRECT: 0.0591723, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2200831, DIVERSITY_GINI: 0.2156039, SHANNON_ENTROPY: 12.3770543, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9624322460853781, 'l1_ratio': 0.8546257275631572} - results: ROC_AUC: 0.1264456, PRECISION: 0.0267785, PRECISION_RECALL_MIN_DEN: 0.0979943, RECALL: 0.0951450, MAP: 0.0419521, MRR: 0.0884115, NDCG: 0.0650996, F1: 0.0417900, HIT_RATE: 0.2677851, ARHR: 0.1003032, NOVELTY: 0.0052546, AVERAGE_POPULARITY: 0.0232077, DIVERSITY_MEAN_INTER_LIST: 0.9977098, DIVERSITY_HERFINDAHL: 0.9997534, COVERAGE_ITEM: 0.6009933, COVERAGE_ITEM_CORRECT: 0.0486160, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1483075, DIVERSITY_GINI: 0.2871157, SHANNON_ENTROPY: 13.0901662, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.7529612046350643, 'l1_ratio': 0.26693522190817026} - results: ROC_AUC: 0.2017818, PRECISION: 0.0443707, PRECISION_RECALL_MIN_DEN: 0.1593853, RECALL: 0.1548082, MAP: 0.0734502, MRR: 0.1501762, NDCG: 0.1102668, F1: 0.0689722, HIT_RATE: 0.4437067, ARHR: 0.1754383, NOVELTY: 0.0049029, AVERAGE_POPULARITY: 0.0890445, DIVERSITY_MEAN_INTER_LIST: 0.9896100, DIVERSITY_HERFINDAHL: 0.9989435, COVERAGE_ITEM: 0.4968008, COVERAGE_ITEM_CORRECT: 0.0581020, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2273311, DIVERSITY_GINI: 0.1780183, SHANNON_ENTROPY: 11.9520767, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.7736264274069444, 'l1_ratio': 0.9270859567235731} - results: ROC_AUC: 0.1511379, PRECISION: 0.0323086, PRECISION_RECALL_MIN_DEN: 0.1184516, RECALL: 0.1151132, MAP: 0.0519517, MRR: 0.1082205, NDCG: 0.0797032, F1: 0.0504549, HIT_RATE: 0.3230860, ARHR: 0.1237228, NOVELTY: 0.0051983, AVERAGE_POPULARITY: 0.0352233, DIVERSITY_MEAN_INTER_LIST: 0.9972266, DIVERSITY_HERFINDAHL: 0.9997050, COVERAGE_ITEM: 0.5897671, COVERAGE_ITEM_CORRECT: 0.0526737, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1750598, DIVERSITY_GINI: 0.2742976, SHANNON_ENTROPY: 12.9828556, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.1860605445771442, 'l1_ratio': 0.8284319765359524} - results: ROC_AUC: 0.1909676, PRECISION: 0.0411830, PRECISION_RECALL_MIN_DEN: 0.1459590, RECALL: 0.1415259, MAP: 0.0683079, MRR: 0.1422073, NDCG: 0.1023076, F1: 0.0637998, HIT_RATE: 0.4118299, ARHR: 0.1652746, NOVELTY: 0.0048151, AVERAGE_POPULARITY: 0.1113594, DIVERSITY_MEAN_INTER_LIST: 0.9837161, DIVERSITY_HERFINDAHL: 0.9983542, COVERAGE_ITEM: 0.4475226, COVERAGE_ITEM_CORRECT: 0.0491011, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2133384, DIVERSITY_GINI: 0.1413284, SHANNON_ENTROPY: 11.4342481, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.23856299714593748, 'l1_ratio': 0.5183890433784922} - results: ROC_AUC: 0.1898452, PRECISION: 0.0408902, PRECISION_RECALL_MIN_DEN: 0.1449183, RECALL: 0.1404914, MAP: 0.0680109, MRR: 0.1414350, NDCG: 0.1017384, F1: 0.0633431, HIT_RATE: 0.4089022, ARHR: 0.1642932, NOVELTY: 0.0048064, AVERAGE_POPULARITY: 0.1122015, DIVERSITY_MEAN_INTER_LIST: 0.9834501, DIVERSITY_HERFINDAHL: 0.9983276, COVERAGE_ITEM: 0.4440885, COVERAGE_ITEM_CORRECT: 0.0485313, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2118787, DIVERSITY_GINI: 0.1388772, SHANNON_ENTROPY: 11.4024784, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.12189579375840034, 'l1_ratio': 0.7869179317384359} - results: ROC_AUC: 0.1848642, PRECISION: 0.0394520, PRECISION_RECALL_MIN_DEN: 0.1396975, RECALL: 0.1354149, MAP: 0.0651932, MRR: 0.1370565, NDCG: 0.0979406, F1: 0.0611007, HIT_RATE: 0.3945202, ARHR: 0.1588952, NOVELTY: 0.0047887, AVERAGE_POPULARITY: 0.1159452, DIVERSITY_MEAN_INTER_LIST: 0.9822229, DIVERSITY_HERFINDAHL: 0.9982049, COVERAGE_ITEM: 0.4381213, COVERAGE_ITEM_CORRECT: 0.0455207, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2056373, DIVERSITY_GINI: 0.1342853, SHANNON_ENTROPY: 11.3176149, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.9298371281692284, 'l1_ratio': 0.7317775710292233} - results: ROC_AUC: 0.1471716, PRECISION: 0.0316124, PRECISION_RECALL_MIN_DEN: 0.1147144, RECALL: 0.1113326, MAP: 0.0497836, MRR: 0.1049566, NDCG: 0.0768634, F1: 0.0492407, HIT_RATE: 0.3161238, ARHR: 0.1200894, NOVELTY: 0.0052028, AVERAGE_POPULARITY: 0.0323815, DIVERSITY_MEAN_INTER_LIST: 0.9973977, DIVERSITY_HERFINDAHL: 0.9997221, COVERAGE_ITEM: 0.5949798, COVERAGE_ITEM_CORRECT: 0.0523349, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1710834, DIVERSITY_GINI: 0.2789000, SHANNON_ENTROPY: 13.0184703, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.5616178266242923, 'l1_ratio': 0.6660848416779579} - results: ROC_AUC: 0.1991040, PRECISION: 0.0432535, PRECISION_RECALL_MIN_DEN: 0.1566409, RECALL: 0.1522297, MAP: 0.0718968, MRR: 0.1474053, NDCG: 0.1081091, F1: 0.0673655, HIT_RATE: 0.4325350, ARHR: 0.1717188, NOVELTY: 0.0049775, AVERAGE_POPULARITY: 0.0780736, DIVERSITY_MEAN_INTER_LIST: 0.9919464, DIVERSITY_HERFINDAHL: 0.9991771, COVERAGE_ITEM: 0.5266987, COVERAGE_ITEM_CORRECT: 0.0589490, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2239084, DIVERSITY_GINI: 0.2040212, SHANNON_ENTROPY: 12.2445736, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.20273495920468781, 'l1_ratio': 0.3160177760367518} - results: ROC_AUC: 0.1840849, PRECISION: 0.0393321, PRECISION_RECALL_MIN_DEN: 0.1392799, RECALL: 0.1349811, MAP: 0.0649395, MRR: 0.1368049, NDCG: 0.0975992, F1: 0.0609128, HIT_RATE: 0.3933206, ARHR: 0.1584978, NOVELTY: 0.0047837, AVERAGE_POPULARITY: 0.1160543, DIVERSITY_MEAN_INTER_LIST: 0.9821720, DIVERSITY_HERFINDAHL: 0.9981998, COVERAGE_ITEM: 0.4365351, COVERAGE_ITEM_CORRECT: 0.0454437, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2053857, DIVERSITY_GINI: 0.1330547, SHANNON_ENTROPY: 11.3032607, 
