
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.4712562484365782, 'l1_ratio': 0.3056839155644783} - results: ROC_AUC: 0.1946410, PRECISION: 0.0426090, PRECISION_RECALL_MIN_DEN: 0.1496097, RECALL: 0.1448902, MAP: 0.0697230, MRR: 0.1464810, NDCG: 0.1046531, F1: 0.0658517, HIT_RATE: 0.4260902, ARHR: 0.1706665, NOVELTY: 0.0048514, AVERAGE_POPULARITY: 0.0954790, DIVERSITY_MEAN_INTER_LIST: 0.9894270, DIVERSITY_HERFINDAHL: 0.9989252, COVERAGE_ITEM: 0.4499018, COVERAGE_ITEM_CORRECT: 0.0541675, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2184472, DIVERSITY_GINI: 0.1493662, SHANNON_ENTROPY: 11.7413669, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.7105692619635399, 'l1_ratio': 0.8356716898857477} - results: ROC_AUC: 0.1880481, PRECISION: 0.0405078, PRECISION_RECALL_MIN_DEN: 0.1470159, RECALL: 0.1429619, MAP: 0.0666459, MRR: 0.1379908, NDCG: 0.1010577, F1: 0.0631278, HIT_RATE: 0.4050785, ARHR: 0.1597307, NOVELTY: 0.0050574, AVERAGE_POPULARITY: 0.0588116, DIVERSITY_MEAN_INTER_LIST: 0.9955076, DIVERSITY_HERFINDAHL: 0.9995332, COVERAGE_ITEM: 0.5550337, COVERAGE_ITEM_CORRECT: 0.0596959, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2117780, DIVERSITY_GINI: 0.2355718, SHANNON_ENTROPY: 12.6443971, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.8831160190953029, 'l1_ratio': 0.7340321342484589} - results: ROC_AUC: 0.1671016, PRECISION: 0.0356342, PRECISION_RECALL_MIN_DEN: 0.1303701, RECALL: 0.1267124, MAP: 0.0581085, MRR: 0.1210382, NDCG: 0.0886799, F1: 0.0556251, HIT_RATE: 0.3563425, ARHR: 0.1388374, NOVELTY: 0.0051479, AVERAGE_POPULARITY: 0.0424051, DIVERSITY_MEAN_INTER_LIST: 0.9969280, DIVERSITY_HERFINDAHL: 0.9996752, COVERAGE_ITEM: 0.5835534, COVERAGE_ITEM_CORRECT: 0.0559769, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1908141, DIVERSITY_GINI: 0.2660099, SHANNON_ENTROPY: 12.9124693, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.7557649820272528, 'l1_ratio': 0.7883459786212955} - results: ROC_AUC: 0.1852329, PRECISION: 0.0397972, PRECISION_RECALL_MIN_DEN: 0.1446327, RECALL: 0.1406433, MAP: 0.0655397, MRR: 0.1357620, NDCG: 0.0993715, F1: 0.0620388, HIT_RATE: 0.3979718, ARHR: 0.1569840, NOVELTY: 0.0050737, AVERAGE_POPULARITY: 0.0558703, DIVERSITY_MEAN_INTER_LIST: 0.9958098, DIVERSITY_HERFINDAHL: 0.9995634, COVERAGE_ITEM: 0.5615861, COVERAGE_ITEM_CORRECT: 0.0591492, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2083302, DIVERSITY_GINI: 0.2420142, SHANNON_ENTROPY: 12.7002859, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.9960845834573989, 'l1_ratio': 0.22952864977529736} - results: ROC_AUC: 0.1963425, PRECISION: 0.0431407, PRECISION_RECALL_MIN_DEN: 0.1547721, RECALL: 0.1502448, MAP: 0.0705880, MRR: 0.1454566, NDCG: 0.1064908, F1: 0.0670334, HIT_RATE: 0.4314068, ARHR: 0.1698414, NOVELTY: 0.0049570, AVERAGE_POPULARITY: 0.0747393, DIVERSITY_MEAN_INTER_LIST: 0.9925384, DIVERSITY_HERFINDAHL: 0.9992363, COVERAGE_ITEM: 0.5290780, COVERAGE_ITEM_CORRECT: 0.0588181, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2218447, DIVERSITY_GINI: 0.2058343, SHANNON_ENTROPY: 12.2778469, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.18426712688304095, 'l1_ratio': 0.19796402659956575} - results: ROC_AUC: 0.1857582, PRECISION: 0.0400044, PRECISION_RECALL_MIN_DEN: 0.1395253, RECALL: 0.1350134, MAP: 0.0653778, MRR: 0.1387843, NDCG: 0.0981750, F1: 0.0617199, HIT_RATE: 0.4000445, ARHR: 0.1609606, NOVELTY: 0.0048170, AVERAGE_POPULARITY: 0.1015317, DIVERSITY_MEAN_INTER_LIST: 0.9881380, DIVERSITY_HERFINDAHL: 0.9987963, COVERAGE_ITEM: 0.4279423, COVERAGE_ITEM_CORRECT: 0.0487084, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2077765, DIVERSITY_GINI: 0.1354017, SHANNON_ENTROPY: 11.5762989, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.1620342922279239, 'l1_ratio': 0.7180389435642016} - results: ROC_AUC: 0.1886850, PRECISION: 0.0411601, PRECISION_RECALL_MIN_DEN: 0.1436107, RECALL: 0.1389181, MAP: 0.0669945, MRR: 0.1415365, NDCG: 0.1006218, F1: 0.0635030, HIT_RATE: 0.4116010, ARHR: 0.1647169, NOVELTY: 0.0048305, AVERAGE_POPULARITY: 0.0991681, DIVERSITY_MEAN_INTER_LIST: 0.9887425, DIVERSITY_HERFINDAHL: 0.9988568, COVERAGE_ITEM: 0.4332859, COVERAGE_ITEM_CORRECT: 0.0511569, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2121052, DIVERSITY_GINI: 0.1396068, SHANNON_ENTROPY: 11.6399667, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.3644399233992695, 'l1_ratio': 0.16646485858402252} - results: ROC_AUC: 0.1892426, PRECISION: 0.0409306, PRECISION_RECALL_MIN_DEN: 0.1432451, RECALL: 0.1386919, MAP: 0.0671707, MRR: 0.1420401, NDCG: 0.1007694, F1: 0.0632066, HIT_RATE: 0.4093063, ARHR: 0.1649343, NOVELTY: 0.0048274, AVERAGE_POPULARITY: 0.0997855, DIVERSITY_MEAN_INTER_LIST: 0.9884641, DIVERSITY_HERFINDAHL: 0.9988289, COVERAGE_ITEM: 0.4354033, COVERAGE_ITEM_CORRECT: 0.0505871, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2115012, DIVERSITY_GINI: 0.1397147, SHANNON_ENTROPY: 11.6221143, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8214965508460433, 'l1_ratio': 0.6838693343622961} - results: ROC_AUC: 0.1829777, PRECISION: 0.0394267, PRECISION_RECALL_MIN_DEN: 0.1427710, RECALL: 0.1387496, MAP: 0.0645551, MRR: 0.1341295, NDCG: 0.0979820, F1: 0.0614043, HIT_RATE: 0.3942667, ARHR: 0.1551320, NOVELTY: 0.0050798, AVERAGE_POPULARITY: 0.0541813, DIVERSITY_MEAN_INTER_LIST: 0.9959450, DIVERSITY_HERFINDAHL: 0.9995769, COVERAGE_ITEM: 0.5652512, COVERAGE_ITEM_CORRECT: 0.0586949, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2064678, DIVERSITY_GINI: 0.2456635, SHANNON_ENTROPY: 12.7285751, 

