
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.03643939574463074, 'l1_ratio': 0.9657675001126571} - results: ROC_AUC: 0.1836366, PRECISION: 0.0396192, PRECISION_RECALL_MIN_DEN: 0.1377907, RECALL: 0.1332774, MAP: 0.0645192, MRR: 0.1370337, NDCG: 0.0969138, F1: 0.0610795, HIT_RATE: 0.3961918, ARHR: 0.1589760, NOVELTY: 0.0048131, AVERAGE_POPULARITY: 0.1020650, DIVERSITY_MEAN_INTER_LIST: 0.9880638, DIVERSITY_HERFINDAHL: 0.9987889, COVERAGE_ITEM: 0.4245467, COVERAGE_ITEM_CORRECT: 0.0481001, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2057632, DIVERSITY_GINI: 0.1337683, SHANNON_ENTROPY: 11.5621193, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.7972001995477705, 'l1_ratio': 0.9049908528598938} - results: ROC_AUC: 0.1739926, PRECISION: 0.0366601, PRECISION_RECALL_MIN_DEN: 0.1353291, RECALL: 0.1317832, MAP: 0.0611846, MRR: 0.1262474, NDCG: 0.0928069, F1: 0.0573625, HIT_RATE: 0.3666008, ARHR: 0.1447120, NOVELTY: 0.0051338, AVERAGE_POPULARITY: 0.0467418, DIVERSITY_MEAN_INTER_LIST: 0.9966130, DIVERSITY_HERFINDAHL: 0.9996437, COVERAGE_ITEM: 0.5758537, COVERAGE_ITEM_CORRECT: 0.0570857, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1961998, DIVERSITY_GINI: 0.2583085, SHANNON_ENTROPY: 12.8506428, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.5456608595319964, 'l1_ratio': 0.04482997268480971} - results: ROC_AUC: 0.1821388, PRECISION: 0.0390567, PRECISION_RECALL_MIN_DEN: 0.1359613, RECALL: 0.1316017, MAP: 0.0638068, MRR: 0.1359597, NDCG: 0.0958809, F1: 0.0602359, HIT_RATE: 0.3905667, ARHR: 0.1574130, NOVELTY: 0.0048013, AVERAGE_POPULARITY: 0.1067730, DIVERSITY_MEAN_INTER_LIST: 0.9863167, DIVERSITY_HERFINDAHL: 0.9986142, COVERAGE_ITEM: 0.4250780, COVERAGE_ITEM_CORRECT: 0.0454591, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2036995, DIVERSITY_GINI: 0.1313160, SHANNON_ENTROPY: 11.4573483, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.425394997965154, 'l1_ratio': 0.955668997364461} - results: ROC_AUC: 0.1990908, PRECISION: 0.0437986, PRECISION_RECALL_MIN_DEN: 0.1553454, RECALL: 0.1506999, MAP: 0.0717564, MRR: 0.1485023, NDCG: 0.1078931, F1: 0.0678707, HIT_RATE: 0.4379862, ARHR: 0.1735254, NOVELTY: 0.0049211, AVERAGE_POPULARITY: 0.0830844, DIVERSITY_MEAN_INTER_LIST: 0.9920249, DIVERSITY_HERFINDAHL: 0.9991850, COVERAGE_ITEM: 0.4892705, COVERAGE_ITEM_CORRECT: 0.0592801, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2244369, DIVERSITY_GINI: 0.1778998, SHANNON_ENTROPY: 12.0808577, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.7190344298901048, 'l1_ratio': 0.645538116131112} - results: ROC_AUC: 0.2009543, PRECISION: 0.0440032, PRECISION_RECALL_MIN_DEN: 0.1583813, RECALL: 0.1539081, MAP: 0.0726606, MRR: 0.1492685, NDCG: 0.1094140, F1: 0.0684381, HIT_RATE: 0.4400317, ARHR: 0.1742878, NOVELTY: 0.0049684, AVERAGE_POPULARITY: 0.0776445, DIVERSITY_MEAN_INTER_LIST: 0.9927193, DIVERSITY_HERFINDAHL: 0.9992544, COVERAGE_ITEM: 0.5114841, COVERAGE_ITEM_CORRECT: 0.0605659, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2262237, DIVERSITY_GINI: 0.1946652, SHANNON_ENTROPY: 12.2288348, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8188560013837327, 'l1_ratio': 0.5812337441990492} - results: ROC_AUC: 0.2010156, PRECISION: 0.0436179, PRECISION_RECALL_MIN_DEN: 0.1574570, RECALL: 0.1530419, MAP: 0.0725022, MRR: 0.1491272, NDCG: 0.1090166, F1: 0.0678865, HIT_RATE: 0.4361795, ARHR: 0.1738721, NOVELTY: 0.0049851, AVERAGE_POPULARITY: 0.0760011, DIVERSITY_MEAN_INTER_LIST: 0.9928528, DIVERSITY_HERFINDAHL: 0.9992677, COVERAGE_ITEM: 0.5200308, COVERAGE_ITEM_CORRECT: 0.0602425, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250409, DIVERSITY_GINI: 0.2007584, SHANNON_ENTROPY: 12.2747937, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.40685858419255005, 'l1_ratio': 0.793511905523171} - results: ROC_AUC: 0.1986295, PRECISION: 0.0438280, PRECISION_RECALL_MIN_DEN: 0.1547577, RECALL: 0.1499711, MAP: 0.0716506, MRR: 0.1486931, NDCG: 0.1075816, F1: 0.0678318, HIT_RATE: 0.4382801, ARHR: 0.1739671, NOVELTY: 0.0048897, AVERAGE_POPULARITY: 0.0894203, DIVERSITY_MEAN_INTER_LIST: 0.9907923, DIVERSITY_HERFINDAHL: 0.9990617, COVERAGE_ITEM: 0.4681193, COVERAGE_ITEM_CORRECT: 0.0575553, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2237574, DIVERSITY_GINI: 0.1627363, SHANNON_ENTROPY: 11.9115199, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.4112317897654889, 'l1_ratio': 0.7577710439922865} - results: ROC_AUC: 0.1983784, PRECISION: 0.0438494, PRECISION_RECALL_MIN_DEN: 0.1549096, RECALL: 0.1500972, MAP: 0.0716282, MRR: 0.1487256, NDCG: 0.1075748, F1: 0.0678702, HIT_RATE: 0.4384940, ARHR: 0.1739984, NOVELTY: 0.0048854, AVERAGE_POPULARITY: 0.0902448, DIVERSITY_MEAN_INTER_LIST: 0.9906159, DIVERSITY_HERFINDAHL: 0.9990441, COVERAGE_ITEM: 0.4654783, COVERAGE_ITEM_CORRECT: 0.0574321, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2238832, DIVERSITY_GINI: 0.1608160, SHANNON_ENTROPY: 11.8888709, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8218637611320783, 'l1_ratio': 0.8322565723203733} - results: ROC_AUC: 0.1787830, PRECISION: 0.0379638, PRECISION_RECALL_MIN_DEN: 0.1390766, RECALL: 0.1353409, MAP: 0.0632464, MRR: 0.1302359, NDCG: 0.0956864, F1: 0.0592948, HIT_RATE: 0.3796383, ARHR: 0.1500634, NOVELTY: 0.0051150, AVERAGE_POPULARITY: 0.0504573, DIVERSITY_MEAN_INTER_LIST: 0.9962469, DIVERSITY_HERFINDAHL: 0.9996071, COVERAGE_ITEM: 0.5697709, COVERAGE_ITEM_CORRECT: 0.0580789, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2003775, DIVERSITY_GINI: 0.2517825, SHANNON_ENTROPY: 12.7889547, 
