
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.43699462328867267, 'l1_ratio': 0.37714371466041674} - results: ROC_AUC: 0.1794774, PRECISION: 0.0386281, PRECISION_RECALL_MIN_DEN: 0.1356670, RECALL: 0.1315124, MAP: 0.0628948, MRR: 0.1328526, NDCG: 0.0948898, F1: 0.0597124, HIT_RATE: 0.3862812, ARHR: 0.1540734, NOVELTY: 0.0048363, AVERAGE_POPULARITY: 0.1116489, DIVERSITY_MEAN_INTER_LIST: 0.9837716, DIVERSITY_HERFINDAHL: 0.9983598, COVERAGE_ITEM: 0.4473532, COVERAGE_ITEM_CORRECT: 0.0448970, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2016610, DIVERSITY_GINI: 0.1470929, SHANNON_ENTROPY: 11.5179052, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.8876374257531751, 'l1_ratio': 0.6558735809749376} - results: ROC_AUC: 0.1887427, PRECISION: 0.0406664, PRECISION_RECALL_MIN_DEN: 0.1481225, RECALL: 0.1440101, MAP: 0.0680485, MRR: 0.1393727, NDCG: 0.1022889, F1: 0.0634226, HIT_RATE: 0.4066641, ARHR: 0.1617370, NOVELTY: 0.0050615, AVERAGE_POPULARITY: 0.0631355, DIVERSITY_MEAN_INTER_LIST: 0.9944317, DIVERSITY_HERFINDAHL: 0.9994256, COVERAGE_ITEM: 0.5564889, COVERAGE_ITEM_CORRECT: 0.0585794, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2121807, DIVERSITY_GINI: 0.2342894, SHANNON_ENTROPY: 12.5752785, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3198760987315625, 'l1_ratio': 0.34071754111025526} - results: ROC_AUC: 0.1723263, PRECISION: 0.0368047, PRECISION_RECALL_MIN_DEN: 0.1287361, RECALL: 0.1247179, MAP: 0.0597614, MRR: 0.1271021, NDCG: 0.0902717, F1: 0.0568339, HIT_RATE: 0.3680473, ARHR: 0.1469149, NOVELTY: 0.0048282, AVERAGE_POPULARITY: 0.1144744, DIVERSITY_MEAN_INTER_LIST: 0.9828293, DIVERSITY_HERFINDAHL: 0.9982656, COVERAGE_ITEM: 0.4401463, COVERAGE_ITEM_CORRECT: 0.0412782, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1935070, DIVERSITY_GINI: 0.1436421, SHANNON_ENTROPY: 11.4669212, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.6945935658618438, 'l1_ratio': 0.2774302625636384} - results: ROC_AUC: 0.1872282, PRECISION: 0.0406597, PRECISION_RECALL_MIN_DEN: 0.1431657, RECALL: 0.1387895, MAP: 0.0663379, MRR: 0.1388400, NDCG: 0.0999070, F1: 0.0628926, HIT_RATE: 0.4065972, ARHR: 0.1617534, NOVELTY: 0.0048374, AVERAGE_POPULARITY: 0.1087035, DIVERSITY_MEAN_INTER_LIST: 0.9847538, DIVERSITY_HERFINDAHL: 0.9984580, COVERAGE_ITEM: 0.4512724, COVERAGE_ITEM_CORRECT: 0.0482849, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2103435, DIVERSITY_GINI: 0.1475370, SHANNON_ENTROPY: 11.5412282, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.8931905818598269, 'l1_ratio': 0.9122896634567205} - results: ROC_AUC: 0.1459309, PRECISION: 0.0307434, PRECISION_RECALL_MIN_DEN: 0.1142943, RECALL: 0.1112507, MAP: 0.0504011, MRR: 0.1039818, NDCG: 0.0770993, F1: 0.0481723, HIT_RATE: 0.3074339, ARHR: 0.1181112, NOVELTY: 0.0052111, AVERAGE_POPULARITY: 0.0330332, DIVERSITY_MEAN_INTER_LIST: 0.9973469, DIVERSITY_HERFINDAHL: 0.9997171, COVERAGE_ITEM: 0.5928239, COVERAGE_ITEM_CORRECT: 0.0513340, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1684913, DIVERSITY_GINI: 0.2774078, SHANNON_ENTROPY: 13.0101112, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.12406959741905846, 'l1_ratio': 0.2061381290298086} - results: ROC_AUC: 0.1636024, PRECISION: 0.0343677, PRECISION_RECALL_MIN_DEN: 0.1208423, RECALL: 0.1171354, MAP: 0.0563574, MRR: 0.1208083, NDCG: 0.0850845, F1: 0.0531383, HIT_RATE: 0.3436767, ARHR: 0.1387814, NOVELTY: 0.0048200, AVERAGE_POPULARITY: 0.1178068, DIVERSITY_MEAN_INTER_LIST: 0.9816252, DIVERSITY_HERFINDAHL: 0.9981452, COVERAGE_ITEM: 0.4336708, COVERAGE_ITEM_CORRECT: 0.0370818, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1830125, DIVERSITY_GINI: 0.1407220, SHANNON_ENTROPY: 11.4171611, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.8747068533551056, 'l1_ratio': 0.15992687474680747} - results: ROC_AUC: 0.1860030, PRECISION: 0.0401588, PRECISION_RECALL_MIN_DEN: 0.1406279, RECALL: 0.1362506, MAP: 0.0658247, MRR: 0.1385827, NDCG: 0.0988495, F1: 0.0620321, HIT_RATE: 0.4015879, ARHR: 0.1610897, NOVELTY: 0.0048177, AVERAGE_POPULARITY: 0.1098818, DIVERSITY_MEAN_INTER_LIST: 0.9844620, DIVERSITY_HERFINDAHL: 0.9984288, COVERAGE_ITEM: 0.4407469, COVERAGE_ITEM_CORRECT: 0.0469451, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2081037, DIVERSITY_GINI: 0.1401319, SHANNON_ENTROPY: 11.4613643, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.8962052835339546, 'l1_ratio': 0.9719531414353073} - results: ROC_AUC: 0.1336340, PRECISION: 0.0281358, PRECISION_RECALL_MIN_DEN: 0.1051683, RECALL: 0.1023429, MAP: 0.0455198, MRR: 0.0941739, NDCG: 0.0701388, F1: 0.0441343, HIT_RATE: 0.2813584, ARHR: 0.1064801, NOVELTY: 0.0052383, AVERAGE_POPULARITY: 0.0273801, DIVERSITY_MEAN_INTER_LIST: 0.9975971, DIVERSITY_HERFINDAHL: 0.9997421, COVERAGE_ITEM: 0.5975053, COVERAGE_ITEM_CORRECT: 0.0491935, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1561092, DIVERSITY_GINI: 0.2828591, SHANNON_ENTROPY: 13.0594016, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.3923890657640009, 'l1_ratio': 0.03763075667346417} - results: ROC_AUC: 0.1685760, PRECISION: 0.0355404, PRECISION_RECALL_MIN_DEN: 0.1237790, RECALL: 0.1199041, MAP: 0.0581519, MRR: 0.1248574, NDCG: 0.0876218, F1: 0.0548250, HIT_RATE: 0.3554041, ARHR: 0.1438575, NOVELTY: 0.0048053, AVERAGE_POPULARITY: 0.1171948, DIVERSITY_MEAN_INTER_LIST: 0.9819475, DIVERSITY_HERFINDAHL: 0.9981774, COVERAGE_ITEM: 0.4332320, COVERAGE_ITEM_CORRECT: 0.0387218, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1879703, DIVERSITY_GINI: 0.1381005, SHANNON_ENTROPY: 11.3812741, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.47209922568528284, 'l1_ratio': 0.4315103976807041} - results: ROC_AUC: 0.1830942, PRECISION: 0.0397587, PRECISION_RECALL_MIN_DEN: 0.1399006, RECALL: 0.1355963, MAP: 0.0646616, MRR: 0.1358645, NDCG: 0.0975452, F1: 0.0614854, HIT_RATE: 0.3975865, ARHR: 0.1578664, NOVELTY: 0.0048478, AVERAGE_POPULARITY: 0.1092915, DIVERSITY_MEAN_INTER_LIST: 0.9845153, DIVERSITY_HERFINDAHL: 0.9984341, COVERAGE_ITEM: 0.4545679, COVERAGE_ITEM_CORRECT: 0.0470683, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2062917, DIVERSITY_GINI: 0.1513208, SHANNON_ENTROPY: 11.5760467, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.7660403193001846, 'l1_ratio': 0.13360357420212546} - results: ROC_AUC: 0.1808091, PRECISION: 0.0388789, PRECISION_RECALL_MIN_DEN: 0.1359451, RECALL: 0.1316469, MAP: 0.0635233, MRR: 0.1346738, NDCG: 0.0955485, F1: 0.0600277, HIT_RATE: 0.3887891, ARHR: 0.1562396, NOVELTY: 0.0048086, AVERAGE_POPULARITY: 0.1126084, DIVERSITY_MEAN_INTER_LIST: 0.9835723, DIVERSITY_HERFINDAHL: 0.9983398, COVERAGE_ITEM: 0.4379211, COVERAGE_ITEM_CORRECT: 0.0445582, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2020385, DIVERSITY_GINI: 0.1385660, SHANNON_ENTROPY: 11.4193468, 
