
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.9936543063919098, 'l1_ratio': 0.3973183530526363} - results: ROC_AUC: 0.1987535, PRECISION: 0.0432999, PRECISION_RECALL_MIN_DEN: 0.1565914, RECALL: 0.1521704, MAP: 0.0721951, MRR: 0.1484290, NDCG: 0.1083974, F1: 0.0674161, HIT_RATE: 0.4329991, ARHR: 0.1727170, NOVELTY: 0.0049654, AVERAGE_POPULARITY: 0.0829804, DIVERSITY_MEAN_INTER_LIST: 0.9909740, DIVERSITY_HERFINDAHL: 0.9990799, COVERAGE_ITEM: 0.5190991, COVERAGE_ITEM_CORRECT: 0.0581174, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2239839, DIVERSITY_GINI: 0.1964029, SHANNON_ENTROPY: 12.1493726, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.8262850659369521, 'l1_ratio': 0.5124605553755365} - results: ROC_AUC: 0.1986269, PRECISION: 0.0430838, PRECISION_RECALL_MIN_DEN: 0.1558043, RECALL: 0.1514046, MAP: 0.0721684, MRR: 0.1477919, NDCG: 0.1081162, F1: 0.0670781, HIT_RATE: 0.4308377, ARHR: 0.1723102, NOVELTY: 0.0049611, AVERAGE_POPULARITY: 0.0840635, DIVERSITY_MEAN_INTER_LIST: 0.9907338, DIVERSITY_HERFINDAHL: 0.9990559, COVERAGE_ITEM: 0.5236189, COVERAGE_ITEM_CORRECT: 0.0575476, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2222474, DIVERSITY_GINI: 0.1996065, SHANNON_ENTROPY: 12.1628491, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.4361174920973624, 'l1_ratio': 0.696571022893333} - results: ROC_AUC: 0.1882842, PRECISION: 0.0415109, PRECISION_RECALL_MIN_DEN: 0.1469290, RECALL: 0.1425612, MAP: 0.0675897, MRR: 0.1397712, NDCG: 0.1018958, F1: 0.0642979, HIT_RATE: 0.4151093, ARHR: 0.1629245, NOVELTY: 0.0048833, AVERAGE_POPULARITY: 0.1030954, DIVERSITY_MEAN_INTER_LIST: 0.9861716, DIVERSITY_HERFINDAHL: 0.9985997, COVERAGE_ITEM: 0.4825409, COVERAGE_ITEM_CORRECT: 0.0514110, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2141689, DIVERSITY_GINI: 0.1694325, SHANNON_ENTROPY: 11.7777731, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.07249111387765074, 'l1_ratio': 0.38863746758918505} - results: ROC_AUC: 0.1620657, PRECISION: 0.0340313, PRECISION_RECALL_MIN_DEN: 0.1195884, RECALL: 0.1159014, MAP: 0.0556564, MRR: 0.1196750, NDCG: 0.0841582, F1: 0.0526101, HIT_RATE: 0.3403131, ARHR: 0.1372914, NOVELTY: 0.0048325, AVERAGE_POPULARITY: 0.1177622, DIVERSITY_MEAN_INTER_LIST: 0.9815148, DIVERSITY_HERFINDAHL: 0.9981341, COVERAGE_ITEM: 0.4435496, COVERAGE_ITEM_CORRECT: 0.0365890, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1817038, DIVERSITY_GINI: 0.1455576, SHANNON_ENTROPY: 11.4515266, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.8365362454619361, 'l1_ratio': 0.37795417054962355} - results: ROC_AUC: 0.1990491, PRECISION: 0.0434906, PRECISION_RECALL_MIN_DEN: 0.1552307, RECALL: 0.1507541, MAP: 0.0724716, MRR: 0.1489080, NDCG: 0.1084188, F1: 0.0675045, HIT_RATE: 0.4349060, ARHR: 0.1736980, NOVELTY: 0.0048965, AVERAGE_POPULARITY: 0.0976537, DIVERSITY_MEAN_INTER_LIST: 0.9876193, DIVERSITY_HERFINDAHL: 0.9987445, COVERAGE_ITEM: 0.4920346, COVERAGE_ITEM_CORRECT: 0.0556304, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2232541, DIVERSITY_GINI: 0.1732013, SHANNON_ENTROPY: 11.8417505, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.684235651741088, 'l1_ratio': 0.43243819552963747} - results: ROC_AUC: 0.1952726, PRECISION: 0.0427987, PRECISION_RECALL_MIN_DEN: 0.1521765, RECALL: 0.1477114, MAP: 0.0706045, MRR: 0.1453893, NDCG: 0.1059493, F1: 0.0663658, HIT_RATE: 0.4279867, ARHR: 0.1696608, NOVELTY: 0.0048807, AVERAGE_POPULARITY: 0.1018982, DIVERSITY_MEAN_INTER_LIST: 0.9865300, DIVERSITY_HERFINDAHL: 0.9986356, COVERAGE_ITEM: 0.4847507, COVERAGE_ITEM_CORRECT: 0.0536670, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2201837, DIVERSITY_GINI: 0.1685058, SHANNON_ENTROPY: 11.7685304, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4560042476429096, 'l1_ratio': 0.8644108310681283} - results: ROC_AUC: 0.1919297, PRECISION: 0.0420584, PRECISION_RECALL_MIN_DEN: 0.1499411, RECALL: 0.1455504, MAP: 0.0690065, MRR: 0.1423897, NDCG: 0.1039124, F1: 0.0652577, HIT_RATE: 0.4205839, ARHR: 0.1661200, NOVELTY: 0.0049184, AVERAGE_POPULARITY: 0.0946667, DIVERSITY_MEAN_INTER_LIST: 0.9883059, DIVERSITY_HERFINDAHL: 0.9988131, COVERAGE_ITEM: 0.5052782, COVERAGE_ITEM_CORRECT: 0.0542445, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2168114, DIVERSITY_GINI: 0.1862038, SHANNON_ENTROPY: 11.9813427, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.26999906110067057, 'l1_ratio': 0.4016095637621111} - results: ROC_AUC: 0.1710137, PRECISION: 0.0363317, PRECISION_RECALL_MIN_DEN: 0.1278162, RECALL: 0.1238953, MAP: 0.0592828, MRR: 0.1260999, NDCG: 0.0895681, F1: 0.0561831, HIT_RATE: 0.3633167, ARHR: 0.1455195, NOVELTY: 0.0048354, AVERAGE_POPULARITY: 0.1154265, DIVERSITY_MEAN_INTER_LIST: 0.9824030, DIVERSITY_HERFINDAHL: 0.9982229, COVERAGE_ITEM: 0.4470452, COVERAGE_ITEM_CORRECT: 0.0406160, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1916950, DIVERSITY_GINI: 0.1470186, SHANNON_ENTROPY: 11.4814569, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.0017329972776888307, 'l1_ratio': 0.6094674562935328} - results: ROC_AUC: 0.1593645, PRECISION: 0.0333385, PRECISION_RECALL_MIN_DEN: 0.1172098, RECALL: 0.1136130, MAP: 0.0546607, MRR: 0.1177508, NDCG: 0.0826278, F1: 0.0515460, HIT_RATE: 0.3333853, ARHR: 0.1348343, NOVELTY: 0.0048321, AVERAGE_POPULARITY: 0.1181938, DIVERSITY_MEAN_INTER_LIST: 0.9813221, DIVERSITY_HERFINDAHL: 0.9981149, COVERAGE_ITEM: 0.4428104, COVERAGE_ITEM_CORRECT: 0.0355111, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1785579, DIVERSITY_GINI: 0.1454221, SHANNON_ENTROPY: 11.4482625, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.8248219265616767, 'l1_ratio': 0.639159858632235} - results: ROC_AUC: 0.1910628, PRECISION: 0.0412000, PRECISION_RECALL_MIN_DEN: 0.1496326, RECALL: 0.1454124, MAP: 0.0687023, MRR: 0.1409975, NDCG: 0.1032990, F1: 0.0642073, HIT_RATE: 0.4119995, ARHR: 0.1638831, NOVELTY: 0.0050268, AVERAGE_POPULARITY: 0.0697481, DIVERSITY_MEAN_INTER_LIST: 0.9933667, DIVERSITY_HERFINDAHL: 0.9993191, COVERAGE_ITEM: 0.5487045, COVERAGE_ITEM_CORRECT: 0.0577247, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2144960, DIVERSITY_GINI: 0.2256634, SHANNON_ENTROPY: 12.4638700, 
