
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.03643939574463074, 'l1_ratio': 0.9657675001126571} - results: ROC_AUC: 0.1836234, PRECISION: 0.0396228, PRECISION_RECALL_MIN_DEN: 0.1377943, RECALL: 0.1332807, MAP: 0.0645255, MRR: 0.1370432, NDCG: 0.0969216, F1: 0.0610841, HIT_RATE: 0.3962275, ARHR: 0.1589814, NOVELTY: 0.0048131, AVERAGE_POPULARITY: 0.1020738, DIVERSITY_MEAN_INTER_LIST: 0.9880630, DIVERSITY_HERFINDAHL: 0.9987888, COVERAGE_ITEM: 0.4246237, COVERAGE_ITEM_CORRECT: 0.0481001, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2057883, DIVERSITY_GINI: 0.1338051, SHANNON_ENTROPY: 11.5623815, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.7972001995477705, 'l1_ratio': 0.9049908528598938} - results: ROC_AUC: 0.1752110, PRECISION: 0.0369248, PRECISION_RECALL_MIN_DEN: 0.1366327, RECALL: 0.1330775, MAP: 0.0618406, MRR: 0.1273472, NDCG: 0.0937249, F1: 0.0578090, HIT_RATE: 0.3692484, ARHR: 0.1459076, NOVELTY: 0.0051229, AVERAGE_POPULARITY: 0.0485911, DIVERSITY_MEAN_INTER_LIST: 0.9964202, DIVERSITY_HERFINDAHL: 0.9996244, COVERAGE_ITEM: 0.5747603, COVERAGE_ITEM_CORRECT: 0.0569625, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1976343, DIVERSITY_GINI: 0.2565903, SHANNON_ENTROPY: 12.8280216, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.5456608595319964, 'l1_ratio': 0.04482997268480971} - results: ROC_AUC: 0.1797545, PRECISION: 0.0383287, PRECISION_RECALL_MIN_DEN: 0.1339399, RECALL: 0.1297642, MAP: 0.0629107, MRR: 0.1337158, NDCG: 0.0945606, F1: 0.0591758, HIT_RATE: 0.3832871, ARHR: 0.1545536, NOVELTY: 0.0048071, AVERAGE_POPULARITY: 0.1112367, DIVERSITY_MEAN_INTER_LIST: 0.9848634, DIVERSITY_HERFINDAHL: 0.9984689, COVERAGE_ITEM: 0.4376054, COVERAGE_ITEM_CORRECT: 0.0438884, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2007047, DIVERSITY_GINI: 0.1382801, SHANNON_ENTROPY: 11.4687483, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.425394997965154, 'l1_ratio': 0.955668997364461} - results: ROC_AUC: 0.1991852, PRECISION: 0.0438727, PRECISION_RECALL_MIN_DEN: 0.1559316, RECALL: 0.1512932, MAP: 0.0719036, MRR: 0.1486666, NDCG: 0.1081357, F1: 0.0680198, HIT_RATE: 0.4387271, ARHR: 0.1737079, NOVELTY: 0.0049199, AVERAGE_POPULARITY: 0.0833679, DIVERSITY_MEAN_INTER_LIST: 0.9919664, DIVERSITY_HERFINDAHL: 0.9991791, COVERAGE_ITEM: 0.4895861, COVERAGE_ITEM_CORRECT: 0.0593032, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2250157, DIVERSITY_GINI: 0.1779662, SHANNON_ENTROPY: 12.0782801, 

SearchBayesianSkopt-CV: New best config found. Config 4: {'alpha': 0.7190344298901048, 'l1_ratio': 0.645538116131112} - results: ROC_AUC: 0.2023093, PRECISION: 0.0442186, PRECISION_RECALL_MIN_DEN: 0.1589482, RECALL: 0.1544515, MAP: 0.0733670, MRR: 0.1502864, NDCG: 0.1101779, F1: 0.0687529, HIT_RATE: 0.4421861, ARHR: 0.1754744, NOVELTY: 0.0049493, AVERAGE_POPULARITY: 0.0818349, DIVERSITY_MEAN_INTER_LIST: 0.9918388, DIVERSITY_HERFINDAHL: 0.9991664, COVERAGE_ITEM: 0.5156343, COVERAGE_ITEM_CORRECT: 0.0596651, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2271297, DIVERSITY_GINI: 0.1952911, SHANNON_ENTROPY: 12.1884864, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.8188560013837327, 'l1_ratio': 0.5812337441990492} - results: ROC_AUC: 0.2002518, PRECISION: 0.0436256, PRECISION_RECALL_MIN_DEN: 0.1565483, RECALL: 0.1521074, MAP: 0.0727089, MRR: 0.1492003, NDCG: 0.1089679, F1: 0.0678034, HIT_RATE: 0.4362556, ARHR: 0.1741330, NOVELTY: 0.0049581, AVERAGE_POPULARITY: 0.0818171, DIVERSITY_MEAN_INTER_LIST: 0.9916293, DIVERSITY_HERFINDAHL: 0.9991454, COVERAGE_ITEM: 0.5233340, COVERAGE_ITEM_CORRECT: 0.0588797, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2239587, DIVERSITY_GINI: 0.2007854, SHANNON_ENTROPY: 12.2156392, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.40685858419255005, 'l1_ratio': 0.793511905523171} - results: ROC_AUC: 0.1993671, PRECISION: 0.0439480, PRECISION_RECALL_MIN_DEN: 0.1553498, RECALL: 0.1505885, MAP: 0.0719810, MRR: 0.1493518, NDCG: 0.1080684, F1: 0.0680385, HIT_RATE: 0.4394801, ARHR: 0.1745316, NOVELTY: 0.0048845, AVERAGE_POPULARITY: 0.0906256, DIVERSITY_MEAN_INTER_LIST: 0.9905042, DIVERSITY_HERFINDAHL: 0.9990329, COVERAGE_ITEM: 0.4691742, COVERAGE_ITEM_CORRECT: 0.0575399, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2248899, DIVERSITY_GINI: 0.1629762, SHANNON_ENTROPY: 11.8996977, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.4112317897654889, 'l1_ratio': 0.7577710439922865} - results: ROC_AUC: 0.1994799, PRECISION: 0.0439263, PRECISION_RECALL_MIN_DEN: 0.1552424, RECALL: 0.1504877, MAP: 0.0719810, MRR: 0.1493302, NDCG: 0.1080343, F1: 0.0680024, HIT_RATE: 0.4392634, ARHR: 0.1745234, NOVELTY: 0.0048797, AVERAGE_POPULARITY: 0.0916962, DIVERSITY_MEAN_INTER_LIST: 0.9902673, DIVERSITY_HERFINDAHL: 0.9990092, COVERAGE_ITEM: 0.4674264, COVERAGE_ITEM_CORRECT: 0.0571781, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2247892, DIVERSITY_GINI: 0.1612819, SHANNON_ENTROPY: 11.8755817, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.8218637611320783, 'l1_ratio': 0.8322565723203733} - results: ROC_AUC: 0.1814371, PRECISION: 0.0382281, PRECISION_RECALL_MIN_DEN: 0.1410864, RECALL: 0.1373986, MAP: 0.0641778, MRR: 0.1320442, NDCG: 0.0970659, F1: 0.0598141, HIT_RATE: 0.3822813, ARHR: 0.1518092, NOVELTY: 0.0050955, AVERAGE_POPULARITY: 0.0538149, DIVERSITY_MEAN_INTER_LIST: 0.9958484, DIVERSITY_HERFINDAHL: 0.9995672, COVERAGE_ITEM: 0.5680770, COVERAGE_ITEM_CORRECT: 0.0574321, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032968, DIVERSITY_GINI: 0.2489028, SHANNON_ENTROPY: 12.7470461, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.6819856529570759, 'l1_ratio': 0.44238277727685327} - results: ROC_AUC: 0.1994030, PRECISION: 0.0436502, PRECISION_RECALL_MIN_DEN: 0.1540118, RECALL: 0.1493949, MAP: 0.0719150, MRR: 0.1487599, NDCG: 0.1077517, F1: 0.0675593, HIT_RATE: 0.4365021, ARHR: 0.1737538, NOVELTY: 0.0048773, AVERAGE_POPULARITY: 0.0974178, DIVERSITY_MEAN_INTER_LIST: 0.9884925, DIVERSITY_HERFINDAHL: 0.9988318, COVERAGE_ITEM: 0.4774206, COVERAGE_ITEM_CORRECT: 0.0554533, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2232289, DIVERSITY_GINI: 0.1650590, SHANNON_ENTROPY: 11.8220278, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.6617060766181961, 'l1_ratio': 0.2104588895039497} - results: ROC_AUC: 0.1865656, PRECISION: 0.0404482, PRECISION_RECALL_MIN_DEN: 0.1411741, RECALL: 0.1367793, MAP: 0.0659767, MRR: 0.1389071, NDCG: 0.0992167, F1: 0.0624317, HIT_RATE: 0.4044824, ARHR: 0.1613545, NOVELTY: 0.0048319, AVERAGE_POPULARITY: 0.1078455, DIVERSITY_MEAN_INTER_LIST: 0.9857017, DIVERSITY_HERFINDAHL: 0.9985528, COVERAGE_ITEM: 0.4493859, COVERAGE_ITEM_CORRECT: 0.0481694, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2096137, DIVERSITY_GINI: 0.1466641, SHANNON_ENTROPY: 11.5725435, 
