
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.26828988739721565, 'l1_ratio': 0.4571449900532487} - results: ROC_AUC: 0.1885071, PRECISION: 0.0403497, PRECISION_RECALL_MIN_DEN: 0.1425806, RECALL: 0.1382092, MAP: 0.0667874, MRR: 0.1398762, NDCG: 0.1001487, F1: 0.0624621, HIT_RATE: 0.4034969, ARHR: 0.1623895, NOVELTY: 0.0047979, AVERAGE_POPULARITY: 0.1134721, DIVERSITY_MEAN_INTER_LIST: 0.9832059, DIVERSITY_HERFINDAHL: 0.9983032, COVERAGE_ITEM: 0.4380520, COVERAGE_ITEM_CORRECT: 0.0472531, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2096640, DIVERSITY_GINI: 0.1350033, SHANNON_ENTROPY: 11.3588413, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.05908260514723419, 'l1_ratio': 0.3179618444606948} - results: ROC_AUC: 0.1767278, PRECISION: 0.0372288, PRECISION_RECALL_MIN_DEN: 0.1313174, RECALL: 0.1272538, MAP: 0.0614308, MRR: 0.1307785, NDCG: 0.0924151, F1: 0.0576029, HIT_RATE: 0.3722880, ARHR: 0.1509012, NOVELTY: 0.0047690, AVERAGE_POPULARITY: 0.1201572, DIVERSITY_MEAN_INTER_LIST: 0.9807603, DIVERSITY_HERFINDAHL: 0.9980587, COVERAGE_ITEM: 0.4389374, COVERAGE_ITEM_CORRECT: 0.0413474, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965270, DIVERSITY_GINI: 0.1316968, SHANNON_ENTROPY: 11.2312797, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.019496507028062385, 'l1_ratio': 0.8427789785191961} - results: ROC_AUC: 0.1762754, PRECISION: 0.0371335, PRECISION_RECALL_MIN_DEN: 0.1309176, RECALL: 0.1268663, MAP: 0.0611758, MRR: 0.1303785, NDCG: 0.0920941, F1: 0.0574490, HIT_RATE: 0.3713350, ARHR: 0.1504057, NOVELTY: 0.0047698, AVERAGE_POPULARITY: 0.1203904, DIVERSITY_MEAN_INTER_LIST: 0.9806157, DIVERSITY_HERFINDAHL: 0.9980442, COVERAGE_ITEM: 0.4406006, COVERAGE_ITEM_CORRECT: 0.0411935, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1961747, DIVERSITY_GINI: 0.1324752, SHANNON_ENTROPY: 11.2325391, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.05696292141852301, 'l1_ratio': 0.671700856886008} - results: ROC_AUC: 0.1784115, PRECISION: 0.0377802, PRECISION_RECALL_MIN_DEN: 0.1331970, RECALL: 0.1291015, MAP: 0.0622560, MRR: 0.1323034, NDCG: 0.0936742, F1: 0.0584529, HIT_RATE: 0.3778024, ARHR: 0.1527808, NOVELTY: 0.0047715, AVERAGE_POPULARITY: 0.1193860, DIVERSITY_MEAN_INTER_LIST: 0.9810294, DIVERSITY_HERFINDAHL: 0.9980856, COVERAGE_ITEM: 0.4365351, COVERAGE_ITEM_CORRECT: 0.0422483, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1988172, DIVERSITY_GINI: 0.1313693, SHANNON_ENTROPY: 11.2436726, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.014017039016617553, 'l1_ratio': 0.8736357573868846} - results: ROC_AUC: 0.1757772, PRECISION: 0.0370310, PRECISION_RECALL_MIN_DEN: 0.1305328, RECALL: 0.1265012, MAP: 0.0609745, MRR: 0.1301007, NDCG: 0.0918237, F1: 0.0572891, HIT_RATE: 0.3703103, ARHR: 0.1500733, NOVELTY: 0.0047700, AVERAGE_POPULARITY: 0.1205672, DIVERSITY_MEAN_INTER_LIST: 0.9805431, DIVERSITY_HERFINDAHL: 0.9980370, COVERAGE_ITEM: 0.4416631, COVERAGE_ITEM_CORRECT: 0.0410010, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1955707, DIVERSITY_GINI: 0.1327835, SHANNON_ENTROPY: 11.2311101, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'alpha': 0.2805043940038669, 'l1_ratio': 0.602857710397811} - results: ROC_AUC: 0.1934382, PRECISION: 0.0417416, PRECISION_RECALL_MIN_DEN: 0.1480793, RECALL: 0.1436309, MAP: 0.0695666, MRR: 0.1444190, NDCG: 0.1039833, F1: 0.0646839, HIT_RATE: 0.4174156, ARHR: 0.1679988, NOVELTY: 0.0048210, AVERAGE_POPULARITY: 0.1096480, DIVERSITY_MEAN_INTER_LIST: 0.9843737, DIVERSITY_HERFINDAHL: 0.9984200, COVERAGE_ITEM: 0.4482926, COVERAGE_ITEM_CORRECT: 0.0502098, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2157795, DIVERSITY_GINI: 0.1421115, SHANNON_ENTROPY: 11.4642232, 

SearchBayesianSkopt-CV: New best config found. Config 6: {'alpha': 0.7207533593673575, 'l1_ratio': 0.5493807694614079} - results: ROC_AUC: 0.1949702, PRECISION: 0.0420508, PRECISION_RECALL_MIN_DEN: 0.1535644, RECALL: 0.1493488, MAP: 0.0704243, MRR: 0.1441428, NDCG: 0.1059069, F1: 0.0656237, HIT_RATE: 0.4205077, ARHR: 0.1674456, NOVELTY: 0.0049904, AVERAGE_POPULARITY: 0.0739626, DIVERSITY_MEAN_INTER_LIST: 0.9928385, DIVERSITY_HERFINDAHL: 0.9992663, COVERAGE_ITEM: 0.5255669, COVERAGE_ITEM_CORRECT: 0.0583407, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2186485, DIVERSITY_GINI: 0.2056481, SHANNON_ENTROPY: 12.3024351, 

SearchBayesianSkopt-CV: New best config found. Config 7: {'alpha': 0.6067308286086392, 'l1_ratio': 0.6099229682620531} - results: ROC_AUC: 0.1983450, PRECISION: 0.0431468, PRECISION_RECALL_MIN_DEN: 0.1565611, RECALL: 0.1522012, MAP: 0.0721348, MRR: 0.1477776, NDCG: 0.1083002, F1: 0.0672332, HIT_RATE: 0.4314678, ARHR: 0.1720642, NOVELTY: 0.0049628, AVERAGE_POPULARITY: 0.0808541, DIVERSITY_MEAN_INTER_LIST: 0.9915297, DIVERSITY_HERFINDAHL: 0.9991355, COVERAGE_ITEM: 0.5144793, COVERAGE_ITEM_CORRECT: 0.0584562, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2230779, DIVERSITY_GINI: 0.1945317, SHANNON_ENTROPY: 12.1616205, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.6207825292161291, 'l1_ratio': 0.6318334346512823} - results: ROC_AUC: 0.1971592, PRECISION: 0.0426981, PRECISION_RECALL_MIN_DEN: 0.1550119, RECALL: 0.1507008, MAP: 0.0714395, MRR: 0.1465548, NDCG: 0.1072902, F1: 0.0665421, HIT_RATE: 0.4269808, ARHR: 0.1704264, NOVELTY: 0.0049789, AVERAGE_POPULARITY: 0.0776245, DIVERSITY_MEAN_INTER_LIST: 0.9921389, DIVERSITY_HERFINDAHL: 0.9991964, COVERAGE_ITEM: 0.5214937, COVERAGE_ITEM_CORRECT: 0.0585255, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2212407, DIVERSITY_GINI: 0.2010016, SHANNON_ENTROPY: 12.2361655, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'alpha': 0.6040911677381215, 'l1_ratio': 0.8031884873542092} - results: ROC_AUC: 0.1895665, PRECISION: 0.0408781, PRECISION_RECALL_MIN_DEN: 0.1493643, RECALL: 0.1452219, MAP: 0.0680874, MRR: 0.1399482, NDCG: 0.1026615, F1: 0.0637976, HIT_RATE: 0.4087810, ARHR: 0.1622899, NOVELTY: 0.0050399, AVERAGE_POPULARITY: 0.0659353, DIVERSITY_MEAN_INTER_LIST: 0.9940262, DIVERSITY_HERFINDAHL: 0.9993851, COVERAGE_ITEM: 0.5467411, COVERAGE_ITEM_CORRECT: 0.0580173, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2136404, DIVERSITY_GINI: 0.2251393, SHANNON_ENTROPY: 12.4922987, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'alpha': 0.9956991740280655, 'l1_ratio': 0.12649208537902093} - results: ROC_AUC: 0.1917548, PRECISION: 0.0416219, PRECISION_RECALL_MIN_DEN: 0.1478259, RECALL: 0.1434038, MAP: 0.0692766, MRR: 0.1437786, NDCG: 0.1035966, F1: 0.0645141, HIT_RATE: 0.4162189, ARHR: 0.1673788, NOVELTY: 0.0048361, AVERAGE_POPULARITY: 0.0991260, DIVERSITY_MEAN_INTER_LIST: 0.9879719, DIVERSITY_HERFINDAHL: 0.9987797, COVERAGE_ITEM: 0.4438961, COVERAGE_ITEM_CORRECT: 0.0527738, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2140934, DIVERSITY_GINI: 0.1416932, SHANNON_ENTROPY: 11.5934223, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'alpha': 0.6682031330799628, 'l1_ratio': 0.8715186136391868} - results: ROC_AUC: 0.1762228, PRECISION: 0.0375877, PRECISION_RECALL_MIN_DEN: 0.1374344, RECALL: 0.1336149, MAP: 0.0621848, MRR: 0.1282887, NDCG: 0.0941808, F1: 0.0586700, HIT_RATE: 0.3758767, ARHR: 0.1481182, NOVELTY: 0.0051069, AVERAGE_POPULARITY: 0.0526487, DIVERSITY_MEAN_INTER_LIST: 0.9957414, DIVERSITY_HERFINDAHL: 0.9995565, COVERAGE_ITEM: 0.5676150, COVERAGE_ITEM_CORRECT: 0.0561848, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1986662, DIVERSITY_GINI: 0.2485056, SHANNON_ENTROPY: 12.7355322, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'alpha': 0.6513220791614658, 'l1_ratio': 0.11807413642731027} - results: ROC_AUC: 0.1861689, PRECISION: 0.0399645, PRECISION_RECALL_MIN_DEN: 0.1404904, RECALL: 0.1360805, MAP: 0.0657541, MRR: 0.1385723, NDCG: 0.0986809, F1: 0.0617814, HIT_RATE: 0.3996450, ARHR: 0.1608296, NOVELTY: 0.0047834, AVERAGE_POPULARITY: 0.1122658, DIVERSITY_MEAN_INTER_LIST: 0.9840147, DIVERSITY_HERFINDAHL: 0.9983841, COVERAGE_ITEM: 0.4227603, COVERAGE_ITEM_CORRECT: 0.0464986, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2079275, DIVERSITY_GINI: 0.1263822, SHANNON_ENTROPY: 11.3067542, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'alpha': 0.9507622604644629, 'l1_ratio': 0.24057568345234842} - results: ROC_AUC: 0.1960771, PRECISION: 0.0425421, PRECISION_RECALL_MIN_DEN: 0.1535116, RECALL: 0.1492254, MAP: 0.0712191, MRR: 0.1460792, NDCG: 0.1067450, F1: 0.0662076, HIT_RATE: 0.4254209, ARHR: 0.1699937, NOVELTY: 0.0049031, AVERAGE_POPULARITY: 0.0874391, DIVERSITY_MEAN_INTER_LIST: 0.9905000, DIVERSITY_HERFINDAHL: 0.9990325, COVERAGE_ITEM: 0.4825409, COVERAGE_ITEM_CORRECT: 0.0566545, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2194539, DIVERSITY_GINI: 0.1699103, SHANNON_ENTROPY: 11.9308727, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'alpha': 0.634861087597642, 'l1_ratio': 0.6482696847855797} - results: ROC_AUC: 0.1957740, PRECISION: 0.0422777, PRECISION_RECALL_MIN_DEN: 0.1537688, RECALL: 0.1495025, MAP: 0.0708044, MRR: 0.1452282, NDCG: 0.1063550, F1: 0.0659148, HIT_RATE: 0.4227767, ARHR: 0.1687925, NOVELTY: 0.0049927, AVERAGE_POPULARITY: 0.0746276, DIVERSITY_MEAN_INTER_LIST: 0.9926765, DIVERSITY_HERFINDAHL: 0.9992501, COVERAGE_ITEM: 0.5272377, COVERAGE_ITEM_CORRECT: 0.0584254, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2193784, DIVERSITY_GINI: 0.2066772, SHANNON_ENTROPY: 12.3015359, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'alpha': 0.8510736579986046, 'l1_ratio': 0.3840570923774175} - results: ROC_AUC: 0.1958346, PRECISION: 0.0422376, PRECISION_RECALL_MIN_DEN: 0.1536400, RECALL: 0.1494407, MAP: 0.0709363, MRR: 0.1449676, NDCG: 0.1064595, F1: 0.0658598, HIT_RATE: 0.4223758, ARHR: 0.1684624, NOVELTY: 0.0049571, AVERAGE_POPULARITY: 0.0783867, DIVERSITY_MEAN_INTER_LIST: 0.9921526, DIVERSITY_HERFINDAHL: 0.9991977, COVERAGE_ITEM: 0.5105910, COVERAGE_ITEM_CORRECT: 0.0578633, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2190260, DIVERSITY_GINI: 0.1927786, SHANNON_ENTROPY: 12.1782554, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'alpha': 0.5429876866905942, 'l1_ratio': 0.7144362093074291} - results: ROC_AUC: 0.1980529, PRECISION: 0.0431009, PRECISION_RECALL_MIN_DEN: 0.1563788, RECALL: 0.1520114, MAP: 0.0719154, MRR: 0.1473182, NDCG: 0.1080491, F1: 0.0671591, HIT_RATE: 0.4310092, ARHR: 0.1715435, NOVELTY: 0.0049702, AVERAGE_POPULARITY: 0.0802502, DIVERSITY_MEAN_INTER_LIST: 0.9916061, DIVERSITY_HERFINDAHL: 0.9991431, COVERAGE_ITEM: 0.5183523, COVERAGE_ITEM_CORRECT: 0.0584947, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2228514, DIVERSITY_GINI: 0.1974184, SHANNON_ENTROPY: 12.1857147, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'alpha': 0.20761376529735692, 'l1_ratio': 0.945561296908026} - results: ROC_AUC: 0.1944094, PRECISION: 0.0420279, PRECISION_RECALL_MIN_DEN: 0.1491606, RECALL: 0.1447150, MAP: 0.0700086, MRR: 0.1453566, NDCG: 0.1047017, F1: 0.0651373, HIT_RATE: 0.4202792, ARHR: 0.1691891, NOVELTY: 0.0048349, AVERAGE_POPULARITY: 0.1080415, DIVERSITY_MEAN_INTER_LIST: 0.9847517, DIVERSITY_HERFINDAHL: 0.9984578, COVERAGE_ITEM: 0.4556689, COVERAGE_ITEM_CORRECT: 0.0511415, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2165849, DIVERSITY_GINI: 0.1470770, SHANNON_ENTROPY: 11.5224299, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'alpha': 0.11832844735954243, 'l1_ratio': 0.589088933616775} - results: ROC_AUC: 0.1821273, PRECISION: 0.0387271, PRECISION_RECALL_MIN_DEN: 0.1368085, RECALL: 0.1325992, MAP: 0.0638747, MRR: 0.1348984, NDCG: 0.0960341, F1: 0.0599444, HIT_RATE: 0.3872706, ARHR: 0.1561022, NOVELTY: 0.0047780, AVERAGE_POPULARITY: 0.1177074, DIVERSITY_MEAN_INTER_LIST: 0.9816690, DIVERSITY_HERFINDAHL: 0.9981496, COVERAGE_ITEM: 0.4345640, COVERAGE_ITEM_CORRECT: 0.0440269, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2027432, DIVERSITY_GINI: 0.1314585, SHANNON_ENTROPY: 11.2715073, 

SearchBayesianSkopt-CV: New best config found. Config 19: {'alpha': 0.5574853559798421, 'l1_ratio': 0.5221328226891215} - results: ROC_AUC: 0.2002565, PRECISION: 0.0438234, PRECISION_RECALL_MIN_DEN: 0.1570835, RECALL: 0.1525865, MAP: 0.0730215, MRR: 0.1502327, NDCG: 0.1093668, F1: 0.0680903, HIT_RATE: 0.4382335, ARHR: 0.1751979, NOVELTY: 0.0049079, AVERAGE_POPULARITY: 0.0918504, DIVERSITY_MEAN_INTER_LIST: 0.9892048, DIVERSITY_HERFINDAHL: 0.9989030, COVERAGE_ITEM: 0.4887546, COVERAGE_ITEM_CORRECT: 0.0569779, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2253932, DIVERSITY_GINI: 0.1722509, SHANNON_ENTROPY: 11.8945811, 
