
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.6380690894052148, 'l1_ratio': 0.7255375361166854} - results: ROC_AUC: 0.1937789, PRECISION: 0.0417410, PRECISION_RECALL_MIN_DEN: 0.1510412, RECALL: 0.1467831, MAP: 0.0698855, MRR: 0.1431853, NDCG: 0.1048416, F1: 0.0649970, HIT_RATE: 0.4174096, ARHR: 0.1664487, NOVELTY: 0.0049701, AVERAGE_POPULARITY: 0.0805065, DIVERSITY_MEAN_INTER_LIST: 0.9915006, DIVERSITY_HERFINDAHL: 0.9991325, COVERAGE_ITEM: 0.5310491, COVERAGE_ITEM_CORRECT: 0.0565621, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2172644, DIVERSITY_GINI: 0.2078420, SHANNON_ENTROPY: 12.2599375, 

SearchBayesianSkopt-CV: New best config found. Config 1: {'alpha': 0.7649229348362526, 'l1_ratio': 0.3691161395138883} - results: ROC_AUC: 0.1988851, PRECISION: 0.0431616, PRECISION_RECALL_MIN_DEN: 0.1548053, RECALL: 0.1503879, MAP: 0.0722502, MRR: 0.1481549, NDCG: 0.1080372, F1: 0.0670701, HIT_RATE: 0.4316162, ARHR: 0.1727388, NOVELTY: 0.0048911, AVERAGE_POPULARITY: 0.0941627, DIVERSITY_MEAN_INTER_LIST: 0.9888240, DIVERSITY_HERFINDAHL: 0.9988649, COVERAGE_ITEM: 0.4889625, COVERAGE_ITEM_CORRECT: 0.0557382, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2224236, DIVERSITY_GINI: 0.1728937, SHANNON_ENTROPY: 11.8865290, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'alpha': 0.3653979737366015, 'l1_ratio': 0.986071973083927} - results: ROC_AUC: 0.1881618, PRECISION: 0.0416666, PRECISION_RECALL_MIN_DEN: 0.1480040, RECALL: 0.1436158, MAP: 0.0676750, MRR: 0.1397086, NDCG: 0.1021751, F1: 0.0645917, HIT_RATE: 0.4166658, ARHR: 0.1628948, NOVELTY: 0.0049014, AVERAGE_POPULARITY: 0.0987739, DIVERSITY_MEAN_INTER_LIST: 0.9872923, DIVERSITY_HERFINDAHL: 0.9987118, COVERAGE_ITEM: 0.4927353, COVERAGE_ITEM_CORRECT: 0.0526275, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2152259, DIVERSITY_GINI: 0.1778684, SHANNON_ENTROPY: 11.8892063, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'alpha': 0.09704265589183328, 'l1_ratio': 0.2703822874849127} - results: ROC_AUC: 0.1623440, PRECISION: 0.0340069, PRECISION_RECALL_MIN_DEN: 0.1197508, RECALL: 0.1160736, MAP: 0.0558618, MRR: 0.1199646, NDCG: 0.0843487, F1: 0.0525980, HIT_RATE: 0.3400688, ARHR: 0.1375379, NOVELTY: 0.0048201, AVERAGE_POPULARITY: 0.1183932, DIVERSITY_MEAN_INTER_LIST: 0.9814116, DIVERSITY_HERFINDAHL: 0.9981238, COVERAGE_ITEM: 0.4327854, COVERAGE_ITEM_CORRECT: 0.0365197, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1817541, DIVERSITY_GINI: 0.1404627, SHANNON_ENTROPY: 11.4131008, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.39134603372181676, 'l1_ratio': 0.4255195344966226} - results: ROC_AUC: 0.1784947, PRECISION: 0.0384831, PRECISION_RECALL_MIN_DEN: 0.1359611, RECALL: 0.1318392, MAP: 0.0627066, MRR: 0.1318605, NDCG: 0.0947118, F1: 0.0595720, HIT_RATE: 0.3848313, ARHR: 0.1527343, NOVELTY: 0.0048367, AVERAGE_POPULARITY: 0.1121040, DIVERSITY_MEAN_INTER_LIST: 0.9836715, DIVERSITY_HERFINDAHL: 0.9983498, COVERAGE_ITEM: 0.4478460, COVERAGE_ITEM_CORRECT: 0.0448431, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2013842, DIVERSITY_GINI: 0.1476916, SHANNON_ENTROPY: 11.5268554, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.7004428941243797, 'l1_ratio': 0.3506517500946275} - results: ROC_AUC: 0.1961461, PRECISION: 0.0426847, PRECISION_RECALL_MIN_DEN: 0.1519188, RECALL: 0.1474922, MAP: 0.0707440, MRR: 0.1458033, NDCG: 0.1060399, F1: 0.0662054, HIT_RATE: 0.4268470, ARHR: 0.1700201, NOVELTY: 0.0048651, AVERAGE_POPULARITY: 0.1007446, DIVERSITY_MEAN_INTER_LIST: 0.9871778, DIVERSITY_HERFINDAHL: 0.9987003, COVERAGE_ITEM: 0.4740943, COVERAGE_ITEM_CORRECT: 0.0535284, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2196049, DIVERSITY_GINI: 0.1622168, SHANNON_ENTROPY: 11.7433542, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.02700306554155519, 'l1_ratio': 0.9271818633188494} - results: ROC_AUC: 0.1611303, PRECISION: 0.0337594, PRECISION_RECALL_MIN_DEN: 0.1187377, RECALL: 0.1150733, MAP: 0.0553616, MRR: 0.1188954, NDCG: 0.0836275, F1: 0.0521988, HIT_RATE: 0.3375936, ARHR: 0.1363002, NOVELTY: 0.0048246, AVERAGE_POPULARITY: 0.1181601, DIVERSITY_MEAN_INTER_LIST: 0.9814232, DIVERSITY_HERFINDAHL: 0.9981250, COVERAGE_ITEM: 0.4341944, COVERAGE_ITEM_CORRECT: 0.0362348, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1805713, DIVERSITY_GINI: 0.1418400, SHANNON_ENTROPY: 11.4289274, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.6794877292081886, 'l1_ratio': 0.6806338279331385} - results: ROC_AUC: 0.1937903, PRECISION: 0.0416145, PRECISION_RECALL_MIN_DEN: 0.1514989, RECALL: 0.1472916, MAP: 0.0700063, MRR: 0.1432913, NDCG: 0.1050052, F1: 0.0648934, HIT_RATE: 0.4161447, ARHR: 0.1663350, NOVELTY: 0.0049760, AVERAGE_POPULARITY: 0.0785299, DIVERSITY_MEAN_INTER_LIST: 0.9919072, DIVERSITY_HERFINDAHL: 0.9991732, COVERAGE_ITEM: 0.5329817, COVERAGE_ITEM_CORRECT: 0.0568547, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2173902, DIVERSITY_GINI: 0.2098205, SHANNON_ENTROPY: 12.2905909, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.41112627949720604, 'l1_ratio': 0.048713210704341994} - results: ROC_AUC: 0.1673728, PRECISION: 0.0348377, PRECISION_RECALL_MIN_DEN: 0.1226744, RECALL: 0.1189340, MAP: 0.0578861, MRR: 0.1237323, NDCG: 0.0869723, F1: 0.0538870, HIT_RATE: 0.3483767, ARHR: 0.1420480, NOVELTY: 0.0047945, AVERAGE_POPULARITY: 0.1195773, DIVERSITY_MEAN_INTER_LIST: 0.9813275, DIVERSITY_HERFINDAHL: 0.9981154, COVERAGE_ITEM: 0.4252166, COVERAGE_ITEM_CORRECT: 0.0374283, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1855040, DIVERSITY_GINI: 0.1333680, SHANNON_ENTROPY: 11.3289507, 

