
SearchBayesianSkopt-CV: New best config found. Config 0: {'alpha': 0.3802747473066035, 'l1_ratio': 0.13186946873443442} - results: ROC_AUC: 0.1806742, PRECISION: 0.0388136, PRECISION_RECALL_MIN_DEN: 0.1353599, RECALL: 0.1310173, MAP: 0.0634198, MRR: 0.1353345, NDCG: 0.0953313, F1: 0.0598850, HIT_RATE: 0.3881357, ARHR: 0.1565698, NOVELTY: 0.0047981, AVERAGE_POPULARITY: 0.1059434, DIVERSITY_MEAN_INTER_LIST: 0.9867786, DIVERSITY_HERFINDAHL: 0.9986604, COVERAGE_ITEM: 0.4209971, COVERAGE_ITEM_CORRECT: 0.0453436, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2025922, DIVERSITY_GINI: 0.1297147, SHANNON_ENTROPY: 11.4651668, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'alpha': 0.9645989287109766, 'l1_ratio': 0.0018753667707487325} - results: ROC_AUC: 0.1761445, PRECISION: 0.0374588, PRECISION_RECALL_MIN_DEN: 0.1301839, RECALL: 0.1260458, MAP: 0.0609579, MRR: 0.1309449, NDCG: 0.0918874, F1: 0.0577525, HIT_RATE: 0.3745880, ARHR: 0.1513505, NOVELTY: 0.0047946, AVERAGE_POPULARITY: 0.1125604, DIVERSITY_MEAN_INTER_LIST: 0.9836762, DIVERSITY_HERFINDAHL: 0.9983502, COVERAGE_ITEM: 0.4360192, COVERAGE_ITEM_CORRECT: 0.0419557, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1965270, DIVERSITY_GINI: 0.1350512, SHANNON_ENTROPY: 11.3775865, 

SearchBayesianSkopt-CV: New best config found. Config 2: {'alpha': 0.1020039652992212, 'l1_ratio': 0.6059534331952685} - results: ROC_AUC: 0.1815116, PRECISION: 0.0389476, PRECISION_RECALL_MIN_DEN: 0.1357356, RECALL: 0.1313001, MAP: 0.0637017, MRR: 0.1356530, NDCG: 0.0956182, F1: 0.0600742, HIT_RATE: 0.3894765, ARHR: 0.1570354, NOVELTY: 0.0048050, AVERAGE_POPULARITY: 0.1036300, DIVERSITY_MEAN_INTER_LIST: 0.9876311, DIVERSITY_HERFINDAHL: 0.9987457, COVERAGE_ITEM: 0.4210972, COVERAGE_ITEM_CORRECT: 0.0465833, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032717, DIVERSITY_GINI: 0.1312727, SHANNON_ENTROPY: 11.5205619, 

SearchBayesianSkopt-CV: New best config found. Config 3: {'alpha': 0.08202182732869136, 'l1_ratio': 0.13655438601679395} - results: ROC_AUC: 0.1815500, PRECISION: 0.0389337, PRECISION_RECALL_MIN_DEN: 0.1356295, RECALL: 0.1312024, MAP: 0.0637056, MRR: 0.1356988, NDCG: 0.0956125, F1: 0.0600473, HIT_RATE: 0.3893366, ARHR: 0.1570455, NOVELTY: 0.0048055, AVERAGE_POPULARITY: 0.1035998, DIVERSITY_MEAN_INTER_LIST: 0.9876304, DIVERSITY_HERFINDAHL: 0.9987456, COVERAGE_ITEM: 0.4214206, COVERAGE_ITEM_CORRECT: 0.0465910, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032968, DIVERSITY_GINI: 0.1314282, SHANNON_ENTROPY: 11.5219585, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'alpha': 0.3202507092784869, 'l1_ratio': 0.45246639537717304} - results: ROC_AUC: 0.1809301, PRECISION: 0.0389304, PRECISION_RECALL_MIN_DEN: 0.1358252, RECALL: 0.1314682, MAP: 0.0634644, MRR: 0.1353912, NDCG: 0.0954822, F1: 0.0600716, HIT_RATE: 0.3893042, ARHR: 0.1566337, NOVELTY: 0.0047990, AVERAGE_POPULARITY: 0.1051780, DIVERSITY_MEAN_INTER_LIST: 0.9870887, DIVERSITY_HERFINDAHL: 0.9986914, COVERAGE_ITEM: 0.4192031, COVERAGE_ITEM_CORRECT: 0.0459519, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2032968, DIVERSITY_GINI: 0.1293120, SHANNON_ENTROPY: 11.4766448, 
SearchBayesianSkopt-CV: Config 5 is suboptimal. Config: {'alpha': 0.9211224203270332, 'l1_ratio': 0.3422594659470591} - results: ROC_AUC: 0.1777877, PRECISION: 0.0375893, PRECISION_RECALL_MIN_DEN: 0.1311267, RECALL: 0.1270061, MAP: 0.0614898, MRR: 0.1321137, NDCG: 0.0926102, F1: 0.0580079, HIT_RATE: 0.3758925, ARHR: 0.1525944, NOVELTY: 0.0047832, AVERAGE_POPULARITY: 0.1122011, DIVERSITY_MEAN_INTER_LIST: 0.9840964, DIVERSITY_HERFINDAHL: 0.9983923, COVERAGE_ITEM: 0.4261174, COVERAGE_ITEM_CORRECT: 0.0421867, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1977350, DIVERSITY_GINI: 0.1290082, SHANNON_ENTROPY: 11.3371851, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'alpha': 0.4018652788413335, 'l1_ratio': 0.2384254950709998} - results: ROC_AUC: 0.1806656, PRECISION: 0.0388313, PRECISION_RECALL_MIN_DEN: 0.1353313, RECALL: 0.1309820, MAP: 0.0633515, MRR: 0.1352796, NDCG: 0.0952786, F1: 0.0599025, HIT_RATE: 0.3883131, ARHR: 0.1564995, NOVELTY: 0.0047971, AVERAGE_POPULARITY: 0.1060667, DIVERSITY_MEAN_INTER_LIST: 0.9867364, DIVERSITY_HERFINDAHL: 0.9986562, COVERAGE_ITEM: 0.4203195, COVERAGE_ITEM_CORRECT: 0.0453436, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2026928, DIVERSITY_GINI: 0.1293240, SHANNON_ENTROPY: 11.4597443, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'alpha': 0.04381602697118648, 'l1_ratio': 0.47585113673100055} - results: ROC_AUC: 0.1815023, PRECISION: 0.0389901, PRECISION_RECALL_MIN_DEN: 0.1356849, RECALL: 0.1312360, MAP: 0.0636298, MRR: 0.1355030, NDCG: 0.0955593, F1: 0.0601179, HIT_RATE: 0.3899010, ARHR: 0.1569128, NOVELTY: 0.0048064, AVERAGE_POPULARITY: 0.1032822, DIVERSITY_MEAN_INTER_LIST: 0.9877401, DIVERSITY_HERFINDAHL: 0.9987566, COVERAGE_ITEM: 0.4214822, COVERAGE_ITEM_CORRECT: 0.0467834, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033975, DIVERSITY_GINI: 0.1316741, SHANNON_ENTROPY: 11.5295478, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'alpha': 0.34459656596494853, 'l1_ratio': 0.21058370021993017} - results: ROC_AUC: 0.1809853, PRECISION: 0.0389303, PRECISION_RECALL_MIN_DEN: 0.1359407, RECALL: 0.1315918, MAP: 0.0635214, MRR: 0.1355319, NDCG: 0.0955585, F1: 0.0600840, HIT_RATE: 0.3893033, ARHR: 0.1567780, NOVELTY: 0.0047987, AVERAGE_POPULARITY: 0.1055732, DIVERSITY_MEAN_INTER_LIST: 0.9869274, DIVERSITY_HERFINDAHL: 0.9986753, COVERAGE_ITEM: 0.4204273, COVERAGE_ITEM_CORRECT: 0.0457132, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.2033220, DIVERSITY_GINI: 0.1296340, SHANNON_ENTROPY: 11.4716281, 
